Date,Open,High,Low,Close,Volume
2016-10-04,29.9,30.13,29.52,29.61,8483142
2016-10-05,29.74,30.18,29.59,29.94,7940018
2016-10-06,30.05,30.07,29.44,29.89,13015401
2016-10-07,29.83,29.91,29.48,29.75,11641487
2016-10-10,29.97,30.0,29.35,29.38,10270686
2016-10-11,29.37,29.39,28.3,28.64,20018667
2016-10-12,28.66,28.8,28.26,28.64,11687678
2016-10-13,28.25,28.26,27.56,27.86,16963790
2016-10-14,27.95,28.4,27.82,28.07,12138271
2016-10-17,28.65,28.65,27.74,27.8,11038569
2016-10-18,28.24,28.34,27.96,28.02,11970776
2016-10-19,27.98,28.43,27.95,28.32,11794033
2016-10-20,28.22,28.45,28.02,28.38,12119108
2016-10-21,28.26,28.56,28.05,28.43,9875721
2016-10-24,28.71,29.16,28.65,29.15,12300692
2016-10-25,29.08,29.3,28.75,28.86,9773198
2016-10-26,28.71,29.02,28.62,28.85,7343464
2016-10-27,29.07,29.3,28.67,28.86,9128007
2016-10-28,28.96,29.18,28.57,28.66,11541636
2016-10-31,28.73,29.16,28.71,29.08,10929238
2016-11-01,29.11,29.23,28.51,28.9,10437813
2016-11-02,28.74,29.09,28.47,28.59,9944303
2016-11-03,28.52,28.59,28.12,28.27,12013760
2016-11-04,28.05,28.64,28.02,28.22,8665773
2016-11-07,28.67,29.35,28.63,29.33,12024855
2016-11-08,29.34,29.67,29.11,29.51,7395779
2016-11-09,29.33,29.33,28.36,29.13,12558628
2016-11-10,29.21,29.9,28.1,28.18,14796754
2016-11-11,28.5,28.84,28.24,28.82,12748367
2016-11-14,29.4,29.5,28.93,28.99,12293754
2016-11-15,29.31,29.64,29.1,29.61,12678706
2016-11-16,30.0,30.3,29.54,30.02,16103223
2016-11-17,30.39,30.85,30.0,30.73,18374962
2016-11-18,30.47,31.25,30.35,30.74,23958862
2016-11-21,30.88,31.45,30.84,31.35,13076803
2016-11-22,31.53,31.8,31.35,31.67,8955598
2016-11-23,31.64,31.95,31.5,31.88,9876745
2016-11-25,31.71,31.97,31.44,31.88,4703898
2016-11-28,31.84,32.16,31.62,31.84,8412891
2016-11-29,31.67,32.35,31.57,32.16,8982904
2016-11-30,32.16,32.54,32.05,32.2,14878917
2016-12-01,32.14,32.18,29.85,30.1,25173904
2016-12-02,30.2,31.45,30.06,31.44,15229645
2016-12-05,31.7,31.84,31.34,31.53,13035877
2016-12-06,31.71,31.83,31.21,31.61,10087976
2016-12-07,31.8,32.65,31.29,32.51,12588974
2016-12-08,32.78,32.92,32.45,32.71,10131405
2016-12-09,32.78,32.83,31.91,32.35,10774375
2016-12-12,32.18,32.32,31.67,32.0,7709169
2016-12-13,32.04,32.37,31.95,32.03,6321986
2016-12-14,31.93,32.36,31.87,32.14,10482847
2016-12-15,32.34,33.1,31.96,33.06,11742550
2016-12-16,33.4,33.4,32.42,32.51,13336491
2016-12-19,32.25,32.76,32.25,32.44,10385088
2016-12-20,32.75,32.91,32.35,32.61,8185615
2016-12-21,32.5,32.99,32.5,32.58,6521240
2016-12-22,32.95,33.62,32.86,33.01,9492894
2016-12-23,32.92,33.0,32.66,32.9,4028103
2016-12-27,33.15,33.46,33.1,33.33,5008470
2016-12-28,33.55,33.68,32.88,32.9,5388563
2016-12-29,32.8,32.99,32.48,32.66,4472486
2016-12-30,32.86,32.91,32.18,32.27,5887732
2017-01-03,32.36,32.71,31.66,31.94,13209441
2017-01-04,32.09,32.51,32.06,32.24,9460624
2017-01-05,32.3,32.4,31.91,32.1,7290175
2017-01-06,32.04,32.23,31.86,32.04,7063604
2017-01-09,32.27,33.07,32.21,32.78,9271782
2017-01-10,32.87,33.2,32.74,33.13,8753286
2017-01-11,33.21,33.48,32.8,33.47,10620118
2017-01-12,33.25,33.34,32.6,33.31,6484120
2017-01-13,33.32,33.9,33.3,33.79,6911166
2017-01-17,33.79,33.83,33.09,33.3,6428559
2017-01-18,33.68,34.0,33.53,33.69,10609448
2017-01-19,33.7,34.13,33.67,33.75,8333520
2017-01-20,33.92,34.18,33.76,33.84,8571730
2017-01-23,33.76,34.2,33.56,33.75,7254438
2017-01-24,33.89,34.21,33.88,34.03,9702805
2017-01-25,34.3,34.83,34.22,34.42,12230219
2017-01-26,34.42,34.47,33.85,33.98,9375456
2017-01-27,34.26,35.15,34.22,35.04,11055855
2017-01-30,34.79,34.83,33.77,34.34,11183818
2017-01-31,34.14,34.32,33.93,34.25,9468804
2017-02-01,34.59,35.05,34.5,35.03,15244891
2017-02-02,34.97,35.03,34.64,34.94,7517981
2017-02-03,34.98,35.39,34.98,35.31,8560301
2017-02-06,35.32,35.39,35.01,35.18,5877077
2017-02-07,35.38,35.64,35.07,35.54,8155222
2017-02-08,35.8,35.8,35.18,35.6,8735864
2017-02-09,35.75,35.85,35.38,35.41,6515495
2017-02-10,35.64,35.64,35.09,35.32,11636382
2017-02-13,35.72,35.83,35.37,35.46,11900268
2017-02-14,35.5,35.55,35.12,35.23,9956599
2017-02-15,35.46,35.74,35.26,35.49,17409981
2017-02-16,35.62,35.65,34.58,35.18,21684867
2017-02-17,34.97,35.8,34.72,35.67,14892760
2017-02-21,35.52,36.82,35.52,36.58,13814798
2017-02-22,36.45,36.67,36.21,36.51,10380015
2017-02-23,36.56,36.66,35.9,36.16,7852525
2017-02-24,35.81,36.32,35.55,36.3,7505777
2017-02-27,36.47,36.5,36.1,36.43,6491371
2017-02-28,36.33,36.44,36.1,36.22,8585589
2017-03-01,36.52,36.93,36.5,36.85,7298251
2017-03-02,36.71,36.95,36.33,36.49,7854762
2017-03-03,36.44,36.88,36.42,36.87,7257496
2017-03-06,36.68,36.96,36.51,36.86,9219071
2017-03-07,36.81,37.26,36.75,36.97,7841451
2017-03-08,37.01,37.23,36.96,37.19,8052683
2017-03-09,37.03,37.48,37.02,37.38,8494054
2017-03-10,37.66,38.19,37.65,38.12,11486540
2017-03-13,38.2,38.59,38.17,38.44,9111376
2017-03-14,38.35,38.44,37.78,38.27,9646912
2017-03-15,38.41,38.95,38.3,38.92,9405810
2017-03-16,39.0,39.28,38.85,39.05,8305248
2017-03-17,39.34,39.38,39.08,39.28,11023657
2017-03-20,39.33,39.76,39.21,39.57,6916906
