Date,Open,High,Low,Close,Volume
2016-10-04,7.0,7.09,6.89,6.97,25770031
2016-10-05,6.97,7.01,6.7,6.78,31235592
2016-10-06,6.72,6.98,6.63,6.96,27059688
2016-10-07,6.92,6.96,6.62,6.75,33058999
2016-10-10,6.82,6.94,6.8,6.84,13800510
2016-10-11,6.8,6.84,6.38,6.5,32510803
2016-10-12,6.64,6.77,6.42,6.62,33592702
2016-10-13,6.5,6.54,6.24,6.49,30401706
2016-10-14,6.92,7.12,6.74,6.75,66934374
2016-10-17,6.92,6.97,6.64,6.67,24261489
2016-10-18,6.76,6.89,6.69,6.73,25314837
2016-10-19,6.7,6.8,6.57,6.77,29420227
2016-10-20,6.81,6.98,6.77,6.96,64607539
2016-10-21,6.5,6.65,6.37,6.52,64243549
2016-10-24,6.57,7.01,6.54,7.0,52998430
2016-10-25,6.9,7.5,6.87,7.5,78862046
2016-10-26,7.4,7.48,7.26,7.29,47619312
2016-10-27,7.44,7.46,7.1,7.11,37804176
2016-10-28,7.1,7.53,7.02,7.2,77261334
2016-10-31,7.24,7.46,7.2,7.23,42345904
2016-11-01,7.32,7.42,6.92,7.09,39906861
2016-11-02,7.03,7.06,6.67,6.76,33852218
2016-11-03,6.78,6.79,6.56,6.7,33673558
2016-11-04,6.69,6.72,6.46,6.56,32215709
2016-11-07,6.79,6.99,6.76,6.96,36999238
2016-11-08,6.85,7.18,6.75,7.0,37728535
2016-11-09,6.7,7.05,6.64,6.94,38479532
2016-11-10,6.82,6.91,6.22,6.3,71749547
2016-11-11,6.64,6.69,6.47,6.68,39492150
2016-11-14,6.83,6.84,6.61,6.79,29596401
2016-11-15,6.82,7.08,6.79,6.97,28909399
2016-11-16,7.09,7.75,7.07,7.67,78083174
2016-11-17,7.79,8.77,7.77,8.46,124048654
2016-11-18,8.68,8.83,8.4,8.71,62336214
2016-11-21,8.87,9.22,8.86,8.94,65595921
2016-11-22,9.05,9.06,8.54,8.69,71312775
2016-11-23,8.72,8.86,8.5,8.8,34645960
2016-11-25,8.8,8.91,8.69,8.77,14214120
2016-11-28,8.72,8.98,8.72,8.83,25907789
2016-11-29,9.0,9.23,8.85,8.93,54831388
2016-11-30,9.02,9.12,8.9,8.91,36511914
2016-12-01,8.92,9.03,8.26,8.39,56682384
2016-12-02,8.38,8.74,8.38,8.53,42398936
2016-12-05,8.69,8.71,8.45,8.68,31410058
2016-12-06,8.95,9.54,8.82,9.45,92242854
2016-12-07,9.65,9.79,9.24,9.56,54897332
2016-12-08,9.9,10.66,9.8,10.34,104613009
2016-12-09,10.38,10.54,9.87,10.34,60600759
2016-12-12,10.4,10.93,10.38,10.68,63342940
2016-12-13,10.75,10.8,10.4,10.54,46967790
2016-12-14,10.43,10.74,10.27,10.55,46968552
2016-12-15,10.68,10.93,10.64,10.86,48871302
2016-12-16,10.94,11.23,10.6,10.66,77777741
2016-12-19,10.81,11.0,10.52,10.95,46085840
2016-12-20,11.19,11.51,11.15,11.51,59314159
2016-12-21,11.61,11.72,11.31,11.47,44814131
2016-12-22,11.65,11.75,11.47,11.6,36450756
2016-12-23,11.3,11.6,11.26,11.58,32288235
2016-12-27,11.65,12.08,11.6,12.07,44336488
2016-12-28,12.28,12.42,11.46,11.55,71254459
2016-12-29,11.24,11.62,11.01,11.59,50234261
2016-12-30,11.7,11.78,11.25,11.34,44095368
2017-01-03,11.42,11.65,11.02,11.43,55181960
2017-01-04,11.45,11.52,11.24,11.43,40781190
2017-01-05,11.43,11.69,11.23,11.24,38855214
2017-01-06,11.29,11.49,11.11,11.32,34453462
2017-01-09,11.37,11.64,11.31,11.49,37304797
2017-01-10,11.55,11.63,11.33,11.44,29201580
2017-01-11,11.39,11.41,11.15,11.2,39377016
2017-01-12,10.98,11.04,10.33,10.76,75244087
2017-01-13,10.79,10.87,10.56,10.58,38377455
2017-01-17,10.17,10.23,9.78,9.82,70491802
2017-01-18,9.54,10.1,9.42,9.88,51797592
2017-01-19,9.92,10.25,9.75,9.77,46151282
2017-01-20,9.88,9.96,9.67,9.75,27982147
2017-01-23,9.68,10.06,9.68,9.91,27905681
2017-01-24,9.95,10.49,9.95,10.44,43991188
2017-01-25,10.74,10.98,10.15,10.35,61886202
2017-01-26,10.35,10.66,10.3,10.52,35866570
2017-01-27,10.6,10.73,10.52,10.67,32719173
2017-01-30,10.62,10.68,10.3,10.61,37724991
2017-01-31,10.6,10.67,10.22,10.37,53704949
2017-02-01,10.9,12.14,10.81,12.06,165939278
2017-02-02,11.98,12.66,11.95,12.28,116324549
2017-02-03,12.37,12.5,12.04,12.24,60036740
2017-02-06,12.46,13.7,12.38,13.63,140474084
2017-02-07,14.05,14.27,13.06,13.29,158683771
2017-02-08,13.21,13.75,13.08,13.56,75942906
2017-02-09,13.78,13.89,13.4,13.42,73339932
2017-02-10,13.86,13.86,13.25,13.58,54579343
2017-02-13,13.7,13.95,13.38,13.49,57413113
2017-02-14,13.43,13.49,13.19,13.26,40479052
2017-02-15,13.2,13.44,13.15,13.3,33722253
2017-02-16,13.25,13.35,12.84,12.97,52502531
2017-02-17,12.79,13.14,12.6,13.13,40887978
2017-02-21,13.41,14.1,13.4,14.0,66357063
2017-02-22,14.3,14.5,14.04,14.28,71505039
2017-02-23,14.2,14.45,13.82,14.32,80317617
2017-02-24,14.0,14.32,13.86,14.12,46288614
2017-02-27,14.27,15.35,14.27,15.2,95422869
2017-02-28,15.45,15.55,14.35,14.46,141782979
2017-03-01,15.08,15.09,14.52,14.96,73450388
2017-03-02,14.59,14.78,13.87,13.9,104330930
2017-03-03,13.55,13.58,12.79,13.03,163641702
2017-03-06,13.0,13.34,12.38,13.04,117192621
2017-03-07,13.07,13.37,12.79,13.05,76666266
2017-03-08,13.25,13.55,13.1,13.22,71294747
2017-03-09,13.45,13.45,13.11,13.33,45244233
2017-03-10,13.5,13.93,13.45,13.91,65142157
2017-03-13,14.48,14.68,14.18,14.28,73078146
2017-03-14,14.0,14.15,13.64,14.1,52554505
2017-03-15,14.03,14.06,13.62,13.98,55179561
2017-03-16,13.79,13.88,13.65,13.65,44494793
2017-03-17,13.62,13.74,13.36,13.49,224892327
2017-03-20,13.68,14.5,13.54,14.4,91565591
2017-03-21,14.4,14.49,13.78,13.82,72552725
2017-03-22,13.7,14.14,13.55,14.1,61239502
2017-03-23,13.96,14.12,13.77,13.79,44549945
2017-03-24,14.16,14.18,13.54,13.7,50099472
2017-03-27,13.35,13.78,13.21,13.7,42686840
2017-03-28,13.75,13.86,13.55,13.69,37420153
2017-03-29,13.74,13.87,13.63,13.71,37863470
2017-03-30,13.73,14.05,13.65,14.05,44132830
2017-03-31,14.1,14.75,14.01,14.55,84566239
2017-04-03,14.6,14.74,14.3,14.64,48423677
2017-04-04,14.31,14.67,14.03,14.16,58413020
2017-04-05,14.28,14.64,14.1,14.17,58816711
2017-04-06,13.42,13.46,12.83,13.27,139500105
2017-04-07,13.33,13.68,13.22,13.52,70440981
2017-04-10,13.52,13.59,13.04,13.1,47178017
2017-04-11,13.02,13.29,12.71,13.1,59916607
2017-04-12,12.94,13.1,12.74,12.76,37385363
2017-04-13,12.5,12.72,12.22,12.31,53442631
2017-04-17,12.53,12.8,12.37,12.79,38188238
2017-04-18,12.63,12.97,12.58,12.95,37172004
2017-04-19,13.09,13.2,12.8,12.84,36491056
