Date,Open,High,Low,Close,Volume
2016-10-04,47.53,47.68,47.05,47.13,2532410
2016-10-05,47.38,48.22,47.19,48.12,2195483
2016-10-06,48.07,48.3,47.71,48.19,1542610
2016-10-07,48.07,48.09,47.64,47.74,1769214
2016-10-10,47.95,48.13,47.43,47.54,1182552
2016-10-11,47.29,47.29,46.3,46.4,2485844
2016-10-12,46.32,46.54,46.17,46.24,2235650
2016-10-13,45.88,45.91,45.55,45.7,1407940
2016-10-14,46.09,46.33,45.81,45.84,1134335
2016-10-17,45.84,45.92,45.44,45.45,741665
2016-10-18,45.84,45.84,45.45,45.65,1008538
2016-10-19,45.67,45.81,45.53,45.67,841113
2016-10-20,45.58,45.67,45.35,45.47,778151
2016-10-21,45.1,45.34,44.79,45.25,1106417
2016-10-24,45.73,45.94,44.9,45.12,1831867
2016-10-25,45.08,45.25,44.77,44.8,914936
2016-10-26,44.68,45.05,44.52,44.83,1883885
2016-10-27,44.93,44.99,44.16,44.19,2069536
2016-10-28,44.27,44.8,43.99,44.13,3740326
2016-10-31,44.35,44.46,44.06,44.1,2757679
2016-11-01,45.0,46.03,44.66,44.89,11642657
2016-11-02,44.37,45.01,43.98,44.1,3617141
2016-11-03,44.75,44.9,44.12,44.26,2909230
2016-11-04,44.26,44.9,44.18,44.39,7383656
2016-11-07,45.01,45.16,44.74,44.86,3153427
2016-11-08,44.89,45.56,44.59,45.41,2705343
2016-11-09,45.05,47.06,44.78,46.8,4065465
2016-11-10,47.29,48.08,47.25,47.92,3391663
2016-11-11,47.66,47.89,46.95,47.28,1914139
2016-11-14,47.51,47.98,47.29,47.84,2497075
2016-11-15,47.85,48.09,47.63,48.07,2116017
2016-11-16,47.9,48.16,47.44,47.46,2025606
2016-11-17,47.69,48.44,47.5,48.2,1894694
2016-11-18,48.09,48.18,47.58,47.65,1241516
2016-11-21,47.82,48.14,47.52,47.61,4565795
2016-11-22,47.72,47.87,47.33,47.56,1795255
2016-11-23,47.57,47.6,47.18,47.47,1707983
2016-11-25,47.48,47.74,47.38,47.47,500797
2016-11-28,47.31,47.35,46.12,46.23,3349837
2016-11-29,46.15,46.2,45.78,45.98,3073639
2016-11-30,46.37,47.9,46.31,47.35,4443722
2016-12-01,47.72,49.73,47.52,49.4,5589457
2016-12-02,49.4,49.48,47.99,48.01,3173180
2016-12-05,48.17,48.85,48.16,48.58,2397921
2016-12-06,48.48,49.54,48.38,49.52,4348034
2016-12-07,49.81,51.0,49.48,50.85,3853730
2016-12-08,50.85,51.23,50.55,51.05,2759210
2016-12-09,51.04,51.21,50.64,50.87,1586048
2016-12-12,50.88,51.26,50.43,50.64,2023583
2016-12-13,50.71,50.86,50.2,50.28,1879819
2016-12-14,50.02,50.43,49.8,49.82,2492917
2016-12-15,49.75,50.11,49.57,49.87,1973204
2016-12-16,49.84,49.98,49.15,49.18,2801171
2016-12-19,49.2,49.4,48.88,49.14,1377249
2016-12-20,49.28,49.55,49.11,49.47,968331
2016-12-21,49.36,49.7,49.01,49.3,1317655
2016-12-22,50.24,50.38,49.36,49.42,1155827
2016-12-23,49.49,49.74,49.36,49.45,665855
2016-12-27,49.44,49.86,49.37,49.71,572604
2016-12-28,49.84,49.93,48.74,48.75,966360
2016-12-29,48.75,48.95,48.45,48.66,889632
2016-12-30,48.71,48.83,48.21,48.6,1046160
2017-01-03,49.04,49.37,48.55,49.22,1965621
2017-01-04,49.65,50.07,49.3,49.81,2478457
2017-01-05,49.57,49.75,48.66,49.18,1433082
2017-01-06,49.41,50.19,49.18,50.07,1534143
2017-01-09,49.89,50.12,49.29,49.63,1500049
2017-01-10,49.74,50.06,49.35,49.87,1411915
2017-01-11,49.78,50.08,49.62,49.98,1121056
2017-01-12,49.89,50.51,49.54,50.44,1410343
2017-01-13,50.55,51.0,50.55,50.66,1471607
2017-01-17,50.54,50.66,49.93,50.28,1357191
2017-01-18,50.39,50.77,50.19,50.71,2030767
2017-01-19,50.91,51.18,50.44,50.68,1685829
2017-01-20,50.95,51.18,50.63,50.81,1224286
2017-01-23,50.63,50.98,50.06,50.46,1332870
2017-01-24,50.74,51.35,50.49,51.18,1025976
2017-01-25,51.62,52.43,51.51,52.4,2018225
2017-01-26,52.38,52.82,51.99,52.18,1880058
2017-01-27,52.18,52.43,51.62,51.81,1343702
2017-01-30,51.81,52.04,50.9,51.39,1470947
2017-01-31,51.38,51.46,50.85,51.1,1688188
2017-02-01,51.35,51.56,50.66,51.09,1706087
2017-02-02,50.78,51.08,50.44,51.04,1025126
2017-02-03,51.42,51.7,51.08,51.51,2067305
2017-02-06,51.38,51.99,51.19,51.66,3851875
2017-02-07,52.01,52.87,51.29,51.68,4780554
2017-02-08,51.71,52.48,51.31,52.35,2368437
2017-02-09,52.56,53.44,52.47,53.13,1850717
2017-02-10,53.24,53.65,53.06,53.52,1712253
2017-02-13,53.75,53.89,53.51,53.67,1741678
2017-02-14,53.48,53.63,53.2,53.58,2152933
2017-02-15,54.0,54.4,53.62,54.28,2007738
2017-02-16,54.32,54.43,53.92,54.37,1763421
2017-02-17,54.1,54.5,53.91,54.5,1719542
2017-02-21,54.48,55.18,54.36,55.15,6019975
2017-02-22,54.92,55.32,54.75,55.31,2534742
2017-02-23,55.32,55.48,54.16,54.49,1771289
2017-02-24,54.16,54.66,54.06,54.63,997697
2017-02-27,54.72,54.81,54.4,54.5,1469224
2017-02-28,54.52,54.67,53.83,53.97,1337463
