Date,Open,High,Low,Close,Volume
2016-10-04,91.9,92.61,91.07,91.74,530678
2016-10-05,92.22,93.13,91.65,92.38,473420
2016-10-06,92.3,92.3,91.56,92.11,249233
2016-10-07,92.09,92.32,91.32,91.4,290301
2016-10-10,91.7,92.42,91.49,91.57,244300
2016-10-11,91.35,91.86,90.34,91.15,503754
2016-10-12,91.59,92.1,90.8,91.86,503150
2016-10-13,91.42,92.12,90.75,91.75,624355
2016-10-14,92.0,92.41,90.96,91.15,450260
2016-10-17,91.18,91.59,90.49,90.97,272771
2016-10-18,92.0,92.14,91.37,91.39,197041
2016-10-19,91.33,92.0,91.1,91.5,261016
2016-10-20,91.18,91.81,90.9,91.19,223420
2016-10-21,90.93,91.22,90.56,91.11,187179
2016-10-24,91.36,92.77,91.36,92.38,253644
2016-10-25,92.37,92.37,90.86,91.12,255789
2016-10-26,90.74,91.86,90.74,91.1,226105
2016-10-27,91.67,91.67,90.47,90.79,230310
2016-10-28,90.74,91.84,90.26,91.4,281855
2016-10-31,91.73,92.19,91.21,91.35,526389
2016-11-01,91.42,91.43,89.19,89.96,347880
2016-11-02,89.75,89.85,88.46,89.52,597476
2016-11-03,86.11,88.0,83.14,83.49,1475782
2016-11-04,83.2,84.33,82.28,83.62,834721
2016-11-07,85.36,85.8,84.06,85.77,1075131
2016-11-08,85.26,87.24,85.26,86.94,533851
2016-11-09,85.89,88.7,85.4,88.33,613653
2016-11-10,89.25,89.56,86.94,87.54,379894
2016-11-11,87.47,89.57,86.09,88.9,677831
2016-11-14,89.23,90.95,89.08,90.61,744178
2016-11-15,90.58,91.69,90.57,91.26,557895
2016-11-16,90.84,92.99,90.66,92.88,558063
2016-11-17,92.85,93.69,92.12,93.53,447314
2016-11-18,93.69,94.4,93.26,93.36,522017
2016-11-21,93.62,94.17,93.2,93.77,524905
2016-11-22,93.25,94.34,93.25,93.88,410399
2016-11-23,93.85,94.23,93.52,94.01,389211
2016-11-25,93.78,94.61,93.5,94.48,141545
