Date,Open,High,Low,Close,Volume
2016-10-04,64.16,65.81,63.03,63.79,6326980
2016-10-05,64.96,65.71,64.36,64.65,3451217
2016-10-06,64.85,65.17,63.71,64.09,3369492
2016-10-07,64.25,64.6,62.77,63.33,3922773
2016-10-10,63.98,65.0,63.71,64.16,2357116
2016-10-11,63.9,64.18,62.42,62.87,2971356
2016-10-12,62.71,63.17,61.83,62.71,3325818
2016-10-13,62.0,62.73,60.51,62.07,4738727
2016-10-14,62.62,62.78,61.62,61.77,3580306
2016-10-17,61.64,62.2,60.63,61.85,3512024
2016-10-18,62.44,63.69,62.42,62.83,4125723
2016-10-19,63.5,64.91,63.0,64.32,3624739
2016-10-20,63.51,63.84,62.6,63.48,3449160
2016-10-21,62.97,63.13,61.87,62.19,3176498
2016-10-24,62.25,62.53,60.47,61.58,3019002
2016-10-25,61.57,61.99,60.39,60.57,2163457
2016-10-26,60.02,61.98,59.91,61.68,3093697
2016-10-27,61.99,62.73,61.25,61.7,2405243
2016-10-28,61.63,62.62,60.2,60.72,3640812
2016-10-31,60.42,60.74,59.39,59.48,2590945
2016-11-01,60.32,60.36,58.38,59.53,2778762
2016-11-02,59.18,60.18,58.54,59.46,4963101
2016-11-03,58.46,58.46,54.73,55.52,8755974
2016-11-04,55.2,56.79,54.61,56.14,6235546
2016-11-07,57.6,57.76,56.19,57.45,4614505
2016-11-08,56.94,57.64,56.5,56.93,2338623
2016-11-09,57.03,59.08,56.79,58.02,3270482
2016-11-10,58.04,58.6,57.23,58.32,3272272
2016-11-11,57.95,58.98,56.97,57.72,3518077
2016-11-14,57.53,58.98,57.22,58.93,2993417
2016-11-15,59.96,63.5,59.96,63.39,6053676
2016-11-16,62.78,63.62,62.14,62.45,2995183
2016-11-17,63.48,63.74,61.14,61.4,2974241
2016-11-18,61.6,62.74,61.35,62.08,2753635
2016-11-21,63.7,64.4,62.6,63.27,3446243
2016-11-22,63.56,63.97,61.12,62.47,3304613
2016-11-23,62.18,63.8,62.0,63.65,2339919
2016-11-25,63.14,63.65,62.4,62.84,1831983
2016-11-28,63.41,63.61,61.25,61.35,4022125
2016-11-29,59.76,61.47,58.05,60.74,4391339
2016-11-30,64.89,66.83,63.67,65.95,6955994
2016-12-01,67.39,67.63,64.72,65.14,4643623
2016-12-02,65.09,65.9,64.64,65.11,2072971
2016-12-05,65.98,67.76,65.76,66.41,3595636
2016-12-06,65.62,66.76,64.06,66.35,2148338
2016-12-07,66.37,66.72,65.27,66.39,5181765
2016-12-08,66.75,67.4,66.11,66.5,2862583
2016-12-09,67.14,67.19,65.92,66.56,2411886
2016-12-12,68.25,69.0,66.64,66.79,4865582
2016-12-13,67.15,67.72,65.95,67.35,4030310
2016-12-14,66.98,67.76,65.63,65.74,3834158
2016-12-15,65.45,67.04,65.0,66.74,2757765
2016-12-16,67.1,67.1,65.9,66.39,3759629
2016-12-19,66.66,67.37,66.17,66.7,1971319
2016-12-20,67.11,67.36,66.44,66.75,1950729
2016-12-21,67.41,67.42,66.53,66.64,1573302
2016-12-22,66.62,67.2,66.25,66.74,1932958
2016-12-23,66.46,66.98,66.02,66.4,1288753
2016-12-27,66.54,66.94,66.03,66.34,1021755
2016-12-28,66.41,66.66,64.34,64.59,2425048
2016-12-29,64.35,64.61,63.51,63.87,1735026
2016-12-30,63.87,64.2,63.27,63.47,2238291
2017-01-03,64.71,64.92,62.08,63.78,4816806
2017-01-04,63.87,64.21,63.08,63.59,2620101
2017-01-05,63.8,64.11,62.81,63.25,2531935
2017-01-06,63.52,63.75,62.56,63.12,2936702
2017-01-09,62.73,62.9,62.11,62.36,2334827
2017-01-10,62.63,63.09,62.3,62.87,2382181
2017-01-11,63.13,63.82,62.17,63.77,2270522
2017-01-12,64.13,64.13,62.66,63.02,2824560
2017-01-13,62.72,63.25,62.36,62.78,1316786
2017-01-17,63.16,63.92,62.25,63.1,3538101
2017-01-18,62.32,63.36,62.16,62.91,2559609
2017-01-19,62.83,63.0,61.87,62.22,2218706
2017-01-20,63.0,63.18,61.58,61.81,2780207
2017-01-23,61.55,61.98,60.66,60.77,2599573
2017-01-24,61.27,61.56,60.5,60.96,4072785
2017-01-25,61.02,61.92,60.85,61.43,3907602
2017-01-26,61.81,62.75,61.48,62.55,3714099
2017-01-27,62.22,62.49,61.29,62.08,3282846
2017-01-30,61.51,61.78,59.55,59.95,3332799
2017-01-31,60.09,60.3,59.1,59.82,4648863
2017-02-01,60.33,60.66,57.37,57.78,5847598
2017-02-02,58.02,59.29,57.45,59.09,3098348
2017-02-03,58.56,59.97,58.56,59.64,2843115
2017-02-06,59.64,59.92,57.81,57.87,2671642
2017-02-07,57.59,57.59,55.75,57.03,4686799
2017-02-08,56.36,57.9,55.81,56.93,3084581
2017-02-09,57.49,57.72,56.77,56.92,2625008
2017-02-10,57.44,57.71,56.92,57.38,2710626
2017-02-13,57.27,57.88,56.76,57.18,1875306
2017-02-14,56.46,56.67,54.53,55.5,7436011
2017-02-15,55.08,56.23,54.73,55.59,4981665
2017-02-16,55.77,55.98,54.96,55.25,2798380
2017-02-17,55.0,55.49,54.68,55.44,2524390
2017-02-21,56.06,56.5,55.75,55.89,3240878
2017-02-22,55.33,56.1,54.74,54.91,4380615
2017-02-23,54.35,55.23,51.28,52.98,11695938
2017-02-24,52.62,54.23,52.51,53.41,5686300
2017-02-27,53.42,53.58,52.51,52.93,5041261
2017-02-28,52.78,52.88,52.09,52.59,3662808
2017-03-01,53.04,53.45,52.73,52.95,4470492
2017-03-02,51.96,52.25,51.42,51.92,4266577
2017-03-03,52.02,52.27,51.81,52.09,2864719
2017-03-06,52.07,52.49,51.88,52.19,2125378
2017-03-07,52.37,52.46,51.2,51.28,3375332
2017-03-08,51.05,51.35,49.28,49.41,5307203
2017-03-09,49.25,50.74,49.05,50.63,7189588
2017-03-10,50.91,50.99,49.79,50.23,6192508
2017-03-13,50.22,50.78,50.0,50.16,4053645
2017-03-14,49.63,50.54,49.28,50.33,4172419
2017-03-15,50.75,51.28,50.15,51.07,3262577
2017-03-16,51.13,51.64,50.54,51.08,3603236
2017-03-17,51.23,52.16,51.18,51.22,5229431
2017-03-20,50.9,51.07,50.24,50.93,2666788
2017-03-21,51.2,51.39,50.21,50.3,2830226
2017-03-22,49.99,50.83,49.99,50.54,2958388
2017-03-23,50.25,50.49,50.06,50.09,3489006
2017-03-24,50.29,50.6,49.91,50.24,2650633
2017-03-27,49.62,50.1,49.27,49.72,2901886
2017-03-28,49.88,51.33,49.78,51.22,3061402
2017-03-29,51.15,53.43,51.05,53.18,4572290
2017-03-30,53.98,54.06,52.07,52.09,4638129
2017-03-31,52.08,52.24,50.6,51.39,5740157
2017-04-03,51.42,51.78,50.66,51.04,2879244
2017-04-04,51.16,51.93,50.75,51.89,2330520
2017-04-05,52.38,52.86,51.56,51.7,3856720
2017-04-06,52.0,53.28,51.83,52.96,3153120
2017-04-07,52.53,53.11,52.2,52.64,4992027
2017-04-10,53.03,54.33,52.82,53.99,3536582
2017-04-11,53.89,53.97,52.72,53.87,2880176
2017-04-12,53.84,54.64,53.51,53.81,4391082
2017-04-13,53.62,54.29,52.21,52.37,4445383
2017-04-17,52.35,52.97,52.08,52.5,3099473
2017-04-18,51.99,52.57,50.4,50.45,4847439
2017-04-19,50.33,50.64,49.01,49.19,4945776
2017-04-20,49.39,49.83,49.01,49.02,3381331
2017-04-21,49.0,49.58,48.79,49.02,3030214
2017-04-24,49.42,49.5,48.36,48.74,3850633
2017-04-25,48.73,50.3,48.38,50.25,3137352
2017-04-26,49.87,51.0,49.67,50.01,2794199
2017-04-27,49.47,49.54,48.24,48.32,5218783
2017-04-28,48.74,48.89,48.28,48.64,2980421
2017-05-01,48.56,49.13,48.36,48.79,2915999
2017-05-02,48.92,49.22,48.1,48.47,3304005
2017-05-03,48.31,49.31,48.25,48.8,4593624
2017-05-04,48.65,48.98,46.09,47.9,7881172
2017-05-05,48.0,49.45,47.94,49.29,4237629
2017-05-08,49.16,50.4,49.01,50.25,3309055
2017-05-09,50.21,50.59,49.61,50.45,3467933
2017-05-10,50.75,52.21,50.75,51.21,3560658
2017-05-11,51.36,51.78,50.91,51.07,1851203
2017-05-12,51.12,51.58,50.75,51.45,2650423
2017-05-15,52.48,52.67,50.58,50.97,2922995
2017-05-16,51.27,51.48,50.32,50.97,3403403
2017-05-17,50.72,51.28,50.1,50.19,2711757
2017-05-18,50.0,50.61,49.34,49.92,3573145
2017-05-19,50.25,51.19,50.03,51.16,2898694
2017-05-22,51.41,51.45,50.0,50.02,3519542
2017-05-23,50.04,50.24,49.53,50.0,3001600
2017-05-24,49.77,50.55,49.61,49.87,2908129
2017-05-25,49.78,50.56,47.66,47.71,3645474
2017-05-26,47.88,48.26,47.33,48.19,2896422
