Date,Open,High,Low,Close,Volume
2016-10-04,762.57,762.57,754.47,758.54,251759
2016-10-05,763.28,764.99,758.14,759.44,278318
2016-10-06,758.17,764.75,755.17,761.93,259179
2016-10-07,766.28,766.28,759.03,760.34,268695
2016-10-10,765.0,768.6,762.5,764.44,205278
2016-10-11,764.97,765.58,759.43,760.61,331450
2016-10-12,759.34,766.09,759.1,762.22,328048
2016-10-13,758.72,768.37,756.45,767.86,193900
2016-10-14,770.07,775.36,762.82,763.51,243329
2016-10-17,760.71,762.0,754.16,754.95,465390
2016-10-18,759.0,759.0,753.32,753.8,242648
2016-10-19,749.0,752.91,734.32,750.44,389818
2016-10-20,752.65,752.65,744.17,746.27,243314
2016-10-21,744.73,750.35,742.0,746.98,415267
2016-10-24,747.84,753.81,747.84,752.94,179467
2016-10-25,749.26,751.97,745.94,750.39,250222
2016-10-26,750.25,753.22,747.22,751.56,184383
2016-10-27,752.2,752.84,725.5,726.37,401669
2016-10-28,727.26,737.74,725.0,735.37,381219
2016-10-31,736.86,742.51,732.28,742.16,286058
2016-11-01,742.61,743.56,731.6,734.45,196816
2016-11-02,730.43,742.75,730.1,738.03,160321
2016-11-03,740.62,745.01,737.59,738.87,241467
2016-11-04,742.3,744.09,729.0,731.65,349752
2016-11-07,735.81,739.55,730.77,732.87,360138
2016-11-08,733.15,736.94,729.06,731.88,289710
2016-11-09,721.41,742.99,720.45,740.85,288177
2016-11-10,743.0,753.66,740.85,746.28,361246
2016-11-11,744.49,752.0,742.16,750.35,196394
2016-11-14,751.0,752.99,727.37,729.36,513945
2016-11-15,743.0,758.89,739.57,744.8,483499
2016-11-16,745.81,754.25,741.5,751.95,310606
2016-11-17,750.11,775.34,750.11,773.12,326342
2016-11-18,772.19,773.25,752.82,755.24,271150
2016-11-21,753.84,779.53,752.85,777.9,319020
2016-11-22,780.03,795.49,777.93,793.79,423957
2016-11-23,793.92,806.51,792.92,798.05,479134
2016-11-25,796.15,809.78,795.01,797.96,128614
2016-11-28,795.0,801.77,790.83,793.9,276359
2016-11-29,793.9,798.84,789.13,790.24,256535
2016-11-30,790.66,791.51,779.89,783.18,340537
2016-12-01,780.61,789.04,778.13,780.76,299155
