Date,Open,High,Low,Close,Volume
2016-10-04,35.44,35.59,34.88,35.05,2239867
2016-10-05,35.22,36.53,35.2,36.3,2748983
2016-10-06,35.23,35.71,34.74,35.51,3535388
2016-10-07,35.38,35.76,35.0,35.69,3706349
2016-10-10,35.93,36.32,35.86,36.1,2816722
2016-10-11,35.97,36.11,35.38,35.56,2653638
2016-10-12,35.55,35.65,35.33,35.6,2640123
2016-10-13,35.12,35.19,34.46,34.54,3086910
2016-10-14,34.91,35.22,34.54,34.67,1814229
2016-10-17,34.62,35.06,34.15,34.16,2223483
2016-10-18,34.54,34.54,33.09,33.64,3363001
2016-10-19,33.77,34.91,33.58,34.88,2422587
2016-10-20,34.83,35.02,34.64,34.96,1897136
2016-10-21,34.57,34.92,34.12,34.79,2139826
2016-10-24,35.12,35.52,35.01,35.47,1717450
2016-10-25,35.3,35.65,34.48,34.95,3236368
2016-10-26,34.84,36.0,34.8,35.39,5335829
2016-10-27,34.5,35.67,34.11,35.44,4406167
2016-10-28,35.42,36.11,35.23,35.63,2524627
2016-10-31,35.71,36.14,35.49,35.84,2210792
2016-11-01,36.03,36.16,34.91,35.27,1954161
2016-11-02,35.12,35.56,34.74,34.76,2271722
2016-11-03,34.95,35.21,34.14,34.23,2178151
2016-11-04,34.21,34.6,34.0,34.09,1914632
2016-11-07,34.94,35.25,34.69,35.22,1863002
2016-11-08,35.1,35.51,34.72,35.37,1904801
2016-11-09,33.7,34.5,33.09,34.03,4810881
2016-11-10,34.11,35.46,34.0,35.2,3920406
2016-11-11,35.13,35.69,34.1,34.38,4943337
2016-11-14,34.58,35.11,33.81,34.22,3785240
2016-11-15,34.22,34.56,33.82,34.46,2804363
2016-11-16,34.22,34.58,34.11,34.49,2271265
2016-11-17,34.5,35.39,34.42,35.38,2355312
2016-11-18,35.41,35.96,35.22,35.68,2455343
2016-11-21,35.93,36.37,35.63,36.16,1953164
2016-11-22,35.89,36.03,35.3,35.81,2432871
2016-11-23,35.65,35.79,35.31,35.39,2331213
2016-11-25,35.5,35.98,35.4,35.68,1191729
2016-11-28,35.66,35.95,35.29,35.39,1622273
2016-11-29,35.0,35.04,34.44,34.46,1603737
2016-11-30,34.91,36.04,34.74,35.6,3188229
2016-12-01,35.98,37.33,35.94,36.83,4499275
2016-12-02,36.75,36.95,35.74,36.07,3450371
2016-12-05,36.49,37.8,36.43,37.49,3897101
2016-12-06,37.39,39.5,37.3,39.16,6046081
2016-12-07,39.45,41.98,39.41,41.6,5987086
2016-12-08,41.73,41.92,41.28,41.63,3168184
2016-12-09,41.6,41.88,41.23,41.86,2268987
2016-12-12,41.74,41.76,40.98,41.1,2512595
2016-12-13,40.78,41.02,40.34,40.77,2320885
2016-12-14,40.23,40.44,39.26,39.31,2462996
2016-12-15,39.29,39.95,39.17,39.46,2436858
2016-12-16,39.72,39.98,39.33,39.74,4920859
2016-12-19,38.91,39.85,38.9,39.85,2477295
2016-12-20,40.21,40.93,39.91,40.38,2246414
2016-12-21,40.51,40.84,40.33,40.57,1668514
2016-12-22,40.39,40.43,39.42,39.63,1730063
2016-12-23,39.7,39.93,39.53,39.73,865843
2016-12-27,39.8,40.41,39.76,40.1,788867
2016-12-28,40.27,40.48,39.22,39.33,1078041
2016-12-29,39.48,39.67,39.3,39.49,1004338
2016-12-30,39.72,39.76,39.08,39.44,1326252
2017-01-03,39.9,40.25,39.38,40.07,1485686
2017-01-04,39.99,40.9,39.17,40.82,1600941
2017-01-05,40.74,41.12,40.19,40.77,1775443
2017-01-06,40.98,41.37,40.52,41.1,1789267
2017-01-09,40.99,41.32,40.52,40.82,1550901
2017-01-10,40.97,41.41,40.56,40.77,2787311
2017-01-11,40.62,40.69,39.43,40.12,4441048
2017-01-12,40.14,40.38,39.32,39.99,2436592
2017-01-13,40.08,40.49,40.05,40.3,1298835
2017-01-17,40.12,40.28,39.65,39.79,1601074
2017-01-18,39.98,39.98,39.61,39.78,2023999
2017-01-19,39.92,39.98,39.62,39.82,1787913
2017-01-20,39.91,40.03,39.51,39.86,1804436
2017-01-23,39.87,40.12,39.3,39.5,1601964
2017-01-24,39.79,40.53,39.77,40.43,2147236
2017-01-25,40.75,41.31,40.75,41.3,911703
2017-01-26,41.12,41.43,40.7,40.78,1238316
2017-01-27,40.79,40.93,40.2,40.4,967054
2017-01-30,40.52,40.64,39.88,40.56,1702136
2017-01-31,40.42,40.86,40.07,40.83,1808998
2017-02-01,41.15,41.5,40.68,41.03,1224583
2017-02-02,41.01,41.27,40.27,40.47,1838113
2017-02-03,40.7,40.88,40.46,40.6,1024094
2017-02-06,40.26,40.59,40.2,40.57,863938
2017-02-07,40.49,40.49,39.7,40.1,1678414
2017-02-08,40.14,40.6,39.85,40.46,1994265
2017-02-09,40.0,41.31,40.0,40.65,2560169
2017-02-10,40.89,41.65,40.8,41.63,2099896
2017-02-13,41.67,42.18,41.39,41.67,2285993
2017-02-14,41.74,41.91,41.12,41.5,1693500
2017-02-15,41.5,42.05,41.11,41.91,1532333
2017-02-16,41.93,42.25,41.18,41.38,1359428
2017-02-17,40.97,42.38,40.66,42.38,2272122
2017-02-21,42.62,43.32,42.22,42.63,2429449
2017-02-22,42.59,42.86,42.4,42.77,1382761
2017-02-23,42.89,43.08,42.34,42.47,1472972
2017-02-24,42.0,42.05,41.23,41.53,2535691
2017-02-27,41.47,42.46,41.35,42.45,1860897
2017-02-28,42.19,42.56,42.06,42.19,1762623
2017-03-01,42.89,43.43,42.74,42.99,2101957
2017-03-02,43.01,43.39,42.93,43.14,2023502
2017-03-03,43.13,43.21,42.7,42.96,2013055
2017-03-06,42.41,42.5,41.8,41.9,1722209
2017-03-07,41.82,41.99,41.4,41.69,1983261
2017-03-08,41.73,42.08,41.58,41.94,1505147
2017-03-09,41.99,41.99,41.38,41.56,1567024
2017-03-10,41.93,42.16,41.54,41.79,1677807
2017-03-13,42.0,42.67,41.89,42.61,1714498
2017-03-14,42.3,43.12,42.23,43.02,1675137
2017-03-15,43.22,44.23,43.07,43.95,1823622
2017-03-16,44.06,44.24,43.58,43.65,1361412
2017-03-17,43.56,43.56,42.5,42.76,2131217
2017-03-20,42.79,42.92,42.4,42.57,1190544
2017-03-21,42.77,42.77,40.79,40.84,1855441
2017-03-22,40.94,41.74,40.41,41.48,2907003
2017-03-23,41.32,41.38,40.85,41.21,1908838
2017-03-24,41.34,41.51,41.0,41.28,1508411
2017-03-27,40.63,41.24,40.4,41.2,1540023
2017-03-28,41.22,41.94,41.07,41.75,2620539
2017-03-29,41.77,42.29,41.7,41.93,1049838
2017-03-30,41.89,42.04,41.65,41.96,754255
2017-03-31,41.86,42.11,41.72,41.79,1641954
2017-04-03,41.95,41.95,39.42,40.34,3897002
2017-04-04,40.1,40.19,38.54,38.69,4108245
2017-04-05,39.01,39.1,38.14,38.18,3229618
2017-04-06,38.15,38.35,37.66,37.99,3004755
2017-04-07,37.8,38.22,37.54,38.03,1891343
2017-04-10,38.02,38.24,37.7,38.0,1779743
2017-04-11,37.96,38.28,37.64,38.25,2691802
2017-04-12,38.22,38.74,38.08,38.59,2785077
2017-04-13,38.39,38.92,38.01,38.01,1509619
2017-04-17,38.18,38.76,38.04,38.74,1209513
2017-04-18,38.4,39.03,38.4,38.85,1626126
2017-04-19,39.17,40.0,39.13,39.65,2170904
2017-04-20,40.0,40.65,39.98,40.1,2346320
2017-04-21,40.0,40.15,39.37,39.51,1701672
2017-04-24,40.21,40.54,39.98,40.45,1536705
2017-04-25,40.63,41.08,40.42,40.84,1391608
2017-04-26,40.9,41.53,40.72,41.06,1890666
2017-04-27,42.46,42.75,40.41,42.14,2722316
2017-04-28,42.25,42.33,41.85,42.28,2095947
2017-05-01,42.6,43.39,42.4,42.79,2334572
2017-05-02,42.64,42.92,40.71,40.88,3502241
2017-05-03,40.29,41.16,40.16,41.0,2460355
2017-05-04,41.05,41.39,40.74,41.33,1716533
2017-05-05,41.6,41.74,41.2,41.73,1376278
2017-05-08,41.72,42.0,41.4,41.61,2136061
2017-05-09,41.71,42.09,41.67,41.9,1721947
2017-05-10,41.87,42.21,41.74,42.14,1782453
2017-05-11,42.09,42.17,41.46,41.83,1182698
2017-05-12,41.64,41.9,41.52,41.65,1428776
2017-05-15,41.75,42.18,41.73,42.02,1242147
2017-05-16,42.35,42.37,41.75,42.21,1227337
2017-05-17,41.47,41.47,39.88,39.94,2474016
2017-05-18,39.91,40.36,39.8,40.13,1126930
2017-05-19,40.3,40.85,40.3,40.4,1162224
2017-05-22,40.8,41.44,40.5,41.37,1528322
2017-05-23,41.57,41.58,40.61,40.82,1325467
2017-05-24,40.95,41.13,40.69,41.05,845510
2017-05-25,41.25,41.31,40.02,40.43,1827492
2017-05-26,40.4,41.19,40.4,40.99,977088
2017-05-30,41.2,42.4,40.83,42.19,3181681
2017-05-31,42.39,42.55,41.26,42.51,3022639
2017-06-01,43.19,45.05,42.8,44.36,4323726
2017-06-02,44.25,44.83,43.88,44.27,2222718
2017-06-05,44.27,44.44,44.01,44.31,1031523
2017-06-06,44.03,44.16,43.62,43.92,1241870
2017-06-07,43.97,44.09,43.39,43.72,1711613
2017-06-08,42.86,42.96,42.28,42.43,2472152
2017-06-09,42.36,43.22,41.96,42.96,3003650
2017-06-12,42.97,43.91,42.96,43.66,1703654
2017-06-13,43.85,44.15,43.43,43.93,1154827
2017-06-14,43.92,44.04,43.05,43.24,1560109
2017-06-15,42.76,43.34,42.63,43.32,1185376
2017-06-16,43.22,43.22,40.42,40.99,3979145
2017-06-19,41.11,41.51,41.04,41.33,1854125
2017-06-20,41.09,41.22,40.59,40.73,1522225
2017-06-21,41.07,41.15,40.47,41.03,1441218
2017-06-22,40.75,41.01,40.34,40.86,1007109
2017-06-23,40.83,41.25,40.6,41.2,2708554
2017-06-26,41.24,42.05,41.18,41.88,1874728
2017-06-27,41.36,41.48,40.0,41.07,2059291
2017-06-28,41.45,41.68,41.17,41.17,2411793
2017-06-29,41.4,41.71,40.81,41.24,1751049
2017-06-30,41.67,42.57,41.33,42.36,2625264
2017-07-03,42.8,43.98,42.76,43.18,1325693
2017-07-05,43.1,43.34,42.08,43.18,2274007
2017-07-06,43.12,43.36,42.78,43.0,1867322
2017-07-07,42.85,44.26,42.69,44.09,2935239
2017-07-10,44.22,45.15,44.07,45.08,3684516
2017-07-11,45.1,45.89,44.95,45.53,2178419
2017-07-12,45.8,46.23,45.36,45.61,2316760
2017-07-13,45.57,46.45,45.5,46.2,2162467
2017-07-14,46.26,46.44,45.92,46.26,1418113
2017-07-17,46.55,46.66,46.02,46.22,1468885
2017-07-18,46.19,46.35,45.72,46.19,1247095
2017-07-19,46.43,46.79,46.2,46.76,1231028
2017-07-20,46.98,47.0,46.24,46.29,1949697
2017-07-21,45.8,45.8,44.58,44.92,2795246
2017-07-24,44.89,45.18,44.6,44.72,2208974
2017-07-25,45.25,46.09,44.87,45.84,1899212
2017-07-26,45.79,46.4,45.61,45.86,3611200
2017-07-27,47.65,48.03,46.43,47.02,3918608
2017-07-28,47.0,47.17,46.42,46.91,2561241
2017-07-31,,,,46.74,1255008
2017-08-01,46.73,47.0,44.98,45.83,2905732
2017-08-02,45.38,46.22,45.38,46.15,2053481
2017-08-03,45.99,46.76,45.82,45.88,2074133
2017-08-04,46.21,46.84,45.9,46.68,3179111
2017-08-07,46.7,46.92,46.29,46.5,2177100
2017-08-08,46.51,47.45,46.5,46.97,2162600
2017-08-09,46.62,47.09,46.28,46.53,1511768
2017-08-10,46.33,46.37,44.87,44.9,2026139
2017-08-11,44.83,45.22,44.55,44.66,1404950
2017-08-14,45.12,45.43,44.82,45.17,2086127
2017-08-15,45.31,45.58,45.2,45.25,1435638
2017-08-16,45.55,45.86,45.21,45.36,937129
2017-08-17,45.17,45.34,44.57,44.61,1139464
2017-08-18,44.47,44.74,44.22,44.34,1933913
2017-08-21,44.32,44.69,44.09,44.62,1336899
2017-08-22,44.9,45.17,44.77,44.93,2027535
2017-08-23,44.62,45.1,44.6,44.71,1425091
2017-08-24,44.95,45.06,44.2,44.35,2161366
2017-08-25,44.76,44.77,44.13,44.16,1176850
2017-08-28,44.19,44.36,43.86,44.25,1123329
2017-08-29,43.91,44.54,43.82,44.37,1589595
