Date,Open,High,Low,Close,Volume
2016-10-04,27.99,28.05,27.47,27.62,1951719
2016-10-05,27.8,27.81,27.41,27.56,2293293
2016-10-06,27.66,27.92,27.28,27.83,2043543
2016-10-07,27.87,28.17,27.18,27.27,2612381
2016-10-10,27.45,27.68,27.36,27.47,1141574
2016-10-11,27.38,27.61,26.94,27.02,1971998
2016-10-12,27.02,27.09,26.77,27.03,1635130
2016-10-13,26.69,26.96,26.48,26.6,2300043
2016-10-14,26.8,26.82,26.32,26.52,2225981
2016-10-17,26.61,26.7,26.38,26.4,1534730
2016-10-18,26.96,27.01,26.63,26.65,1656526
2016-10-19,26.8,27.73,26.8,27.7,2722757
2016-10-20,27.63,27.79,27.21,27.58,2854543
2016-10-21,27.22,27.91,27.21,27.83,1798128
2016-10-24,28.15,28.55,28.0,28.3,2488193
2016-10-25,28.24,28.26,27.61,27.91,1794596
2016-10-26,27.66,27.98,27.54,27.81,1845812
2016-10-27,26.87,27.84,26.17,26.59,7887369
2016-10-28,26.51,26.79,25.92,25.96,6683683
2016-10-31,26.14,26.14,25.56,25.76,4017579
2016-11-01,25.84,26.07,25.57,25.87,4754676
2016-11-02,25.95,26.06,25.4,25.67,9218227
2016-11-03,25.75,26.37,25.75,26.06,3467176
2016-11-04,26.06,26.65,25.97,26.42,2604971
2016-11-07,27.22,27.35,26.98,27.18,2490227
2016-11-08,27.08,27.21,26.57,27.03,3426433
2016-11-09,26.49,27.43,26.09,27.26,3085400
2016-11-10,27.59,28.12,27.46,27.69,3760286
2016-11-11,27.59,27.88,27.35,27.64,1396456
2016-11-14,27.79,28.55,27.72,28.53,2717204
2016-11-15,28.4,28.65,28.14,28.63,2002389
2016-11-16,28.4,28.56,27.78,27.81,2482697
2016-11-17,27.82,28.39,27.68,28.33,2334306
2016-11-18,28.32,28.79,28.21,28.69,1823148
2016-11-21,28.82,29.0,28.61,28.63,1675625
2016-11-22,28.79,29.79,28.74,29.7,2603800
2016-11-23,29.56,29.73,29.28,29.57,1862241
2016-11-25,29.56,29.64,29.34,29.41,533986
2016-11-28,29.5,29.6,29.0,29.03,2696621
2016-11-29,28.99,29.41,28.99,29.16,1749091
2016-11-30,29.29,29.32,29.0,29.04,2201571
2016-12-01,29.12,29.47,28.91,29.44,2390407
2016-12-02,29.48,30.17,29.45,30.12,4211452
2016-12-05,30.41,30.68,30.21,30.61,4560535
2016-12-06,30.72,31.76,30.55,31.75,3528803
2016-12-07,31.75,32.52,31.71,32.49,2755508
2016-12-08,32.54,33.21,32.48,32.94,2466124
2016-12-09,32.94,33.15,32.68,32.79,2904994
2016-12-12,32.66,33.13,31.97,32.35,3453327
2016-12-13,32.48,32.71,32.0,32.38,2498081
2016-12-14,32.2,32.43,31.73,31.82,3367812
2016-12-15,31.9,32.34,31.7,31.76,1631022
2016-12-16,31.76,31.98,31.69,31.76,5254431
2016-12-19,31.84,32.22,31.64,31.8,1583432
2016-12-20,31.9,32.25,31.79,32.07,1570048
2016-12-21,32.13,32.22,31.88,31.96,1571398
2016-12-22,31.94,31.95,31.4,31.74,1346568
2016-12-23,31.85,31.86,31.38,31.61,878091
2016-12-27,31.62,31.92,31.53,31.76,735958
2016-12-28,31.87,31.93,31.2,31.22,922668
2016-12-29,31.31,31.49,31.07,31.15,1200350
2016-12-30,31.14,31.51,31.04,31.49,1312605
2017-01-03,32.0,32.18,31.43,31.57,2282845
2017-01-04,31.7,32.14,31.55,32.08,2145106
2017-01-05,31.75,31.85,31.37,31.81,1824513
2017-01-06,31.78,31.78,31.15,31.2,2055139
2017-01-09,31.16,31.28,30.8,31.13,2290567
2017-01-10,31.2,31.2,30.81,30.96,1670729
2017-01-11,31.03,31.29,30.85,31.29,1542113
2017-01-12,31.19,31.19,30.48,30.92,2043731
2017-01-13,30.98,31.42,30.98,31.32,1576098
2017-01-17,31.09,31.32,30.4,30.61,1437634
2017-01-18,30.72,30.78,30.5,30.51,1331275
2017-01-19,30.43,30.6,30.16,30.25,1250361
2017-01-20,30.41,30.46,30.21,30.25,2428543
2017-01-23,30.08,30.17,29.69,30.04,1496769
2017-01-24,30.22,30.54,30.1,30.34,1733375
2017-01-25,30.48,30.9,30.41,30.88,1478728
2017-01-26,30.9,31.16,30.83,31.01,1838354
2017-01-27,31.08,31.08,30.31,30.81,1932629
2017-01-30,30.69,30.74,29.92,30.09,2428525
2017-01-31,30.09,30.39,29.84,30.36,1463108
2017-02-01,30.51,30.8,30.23,30.49,1993982
2017-02-02,30.45,30.78,30.21,30.72,2000063
2017-02-03,31.23,31.51,30.98,31.49,1851427
2017-02-06,31.22,31.35,30.98,31.02,1938614
2017-02-07,31.19,31.46,30.85,30.95,1582281
2017-02-08,30.86,30.86,30.43,30.78,1665749
2017-02-09,30.91,31.61,30.86,31.57,1848979
2017-02-10,32.79,34.94,32.48,34.0,6707968
2017-02-13,34.34,34.8,34.21,34.49,3108330
2017-02-14,34.49,35.22,34.32,35.13,2198992
2017-02-15,35.12,35.65,34.99,35.44,2870437
2017-02-16,35.46,35.63,34.73,35.02,6289992
2017-02-17,34.9,35.78,34.86,35.68,2990647
2017-02-21,35.7,36.09,35.27,35.49,2623428
2017-02-22,35.43,35.66,35.3,35.59,2012239
2017-02-23,35.79,35.87,35.35,35.7,1858201
2017-02-24,35.48,35.69,35.19,35.27,1856085
2017-02-27,35.24,35.89,35.24,35.72,1487755
2017-02-28,35.64,35.79,35.42,35.62,2340974
2017-03-01,36.25,36.42,35.94,36.16,2200812
2017-03-02,36.09,36.59,36.01,36.38,2749684
2017-03-03,36.31,36.55,35.95,36.43,1508283
2017-03-06,36.19,36.22,35.6,35.92,1929965
2017-03-07,35.82,36.22,35.82,36.16,1640358
2017-03-08,36.16,36.56,36.14,36.3,1534630
2017-03-09,36.32,36.74,35.97,36.01,2222373
2017-03-10,36.33,36.45,35.88,36.4,2315559
2017-03-13,36.44,36.61,35.88,35.95,2102760
2017-03-14,35.89,35.92,35.36,35.47,2018016
2017-03-15,35.72,36.19,35.45,35.96,2818422
2017-03-16,36.05,36.28,35.97,36.21,1945890
2017-03-17,36.35,36.59,36.01,36.03,3244628
2017-03-20,35.96,35.98,35.35,35.55,1787187
2017-03-21,35.7,35.84,35.02,35.16,1643213
2017-03-22,35.08,35.11,34.54,34.88,3550725
2017-03-23,34.91,35.3,34.84,34.95,2097757
2017-03-24,35.0,35.08,34.13,34.38,3834912
2017-03-27,33.79,33.94,33.62,33.7,3186534
2017-03-28,33.65,34.25,33.41,33.99,3397654
2017-03-29,34.0,34.42,33.91,34.32,3333071
2017-03-30,34.31,34.75,34.24,34.74,1429318
2017-03-31,34.57,34.82,34.24,34.79,2211455
2017-04-03,34.81,35.04,33.56,33.71,3836534
2017-04-04,33.52,33.52,32.32,32.8,4960470
2017-04-05,33.0,33.24,32.43,32.48,2536792
