Date,Open,High,Low,Close,Volume
2016-10-04,104.38,105.46,104.27,104.67,2681343
2016-10-05,104.82,106.36,104.7,105.29,2600009
2016-10-06,104.84,105.35,103.58,104.03,3189995
2016-10-07,104.46,104.73,103.14,104.07,1871956
2016-10-10,104.43,105.06,104.15,104.27,2074445
2016-10-11,103.6,103.88,101.02,101.64,3428438
2016-10-12,101.78,102.4,99.89,100.1,3215886
2016-10-13,99.55,101.38,99.5,100.63,3779786
2016-10-14,101.25,101.39,98.48,98.5,4317515
2016-10-17,98.99,100.51,97.85,99.64,4505285
2016-10-18,100.35,101.27,100.02,100.06,2878140
2016-10-19,99.86,101.1,99.86,100.02,2934111
2016-10-20,100.13,101.0,99.67,100.02,3628814
2016-10-21,99.53,99.75,98.12,98.91,4660808
2016-10-24,99.65,99.69,97.97,98.07,4154623
2016-10-25,98.1,98.43,96.93,97.63,4768930
2016-10-26,97.77,99.22,97.33,98.41,5016849
2016-10-27,101.81,106.13,101.67,104.72,11213821
2016-10-28,104.02,105.19,102.61,103.9,6962527
2016-10-31,103.96,104.56,102.08,102.18,4787494
2016-11-01,102.0,104.11,101.3,104.09,4473848
2016-11-02,103.9,104.89,102.8,102.85,3428042
2016-11-03,102.61,103.53,102.15,102.35,4476487
2016-11-04,100.97,104.29,100.92,103.44,3733229
2016-11-07,104.86,108.0,104.72,107.49,6445842
2016-11-08,106.58,109.3,106.49,108.45,4289002
2016-11-09,115.75,127.0,114.7,120.07,22699805
2016-11-10,119.97,122.34,118.09,121.06,12026664
2016-11-11,119.3,120.6,116.85,119.45,5731512
2016-11-14,119.34,121.65,118.17,120.68,4695178
2016-11-15,120.08,121.19,118.42,120.91,3508337
2016-11-16,120.08,121.22,119.16,119.69,2626848
2016-11-17,119.64,122.34,119.25,122.08,3990315
2016-11-18,121.87,122.5,121.06,121.97,5048365
2016-11-21,122.18,124.84,121.84,124.16,6876528
2016-11-22,124.79,124.79,120.01,120.97,6606086
2016-11-23,118.43,121.02,117.75,120.85,4840886
2016-11-25,121.0,121.32,119.83,121.06,1792549
2016-11-28,120.31,121.22,119.11,120.3,3357961
2016-11-29,120.91,123.2,120.5,122.13,4450672
2016-11-30,122.96,122.96,118.33,118.51,5514032
2016-12-01,119.74,119.94,118.0,118.87,4297427
2016-12-02,118.62,119.39,117.23,117.63,3866633
2016-12-05,118.2,118.3,115.92,116.56,5112500
2016-12-06,117.34,118.53,116.09,117.39,4459478
2016-12-07,114.88,114.91,110.05,112.66,10177928
2016-12-08,112.58,113.31,110.91,113.06,5101587
2016-12-09,113.68,115.14,112.74,113.47,3587123
2016-12-12,112.9,113.6,111.52,113.22,3701876
2016-12-13,113.4,115.87,112.95,115.09,3969328
2016-12-14,115.0,116.51,114.79,115.83,3380960
2016-12-15,116.39,118.47,115.7,117.18,4581284
2016-12-16,117.33,118.75,116.32,116.62,7040540
2016-12-19,116.7,118.44,115.41,115.73,2971241
2016-12-20,117.3,118.6,117.0,118.52,3560644
2016-12-21,118.03,118.42,115.39,115.85,4451826
2016-12-22,116.14,117.95,114.91,117.87,3453548
2016-12-23,117.95,119.35,117.54,118.93,2577735
2016-12-27,119.11,119.95,117.83,117.92,2176239
2016-12-28,117.86,118.47,116.94,117.29,1889158
2016-12-29,117.17,117.66,116.17,116.93,1665253
2016-12-30,117.2,117.55,115.12,115.75,2988222
2017-01-03,116.5,118.76,116.31,118.75,4051809
2017-01-04,119.24,119.28,117.45,118.55,4014479
2017-01-05,118.49,119.07,117.56,118.76,3913088
2017-01-06,119.56,121.0,118.77,119.64,5301916
2017-01-09,120.05,122.39,117.6,120.21,7734824
2017-01-10,120.41,121.59,119.58,119.98,4688116
2017-01-11,120.0,120.81,115.26,117.24,7612374
2017-01-12,117.11,117.65,115.31,117.08,3977966
2017-01-13,117.15,118.7,116.82,117.48,3548478
2017-01-17,116.36,116.42,113.15,114.95,5371436
2017-01-18,115.1,115.26,114.29,115.22,4041063
2017-01-19,115.07,115.29,113.15,113.62,4701297
2017-01-20,114.28,114.75,112.42,112.66,5288587
2017-01-23,112.73,113.36,111.63,112.31,3577137
2017-01-24,112.75,113.0,111.26,112.45,3251341
2017-01-25,113.36,114.27,112.86,113.98,5333010
2017-01-26,114.58,115.0,111.06,111.53,7107318
2017-01-27,112.01,113.84,111.46,113.62,4069884
2017-01-30,113.48,114.0,111.9,113.18,4290322
2017-01-31,112.03,116.32,111.9,116.15,5976809
2017-02-01,116.11,117.68,115.26,117.41,4674361
2017-02-02,116.34,117.0,114.68,115.54,4244553
2017-02-03,116.03,116.32,114.51,115.64,2571146
2017-02-06,115.69,116.53,115.04,116.09,3526910
2017-02-07,116.34,117.36,115.85,116.26,2605288
2017-02-08,115.71,116.19,114.74,115.35,3285859
2017-02-09,116.48,116.92,115.02,116.74,3409345
2017-02-10,116.7,117.0,115.25,115.61,3102837
2017-02-13,116.02,116.85,115.7,116.42,2350847
2017-02-14,116.13,117.21,115.09,117.02,3536621
2017-02-15,117.13,120.63,117.03,120.47,5229593
2017-02-16,120.16,120.77,118.25,118.66,3384330
2017-02-17,119.13,121.19,118.8,121.16,4858957
2017-02-21,121.39,122.22,119.12,119.44,4641754
2017-02-22,119.48,120.5,118.84,119.27,3834874
2017-02-23,119.86,119.95,117.7,119.46,4410062
2017-02-24,118.5,119.31,117.28,118.23,4485995
2017-02-27,118.3,122.0,118.01,121.78,4220447
2017-02-28,121.86,124.56,121.7,123.51,6513617
2017-03-01,124.79,124.79,122.7,123.7,4528950
2017-03-02,123.64,124.2,121.72,122.24,3782542
2017-03-03,122.08,123.89,121.31,123.66,3229181
2017-03-06,123.45,124.02,122.5,123.52,2809430
2017-03-07,122.17,122.72,121.21,122.08,3590991
2017-03-08,122.01,123.3,121.56,123.04,3529555
2017-03-09,123.3,126.16,123.1,125.13,5599524
2017-03-10,126.5,126.5,123.24,124.0,5096906
2017-03-13,124.18,124.57,123.01,124.43,2833523
2017-03-14,124.4,125.33,124.03,124.68,2955071
2017-03-15,124.95,127.44,124.65,126.88,4879019
2017-03-16,127.05,127.25,124.82,126.62,4110071
2017-03-17,126.73,127.64,125.51,125.77,6142409
2017-03-20,125.57,127.15,125.34,126.51,2878400
2017-03-21,126.67,127.04,123.44,123.82,4435918
2017-03-22,124.05,124.6,122.17,123.37,3991773
2017-03-23,123.19,124.13,122.47,123.22,2785755
2017-03-24,123.72,124.13,122.95,123.38,2845493
2017-03-27,122.25,125.99,122.15,124.86,4370158
2017-03-28,124.61,125.45,123.76,124.43,3059647
2017-03-29,124.28,125.06,123.96,124.09,2055284
2017-03-30,123.93,124.49,123.37,124.34,1908686
2017-03-31,124.03,124.85,123.63,124.43,2866309
2017-04-03,124.92,125.69,123.7,124.05,3728614
2017-04-04,123.64,124.85,123.54,124.77,2293700
2017-04-05,125.28,126.66,123.91,124.18,3406185
2017-04-06,124.1,124.74,123.65,124.3,2883292
2017-04-07,124.46,126.32,124.0,125.58,2675200
2017-04-10,125.81,126.4,125.07,125.92,3279121
2017-04-11,125.69,126.45,124.11,125.06,3095371
2017-04-12,125.18,125.54,124.48,125.15,3249154
2017-04-13,125.25,125.82,124.42,124.45,2623661
2017-04-17,124.5,125.16,124.19,125.07,1883724
2017-04-18,124.48,125.0,122.25,123.01,3064526
2017-04-19,123.53,123.7,122.76,122.92,3265194
2017-04-20,123.35,123.8,122.33,123.27,2972267
2017-04-21,123.55,123.78,121.71,122.26,2913961
2017-04-24,123.63,123.9,122.98,123.15,3269846
2017-04-25,124.0,126.22,123.74,125.52,3986050
2017-04-26,126.26,126.53,125.06,125.2,3625449
2017-04-27,122.48,124.98,122.12,123.97,4638696
2017-04-28,124.21,124.33,123.2,124.05,3544305
2017-05-01,124.09,124.7,123.78,124.06,3518702
2017-05-02,123.96,124.37,123.09,123.82,3282926
2017-05-03,123.87,124.13,122.95,123.43,2433478
2017-05-04,123.69,124.73,123.63,124.46,2460075
2017-05-05,123.97,124.15,121.7,122.41,3910441
2017-05-08,122.09,122.52,117.31,118.36,6154257
2017-05-09,118.81,120.21,118.59,120.1,4317810
2017-05-10,120.04,120.47,118.92,119.68,3207906
2017-05-11,119.07,119.58,118.26,119.52,2592064
2017-05-12,119.85,120.2,118.9,119.32,2649654
2017-05-15,119.33,119.54,118.68,119.04,2979980
2017-05-16,119.17,119.84,118.55,119.36,3003719
2017-05-17,118.45,118.8,117.0,117.1,3672459
2017-05-18,117.07,119.09,117.07,117.4,3645022
2017-05-19,117.73,118.42,116.88,116.93,3093067
2017-05-22,116.5,116.69,113.63,115.71,5685232
2017-05-23,115.9,117.95,115.5,117.31,4396879
2017-05-24,117.73,117.93,116.97,117.75,2692435
2017-05-25,117.94,118.08,116.57,116.74,3777102
2017-05-26,116.93,117.18,116.34,116.78,2557459
2017-05-30,116.46,116.81,115.06,115.13,3473293
2017-05-31,115.01,115.1,113.63,114.41,4736322
2017-06-01,114.51,116.78,114.08,116.41,4273328
2017-06-02,116.71,119.05,116.47,118.73,4382276
2017-06-05,119.51,119.59,117.42,118.1,2970832
2017-06-06,117.73,118.08,116.43,116.88,3224614
2017-06-07,116.91,118.23,116.88,117.57,2720844
2017-06-08,117.7,117.95,116.05,117.06,3934092
2017-06-09,117.02,119.94,116.66,118.19,4568597
2017-06-12,117.94,119.93,117.75,119.35,3488340
2017-06-13,119.45,119.98,119.12,119.62,2962667
2017-06-14,119.8,122.38,119.13,121.04,4724452
2017-06-15,120.63,120.91,119.26,120.61,3376183
2017-06-16,120.67,122.72,120.66,122.36,7424941
2017-06-19,122.88,125.76,122.41,125.16,5971963
2017-06-20,124.75,127.36,123.62,126.22,6245139
2017-06-21,126.96,133.71,126.4,132.83,13817243
