Date,Open,High,Low,Close,Volume
2016-10-04,24.28,24.71,24.15,24.4,3865699
2016-10-05,24.57,25.15,24.21,24.86,4704154
2016-10-06,24.77,25.11,24.01,24.66,4226461
2016-10-07,24.67,24.76,23.94,23.95,3901504
2016-10-10,24.16,24.35,23.8,23.86,3346556
2016-10-11,23.75,23.83,23.25,23.46,4050635
2016-10-12,23.48,23.57,22.56,22.92,4706826
2016-10-13,22.61,23.17,22.0,23.04,6075177
2016-10-14,23.25,23.56,22.22,22.28,4740948
2016-10-17,22.27,22.79,22.23,22.6,5070745
2016-10-18,22.86,23.63,22.73,23.46,5603399
2016-10-19,23.37,24.41,23.27,24.15,6426110
2016-10-20,23.8,25.36,23.53,24.98,8322617
2016-10-21,25.03,26.21,24.77,25.92,8578252
2016-10-24,25.92,25.94,25.0,25.35,4582105
2016-10-25,25.39,25.8,25.2,25.54,4860076
2016-10-26,25.45,26.0,25.24,25.55,4571953
2016-10-27,25.87,25.95,24.46,24.53,4568314
2016-10-28,24.62,24.93,24.09,24.52,4721814
2016-10-31,24.46,24.8,23.94,24.01,3501085
2016-11-01,24.15,25.01,23.92,24.89,7449126
2016-11-02,24.79,25.11,24.56,24.7,5569344
2016-11-03,23.57,23.57,22.18,22.6,19321137
2016-11-04,22.65,23.42,22.58,23.11,7892020
2016-11-07,23.51,23.66,23.12,23.29,5833523
2016-11-08,23.2,24.49,23.04,24.34,8295268
2016-11-09,24.05,26.72,23.72,26.48,10914592
2016-11-10,26.53,28.23,26.53,27.13,9181498
2016-11-11,27.1,28.0,26.91,27.78,7297405
2016-11-14,27.83,28.3,27.42,28.2,5719771
2016-11-15,28.04,28.25,27.41,27.8,5606987
2016-11-16,27.7,27.85,27.44,27.44,3502452
2016-11-17,27.62,27.78,26.94,27.09,5538627
2016-11-18,26.97,29.03,26.97,28.96,7934258
2016-11-21,29.58,30.24,29.38,29.87,7051056
2016-11-22,29.76,29.76,27.92,28.39,9453158
2016-11-23,28.31,28.47,27.77,28.38,6710910
2016-11-25,28.48,28.93,28.17,28.55,1755698
2016-11-28,28.46,28.79,27.91,28.19,3159797
2016-11-29,27.9,28.13,27.34,27.43,3933559
2016-11-30,27.98,29.31,27.82,28.94,6436738
2016-12-01,29.09,29.95,28.56,28.72,5958866
2016-12-02,28.79,29.61,28.06,28.38,5097318
2016-12-05,28.79,29.29,28.3,28.58,7761842
2016-12-06,28.29,28.78,27.82,28.57,6881661
2016-12-07,28.56,30.11,28.5,29.72,6748365
2016-12-08,29.92,30.75,29.72,30.37,4430724
2016-12-09,30.43,30.95,30.04,30.95,4674539
2016-12-12,30.82,30.87,28.67,29.0,6049627
2016-12-13,29.07,29.3,28.05,28.41,6542450
