Date,Open,High,Low,Close,Volume
2016-10-04,72.46,73.23,72.26,72.76,4098415
2016-10-05,73.01,74.07,73.01,73.7,3126155
2016-10-06,73.63,73.75,72.39,73.04,3262416
2016-10-07,73.14,73.71,72.69,73.05,2695101
2016-10-10,73.6,73.89,73.24,73.33,1760149
2016-10-11,73.25,73.44,71.84,72.16,2254743
2016-10-12,71.8,72.43,71.74,72.06,2232007
2016-10-13,71.34,71.69,70.5,71.07,4824391
2016-10-14,71.71,72.2,71.23,71.53,2872566
2016-10-17,71.91,72.36,71.74,71.78,3899908
2016-10-18,72.65,72.77,71.66,71.99,3120972
2016-10-19,72.1,73.74,72.06,73.62,3347575
2016-10-20,73.76,75.24,73.36,74.51,4502801
2016-10-21,73.82,75.1,73.7,74.89,3947431
2016-10-24,75.42,75.73,75.23,75.4,3107585
2016-10-25,75.29,75.78,75.01,75.39,4391838
2016-10-26,73.48,76.16,72.95,75.43,4732282
2016-10-27,75.7,75.86,74.3,74.8,2693312
2016-10-28,74.86,75.09,73.95,74.63,3780450
2016-10-31,75.13,75.14,73.84,74.04,3469463
2016-11-01,74.43,74.51,72.42,73.23,3967333
2016-11-02,73.08,73.34,72.2,72.61,4032226
2016-11-03,72.8,73.26,72.14,72.32,5653278
2016-11-04,72.4,73.69,71.91,73.1,3646691
2016-11-07,74.28,75.0,74.28,74.84,4126470
2016-11-08,73.89,73.89,72.3,72.84,6617938
2016-11-09,73.65,76.66,73.25,76.3,13256918
2016-11-10,76.67,79.69,76.67,79.23,7306081
2016-11-11,78.75,81.25,78.73,80.99,4614832
2016-11-14,80.98,83.82,80.95,83.76,5506728
2016-11-15,82.28,82.69,79.87,82.15,6241548
2016-11-16,80.37,81.0,79.44,80.22,3710641
2016-11-17,80.25,81.56,79.32,81.56,3073023
2016-11-18,81.39,82.39,81.07,82.01,2306450
2016-11-21,82.73,83.35,82.07,83.21,3128934
2016-11-22,83.4,83.88,82.43,82.59,3812798
2016-11-23,82.87,84.8,82.87,84.62,3420168
2016-11-25,84.26,84.79,83.94,84.57,1582662
2016-11-28,83.91,84.54,83.09,83.24,3390855
2016-11-29,83.42,83.55,82.45,82.6,2242735
2016-11-30,83.8,84.53,83.32,84.04,3800741
2016-12-01,84.45,86.77,84.17,86.61,5276873
2016-12-02,86.47,86.62,85.18,86.0,5086842
2016-12-05,86.48,87.35,86.39,86.71,4257193
2016-12-06,87.0,87.89,85.7,87.84,3407480
2016-12-07,87.6,89.79,87.26,89.58,2912294
