Date,Open,High,Low,Close,Volume
2016-10-04,83.85,84.25,83.46,83.74,552377
2016-10-05,83.72,83.98,83.11,83.64,618085
2016-10-06,83.31,84.28,82.46,84.18,566232
2016-10-07,82.89,82.93,81.07,82.73,1916260
2016-10-10,83.14,84.04,83.14,83.73,982746
2016-10-11,83.38,83.79,82.43,82.69,459488
2016-10-12,82.86,83.6,82.58,83.04,908600
2016-10-13,82.52,83.0,81.87,82.79,493556
2016-10-14,83.3,83.72,83.21,83.47,475121
2016-10-17,83.29,83.69,83.05,83.18,561640
2016-10-18,83.92,84.24,83.46,84.1,491821
2016-10-19,84.06,84.53,83.92,83.96,408457
2016-10-20,83.85,84.09,83.16,83.63,698045
2016-10-21,82.56,84.77,82.56,84.46,590065
2016-10-24,81.94,82.1,78.54,79.21,9645997
2016-10-25,79.34,80.43,79.21,80.0,3571320
2016-10-26,80.13,81.97,80.1,81.4,3097401
2016-10-27,82.06,82.76,81.4,82.15,1667888
2016-10-28,82.22,83.8,82.13,83.45,1857550
2016-10-31,83.46,84.59,82.76,84.32,2069562
2016-11-01,84.62,84.85,82.39,82.49,2305177
2016-11-02,82.6,83.14,81.61,81.65,1065479
2016-11-03,82.1,82.54,81.11,82.08,1989915
2016-11-04,82.24,83.5,81.97,82.16,1335307
2016-11-07,83.41,83.52,82.23,82.75,1356754
2016-11-08,82.75,83.36,82.22,83.05,1175625
2016-11-09,82.06,85.45,82.06,84.41,1516885
2016-11-10,84.91,85.66,83.92,85.43,2001635
2016-11-11,85.23,88.68,85.11,88.54,2205160
2016-11-14,88.8,89.43,88.22,88.71,2407707
2016-11-15,88.51,88.51,87.05,88.33,1568451
2016-11-16,88.2,88.41,87.47,87.54,1200006
2016-11-17,87.55,88.68,87.17,88.43,2016816
2016-11-18,88.21,88.48,87.48,87.79,2152783
2016-11-21,88.05,88.64,87.62,88.24,1324967
2016-11-22,88.62,89.0,88.13,88.86,1548954
2016-11-23,89.01,90.92,88.82,90.9,2578196
2016-11-25,91.0,92.96,90.76,92.96,1047037
2016-11-28,92.53,92.9,91.64,92.62,2350643
2016-11-29,92.47,93.0,92.15,92.34,1031357
2016-11-30,92.39,93.18,92.29,92.72,1335736
2016-12-01,95.05,96.55,94.7,96.07,4211023
2016-12-02,95.83,96.27,94.74,95.17,1895517
2016-12-05,95.4,95.6,94.28,94.65,1295032
2016-12-06,94.44,94.56,94.07,94.48,999018
2016-12-07,94.49,95.31,94.24,95.23,822095
2016-12-08,95.4,95.64,94.43,94.68,843227
2016-12-09,94.57,94.64,94.21,94.37,877532
2016-12-12,93.89,94.52,93.06,94.15,1343159
2016-12-13,94.63,95.08,93.85,94.43,1078485
2016-12-14,94.41,94.71,92.95,93.1,1099789
2016-12-15,93.31,94.03,92.72,93.36,1053683
2016-12-16,93.77,94.49,93.13,93.21,1334457
2016-12-19,93.25,94.15,93.25,93.99,791589
2016-12-20,93.97,94.7,93.61,94.69,870424
2016-12-21,94.42,94.7,93.8,93.93,807227
2016-12-22,93.79,94.08,93.53,93.95,584717
2016-12-23,93.84,94.19,93.64,93.97,287254
2016-12-27,94.4,94.68,93.89,94.44,402798
2016-12-28,94.48,94.48,93.38,93.49,820792
2016-12-29,93.5,94.06,93.29,93.45,571822
2016-12-30,93.74,93.74,92.26,92.76,845376
2017-01-03,93.57,94.0,92.7,93.09,857129
2017-01-04,93.35,93.73,92.85,93.3,1221330
2017-01-05,91.9,93.8,91.9,92.72,1012049
2017-01-06,92.91,93.07,92.64,93.03,713519
2017-01-09,92.44,93.02,91.51,91.78,935966
2017-01-10,92.0,92.31,90.99,91.0,1147386
2017-01-11,91.17,91.34,90.39,90.54,1513584
2017-01-12,90.45,90.7,89.51,90.4,1584753
2017-01-13,90.56,90.98,89.85,89.93,1720097
2017-01-17,89.69,89.85,88.84,89.71,1335632
2017-01-18,89.72,89.94,89.23,89.6,1503791
2017-01-19,89.73,90.54,88.8,89.21,2670042
2017-01-20,89.44,91.58,89.44,91.4,3515795
2017-01-23,91.63,91.7,90.32,90.71,1433013
2017-01-24,90.72,91.13,90.51,90.87,1253068
2017-01-25,91.04,91.26,90.38,90.81,1379559
2017-01-26,90.69,91.28,90.54,91.26,1022267
2017-01-27,91.32,91.63,90.63,90.91,995555
2017-01-30,91.01,91.01,89.81,90.85,860787
2017-01-31,90.68,90.78,89.9,90.76,877582
2017-02-01,90.98,91.25,89.89,90.2,621839
2017-02-02,89.87,90.73,89.85,90.52,620555
2017-02-03,90.66,91.29,90.54,91.02,1112450
2017-02-06,91.0,91.24,90.31,90.47,746267
2017-02-07,90.69,90.77,89.83,90.74,1206869
2017-02-08,90.69,91.69,90.4,90.51,835292
2017-02-09,90.4,90.96,89.9,90.52,767318
