Date,Open,High,Low,Close,Volume
2016-10-04,112.44,112.75,110.43,111.48,839297
2016-10-05,111.35,111.91,110.61,110.92,771531
2016-10-06,110.4,112.0,110.31,111.76,507016
2016-10-07,112.03,112.03,110.34,110.46,611518
2016-10-10,110.84,111.36,110.5,110.78,467967
2016-10-11,110.31,110.9,108.98,109.32,513928
2016-10-12,109.58,110.11,109.24,109.75,388381
2016-10-13,109.36,109.77,108.39,109.33,415099
2016-10-14,109.46,110.15,109.23,109.25,324564
2016-10-17,109.02,109.55,108.16,108.25,455659
2016-10-18,109.28,111.03,108.3,108.4,551078
2016-10-19,108.18,108.78,107.79,108.08,549106
2016-10-20,107.9,107.98,106.16,106.57,964197
2016-10-21,106.13,106.76,105.86,106.45,666385
2016-10-24,107.07,107.6,106.54,106.97,380020
2016-10-25,106.64,106.92,106.07,106.73,598167
2016-10-26,106.32,106.83,105.76,106.61,463439
2016-10-27,106.83,107.0,105.42,105.67,413413
2016-10-28,105.53,106.73,105.29,105.93,471235
2016-10-31,106.45,107.13,105.76,106.67,726865
2016-11-01,106.45,106.54,103.96,104.36,843046
2016-11-02,102.9,103.46,102.49,102.57,733326
2016-11-03,102.7,103.13,102.07,102.99,582073
2016-11-04,103.23,103.84,102.87,103.06,493871
2016-11-07,104.14,104.86,103.77,104.81,438059
2016-11-08,104.79,105.96,104.34,105.63,412446
2016-11-09,103.53,107.85,102.84,107.49,816213
2016-11-10,107.7,108.39,107.36,107.98,805404
2016-11-11,107.29,108.84,106.99,108.72,649634
2016-11-14,109.15,109.97,108.21,109.04,709768
2016-11-15,109.36,109.56,108.36,109.14,629891
2016-11-16,108.74,109.07,107.97,108.99,573749
2016-11-17,109.01,110.7,108.98,110.4,581092
2016-11-18,110.37,111.77,109.74,111.71,1522885
2016-11-21,111.98,112.81,110.98,112.79,592965
2016-11-22,112.81,115.02,112.81,114.84,723083
2016-11-23,115.07,115.72,114.58,115.32,583353
2016-11-25,115.77,116.5,115.07,116.49,285905
2016-11-28,116.17,116.59,115.8,116.13,672056
2016-11-29,116.18,116.27,115.52,115.58,542005
2016-11-30,115.61,115.75,114.38,114.6,717548
2016-12-01,114.61,116.01,114.21,115.89,631271
2016-12-02,115.73,116.81,115.36,116.65,553307
2016-12-05,117.0,118.18,116.7,118.05,682194
2016-12-06,117.89,118.53,117.65,118.4,538449
2016-12-07,118.64,120.5,118.44,120.37,531780
2016-12-08,120.07,120.9,119.35,120.55,479785
2016-12-09,120.37,120.96,120.04,120.71,481457
2016-12-12,120.73,121.28,120.05,120.38,707427
2016-12-13,120.59,120.87,119.66,120.55,635241
2016-12-14,120.81,121.42,119.43,119.53,659824
2016-12-15,121.0,122.21,119.69,120.01,652659
2016-12-16,120.19,120.59,119.22,119.69,3597817
2016-12-19,120.34,121.14,119.99,120.15,832517
2016-12-20,120.2,120.49,119.44,119.78,475544
2016-12-21,119.97,120.26,119.3,119.51,552868
2016-12-22,120.08,120.22,119.1,120.09,1013802
2016-12-23,117.08,117.39,113.0,116.36,2392966
2016-12-27,116.38,117.0,116.02,116.55,629062
2016-12-28,116.58,116.91,115.47,115.6,467354
2016-12-29,115.52,116.53,115.45,116.32,513372
2016-12-30,116.58,116.9,115.41,115.56,697990
2017-01-03,116.37,117.06,115.91,116.32,859079
2017-01-04,116.24,117.71,116.09,117.31,623437
2017-01-05,116.89,117.71,116.03,116.28,598668
2017-01-06,116.51,116.96,115.78,116.7,429729
2017-01-09,116.47,116.47,115.04,115.48,524713
2017-01-10,115.22,115.42,114.74,114.78,894918
2017-01-11,114.8,115.56,114.65,115.32,466048
2017-01-12,115.09,115.24,113.21,114.4,586191
2017-01-13,114.28,114.88,113.79,114.56,448983
2017-01-17,113.81,114.27,113.31,113.67,305606
2017-01-18,113.98,114.13,113.23,113.97,424677
2017-01-19,113.96,114.28,113.23,113.74,382433
2017-01-20,114.26,114.38,113.31,113.88,371920
2017-01-23,113.77,114.06,112.96,113.84,267494
2017-01-24,113.75,115.56,113.75,115.51,609270
2017-01-25,115.75,116.99,115.38,116.75,1081475
2017-01-26,116.88,117.95,116.65,117.39,435501
2017-01-27,117.33,117.6,116.74,117.29,478162
2017-01-30,117.12,117.12,115.3,116.2,388371
2017-01-31,116.14,116.53,115.16,116.11,647259
2017-02-01,115.8,117.32,114.53,114.85,774562
2017-02-02,114.49,115.47,114.25,115.22,591012
2017-02-03,115.68,116.68,114.33,116.11,384602
2017-02-06,115.77,115.85,114.71,114.96,490557
2017-02-07,115.32,115.34,114.37,114.79,562828
2017-02-08,114.53,114.94,113.79,114.35,427150
2017-02-09,114.55,115.48,114.4,115.36,474225
2017-02-10,115.49,117.0,115.17,116.72,722930
2017-02-13,117.24,117.65,116.63,116.99,448570
2017-02-14,116.56,117.02,116.1,117.02,362307
2017-02-15,116.74,118.6,116.46,118.41,507677
2017-02-16,118.43,119.51,118.04,119.51,464133
2017-02-17,118.97,119.38,118.09,118.61,1435535
2017-02-21,118.66,119.21,118.03,118.44,451355
2017-02-22,118.12,118.84,117.64,118.8,491566
2017-02-23,119.02,119.02,117.59,118.43,395234
2017-02-24,118.07,119.07,117.26,119.07,394581
2017-02-27,118.89,119.25,118.55,119.11,248953
2017-02-28,118.99,118.99,117.85,118.01,413478
2017-03-01,118.69,119.99,118.52,119.63,585913
2017-03-02,119.3,119.31,118.33,118.54,418173
2017-03-03,118.65,118.84,117.86,118.41,421959
2017-03-06,118.07,118.71,117.45,118.61,287025
2017-03-07,118.21,118.99,117.79,118.27,418007
2017-03-08,118.12,118.76,117.97,118.36,326109
2017-03-09,118.59,118.76,117.21,117.87,332944
2017-03-10,118.64,119.27,118.25,119.03,449896
2017-03-13,118.88,119.38,118.77,119.13,336694
2017-03-14,118.99,119.28,117.85,118.45,323433
2017-03-15,118.85,119.57,118.46,119.46,415405
2017-03-16,119.66,120.0,118.93,119.24,301092
2017-03-17,122.31,125.93,120.83,124.87,2220852
2017-03-20,124.81,125.44,123.7,124.31,1030545
2017-03-21,125.01,125.69,123.62,123.78,998217
2017-03-22,124.09,125.2,123.71,124.37,853498
2017-03-23,124.33,128.85,122.74,125.95,1414359
2017-03-24,126.41,126.42,124.84,125.13,709505
2017-03-27,124.92,125.76,123.45,125.12,612100
2017-03-28,124.93,126.45,124.2,126.2,502427
2017-03-29,125.6,126.57,125.6,126.44,687288
2017-03-30,126.19,127.45,126.18,126.98,451822
2017-03-31,126.88,127.06,126.25,126.54,642811
2017-04-03,126.86,126.97,124.72,124.75,689140
2017-04-04,124.52,125.09,123.92,124.84,439341
2017-04-05,124.96,125.71,123.64,123.77,451396
2017-04-06,123.66,123.83,122.84,123.21,517062
2017-04-07,123.07,123.48,122.4,122.56,706128
2017-04-10,122.37,123.79,121.96,122.66,604159
2017-04-11,122.04,122.96,121.67,122.96,481183
2017-04-12,123.29,123.74,121.72,122.38,314104
2017-04-13,122.52,122.84,121.48,121.68,304014
2017-04-17,122.14,122.99,121.97,122.98,309721
2017-04-18,122.69,123.05,121.7,122.37,345780
2017-04-19,122.37,123.21,122.14,122.65,331896
2017-04-20,123.37,123.56,122.64,123.1,378127
2017-04-21,123.2,123.88,122.94,123.14,617797
2017-04-24,124.21,125.51,124.04,125.45,550689
2017-04-25,125.69,126.27,124.83,125.11,503241
2017-04-26,125.17,125.38,124.22,124.23,525223
2017-04-27,124.16,125.04,123.66,123.94,433937
