Date,Open,High,Low,Close,Volume
2016-10-04,51.1,51.25,49.92,50.09,7811066
2016-10-05,50.36,51.43,50.06,50.9,5255075
2016-10-06,51.08,51.41,50.62,51.21,4083172
2016-10-07,51.28,51.37,50.28,50.35,3834245
2016-10-10,50.77,50.95,50.36,50.45,2792315
2016-10-11,50.37,50.56,49.54,49.89,3735529
2016-10-12,50.94,50.94,49.74,49.98,3760901
2016-10-13,49.79,51.37,49.68,51.25,9048017
2016-10-14,50.7,51.66,50.33,50.34,6275455
2016-10-17,50.49,50.92,50.06,50.1,3351062
2016-10-18,50.27,50.63,49.7,50.22,4249697
2016-10-19,50.43,50.84,50.25,50.39,3236035
2016-10-20,50.7,50.7,49.72,50.08,5684016
2016-10-21,49.93,50.02,49.35,49.71,4665071
2016-10-24,50.2,50.9,50.11,50.45,6622642
2016-10-25,50.39,51.04,50.31,50.64,7715605
2016-10-26,50.55,51.12,50.43,50.87,3386488
2016-10-27,51.04,51.5,50.86,51.3,3780268
2016-10-28,51.52,51.96,51.4,51.57,6042419
2016-10-31,51.9,51.98,51.16,51.35,3866394
2016-11-01,51.99,51.99,51.12,51.5,4121556
2016-11-02,51.49,52.19,51.22,51.41,3494537
2016-11-03,51.52,51.94,51.38,51.65,5407739
2016-11-04,51.53,52.98,51.5,52.08,8291603
2016-11-07,54.0,55.25,53.52,54.75,10761832
2016-11-08,54.75,55.23,54.33,54.89,6802202
2016-11-09,52.51,53.19,51.46,53.01,21742599
2016-11-10,53.46,54.66,52.96,53.81,9834018
2016-11-11,53.8,54.12,52.82,53.95,10084371
2016-11-14,54.07,54.28,53.09,53.95,8622194
2016-11-15,53.94,54.41,53.75,54.17,5899594
2016-11-16,53.79,55.45,53.77,55.33,7337021
2016-11-17,55.25,56.94,55.13,56.38,10510520
2016-11-18,56.5,56.86,55.04,55.57,10857486
2016-11-21,55.53,55.67,54.68,55.1,6516619
2016-11-22,53.11,53.55,52.37,53.18,13416651
2016-11-23,52.6,52.65,51.35,51.86,11782804
2016-11-25,52.04,53.51,52.0,53.25,5414012
2016-11-28,58.02,58.5,56.83,56.95,24846803
2016-11-29,56.8,56.95,55.52,55.63,7217553
2016-11-30,55.75,56.26,54.98,55.08,5043798
2016-12-01,55.24,55.57,53.89,54.08,6484592
2016-12-02,53.86,54.56,53.75,54.02,4625363
2016-12-05,54.04,55.09,53.95,54.76,6418593
2016-12-06,54.86,55.34,54.2,55.3,5425561
2016-12-07,55.35,57.2,55.0,57.1,8329977
2016-12-08,56.99,56.99,55.88,56.17,6757742
2016-12-09,56.38,56.48,55.42,55.84,3590732
2016-12-12,55.69,56.08,55.24,55.89,4128655
2016-12-13,55.9,56.83,55.9,56.69,5531849
2016-12-14,56.9,57.16,56.21,56.34,5817000
2016-12-15,56.3,57.0,56.0,56.8,3865519
2016-12-16,56.67,56.89,55.85,56.26,6721058
2016-12-19,56.19,56.93,56.19,56.69,3975586
2016-12-20,56.72,56.74,56.2,56.42,2809502
2016-12-21,56.04,56.59,55.98,56.28,2750534
2016-12-22,56.44,56.54,55.58,56.45,4317076
2016-12-23,56.39,56.9,56.08,56.49,3366663
2016-12-27,56.5,57.07,56.42,56.62,2211903
2016-12-28,56.82,57.04,56.04,56.15,2164594
2016-12-29,56.06,56.6,56.03,56.18,1679631
2016-12-30,56.23,56.51,55.79,56.03,2921645
2017-01-03,56.65,56.78,56.01,56.52,3149600
2017-01-04,56.48,57.4,56.2,57.32,3572394
2017-01-05,57.35,57.46,56.98,57.09,5166417
2017-01-06,57.14,58.0,56.38,57.87,6091157
2017-01-09,57.6,57.75,56.45,56.58,7006285
2017-01-10,56.43,56.93,55.94,56.66,4710677
2017-01-11,56.46,57.09,56.27,57.01,6377133
2017-01-12,57.17,57.17,56.16,56.99,3599464
2017-01-13,56.84,57.12,56.27,56.52,6223342
2017-01-17,56.5,56.88,56.32,56.58,3470151
2017-01-18,56.63,57.64,56.6,57.36,3970503
2017-01-19,57.25,57.43,56.49,56.65,3147465
2017-01-20,56.87,57.12,56.46,56.85,4485278
