Date,Open,High,Low,Close,Volume
2016-10-04,102.71,102.92,100.76,101.27,6505363
2016-10-05,101.99,102.86,101.75,102.23,5912770
2016-10-06,102.32,102.7,101.34,102.18,4362863
2016-10-07,102.5,103.47,102.19,102.27,5844492
2016-10-10,103.21,104.42,103.21,103.98,5982741
2016-10-11,103.78,104.1,102.68,103.04,5337338
2016-10-12,102.74,102.83,101.6,102.15,4935130
2016-10-13,101.49,101.72,99.61,100.79,7882963
2016-10-14,101.48,101.96,100.61,101.08,5114718
2016-10-17,100.94,101.48,100.62,101.36,4540823
2016-10-18,101.99,102.25,101.12,101.79,4720887
2016-10-19,102.47,103.7,102.24,102.27,5905690
2016-10-20,101.64,102.22,100.69,101.87,4820916
2016-10-21,101.06,101.56,100.63,101.3,5622393
2016-10-24,101.56,101.58,100.06,100.66,6077327
2016-10-25,100.75,101.67,100.52,100.77,4730708
2016-10-26,100.32,101.53,99.87,101.19,6353691
2016-10-27,101.51,101.98,99.92,99.92,9897827
2016-10-28,101.12,105.03,100.95,103.82,17435396
2016-10-31,103.82,105.46,103.78,104.75,12340755
2016-11-01,105.51,106.74,105.45,106.48,12755638
2016-11-02,105.65,106.05,104.25,105.39,8405190
2016-11-03,105.53,106.19,104.95,105.39,5703175
2016-11-04,105.25,105.49,104.38,104.78,7085448
2016-11-07,106.0,106.98,105.78,106.85,7333808
2016-11-08,106.57,108.19,106.42,107.29,8050007
2016-11-09,106.04,108.26,105.69,107.64,9161840
2016-11-10,107.54,108.5,107.24,107.79,8739595
2016-11-11,107.48,107.65,105.94,106.64,7939479
2016-11-14,106.15,106.73,105.59,106.59,7656040
2016-11-15,107.49,109.06,107.4,108.96,12156546
2016-11-16,108.2,109.0,107.74,108.35,7723662
2016-11-17,109.0,110.1,107.59,108.12,6624283
2016-11-18,108.57,109.67,108.15,109.2,6815483
2016-11-21,110.36,111.0,110.07,110.18,8476768
2016-11-22,110.79,111.0,109.31,110.62,6440518
2016-11-23,110.4,111.47,110.04,111.0,4490251
2016-11-25,110.54,111.22,110.12,111.0,3238554
2016-11-28,110.95,111.57,110.38,110.5,6406714
2016-11-29,109.1,109.72,108.4,109.34,7461924
2016-11-30,112.05,112.98,111.3,111.56,17301924
2016-12-01,112.79,114.91,112.53,113.29,11792281
2016-12-02,113.2,113.81,112.28,113.0,6167368
2016-12-05,113.39,114.48,113.03,113.25,6909833
2016-12-06,112.39,113.48,112.21,112.76,6033609
2016-12-07,113.04,114.48,112.82,114.44,6434127
2016-12-08,114.73,115.4,114.2,115.17,5519718
2016-12-09,114.99,115.99,114.97,115.81,5771551
2016-12-12,117.77,118.99,116.57,117.15,10044655
2016-12-13,117.9,118.31,116.03,117.42,8644238
2016-12-14,116.71,117.88,115.76,115.96,7878411
2016-12-15,115.63,117.39,115.36,117.05,7458324
2016-12-16,117.84,118.58,117.42,118.08,13752344
2016-12-19,118.37,118.45,117.42,117.65,5772545
2016-12-20,117.85,118.63,117.67,117.95,4319080
2016-12-21,118.34,119.0,117.86,117.91,5024604
2016-12-22,117.94,118.99,117.77,118.77,4992505
2016-12-23,118.41,118.7,118.05,118.42,2683716
2016-12-27,118.5,118.9,118.11,118.22,2986889
2016-12-28,118.31,118.86,117.75,117.91,4086718
2016-12-29,118.01,118.42,117.48,117.82,3214528
2016-12-30,117.44,118.24,117.31,117.7,5020471
2017-01-03,118.38,119.0,116.59,117.85,7404774
2017-01-04,118.41,118.65,117.6,117.82,6679943
2017-01-05,118.0,118.48,116.72,117.31,5928637
2017-01-06,117.45,117.58,116.38,116.84,4762474
2017-01-09,116.29,116.36,115.11,115.84,6891790
2017-01-10,115.56,116.39,114.89,114.96,6184401
2017-01-11,115.15,116.45,114.86,115.93,6158217
2017-01-12,116.5,116.99,115.41,116.16,4940021
2017-01-13,115.86,116.88,115.61,116.38,4952967
2017-01-17,116.4,116.77,116.11,116.28,4669684
2017-01-18,115.68,116.04,115.4,115.94,4855334
2017-01-19,115.89,115.96,115.29,115.58,3427849
2017-01-20,116.32,116.75,115.34,115.6,6730924
2017-01-23,115.12,115.96,114.99,115.39,5104133
2017-01-24,115.85,117.11,115.61,116.37,5024409
2017-01-25,116.9,117.43,116.34,117.24,5276756
2017-01-26,117.5,117.82,116.5,116.55,6937290
2017-01-27,113.53,114.7,112.85,113.79,11698850
2017-01-30,113.15,113.8,110.72,111.82,8252901
2017-01-31,111.89,112.2,110.76,111.35,7950987
2017-02-01,111.2,111.78,110.84,111.0,5889321
2017-02-02,111.17,112.24,110.71,112.21,6289020
2017-02-03,112.41,114.28,112.14,113.57,6623532
2017-02-06,113.28,113.5,112.45,112.98,5637260
2017-02-07,112.98,113.1,111.11,111.39,6038351
2017-02-08,111.13,111.79,110.32,111.58,5188785
2017-02-09,111.91,112.63,111.69,112.26,4607757
2017-02-10,112.75,113.45,112.37,113.05,6194334
2017-02-13,113.36,113.99,113.05,113.91,4858511
2017-02-14,112.68,113.07,111.78,112.52,5811158
2017-02-15,112.21,113.24,112.21,112.57,7048099
2017-02-16,112.99,112.99,110.43,110.68,9478223
2017-02-17,110.42,110.57,109.27,110.33,8111023
2017-02-21,110.73,112.31,110.6,111.72,6619107
2017-02-22,111.19,111.78,110.31,110.38,5732048
2017-02-23,111.34,111.83,110.75,111.02,8659712
2017-02-24,110.9,111.02,109.47,110.12,6189419
2017-02-27,110.65,112.27,110.37,111.75,7276445
2017-02-28,111.66,112.76,111.49,112.5,7030223
2017-03-01,112.92,114.39,112.88,113.88,7353829
2017-03-02,113.67,114.27,113.31,113.36,5892485
2017-03-03,113.76,113.89,113.21,113.55,4909979
2017-03-06,113.25,113.5,112.67,113.17,4731940
2017-03-07,113.54,113.88,111.69,111.81,6660335
2017-03-08,111.68,111.92,109.4,109.61,9071579
2017-03-09,109.31,110.17,108.51,110.04,7247427
2017-03-10,111.4,111.41,109.44,110.61,6560329
2017-03-13,110.51,110.81,109.31,109.35,6369288
2017-03-14,108.47,108.57,107.12,107.36,9935732
2017-03-15,108.08,108.98,107.54,108.88,9472102
2017-03-16,108.81,108.88,107.44,107.86,8894699
2017-03-17,108.0,108.42,107.68,107.68,14353407
2017-03-20,107.27,107.85,107.02,107.66,5301890
2017-03-21,108.06,108.23,107.4,108.04,7406294
2017-03-22,107.65,108.85,107.52,108.39,8106844
2017-03-23,108.29,108.86,107.75,107.87,5451228
2017-03-24,107.93,108.42,107.7,107.99,6339900
2017-03-27,107.0,107.35,105.82,106.28,6479407
2017-03-28,106.28,107.74,106.12,107.17,6331533
2017-03-29,106.95,108.08,106.88,108.07,4919884
2017-03-30,108.15,108.68,107.2,107.78,6797658
2017-03-31,107.7,108.14,107.05,107.37,6158992
2017-04-03,107.22,107.97,106.38,107.8,5800883
2017-04-04,107.88,108.72,107.01,108.66,4687432
2017-04-05,109.65,110.67,108.56,108.64,6398830
2017-04-06,109.12,109.65,108.75,109.29,3934462
2017-04-07,109.38,109.58,108.66,108.86,4889422
2017-04-10,109.12,110.2,108.97,109.43,4812093
2017-04-11,109.53,109.54,108.06,108.97,3956487
2017-04-12,109.36,109.36,108.45,108.97,5053297
2017-04-13,108.64,108.74,105.93,106.1,6894792
2017-04-17,106.17,106.48,105.65,106.17,5278826
2017-04-18,105.81,106.68,105.32,105.68,4252670
2017-04-19,105.89,106.14,103.83,104.23,6667880
2017-04-20,104.4,105.69,104.36,104.88,4988080
2017-04-21,104.8,105.43,104.29,104.89,5432604
2017-04-24,105.79,106.41,105.37,105.93,4538203
2017-04-25,106.3,106.97,106.18,106.73,4618984
2017-04-26,106.4,107.48,105.97,106.08,6687389
2017-04-27,105.96,105.98,104.67,105.47,5781839
2017-04-28,107.05,107.6,105.99,106.7,6848413
2017-05-01,106.26,106.73,105.76,105.92,4955462
2017-05-02,106.11,106.53,105.09,105.36,5112150
2017-05-03,105.36,107.26,105.13,106.72,5662953
2017-05-04,106.24,106.33,104.14,104.81,8039883
2017-05-05,104.92,105.88,104.7,105.79,5060047
2017-05-08,105.93,106.72,105.82,106.68,5175129
2017-05-09,106.51,106.75,104.82,105.08,5023973
2017-05-10,105.82,106.83,105.54,106.5,5582820
2017-05-11,107.08,107.08,105.63,106.21,4632113
2017-05-12,106.06,106.29,105.48,105.96,4488164
2017-05-15,107.15,107.71,106.68,106.85,6647534
2017-05-16,107.57,107.66,106.94,107.25,5001388
2017-05-17,105.53,106.27,104.62,104.7,6384265
2017-05-18,104.55,105.68,103.84,105.17,5618081
2017-05-19,105.52,106.52,105.17,106.52,8383478
2017-05-22,107.09,107.09,105.75,106.12,4491135
2017-05-23,106.07,106.56,105.98,106.27,3457120
2017-05-24,106.1,106.36,105.72,106.22,3475871
2017-05-25,106.1,106.71,104.72,105.11,5293827
2017-05-26,105.05,105.28,104.6,104.72,3752505
2017-05-30,104.35,104.71,103.75,104.06,4287956
2017-05-31,103.55,103.89,103.07,103.48,8037936
2017-06-01,103.69,104.28,103.43,104.27,4769435
2017-06-02,103.82,103.94,102.77,103.11,5864040
2017-06-05,102.8,103.58,102.63,103.19,4523327
2017-06-06,103.11,104.45,102.76,104.17,4683859
2017-06-07,103.97,104.43,102.55,103.77,7197147
2017-06-08,103.44,104.74,103.44,104.0,6493595
2017-06-09,104.01,106.49,104.01,106.4,6595555
2017-06-12,107.42,108.43,107.28,108.04,8690637
2017-06-13,108.34,108.49,107.16,108.13,6099745
2017-06-14,107.91,107.99,105.74,106.6,6202286
2017-06-15,106.5,106.8,105.87,106.33,5441421
2017-06-16,106.94,108.36,106.21,108.35,11633919
2017-06-19,108.31,108.38,107.14,107.46,4577827
2017-06-20,106.25,106.6,105.38,106.48,5171238
2017-06-21,105.89,106.9,103.92,104.49,6989385
2017-06-22,104.48,105.14,104.04,104.45,4197378
2017-06-23,104.25,105.42,104.24,105.0,5773319
2017-06-26,105.03,105.19,104.03,104.14,3602490
2017-06-27,104.73,104.89,104.03,104.07,4170294
2017-06-28,104.43,104.9,104.04,104.28,4162306
2017-06-29,104.38,105.15,104.05,104.12,4288630
2017-06-30,104.53,104.72,103.89,104.33,5496977
2017-07-03,104.24,106.96,104.24,106.3,4419061
2017-07-05,105.99,106.3,104.27,104.62,4482676
2017-07-06,104.67,105.13,103.71,103.82,5084808
2017-07-07,103.59,103.76,102.81,103.49,6456968
2017-07-10,103.44,103.58,102.6,103.04,4629028
2017-07-11,103.15,103.5,102.55,103.12,4322437
2017-07-12,104.0,104.75,103.47,103.89,3978070
2017-07-13,103.8,104.21,103.46,104.13,4439131
2017-07-14,104.38,104.64,103.73,104.44,3644262
2017-07-17,104.32,104.97,104.08,104.21,5572439
2017-07-18,104.6,104.6,103.51,103.72,4339385
2017-07-19,103.56,104.48,103.51,104.46,4932033
2017-07-20,105.0,105.37,103.82,104.63,5367835
2017-07-21,104.18,104.38,103.15,103.25,5304114
2017-07-24,103.18,103.57,102.92,103.2,4080357
2017-07-25,104.45,105.15,104.32,104.39,7093841
2017-07-26,104.63,106.08,104.2,105.12,5881400
2017-07-27,104.88,106.32,104.61,106.11,5888389
2017-07-28,106.71,109.13,106.36,108.12,7812602
2017-07-31,,110.0,,109.19,7561205
2017-08-01,109.54,110.97,109.42,110.78,8162875
2017-08-02,110.39,111.2,109.85,110.46,6212303
2017-08-03,110.23,110.45,109.05,109.43,5605443
2017-08-04,109.43,110.2,109.43,110.11,4643512
2017-08-07,109.81,110.29,109.58,109.78,4762791
2017-08-08,110.0,110.71,109.77,110.35,4107273
2017-08-09,110.74,111.41,110.26,110.89,3966818
2017-08-10,111.23,111.44,110.03,110.11,4950662
2017-08-11,110.2,110.49,109.13,109.23,3382960
2017-08-14,109.26,109.82,108.32,108.71,4286147
2017-08-15,108.75,108.9,107.52,108.57,5310737
2017-08-16,107.63,107.92,106.69,106.84,4186592
2017-08-17,106.61,106.87,105.91,105.92,5870333
2017-08-18,105.84,107.34,105.5,106.48,5467369
2017-08-21,106.48,106.48,105.3,105.78,3560374
2017-08-22,105.99,106.92,105.81,106.36,5630885
2017-08-23,106.21,107.06,106.11,106.61,4185754
2017-08-24,106.5,107.67,106.33,107.44,5059721
2017-08-25,107.82,108.71,107.52,108.23,4384176
2017-08-28,108.54,108.59,107.27,107.76,3681644
2017-08-29,107.43,108.05,107.04,107.86,3230570
