Date,Open,High,Low,Close,Volume
2016-10-04,73.08,73.1,71.7,72.15,3177488
2016-10-05,72.2,72.64,71.32,71.88,3053060
2016-10-06,71.63,72.28,71.35,71.91,2105852
2016-10-07,72.4,73.1,71.41,71.5,1882762
2016-10-10,71.6,72.31,71.39,72.22,1827580
2016-10-11,72.2,72.28,71.44,71.69,2573310
2016-10-12,71.72,72.34,71.69,72.16,1541202
2016-10-13,72.16,73.88,72.09,73.31,3113715
2016-10-14,73.16,73.47,72.7,72.78,1694062
2016-10-17,73.03,73.3,72.53,72.83,1613690
2016-10-18,73.32,73.72,72.65,73.37,1641800
2016-10-19,73.4,73.51,72.83,73.21,1763275
2016-10-20,73.28,73.47,73.01,73.11,1313779
2016-10-21,72.66,73.06,72.43,72.84,1510791
2016-10-24,73.13,73.35,72.53,73.12,2433042
2016-10-25,73.12,73.46,72.8,73.4,2079497
2016-10-26,73.29,73.93,72.89,73.83,1685624
2016-10-27,73.43,73.8,72.81,73.3,1772485
2016-10-28,73.38,73.78,72.99,73.49,1767661
2016-10-31,73.98,75.91,73.62,75.2,4056570
2016-11-01,75.03,75.14,74.2,74.46,2575994
2016-11-02,74.48,74.53,72.87,74.1,2945188
2016-11-03,73.91,74.56,73.48,74.35,1837924
2016-11-04,74.64,75.16,73.78,73.79,2638075
2016-11-07,74.22,74.74,73.02,74.72,2417584
2016-11-08,74.86,75.81,74.69,75.5,1820797
2016-11-09,74.05,74.25,73.06,73.22,3046702
2016-11-10,72.86,72.88,70.56,71.13,4171762
2016-11-11,71.19,71.75,70.56,70.76,2577751
2016-11-14,70.51,70.64,69.51,69.99,4551717
2016-11-15,70.34,71.44,70.34,71.24,3861390
2016-11-16,71.44,71.68,70.78,71.05,2913975
2016-11-17,70.77,71.53,70.68,71.03,2776874
2016-11-18,71.06,71.43,70.54,71.15,2696455
2016-11-21,71.39,72.25,71.3,72.25,2118482
2016-11-22,72.1,73.34,72.07,73.19,3421407
2016-11-23,72.47,73.29,72.47,72.87,3358893
2016-11-25,73.01,74.39,73.01,73.95,1392659
2016-11-28,74.14,75.33,74.12,75.17,2580249
2016-11-29,74.84,76.3,74.75,76.11,3376858
2016-11-30,74.64,74.76,73.27,73.29,4406989
2016-12-01,72.93,73.06,72.2,72.75,3178074
2016-12-02,73.37,74.03,73.35,73.78,2952469
2016-12-05,73.46,73.56,72.55,73.48,2851263
2016-12-06,73.55,73.57,72.56,72.71,2897868
2016-12-07,73.0,73.58,72.79,73.5,3935360
2016-12-08,73.16,73.6,72.63,73.5,1868998
2016-12-09,73.51,74.61,73.4,74.53,2224948
2016-12-12,74.35,75.84,74.35,75.46,2479634
2016-12-13,75.68,76.07,75.34,75.95,2326585
2016-12-14,76.19,76.56,74.07,74.12,3767002
2016-12-15,74.24,74.93,73.93,74.57,2728974
2016-12-16,74.64,76.19,74.64,75.87,5570654
2016-12-19,76.37,76.65,75.75,76.51,2358977
2016-12-20,76.44,76.65,76.04,76.51,2136436
2016-12-21,76.64,77.16,76.22,76.24,1837291
2016-12-22,76.36,76.7,76.0,76.63,1664824
2016-12-23,76.68,76.76,76.12,76.75,1074153
2016-12-27,76.61,76.96,76.25,76.67,1163464
2016-12-28,76.73,76.97,76.25,76.33,1734455
2016-12-29,76.53,77.32,76.29,76.99,2342683
2016-12-30,77.04,77.13,76.38,76.59,2460027
2017-01-03,76.57,76.69,75.96,76.25,3017521
2017-01-04,76.39,76.69,75.92,76.18,3426199
2017-01-05,75.79,76.34,75.12,76.28,2688036
2017-01-06,76.04,77.04,75.89,76.9,1847970
2017-01-09,76.93,76.98,75.68,75.72,1948159
2017-01-10,75.59,75.68,75.12,75.43,1534164
2017-01-11,75.44,75.91,75.24,75.63,1902366
2017-01-12,75.65,75.84,75.04,75.28,2468805
2017-01-13,75.07,75.43,74.7,75.21,1992744
2017-01-17,75.57,76.36,75.33,76.2,2111510
2017-01-18,75.99,76.64,75.94,76.17,1913870
2017-01-19,75.78,76.16,75.36,75.62,1397366
2017-01-20,75.73,76.04,75.29,75.79,1739289
2017-01-23,75.91,76.1,75.45,75.58,1530681
2017-01-24,75.53,75.77,75.32,75.47,1898206
2017-01-25,75.46,75.93,75.21,75.81,2161131
2017-01-26,75.72,76.24,75.5,75.69,1537726
2017-01-27,75.69,75.84,75.22,75.52,1393807
2017-01-30,75.78,75.79,75.0,75.26,2287021
2017-01-31,75.31,76.31,75.28,76.28,3056221
2017-02-01,74.36,75.44,71.82,71.85,7279632
2017-02-02,71.87,72.15,70.87,71.68,4336571
2017-02-03,71.72,71.99,71.25,71.7,3695367
2017-02-06,72.05,72.42,71.51,72.21,3223784
2017-02-07,72.26,72.45,71.71,72.35,2436244
2017-02-08,72.56,73.52,72.49,73.34,2711568
2017-02-09,73.26,73.48,71.59,72.15,3752894
2017-02-10,72.15,73.45,71.82,73.37,3563804
2017-02-13,73.41,73.88,73.18,73.73,2829005
2017-02-14,73.59,73.68,72.83,73.12,2824257
2017-02-15,72.55,72.8,71.96,72.38,3184377
2017-02-16,72.53,73.38,72.4,73.28,3026285
2017-02-17,73.26,73.84,72.84,73.77,3426440
2017-02-21,73.65,75.09,73.42,74.76,3541201
2017-02-22,74.75,75.44,74.3,75.35,3105743
2017-02-23,75.62,76.29,75.36,76.16,2513319
2017-02-24,76.45,77.19,76.44,77.0,2384826
2017-02-27,76.89,77.05,76.54,76.87,3344738
2017-02-28,76.67,78.04,76.67,77.64,2920354
2017-03-01,75.88,76.65,75.58,76.25,2663158
2017-03-02,75.99,77.8,75.91,77.22,2604406
2017-03-03,77.19,77.21,75.98,76.56,2956027
2017-03-06,76.3,76.54,76.02,76.24,1948118
2017-03-07,75.98,76.38,75.96,76.12,2479730
2017-03-08,75.52,75.65,74.59,75.13,1878504
2017-03-09,75.21,75.7,74.85,74.9,1381837
2017-03-10,75.25,75.75,75.11,75.67,1623676
2017-03-13,75.62,76.19,75.46,76.09,2728587
2017-03-14,75.93,76.72,75.82,76.33,2088974
2017-03-15,76.6,78.21,76.44,77.85,2779689
2017-03-16,78.04,78.04,76.48,76.8,2652318
2017-03-17,77.09,77.48,76.62,77.12,3797826
2017-03-20,77.57,77.76,76.51,76.83,2149325
2017-03-21,76.83,78.61,76.83,78.21,3246719
2017-03-22,78.53,79.36,78.37,78.65,3122745
2017-03-23,78.54,78.9,78.0,78.26,2618107
2017-03-24,78.29,78.62,78.06,78.26,2367274
2017-03-27,78.63,78.73,77.56,77.92,2548696
2017-03-28,77.98,78.18,77.6,78.06,2869038
2017-03-29,77.84,77.93,77.44,77.67,1791508
2017-03-30,77.48,77.48,76.99,77.41,1520551
2017-03-31,77.53,77.97,77.4,77.57,2050534
2017-04-03,77.14,77.77,76.25,77.74,1991472
2017-04-04,77.77,78.01,77.3,77.62,1985714
2017-04-05,77.73,78.08,77.38,77.96,1839956
2017-04-06,78.0,78.36,77.75,78.21,2781742
2017-04-07,78.36,78.46,77.54,77.59,2160496
2017-04-10,77.64,77.98,77.16,77.91,1809531
2017-04-11,77.63,77.92,77.32,77.48,1814223
2017-04-12,77.38,77.98,77.01,77.93,2246694
2017-04-13,78.0,78.0,77.19,77.53,2637247
2017-04-17,77.66,78.05,77.56,77.94,2751544
2017-04-18,77.9,78.23,77.62,77.99,2540680
2017-04-19,77.84,77.96,77.03,77.34,1883916
2017-04-20,77.24,77.41,76.64,77.36,2603619
2017-04-21,77.47,78.12,77.42,77.54,3471946
2017-04-24,77.64,78.22,77.06,78.07,2543271
2017-04-25,77.67,77.9,77.35,77.7,1787686
2017-04-26,77.62,78.01,77.45,77.49,1505814
