Date,Open,High,Low,Close,Volume
2016-10-04,41.25,41.38,40.1,40.15,12479189
2016-10-05,40.16,40.48,40.05,40.32,7408670
2016-10-06,40.26,40.38,39.75,39.94,9184277
2016-10-07,39.87,39.93,38.8,38.95,10707033
2016-10-10,39.21,39.95,39.19,39.77,7994138
2016-10-11,40.25,40.26,38.79,38.94,12166578
2016-10-12,39.01,39.5,38.56,39.27,11127532
2016-10-13,38.53,40.88,37.91,40.01,24274131
2016-10-14,40.45,40.75,39.82,40.04,12133335
2016-10-17,39.74,40.49,39.26,39.35,10535123
2016-10-18,39.39,40.27,39.05,39.46,13433831
2016-10-19,39.55,40.92,39.19,40.9,13814431
2016-10-20,40.82,41.54,40.73,41.46,14613524
2016-10-21,41.08,41.3,40.66,41.17,9050920
2016-10-24,41.39,41.75,41.15,41.37,8714116
2016-10-25,41.2,41.89,40.95,41.21,8696441
2016-10-26,40.15,42.41,40.05,41.4,14175874
2016-10-27,41.62,42.25,40.92,41.47,9546710
2016-10-28,41.39,41.88,41.0,41.34,8474660
2016-10-31,41.72,41.82,41.12,41.77,8697139
2016-11-01,41.84,42.48,41.55,41.88,10889292
2016-11-02,41.84,42.37,41.72,41.93,10361480
2016-11-03,42.06,42.57,41.77,41.92,8142807
2016-11-04,41.8,43.24,41.75,42.88,10812994
2016-11-07,43.4,44.61,43.03,44.21,11534720
2016-11-08,43.63,44.64,43.13,44.53,9732813
2016-11-09,43.7,45.49,43.57,45.25,13290270
2016-11-10,45.42,46.13,44.97,45.95,20759884
2016-11-11,45.75,46.95,45.26,46.38,10272879
2016-11-14,46.62,47.48,46.61,47.47,11932469
2016-11-15,49.02,49.24,47.0,47.65,14153165
2016-11-16,47.59,47.74,47.16,47.38,6886393
2016-11-17,47.41,48.53,47.21,48.51,8569706
2016-11-18,48.8,48.98,48.25,48.9,8250898
2016-11-21,48.98,49.17,48.51,48.61,8665030
2016-11-22,48.84,49.3,48.75,48.9,8941823
2016-11-23,48.78,49.28,48.63,49.21,4724350
2016-11-25,49.17,49.41,48.89,49.24,2241430
2016-11-28,49.08,49.35,48.48,48.49,9227881
2016-11-29,48.53,49.05,48.23,48.59,7057045
2016-11-30,47.55,48.75,46.85,48.18,9245324
2016-12-01,47.96,48.94,47.6,47.77,9802354
2016-12-02,48.32,48.94,47.89,48.31,8870335
2016-12-05,48.51,48.81,47.58,47.82,9240161
2016-12-06,48.21,49.49,48.11,49.43,9142591
2016-12-07,49.44,51.33,49.18,51.1,10668334
2016-12-08,51.1,51.92,50.54,51.35,9489063
2016-12-09,52.0,52.76,51.26,51.78,8526732
2016-12-12,51.03,51.34,49.92,49.97,8648680
2016-12-13,50.02,50.7,49.62,49.66,8855520
2016-12-14,49.86,50.58,49.58,49.82,9554995
2016-12-15,50.48,51.74,50.43,50.5,10302149
2016-12-16,51.02,51.5,50.09,50.16,10039567
2016-12-19,50.22,50.74,50.19,50.42,4998311
2016-12-20,50.43,51.15,50.42,50.76,6176252
2016-12-21,50.68,51.15,50.45,50.92,4077664
2016-12-22,50.77,50.85,49.66,49.8,5407319
2016-12-23,49.94,50.14,49.78,49.89,4046336
2016-12-27,49.95,50.61,49.93,50.36,3365557
2016-12-28,50.35,50.46,49.45,49.51,4520198
2016-12-29,49.54,49.85,49.21,49.31,3348252
2016-12-30,49.34,49.56,48.87,49.19,4532413
2017-01-03,49.37,50.14,49.17,49.48,5423224
2017-01-04,50.09,50.93,49.99,50.7,7898583
2017-01-05,50.41,50.68,49.5,49.73,5806193
2017-01-06,49.79,50.3,49.22,49.68,6922698
2017-01-09,49.46,50.17,49.42,49.69,5332927
2017-01-10,49.93,51.35,49.86,50.93,8440461
2017-01-11,51.46,51.74,50.65,51.44,10001564
2017-01-12,51.3,52.0,49.67,50.89,14284750
2017-01-13,50.79,51.64,50.78,51.23,7380552
2017-01-17,50.99,51.22,50.19,50.33,7477487
2017-01-18,50.14,50.8,49.78,50.3,7076494
2017-01-19,50.28,50.5,49.62,49.7,7012738
2017-01-20,49.77,50.54,49.71,50.5,7722376
2017-01-23,50.28,50.43,48.77,48.77,8753052
2017-01-24,48.91,49.76,48.82,49.44,6398060
2017-01-25,49.99,50.43,49.81,50.19,8096311
2017-01-26,50.69,51.54,50.56,50.9,8905600
2017-01-27,51.0,51.12,49.57,49.7,6851961
2017-01-30,48.95,48.95,47.54,47.67,12745604
2017-01-31,47.79,47.83,46.57,47.24,12533828
2017-02-01,47.48,47.77,47.04,47.26,8377490
2017-02-02,46.59,47.66,46.48,47.38,8795723
2017-02-03,47.52,48.0,47.41,47.81,5632317
2017-02-06,48.18,48.68,47.93,48.26,7169217
2017-02-07,48.44,48.94,48.08,48.15,7262909
