Date,Open,High,Low,Close,Volume
2016-10-04,92.45,92.99,92.11,92.59,5903392
2016-10-05,92.94,93.28,92.38,92.45,5365007
2016-10-06,92.75,93.58,92.39,92.83,7484807
2016-10-07,93.06,93.29,92.02,92.49,6144089
2016-10-10,92.7,93.21,92.4,92.49,4241028
2016-10-11,92.33,92.38,91.57,91.86,6651134
2016-10-12,91.88,92.08,91.39,91.41,6836644
2016-10-13,90.95,91.36,90.32,91.12,5725154
2016-10-14,91.77,91.77,91.29,91.3,4345659
2016-10-17,91.35,91.47,90.56,90.83,5134605
2016-10-18,91.4,91.74,90.98,91.17,4890775
2016-10-19,91.27,92.14,91.0,91.93,6140496
2016-10-20,91.66,92.32,91.44,92.03,6153205
2016-10-21,91.33,94.19,90.6,93.03,13814538
2016-10-24,93.49,94.15,92.8,93.37,7280985
2016-10-25,93.14,93.36,92.64,92.75,6380747
2016-10-26,92.39,93.72,91.9,93.49,7152845
2016-10-27,93.8,94.34,93.31,94.02,6646969
2016-10-28,93.89,94.4,93.53,93.85,7309117
2016-10-31,93.72,93.82,92.31,92.69,9957559
2016-11-01,92.78,92.99,91.66,92.39,6449806
2016-11-02,91.91,92.56,91.69,91.91,6716247
2016-11-03,92.26,94.13,92.24,93.37,7751400
2016-11-04,93.5,93.79,92.36,92.45,7456486
2016-11-07,93.77,94.48,92.95,94.43,6996093
2016-11-08,94.53,94.85,93.9,94.38,6226852
2016-11-09,92.29,94.92,92.11,94.64,8635729
2016-11-10,94.89,96.06,94.23,94.96,13777923
2016-11-11,97.18,98.32,95.78,97.68,23008062
2016-11-14,97.56,98.31,97.45,97.92,13208417
2016-11-15,97.9,98.14,97.42,97.7,7184595
2016-11-16,98.33,99.17,98.1,99.12,9702404
2016-11-17,99.05,99.5,98.26,99.37,8651917
2016-11-18,99.05,99.37,98.14,98.24,8586121
2016-11-21,98.11,98.27,97.0,97.63,10771076
2016-11-22,97.5,97.93,97.27,97.71,5323683
2016-11-23,97.67,98.28,97.59,98.26,6166487
2016-11-25,98.71,99.07,98.5,98.82,4396763
