Date,Open,High,Low,Close,Volume
2016-10-04,55.56,56.26,55.37,55.9,2005186
2016-10-05,55.93,56.97,55.85,56.09,2091719
2016-10-06,55.78,56.12,55.13,55.59,2219022
2016-10-07,55.84,55.84,54.76,55.45,1261363
2016-10-10,55.86,56.08,55.62,56.0,965909
2016-10-11,55.84,55.9,55.08,55.33,2364738
2016-10-12,55.19,56.69,55.08,55.6,3373004
2016-10-13,55.22,57.07,54.97,56.98,3730866
2016-10-14,57.2,58.1,56.96,56.97,2730782
2016-10-17,57.15,57.84,56.61,56.69,1815692
2016-10-18,57.32,57.54,55.97,56.62,2389891
2016-10-19,56.89,57.87,56.48,57.44,2037133
2016-10-20,57.92,59.57,57.9,59.18,4570163
2016-10-21,59.04,59.15,57.16,57.4,3862911
2016-10-24,57.73,58.58,57.48,58.56,1724215
2016-10-25,58.58,59.52,58.49,58.76,2569977
2016-10-26,58.61,58.61,57.82,58.23,1036457
2016-10-27,58.39,58.62,57.92,58.18,1242373
2016-10-28,58.07,58.72,57.34,57.38,2240777
2016-10-31,57.69,58.72,57.54,58.56,1823159
2016-11-01,58.59,58.69,57.15,57.19,2245219
2016-11-02,57.26,57.27,55.05,55.1,3741675
2016-11-03,55.36,55.85,54.71,54.92,2497303
2016-11-04,54.45,55.62,54.45,54.93,1712400
2016-11-07,55.91,56.75,55.36,56.25,1818199
2016-11-08,56.35,57.05,55.86,56.68,2250252
2016-11-09,54.32,58.6,54.28,57.93,3176335
2016-11-10,57.92,58.97,55.75,56.38,3711606
2016-11-11,55.89,56.43,54.53,55.55,3018121
2016-11-14,55.56,55.94,53.88,53.97,2412707
2016-11-15,53.96,54.88,53.89,54.8,1855443
2016-11-16,54.34,54.72,54.0,54.7,1657781
2016-11-17,54.4,55.78,54.4,55.66,1637484
2016-11-18,55.49,56.11,55.21,55.85,2115283
2016-11-21,55.91,56.59,55.65,56.17,1530558
2016-11-22,56.19,56.34,55.66,56.07,1209573
2016-11-23,55.94,56.51,55.61,55.69,1576764
2016-11-25,55.64,56.06,55.09,55.93,378514
2016-11-28,55.81,56.5,55.38,56.15,1550649
2016-11-29,56.36,58.0,56.11,57.69,2401518
2016-11-30,57.0,58.42,57.0,57.45,1992556
2016-12-01,57.31,58.14,55.43,56.22,2690695
2016-12-02,56.21,56.74,55.27,55.55,2062612
2016-12-05,55.96,57.05,55.8,56.66,1399453
2016-12-06,56.71,58.77,56.54,58.51,3599620
2016-12-07,58.61,58.92,57.89,58.64,1694492
2016-12-08,58.63,60.22,58.24,59.93,2539611
2016-12-09,60.21,60.24,58.86,59.0,1792006
2016-12-12,58.59,59.12,57.56,57.78,2095913
2016-12-13,57.86,58.61,57.86,58.53,1289771
2016-12-14,58.45,60.0,58.35,59.7,1526553
2016-12-15,60.02,60.04,58.29,58.46,2198969
