Date,Open,High,Low,Close,Volume
2016-10-04,93.99,94.0,91.19,92.18,2092240
2016-10-05,92.26,92.5,89.6,90.83,1787985
2016-10-06,90.13,91.97,89.18,90.99,1800596
2016-10-07,91.44,93.77,90.73,91.62,1293608
2016-10-10,91.66,93.06,91.66,92.5,1145992
2016-10-11,92.41,92.72,91.08,91.52,693453
2016-10-12,91.71,93.41,91.21,93.32,895278
2016-10-13,93.06,94.71,92.45,94.58,1221850
2016-10-14,94.7,95.7,93.69,94.71,1044114
2016-10-17,94.76,95.3,94.34,94.94,714195
2016-10-18,95.75,97.11,95.06,96.57,939678
2016-10-19,96.75,97.11,95.43,96.5,795727
2016-10-20,96.42,97.18,95.82,96.01,898550
2016-10-21,95.27,96.2,95.03,95.68,756683
2016-10-24,96.41,97.12,95.32,95.98,995007
2016-10-25,96.17,97.03,94.76,96.9,929528
2016-10-26,96.27,97.17,95.61,96.55,1578861
2016-10-27,97.66,97.66,90.65,92.02,2288569
2016-10-28,92.12,93.87,90.51,92.61,1597369
2016-10-31,93.11,93.62,91.96,93.43,1187234
2016-11-01,93.43,93.71,89.34,89.78,1665047
2016-11-02,89.87,90.29,88.19,88.21,1680490
2016-11-03,88.17,88.84,86.56,88.7,1679510
2016-11-04,88.92,91.1,88.42,90.83,1418662
2016-11-07,92.04,94.02,92.04,93.31,2063981
2016-11-08,93.63,95.47,92.37,94.88,1845692
2016-11-09,92.07,93.13,90.24,91.23,2363024
2016-11-10,90.84,91.32,87.42,88.23,3058302
2016-11-11,88.23,89.46,87.12,87.93,3516806
2016-11-14,87.78,89.99,85.63,89.97,2071638
2016-11-15,90.1,92.09,89.72,90.61,1452837
2016-11-16,89.98,90.38,88.15,89.14,1434206
2016-11-17,89.11,89.79,86.19,87.54,1983121
2016-11-18,87.95,89.17,86.7,88.94,1654562
2016-11-21,89.7,90.87,89.04,89.3,1381590
2016-11-22,89.79,92.1,89.2,91.99,1501771
2016-11-23,91.22,92.0,89.04,89.7,1219967
2016-11-25,89.74,91.4,89.65,90.95,518352
2016-11-28,90.93,91.95,90.5,91.53,895187
2016-11-29,91.71,94.09,91.65,93.5,1482419
2016-11-30,92.97,92.97,91.63,92.33,1722247
2016-12-01,91.59,92.12,88.22,88.64,2081734
2016-12-02,88.66,90.82,88.65,89.1,1218285
2016-12-05,89.19,90.26,89.1,89.84,984452
2016-12-06,90.17,91.47,89.5,89.73,1575375
2016-12-07,90.15,92.49,90.12,92.25,1156203
2016-12-08,92.9,94.45,92.41,94.21,1596458
2016-12-09,94.75,95.7,93.43,94.01,1211364
2016-12-12,93.75,96.92,93.75,96.47,2111972
2016-12-13,96.47,97.21,94.86,96.68,1896185
2016-12-14,97.0,97.09,94.4,94.53,1433262
2016-12-15,94.18,96.02,93.39,94.33,1289563
2016-12-16,95.12,96.59,94.21,94.59,3071589
2016-12-19,96.04,96.63,94.9,96.6,1079610
2016-12-20,96.59,98.14,95.36,95.75,1537474
2016-12-21,95.85,97.84,95.27,95.32,1171794
2016-12-22,95.16,96.52,94.62,96.19,815749
2016-12-23,96.47,97.32,96.12,96.35,1736543
2016-12-27,96.64,97.18,96.0,96.42,509950
2016-12-28,96.65,96.91,95.5,96.02,875830
2016-12-29,96.21,98.76,96.1,98.41,1184532
2016-12-30,98.15,98.78,97.4,98.26,1305757
2017-01-03,98.89,99.39,98.03,99.36,1412571
2017-01-04,99.43,103.43,99.13,102.51,2490738
2017-01-05,102.29,105.32,101.77,105.24,2819820
2017-01-06,104.89,105.23,103.69,104.04,1262269
2017-01-09,103.62,103.87,102.02,102.8,1494302
2017-01-10,103.01,103.28,101.97,102.36,1230003
2017-01-11,102.17,103.29,101.95,102.2,935637
2017-01-12,102.04,103.21,101.57,102.5,1058513
2017-01-13,102.24,102.94,102.09,102.29,718719
2017-01-17,102.89,103.77,102.5,103.34,1412970
2017-01-18,102.94,105.0,102.85,104.63,1854497
2017-01-19,103.78,104.9,103.1,104.75,983080
2017-01-20,105.1,106.4,105.07,105.8,1526804
2017-01-23,105.7,106.39,105.52,106.05,990314
2017-01-24,106.09,107.72,105.77,107.35,1175640
2017-01-25,107.3,108.0,106.5,107.39,1302409
2017-01-26,107.59,108.35,107.0,107.57,1296008
2017-01-27,107.76,107.8,105.93,106.43,849420
2017-01-30,106.54,106.54,105.76,106.42,774036
2017-01-31,106.59,108.07,106.59,107.63,1303893
2017-02-01,107.47,107.76,106.22,106.4,1019948
2017-02-02,106.7,107.5,106.22,106.87,955690
2017-02-03,107.72,109.0,107.39,107.75,964114
2017-02-06,107.37,107.61,105.54,106.89,1446509
2017-02-07,107.01,107.81,106.58,107.14,663193
2017-02-08,107.27,108.54,106.63,107.75,868094
2017-02-09,107.82,108.18,106.66,107.77,712825
2017-02-10,107.72,108.08,106.18,107.2,1801630
2017-02-13,107.65,107.97,107.0,107.24,1115861
2017-02-14,107.2,107.2,105.0,105.3,1837548
2017-02-15,104.86,104.86,103.44,104.43,2573495
2017-02-16,104.74,105.59,102.82,103.14,2274243
2017-02-17,105.07,106.0,101.7,104.15,2336762
2017-02-21,104.15,104.97,103.88,104.72,1520183
2017-02-22,104.61,105.8,103.23,103.7,1317301
2017-02-23,104.1,106.07,103.54,105.83,1299476
2017-02-24,105.97,108.41,105.55,107.83,1403747
2017-02-27,108.03,108.44,107.46,107.61,670981
