Date,Open,High,Low,Close,Volume
2016-10-04,85.93,86.07,85.12,85.56,1724816
2016-10-05,85.56,85.75,84.97,85.47,1961731
2016-10-06,85.55,85.64,83.86,84.58,3189266
2016-10-07,85.06,85.19,83.44,83.81,3076877
2016-10-10,84.07,84.92,83.85,84.74,2278142
2016-10-11,84.7,84.8,83.15,83.37,2308846
2016-10-12,85.03,85.03,82.16,82.53,2395223
2016-10-13,82.09,82.52,80.78,81.76,3034271
2016-10-14,82.35,83.98,82.35,82.59,2658305
2016-10-17,82.77,83.22,82.16,82.32,1981949
2016-10-18,83.18,84.4,83.1,84.01,2185158
2016-10-19,84.22,84.36,82.62,82.76,2269999
2016-10-20,82.7,82.82,81.6,82.52,2468409
2016-10-21,82.15,82.99,82.0,82.87,2708169
2016-10-24,81.91,84.37,81.78,84.15,3046700
2016-10-25,84.19,84.79,82.89,82.94,2823538
2016-10-26,82.95,84.11,82.5,82.58,2026002
2016-10-27,83.28,84.43,82.58,82.72,3159887
2016-10-28,80.78,81.42,78.55,79.45,6933811
2016-10-31,79.64,80.14,77.43,78.52,5380715
2016-11-01,78.64,78.76,77.18,77.84,7226253
2016-11-02,78.83,81.93,77.86,79.12,9450537
2016-11-03,79.12,82.29,79.12,80.52,7210686
2016-11-04,79.95,81.72,79.03,80.22,4694611
2016-11-07,81.09,82.03,80.33,81.08,3750946
2016-11-08,81.06,82.45,80.68,81.49,2198183
2016-11-09,78.73,80.99,78.45,79.44,4446870
2016-11-10,79.97,80.06,76.19,76.79,5526941
2016-11-11,75.8,77.94,75.53,77.45,4039336
2016-11-14,77.47,78.08,76.14,76.38,5043104
2016-11-15,77.0,78.42,77.0,77.62,2639258
2016-11-16,77.6,78.94,77.03,78.83,2454999
2016-11-17,78.76,80.17,78.54,79.62,2643438
2016-11-18,79.8,80.61,78.76,78.99,3180501
2016-11-21,79.07,79.18,77.56,78.26,3061790
2016-11-22,78.52,78.56,76.93,77.75,2737544
2016-11-23,77.9,79.7,77.76,79.35,2853748
2016-11-25,79.18,79.92,78.54,79.17,780845
2016-11-28,79.42,79.56,78.53,78.73,2350338
2016-11-29,78.95,81.69,78.93,81.37,3376820
2016-11-30,81.29,81.37,79.15,79.24,3417655
2016-12-01,79.21,79.28,75.17,75.58,4920192
2016-12-02,75.65,76.47,73.74,75.86,4093807
2016-12-05,76.17,77.83,75.5,77.45,2501497
2016-12-06,77.63,78.03,76.5,76.87,2303725
2016-12-07,76.85,78.11,76.42,77.95,3289669
2016-12-08,78.03,78.6,77.4,77.78,3445949
2016-12-09,77.81,79.06,77.81,78.75,2073919
2016-12-12,78.88,80.63,78.51,80.62,3926863
2016-12-13,80.46,82.6,80.46,80.76,3462831
2016-12-14,80.61,81.68,79.98,80.7,2573618
2016-12-15,81.32,82.62,80.74,81.51,3957950
2016-12-16,81.44,81.5,79.17,79.51,4088231
2016-12-19,79.31,80.53,79.15,79.5,2197503
2016-12-20,79.6,80.26,79.26,79.5,2218118
2016-12-21,79.49,80.18,79.13,79.66,2181724
2016-12-22,79.74,80.15,79.18,79.79,1206820
2016-12-23,79.85,81.12,79.57,80.67,2017148
2016-12-27,80.99,81.76,80.75,81.08,1246765
2016-12-28,81.07,81.26,79.97,80.38,1314201
2016-12-29,80.53,81.01,79.7,80.16,1470065
2016-12-30,80.56,80.56,78.52,78.76,1815869
2017-01-03,79.52,79.62,78.27,79.17,2187463
2017-01-04,79.39,81.11,79.12,80.63,1852328
2017-01-05,79.98,80.46,78.73,78.96,3294988
2017-01-06,79.11,79.52,78.37,79.01,2017719
2017-01-09,79.19,79.43,78.05,78.64,2332321
2017-01-10,78.49,79.23,77.94,78.85,2329293
2017-01-11,78.8,79.42,78.17,79.02,2619652
2017-01-12,78.85,79.76,78.25,79.6,2035720
2017-01-13,79.14,81.26,79.13,80.35,2818382
2017-01-17,80.0,80.59,79.47,80.23,2074084
2017-01-18,80.51,80.82,79.82,80.53,1926801
2017-01-19,80.4,81.34,80.05,80.38,1746183
2017-01-20,80.49,80.52,78.89,80.12,2642945
2017-01-23,80.05,80.17,79.26,79.88,2672218
2017-01-24,79.88,80.8,79.41,80.51,2004411
2017-01-25,80.85,81.59,80.52,81.48,2883627
2017-01-26,81.56,81.87,81.1,81.7,1855130
2017-01-27,82.0,83.25,81.86,83.16,2607202
2017-01-30,82.96,84.03,82.75,83.84,4067328
2017-01-31,83.82,84.09,82.89,83.43,6583360
2017-02-01,83.43,84.25,81.45,83.0,7608012
2017-02-02,82.68,82.98,81.38,82.51,4079976
2017-02-03,82.51,82.66,80.97,81.28,4300790
2017-02-06,80.83,81.78,80.4,81.52,2351072
2017-02-07,81.81,82.4,81.55,82.21,2944017
2017-02-08,81.94,82.9,81.27,81.48,2738904
2017-02-09,82.21,83.4,81.49,83.26,3193067
2017-02-10,84.74,86.66,84.13,86.17,6561736
2017-02-13,86.31,87.49,85.7,86.32,4435770
2017-02-14,85.8,86.45,85.22,86.06,3046929
2017-02-15,85.92,88.04,85.7,87.95,3293453
2017-02-16,87.69,88.28,87.2,87.85,2739096
2017-02-17,87.76,87.86,86.95,87.3,1773693
2017-02-21,87.35,88.02,87.1,87.54,1871787
2017-02-22,87.38,87.62,86.96,87.38,1751399
2017-02-23,87.56,87.56,85.76,86.65,3113293
2017-02-24,85.96,86.55,85.23,86.54,3026736
2017-02-27,86.55,87.25,86.1,87.0,1519361
2017-02-28,87.05,87.49,86.33,86.5,2421068
2017-03-01,86.93,88.14,86.09,87.82,2090733
2017-03-02,87.9,88.25,86.46,87.01,1709488
2017-03-03,86.95,87.29,86.19,87.24,1190567
2017-03-06,87.19,87.52,86.74,87.14,1882327
2017-03-07,87.3,88.85,87.1,88.3,3016947
2017-03-08,88.52,89.36,88.2,89.0,2579065
