Date,Open,High,Low,Close,Volume
2016-10-04,133.85,134.56,132.75,133.27,402075
2016-10-05,133.38,133.81,131.76,132.05,536204
2016-10-06,131.7,132.53,131.31,132.21,489348
2016-10-07,132.37,132.48,129.75,130.14,664720
2016-10-10,130.81,131.66,130.71,131.11,332006
2016-10-11,130.73,131.0,128.01,128.65,453531
2016-10-12,128.51,130.25,128.47,130.03,380205
2016-10-13,129.16,129.78,128.33,128.99,464994
2016-10-14,129.47,131.77,129.47,130.35,569503
2016-10-17,130.07,130.45,129.4,129.53,370951
2016-10-18,130.54,131.3,130.07,130.28,382625
2016-10-19,130.61,130.61,129.35,130.21,433954
2016-10-20,129.88,130.3,129.12,129.53,336795
2016-10-21,128.64,129.92,128.16,129.76,285394
2016-10-24,130.24,131.63,129.9,131.19,313807
2016-10-25,131.04,132.49,130.28,130.43,764917
2016-10-26,129.83,130.73,128.11,128.71,820243
2016-10-27,126.83,127.98,122.63,123.17,1813050
2016-10-28,122.91,124.44,121.8,122.0,969188
2016-10-31,122.46,124.2,122.34,123.97,928857
2016-11-01,124.52,124.75,122.8,123.64,714041
2016-11-02,123.62,124.03,122.32,122.43,547755
2016-11-03,122.74,123.46,121.87,122.97,396409
2016-11-04,123.05,124.79,122.9,123.61,640903
2016-11-07,125.42,126.36,124.82,126.09,454581
2016-11-08,126.04,127.39,125.09,127.07,421943
2016-11-09,126.44,126.88,121.89,122.53,1270051
2016-11-10,122.25,122.53,113.69,116.23,3778876
2016-11-11,115.84,116.38,112.73,114.03,2159165
2016-11-14,114.64,115.28,113.35,115.14,1561524
2016-11-15,115.27,118.36,115.27,118.15,2153610
2016-11-16,118.11,119.78,117.7,119.5,1314574
2016-11-17,120.0,122.41,119.26,121.81,1231214
2016-11-18,122.03,122.59,121.34,121.56,687909
2016-11-21,121.37,122.3,121.22,121.6,679545
2016-11-22,121.6,121.68,119.77,120.24,635799
2016-11-23,120.18,120.64,119.5,120.07,482869
2016-11-25,120.14,120.18,118.93,120.06,374502
2016-11-28,119.68,119.93,118.59,119.19,1041239
2016-11-29,119.2,119.85,118.9,119.32,712215
2016-11-30,119.47,120.0,114.21,114.45,2085784
2016-12-01,114.45,114.74,110.87,111.54,1964936
2016-12-02,111.59,114.08,111.48,114.03,1084719
2016-12-05,115.8,115.82,114.04,114.33,1065202
2016-12-06,114.81,114.88,113.13,113.5,834267
2016-12-07,113.76,116.16,113.29,115.99,762906
2016-12-08,115.77,118.11,115.55,117.6,874068
2016-12-09,117.62,118.12,116.91,117.16,618384
2016-12-12,116.88,117.63,116.52,117.03,852245
2016-12-13,117.0,117.66,116.15,116.48,811987
2016-12-14,116.12,117.28,115.57,115.85,838885
2016-12-15,115.88,117.58,115.83,117.13,1003513
2016-12-16,116.74,118.02,116.74,116.97,1182802
2016-12-19,116.19,116.87,115.68,116.02,748479
2016-12-20,116.72,116.72,115.48,116.09,710674
2016-12-21,116.15,119.26,116.04,118.65,1334516
2016-12-22,118.6,118.97,117.93,118.91,763475
2016-12-23,118.78,120.06,118.78,119.65,736191
2016-12-27,119.52,119.65,118.33,118.59,507681
2016-12-28,118.79,118.79,118.23,118.48,926163
2016-12-29,118.69,119.07,117.87,118.67,503629
2016-12-30,118.6,118.65,117.78,118.23,788523
2017-01-03,118.59,119.3,118.12,118.76,766836
2017-01-04,118.68,119.4,118.13,119.34,894829
2017-01-05,119.54,120.45,119.1,119.98,553013
