Date,Open,High,Low,Close,Volume
2016-10-04,63.4,63.4,62.17,62.51,3049185
2016-10-05,62.57,62.86,61.01,61.41,4150346
2016-10-06,61.04,61.97,60.25,61.36,3834437
2016-10-07,61.66,62.48,60.68,60.8,2461999
2016-10-10,60.8,61.11,60.68,60.84,1945670
2016-10-11,60.81,61.03,60.41,60.5,2560983
2016-10-12,60.66,62.01,60.51,61.15,3115162
2016-10-13,60.83,61.34,60.5,61.15,2279223
2016-10-14,61.27,62.02,60.86,61.4,2293184
2016-10-17,62.21,62.21,61.31,61.34,1949873
2016-10-18,61.99,62.18,60.92,61.08,2221985
2016-10-19,61.06,61.38,60.86,61.24,2720136
2016-10-20,61.19,61.62,60.82,61.03,1866149
2016-10-21,60.57,61.24,60.43,61.03,1867480
2016-10-24,61.39,61.77,60.56,60.71,1498949
2016-10-25,60.04,60.73,59.86,60.37,2733804
2016-10-26,61.44,61.56,60.04,61.15,2433176
2016-10-27,60.97,60.97,59.58,59.85,2064423
2016-10-28,59.99,60.94,59.87,60.18,1810667
2016-10-31,60.54,61.94,60.33,61.75,2013847
2016-11-01,61.64,61.82,60.55,60.82,2129165
2016-11-02,61.06,61.98,60.75,60.87,2335524
2016-11-03,60.89,61.73,60.75,61.3,2036015
2016-11-04,61.5,61.95,61.07,61.59,1698263
2016-11-07,62.33,62.55,61.28,61.61,1760475
2016-11-08,61.66,62.82,61.32,62.57,1570281
2016-11-09,61.41,62.43,60.21,61.28,2501817
2016-11-10,61.44,61.44,59.29,59.98,2351329
2016-11-11,60.0,61.1,59.87,60.05,2325905
2016-11-14,60.1,61.56,59.02,61.0,3065813
2016-11-15,61.25,61.5,58.6,59.3,3901686
2016-11-16,59.18,60.09,58.91,59.93,2089078
2016-11-17,59.87,60.55,58.86,58.99,1417028
2016-11-18,59.15,59.39,58.28,58.98,1740942
2016-11-21,59.05,59.67,58.71,58.81,1950712
2016-11-22,59.04,60.24,58.69,60.06,2187609
2016-11-23,59.77,59.88,58.45,59.21,1822459
2016-11-25,59.3,59.74,58.94,59.43,773496
2016-11-28,59.34,60.65,59.33,59.98,2226362
2016-11-29,60.12,60.93,60.05,60.49,2596625
2016-11-30,60.04,60.7,59.64,60.01,3672355
2016-12-01,59.6,60.22,59.11,59.7,2997082
2016-12-02,60.15,60.98,60.0,60.5,2080268
2016-12-05,60.52,61.14,60.28,61.09,3081424
