Date,Open,High,Low,Close,Volume
2016-10-04,218.03,218.04,214.31,217.63,483168
2016-10-05,217.95,218.63,213.22,213.32,549452
2016-10-06,212.71,215.0,210.67,212.47,254521
2016-10-07,213.55,216.2,211.05,212.27,290327
2016-10-10,212.61,213.7,211.61,212.32,222032
2016-10-11,212.35,213.12,208.83,210.27,392628
2016-10-12,210.64,212.02,208.75,211.64,326746
2016-10-13,205.32,211.58,205.28,208.57,688411
2016-10-14,208.57,209.08,206.25,208.72,644461
2016-10-17,209.16,209.16,207.04,207.27,339214
2016-10-18,209.2,209.59,207.61,207.7,186082
2016-10-19,207.62,208.91,206.55,208.57,257453
2016-10-20,208.26,210.49,207.03,207.5,275750
2016-10-21,205.93,208.18,205.93,206.67,231829
2016-10-24,208.07,211.24,204.75,205.35,341737
2016-10-25,203.5,205.49,200.01,204.62,435283
2016-10-26,204.02,207.58,202.32,207.48,448301
2016-10-27,207.1,208.04,201.57,205.85,1035649
2016-10-28,208.01,214.97,207.65,209.26,904190
2016-10-31,210.23,214.29,208.85,214.09,686222
2016-11-01,213.54,214.8,210.78,213.29,637283
2016-11-02,214.0,217.37,213.79,215.43,594204
2016-11-03,215.11,219.26,214.12,218.35,689417
2016-11-04,218.22,221.29,217.36,220.13,708509
2016-11-07,222.25,223.6,219.37,220.03,667022
2016-11-08,220.71,223.35,219.7,222.73,509678
2016-11-09,220.03,220.23,213.77,216.78,437009
2016-11-10,217.31,217.31,210.11,213.41,455360
2016-11-11,213.26,218.97,212.66,215.33,317098
2016-11-14,214.93,221.62,212.27,220.17,371358
2016-11-15,220.78,221.15,212.14,214.79,595813
2016-11-16,214.38,217.25,212.42,215.26,354769
2016-11-17,215.26,217.34,212.01,212.69,321292
2016-11-18,212.99,214.54,212.09,212.95,457340
2016-11-21,213.17,215.34,210.0,210.32,354975
2016-11-22,210.92,214.67,209.56,214.28,425241
2016-11-23,211.94,213.2,208.92,211.6,322282
2016-11-25,211.2,213.75,211.2,212.83,148757
2016-11-28,214.5,218.05,212.81,215.36,375506
2016-11-29,214.36,218.62,214.06,215.87,314531
2016-11-30,215.73,217.43,213.2,215.92,576047
2016-12-01,214.67,215.78,211.04,212.23,363018
2016-12-02,213.54,217.62,212.64,214.5,310416
2016-12-05,214.33,215.18,212.41,213.98,345230
2016-12-06,214.27,216.42,212.83,214.17,330400
2016-12-07,214.33,218.05,213.93,217.66,411104
2016-12-08,216.84,220.57,215.14,219.22,345223
2016-12-09,219.65,222.42,217.87,218.75,295432
2016-12-12,218.0,220.76,217.58,218.94,341261
2016-12-13,219.82,220.99,217.44,219.0,348896
2016-12-14,219.14,221.88,216.71,219.77,638915
2016-12-15,219.55,224.43,218.08,221.48,491489
2016-12-16,223.36,228.47,223.26,227.0,881888
2016-12-19,227.71,231.32,227.33,228.98,529438
2016-12-20,228.88,231.61,227.64,229.61,463565
2016-12-21,229.81,230.99,227.05,227.58,511871
2016-12-22,226.82,230.09,225.64,229.59,476333
2016-12-23,230.41,231.8,229.07,230.67,359101
2016-12-27,230.89,232.11,229.04,229.29,235772
2016-12-28,227.95,227.95,225.69,227.55,270795
2016-12-29,227.8,230.69,226.94,229.52,342688
2016-12-30,229.17,234.07,228.28,232.5,441642
2017-01-03,233.8,233.8,227.37,229.25,455836
2017-01-04,230.09,233.05,227.81,231.03,405550
2017-01-05,229.68,232.9,226.38,232.76,431184
2017-01-06,232.59,234.77,231.47,233.74,287604
2017-01-09,233.96,234.38,230.56,230.73,252443
2017-01-10,230.0,231.29,228.5,230.1,442440
2017-01-11,230.2,231.08,226.78,226.87,390465
2017-01-12,226.67,228.71,224.38,228.43,386266
2017-01-13,227.5,229.47,227.33,228.0,254048
2017-01-17,227.96,231.23,227.96,229.58,391143
2017-01-18,229.94,230.3,227.72,227.9,377579
2017-01-19,227.22,228.18,225.84,226.67,455778
2017-01-20,226.98,229.71,226.0,228.54,391411
2017-01-23,229.68,231.8,228.67,231.11,535276
2017-01-24,229.79,231.87,225.79,226.71,469173
2017-01-25,226.56,227.1,224.49,225.85,317290
2017-01-26,226.29,227.7,224.86,225.38,316069
2017-01-27,226.21,227.09,224.23,225.41,273810
2017-01-30,225.23,226.74,223.08,223.24,383137
2017-01-31,223.63,226.12,222.9,224.3,500424
2017-02-01,224.12,227.06,221.54,221.72,314074
2017-02-02,222.13,228.07,222.13,226.34,385997
2017-02-03,222.84,225.57,218.41,223.08,778858
2017-02-06,222.88,224.91,221.45,223.17,354415
2017-02-07,223.04,224.76,222.46,223.96,375992
2017-02-08,224.07,228.6,224.05,228.07,356193
2017-02-09,228.44,228.62,226.01,226.55,298907
2017-02-10,225.64,229.6,225.64,228.38,394106
2017-02-13,228.39,228.68,224.7,226.71,330886
2017-02-14,224.82,226.25,222.35,226.02,311127
2017-02-15,224.5,226.65,221.49,225.43,356047
2017-02-16,225.15,228.42,225.08,227.88,302317
2017-02-17,228.06,229.68,226.08,228.1,375533
2017-02-21,227.86,232.24,227.32,230.97,373373
2017-02-22,231.71,232.28,228.95,229.5,266271
2017-02-23,230.84,233.45,230.08,231.58,355364
2017-02-24,232.77,232.92,230.81,232.35,284016
2017-02-27,233.26,234.68,232.3,234.32,189778
2017-02-28,234.32,235.92,233.01,234.7,316956
2017-03-01,233.27,234.84,231.32,232.62,372366
2017-03-02,231.7,233.49,230.8,231.74,333813
2017-03-03,231.17,231.74,227.7,230.55,218062
2017-03-06,230.17,232.53,229.42,231.42,313781
2017-03-07,231.84,233.73,230.92,233.7,286720
2017-03-08,233.54,233.94,230.25,230.61,382804
2017-03-09,230.91,232.07,225.87,225.93,445942
2017-03-10,227.79,229.71,222.6,224.25,393456
2017-03-13,224.48,227.16,223.83,224.04,319102
2017-03-14,224.29,226.63,222.56,225.11,228738
2017-03-15,225.46,233.36,225.46,232.13,421549
2017-03-16,231.41,234.3,231.12,232.96,343738
2017-03-17,233.43,235.89,232.02,233.15,741210
2017-03-20,233.15,234.32,232.11,233.11,211752
2017-03-21,233.79,235.21,232.4,233.6,420691
2017-03-22,235.0,235.55,231.82,235.31,360292
2017-03-23,234.97,238.0,234.97,236.77,383517
2017-03-24,237.36,238.57,236.35,236.65,295754
2017-03-27,236.52,237.34,232.62,233.46,231391
2017-03-28,233.63,233.97,229.99,233.0,305678
2017-03-29,230.81,232.98,230.03,232.0,252068
2017-03-30,231.96,233.37,229.74,232.57,185378
2017-03-31,232.03,233.79,230.9,231.53,462888
2017-04-03,231.63,231.77,230.01,230.87,305860
2017-04-04,230.77,233.6,229.14,230.97,343032
2017-04-05,230.77,232.62,229.27,231.37,345280
2017-04-06,230.9,232.87,229.72,232.23,296744
2017-04-07,232.44,233.98,232.12,233.42,214859
2017-04-10,233.37,235.56,232.27,235.27,216858
2017-04-11,235.47,237.72,234.98,236.79,273283
2017-04-12,236.91,237.75,234.5,234.75,498340
2017-04-13,234.84,235.2,233.18,233.57,358333
2017-04-17,234.51,236.09,234.26,236.09,310039
2017-04-18,235.38,237.99,235.38,236.94,343806
2017-04-19,236.23,237.47,234.8,235.22,328786
2017-04-20,235.75,235.81,233.84,235.06,253461
2017-04-21,234.64,236.22,234.64,235.49,237555
2017-04-24,236.91,237.95,230.47,234.25,338716
2017-04-25,235.39,238.55,232.76,238.4,449464
2017-04-26,238.35,242.24,236.68,241.03,606754
2017-04-27,241.49,243.22,239.34,241.44,500638
2017-04-28,243.2,246.5,238.58,244.47,870447
2017-05-01,247.1,249.26,245.08,247.98,564055
2017-05-02,248.08,249.9,247.05,248.55,337485
2017-05-03,249.44,249.44,245.73,247.54,515972
2017-05-04,246.87,251.39,244.8,250.49,580725
2017-05-05,251.0,251.97,249.28,250.37,354695
2017-05-08,251.3,251.3,248.33,249.86,414932
2017-05-09,249.67,250.52,247.87,250.43,347768
2017-05-10,250.36,252.38,249.76,251.3,351796
2017-05-11,250.05,252.61,248.52,251.33,336952
2017-05-12,251.51,253.14,250.95,252.67,355815
2017-05-15,252.31,254.48,251.93,253.93,358641
2017-05-16,253.32,255.36,252.4,254.33,358049
2017-05-17,254.75,258.02,253.15,253.74,412421
2017-05-18,251.7,257.06,251.53,255.88,336039
2017-05-19,256.25,256.25,253.71,254.55,410704
2017-05-22,254.65,257.37,253.32,254.59,373462
2017-05-23,254.49,254.49,251.71,251.93,441526
2017-05-24,252.56,257.22,252.18,256.83,456190
2017-05-25,257.82,258.1,254.19,256.29,328676
2017-05-26,256.1,257.02,255.15,256.3,205268
2017-05-30,256.26,256.72,254.24,255.19,239036
2017-05-31,256.0,257.36,255.16,256.92,522243
2017-06-01,256.81,258.59,254.84,258.49,353164
2017-06-02,259.53,263.24,257.64,262.63,439766
2017-06-05,262.45,266.18,261.1,266.13,283498
2017-06-06,264.97,266.58,262.35,262.7,272340
2017-06-07,263.16,264.5,262.2,263.58,273177
2017-06-08,264.06,265.82,261.2,265.68,275270
2017-06-09,265.61,266.71,264.42,266.23,213841
2017-06-12,263.0,265.0,261.88,262.64,392686
2017-06-13,262.76,263.69,260.11,262.31,229732
2017-06-14,263.0,264.76,261.61,262.51,337865
2017-06-15,262.48,264.9,261.96,263.77,314335
2017-06-16,264.39,266.43,263.79,266.3,515142
2017-06-19,266.79,268.55,265.66,268.39,281081
2017-06-20,268.31,268.97,264.3,267.12,251396
2017-06-21,267.18,267.29,264.2,266.49,317640
2017-06-22,266.2,266.43,263.15,263.93,298483
2017-06-23,264.19,266.35,263.79,265.79,783872
2017-06-26,266.0,266.97,264.59,265.5,219198
2017-06-27,264.64,265.9,260.29,260.52,318182
2017-06-28,259.79,260.8,258.82,260.24,253545
2017-06-29,259.21,260.72,257.49,260.18,282533
2017-06-30,260.31,262.66,257.16,257.27,406230
2017-07-03,258.4,261.5,257.35,261.24,216614
2017-07-05,261.26,263.13,258.6,259.72,381063
2017-07-06,259.09,259.25,253.62,254.03,299620
2017-07-07,254.58,256.9,254.45,255.74,322983
2017-07-10,256.06,256.59,252.78,253.09,301751
2017-07-11,253.46,254.45,250.36,251.73,351728
2017-07-12,253.79,255.13,253.01,254.0,360273
2017-07-13,254.08,255.41,252.14,252.26,249754
2017-07-14,253.56,254.73,251.34,253.52,348810
2017-07-17,253.46,257.96,252.61,257.8,264315
2017-07-18,257.54,259.14,255.77,258.81,279847
2017-07-19,259.31,263.54,257.75,263.49,339418
2017-07-20,263.72,266.05,262.97,264.17,257891
2017-07-21,263.83,265.39,263.54,264.85,232598
2017-07-24,264.9,266.13,262.51,262.76,339402
2017-07-25,263.36,263.93,259.58,261.45,326238
2017-07-26,261.94,268.57,259.87,267.14,326655
2017-07-27,266.06,266.82,262.58,264.04,329384
2017-07-28,263.66,266.01,261.51,264.66,441977
2017-07-31,,,260.5,261.7,672256
2017-08-01,263.16,264.64,261.52,263.2,386631
2017-08-02,262.13,264.1,260.53,263.46,296867
2017-08-03,263.16,265.73,261.09,263.27,324809
2017-08-04,262.9,265.43,261.87,262.0,249679
2017-08-07,261.91,263.12,260.32,261.51,322701
2017-08-08,261.22,262.82,260.98,262.69,394297
2017-08-09,263.02,265.23,262.24,264.66,394257
2017-08-10,263.97,264.36,262.35,262.53,293602
2017-08-11,263.34,263.43,258.85,259.14,216120
2017-08-14,260.64,263.84,260.64,263.46,340870
2017-08-15,263.28,265.39,261.42,265.08,444893
2017-08-16,266.06,268.26,262.16,262.7,338374
2017-08-17,261.94,264.93,261.55,262.61,373350
2017-08-18,262.17,262.88,260.45,260.76,670628
2017-08-21,260.98,264.92,260.37,264.2,218225
2017-08-22,264.55,266.01,262.5,265.23,288397
2017-08-23,265.03,268.18,264.75,267.16,252017
2017-08-24,267.61,268.59,266.24,266.41,396526
2017-08-25,266.52,267.49,265.65,265.65,226924
2017-08-28,265.87,266.34,263.52,266.07,236526
2017-08-29,266.06,267.83,264.26,264.64,220722
2017-08-30,264.23,266.35,263.0,266.35,201592
2017-08-31,266.77,268.17,265.56,265.97,428093
2017-09-01,267.09,268.32,265.28,265.77,275680
2017-09-05,266.08,267.08,263.69,266.09,318122
2017-09-06,266.89,267.49,262.73,262.77,426427
2017-09-07,263.06,266.27,262.63,266.05,345773
2017-09-08,265.78,268.7,265.7,266.58,300607
2017-09-11,267.02,270.04,266.59,269.39,245486
2017-09-12,268.95,269.73,263.57,264.59,360229
2017-09-13,264.57,264.61,260.64,261.18,384048
2017-09-14,261.02,262.28,259.55,262.16,404965
2017-09-15,262.19,263.83,260.87,261.99,562503
2017-09-18,262.22,263.01,259.75,260.17,445410
2017-09-19,260.3,261.09,257.12,257.41,497234
2017-09-20,257.69,258.83,255.26,256.13,419357
2017-09-21,256.28,256.93,255.09,255.27,344640
2017-09-22,255.74,257.07,254.23,255.0,393085
2017-09-25,256.02,257.13,254.74,255.57,530954
2017-09-26,255.82,256.94,254.69,254.91,287467
2017-09-27,253.78,254.67,251.17,251.42,340974
2017-09-28,249.95,253.26,249.46,253.05,319163
2017-09-29,252.37,254.09,251.59,254.03,313599
