Date,Open,High,Low,Close,Volume
2016-10-04,118.05,119.12,117.2,119.12,2010456
2016-10-05,119.3,119.5,118.48,119.14,1377895
2016-10-06,119.04,119.05,117.45,118.53,1203197
2016-10-07,118.78,118.78,117.39,117.77,1174179
2016-10-10,118.34,119.5,117.9,118.77,1085775
2016-10-11,118.16,118.66,116.85,117.72,1874271
2016-10-12,118.6,119.42,117.95,118.79,2243446
2016-10-13,117.43,119.35,116.58,118.69,1109812
2016-10-14,118.77,121.25,118.76,120.8,2235392
2016-10-17,121.09,122.0,119.94,121.78,2256815
2016-10-18,122.86,124.23,122.15,122.83,3866079
2016-10-19,123.57,125.05,122.87,124.69,2752410
2016-10-20,126.82,128.02,123.88,124.66,3926278
2016-10-21,124.57,127.67,124.1,127.58,2171784
2016-10-24,128.11,129.17,127.04,127.69,2583417
2016-10-25,127.5,128.75,127.27,127.99,1917950
2016-10-26,127.76,127.77,125.35,125.54,2169239
2016-10-27,125.98,126.88,124.89,126.42,4204722
2016-10-28,128.85,133.55,128.24,131.64,6837190
2016-10-31,131.57,131.81,128.84,129.23,2596110
2016-11-01,129.79,130.35,124.49,125.99,3124691
2016-11-02,126.0,126.0,122.96,123.0,2810054
2016-11-03,123.52,126.24,123.02,125.29,2793398
2016-11-04,124.64,126.2,123.7,125.21,1587424
2016-11-07,126.79,127.47,125.68,126.49,2319485
2016-11-08,126.9,127.61,125.83,127.01,2345890
2016-11-09,123.98,125.74,123.58,124.75,2162443
2016-11-10,125.65,127.16,121.64,123.63,2352077
2016-11-11,123.5,123.77,120.32,121.2,3141800
2016-11-14,121.37,121.73,117.35,119.16,3185826
2016-11-15,122.02,124.76,121.24,123.54,2385098
2016-11-16,122.97,125.5,122.92,125.2,1564287
2016-11-17,125.4,127.12,125.14,126.58,2114929
2016-11-18,126.57,126.64,125.5,125.67,1370303
2016-11-21,125.74,126.87,125.74,126.46,1551637
2016-11-22,126.54,127.84,126.16,127.57,1391020
2016-11-23,127.5,127.87,125.54,126.37,1899685
2016-11-25,125.73,127.38,125.73,127.28,425644
2016-11-28,126.99,127.25,125.69,125.92,1037101
2016-11-29,126.23,126.73,124.78,125.1,983598
2016-11-30,125.82,125.87,123.89,124.05,1622074
2016-12-01,123.95,124.31,121.75,122.01,1931124
2016-12-02,122.4,122.63,120.52,121.0,1467838
2016-12-05,121.27,124.51,121.05,123.69,2633191
2016-12-06,124.04,124.4,123.66,123.77,1404705
2016-12-07,124.04,124.3,123.36,123.55,1753338
2016-12-08,124.22,124.32,122.97,123.0,2163488
2016-12-09,123.24,124.72,123.02,124.06,1556917
2016-12-12,123.77,124.04,119.34,120.25,2170819
2016-12-13,120.13,121.69,118.92,120.03,3169452
2016-12-14,120.21,120.56,115.55,116.39,4254256
2016-12-15,116.66,118.84,115.09,116.96,2985524
2016-12-16,117.79,118.9,115.66,116.66,2854511
2016-12-19,116.54,117.76,115.81,116.22,1957570
2016-12-20,115.3,118.31,115.3,117.09,4482202
2016-12-21,116.96,117.17,114.39,114.86,2910953
2016-12-22,114.9,115.17,113.73,114.4,1746805
2016-12-23,114.3,114.81,113.5,113.86,869518
2016-12-27,114.35,114.98,113.58,113.63,926472
2016-12-28,114.23,114.77,112.63,113.47,1062461
2016-12-29,113.22,114.21,113.0,113.97,1116629
2016-12-30,113.84,114.24,112.72,113.28,2083089
2017-01-03,114.04,114.14,111.88,112.44,2244824
2017-01-04,112.97,114.52,112.7,113.74,2892317
2017-01-05,113.74,114.84,112.9,114.69,2167631
2017-01-06,116.42,117.88,116.13,116.45,3362698
2017-01-09,117.89,118.0,116.14,117.3,3212436
2017-01-10,115.9,118.25,115.7,117.62,2656780
2017-01-11,118.17,118.2,116.25,117.2,1545925
2017-01-12,117.01,118.12,116.41,118.01,1353304
2017-01-13,118.01,120.44,117.81,118.81,2414069
2017-01-17,119.29,120.42,118.25,118.58,1320016
2017-01-18,118.95,119.51,117.91,119.34,998654
2017-01-19,119.72,119.83,118.41,118.84,991525
2017-01-20,119.75,120.29,118.68,119.92,1485728
2017-01-23,120.0,120.7,118.98,119.99,1369900
2017-01-24,120.37,120.56,119.27,120.22,1454478
2017-01-25,120.97,121.43,120.4,120.86,1058334
2017-01-26,121.33,121.73,120.57,121.23,1110402
2017-01-27,121.41,122.08,120.92,122.0,945510
2017-01-30,121.4,121.8,119.61,121.53,1621892
2017-01-31,121.46,121.65,120.04,121.59,1130574
2017-02-01,121.78,121.95,120.28,120.77,1128568
2017-02-02,120.45,121.23,120.02,120.59,1260834
2017-02-03,120.71,121.62,120.49,121.53,1245675
2017-02-06,121.12,122.06,120.5,122.05,1346827
2017-02-07,122.5,123.08,121.75,122.34,1949238
2017-02-08,122.0,123.08,121.14,122.84,1705905
2017-02-09,123.15,123.94,121.7,123.25,3165247
2017-02-10,125.01,126.41,120.63,122.65,6466857
2017-02-13,123.06,123.06,119.22,119.5,3833325
2017-02-14,119.17,120.1,118.82,119.67,2930254
2017-02-15,119.54,121.9,119.36,120.88,2251437
2017-02-16,120.75,121.42,119.65,119.85,2008430
2017-02-17,119.36,119.76,118.55,119.41,1685049
