Date,Open,High,Low,Close,Volume
2016-10-04,124.0,125.47,123.96,124.74,559615
2016-10-05,124.69,125.97,124.32,125.5,448426
2016-10-06,125.15,125.49,124.41,124.94,387908
2016-10-07,124.86,124.87,123.45,124.14,276267
2016-10-10,124.94,125.0,123.17,123.23,362474
2016-10-11,123.22,123.3,121.22,121.81,874094
2016-10-12,119.0,119.29,117.74,117.8,1040262
2016-10-13,117.39,117.39,114.45,116.13,868681
2016-10-14,116.69,117.99,116.2,116.74,491044
2016-10-17,116.79,117.28,116.14,116.4,318095
2016-10-18,117.28,118.55,116.66,117.56,537673
2016-10-19,117.34,120.42,116.06,118.75,1162924
2016-10-20,118.72,119.1,117.43,118.09,594091
2016-10-21,117.64,119.33,116.88,118.07,902294
2016-10-24,118.95,119.86,118.04,118.76,656371
2016-10-25,118.46,119.35,116.5,117.22,633000
2016-10-26,117.22,120.74,117.22,119.54,856243
2016-10-27,129.9,133.0,127.5,130.99,5094395
2016-10-28,131.27,135.92,130.9,134.66,1857776
2016-10-31,134.92,138.55,134.32,138.21,1452197
2016-11-01,137.47,138.21,135.74,136.98,1544882
2016-11-02,135.55,137.27,134.01,135.32,1323182
2016-11-03,134.6,139.08,134.42,137.81,1610263
2016-11-04,137.65,137.94,135.7,135.73,1060202
2016-11-07,137.5,138.37,135.95,136.45,972409
2016-11-08,136.67,137.99,135.73,137.77,486644
2016-11-09,136.72,140.97,136.0,140.23,1074648
2016-11-10,140.42,141.83,138.24,139.85,1053960
2016-11-11,139.1,141.37,138.0,141.15,779579
2016-11-14,141.43,143.2,141.22,141.95,780362
2016-11-15,143.17,144.0,142.27,143.44,882895
2016-11-16,142.91,144.0,140.99,142.7,688980
2016-11-17,141.44,144.04,140.9,143.91,841024
2016-11-18,143.43,144.28,141.32,142.01,859616
2016-11-21,142.61,143.94,141.85,143.77,782088
2016-11-22,143.99,144.06,142.61,143.75,617976
2016-11-23,144.0,144.11,142.78,143.9,424280
2016-11-25,143.66,144.14,142.86,144.12,238048
2016-11-28,143.35,144.0,142.47,142.61,385235
2016-11-29,142.9,143.93,142.57,142.81,336159
2016-11-30,141.96,142.85,139.5,140.75,800314
2016-12-01,141.12,141.95,138.48,139.36,901131
2016-12-02,138.79,139.34,136.97,138.99,595363
2016-12-05,139.58,140.95,138.48,140.33,667132
2016-12-06,141.31,141.9,139.59,140.86,454538
2016-12-07,140.43,141.25,138.55,141.16,758219
2016-12-08,141.72,144.32,141.54,142.83,569630
2016-12-09,142.65,143.16,141.6,142.54,416468
2016-12-12,142.34,142.89,140.28,141.22,687475
2016-12-13,141.9,143.08,140.66,142.36,509797
2016-12-14,144.94,147.25,143.69,144.08,1156354
2016-12-15,144.65,146.64,143.43,145.54,675521
2016-12-16,144.93,145.38,143.76,144.64,1090293
2016-12-19,144.73,145.57,144.32,145.15,374133
2016-12-20,145.81,147.23,145.74,146.56,446651
2016-12-21,146.66,148.34,145.76,146.11,398998
2016-12-22,146.34,147.74,143.91,144.24,511134
2016-12-23,144.39,145.56,144.0,145.45,247692
2016-12-27,145.64,146.88,144.76,145.33,273835
2016-12-28,145.18,145.96,143.95,144.06,269938
2016-12-29,144.39,145.88,144.02,144.92,398196
2016-12-30,144.96,145.5,144.09,144.72,366586
2017-01-03,145.65,145.87,143.76,144.8,521546
2017-01-04,144.91,146.72,144.29,145.46,459822
2017-01-05,145.13,146.98,143.92,144.42,500949
2017-01-06,144.29,145.37,143.88,144.45,461519
2017-01-09,144.01,144.29,142.07,144.15,814092
2017-01-10,144.63,145.0,143.98,144.24,523282
2017-01-11,144.0,144.99,143.5,144.03,465498
2017-01-12,143.82,144.67,141.8,142.99,425478
2017-01-13,143.56,144.68,142.74,143.37,451617
2017-01-17,142.87,143.5,140.75,141.63,718626
2017-01-18,141.5,143.23,141.45,142.84,659883
2017-01-19,143.17,144.19,141.92,142.54,589449
2017-01-20,142.97,143.39,141.88,142.1,434368
2017-01-23,142.08,142.85,140.28,141.14,669711
2017-01-24,141.54,144.61,141.28,144.15,594677
2017-01-25,144.96,145.89,143.27,145.75,1222744
2017-01-26,139.3,139.87,132.58,133.72,2725193
2017-01-27,133.28,138.27,133.28,135.54,1342655
2017-01-30,135.06,135.58,133.75,134.69,838859
2017-01-31,132.6,135.49,132.51,134.03,985482
2017-02-01,134.07,134.09,131.54,132.34,1292752
2017-02-02,130.8,134.79,130.61,134.45,1159597
2017-02-03,134.4,136.52,134.4,136.23,969780
