Date,Open,High,Low,Close,Volume
2016-10-04,20.25,20.71,20.25,20.47,9247985
2016-10-05,20.44,20.89,20.44,20.74,7166042
2016-10-06,20.8,20.94,20.55,20.74,5597445
2016-10-07,20.65,20.82,20.48,20.69,6015005
2016-10-10,20.76,20.87,20.64,20.68,6503817
2016-10-11,20.25,20.76,20.24,20.39,7407111
2016-10-12,20.44,20.58,20.34,20.37,6378439
2016-10-13,20.17,20.23,19.64,19.74,12800135
2016-10-14,19.97,20.16,19.68,19.8,17027636
2016-10-17,19.81,19.84,19.57,19.58,8249134
2016-10-18,19.96,19.97,19.58,19.87,9141310
2016-10-19,19.91,20.69,19.87,20.52,17204890
2016-10-20,20.31,21.13,20.3,21.02,17496775
2016-10-21,20.87,21.24,20.83,21.21,6436276
2016-10-24,21.4,21.46,21.25,21.31,5864933
2016-10-25,21.26,21.45,21.19,21.28,7439580
2016-10-26,21.23,21.69,21.11,21.67,6615698
2016-10-27,21.82,22.07,21.71,21.82,8360222
2016-10-28,21.9,21.92,21.48,21.61,5832413
2016-10-31,21.74,21.96,21.66,21.76,6959521
2016-11-01,21.9,22.08,21.44,21.85,6928286
2016-11-02,21.78,21.78,21.48,21.62,5955588
2016-11-03,21.66,21.76,21.34,21.42,5409625
2016-11-04,21.41,21.54,21.18,21.21,8043792
2016-11-07,21.7,21.96,21.68,21.9,6174300
2016-11-08,21.81,21.84,21.51,21.65,7178314
2016-11-09,22.22,23.13,22.09,22.95,14189621
2016-11-10,23.25,23.93,23.09,23.74,13716036
2016-11-11,23.7,24.5,23.56,24.47,10993569
2016-11-14,24.81,25.61,24.77,25.27,12131957
2016-11-15,25.12,25.68,24.66,25.67,9359063
2016-11-16,25.19,25.37,24.76,24.9,10863308
2016-11-17,25.0,25.45,24.8,25.43,6263873
2016-11-18,25.43,25.75,25.28,25.68,5613626
2016-11-21,25.75,25.89,25.61,25.85,6480572
2016-11-22,26.0,26.18,25.75,26.14,9325351
2016-11-23,26.28,26.62,26.08,26.29,10900605
2016-11-25,26.38,26.4,26.08,26.14,3297388
2016-11-28,26.01,26.18,25.27,25.38,9961981
2016-11-29,25.5,25.73,25.3,25.39,6859196
2016-11-30,25.89,26.21,25.66,26.02,11881443
2016-12-01,26.23,26.7,26.07,26.44,7542319
2016-12-02,26.4,26.43,25.82,25.89,8486962
2016-12-05,26.23,26.31,25.96,26.09,5712399
2016-12-06,26.29,26.34,25.86,26.32,6346449
2016-12-07,26.37,26.58,26.08,26.55,8108337
2016-12-08,26.75,27.12,26.41,26.98,8131370
2016-12-09,26.97,27.0,26.62,26.89,6558592
2016-12-12,26.9,26.98,26.47,26.54,7185315
2016-12-13,26.72,26.88,26.34,26.76,6125445
2016-12-14,26.52,27.31,26.35,26.91,9315254
2016-12-15,27.04,27.32,26.82,27.2,7213253
2016-12-16,27.1,27.42,26.74,26.8,10180077
2016-12-19,26.72,27.26,26.65,27.23,7136217
2016-12-20,27.38,27.88,27.26,27.79,5873079
2016-12-21,27.83,27.84,27.6,27.69,3270783
2016-12-22,27.73,27.78,27.45,27.62,3482554
2016-12-23,27.65,27.69,27.45,27.68,2275533
2016-12-27,27.69,27.82,27.63,27.76,2416194
2016-12-28,27.63,27.7,27.22,27.26,2906561
2016-12-29,27.3,27.34,26.6,26.73,5521661
2016-12-30,26.83,27.08,26.63,26.97,4901569
2017-01-03,27.33,27.56,26.82,27.05,6369018
2017-01-04,27.1,27.6,27.05,27.42,4651827
2017-01-05,27.28,27.35,26.55,26.64,8035185
2017-01-06,26.84,27.07,26.61,26.87,6093898
2017-01-09,26.73,26.94,26.52,26.76,3818071
2017-01-10,26.85,27.32,26.73,27.07,5239502
2017-01-11,26.83,27.1,26.68,27.09,5900157
2017-01-12,26.98,27.06,26.54,26.91,4526279
2017-01-13,27.01,27.69,27.0,27.29,5095736
2017-01-17,27.02,27.1,25.69,26.03,14325146
2017-01-18,26.15,26.34,25.86,26.33,9338897
2017-01-19,26.41,26.6,25.96,25.99,5618710
2017-01-20,26.17,26.44,26.07,26.29,5433660
2017-01-23,26.29,26.57,26.15,26.5,7614468
2017-01-24,26.73,26.76,25.66,26.6,12164961
2017-01-25,26.8,26.99,26.62,26.91,9686555
2017-01-26,27.02,27.25,26.88,27.11,5173801
2017-01-27,27.2,27.23,26.67,26.76,5038264
2017-01-30,26.58,26.6,25.96,26.33,6398303
2017-01-31,26.01,26.4,26.01,26.1,8928823
2017-02-01,26.37,26.6,26.1,26.24,6181538
2017-02-02,25.97,26.09,25.76,25.94,6590906
2017-02-03,26.46,26.67,26.14,26.52,6312082
2017-02-06,26.43,26.86,26.36,26.76,6250956
2017-02-07,26.84,26.88,26.3,26.49,4923643
2017-02-08,26.23,26.32,25.68,25.89,7384282
2017-02-09,26.0,26.33,25.86,26.15,7587291
2017-02-10,26.38,26.66,26.21,26.51,4849787
2017-02-13,26.68,26.94,26.62,26.74,4321748
2017-02-14,26.7,27.58,26.64,27.55,6563790
2017-02-15,27.78,27.78,27.28,27.56,6620680
2017-02-16,27.54,27.67,27.42,27.6,6024698
2017-02-17,27.38,27.55,27.23,27.54,3990251
2017-02-21,27.66,27.82,27.42,27.57,4878192
2017-02-22,27.42,27.59,27.27,27.5,5974243
2017-02-23,27.6,27.6,27.14,27.47,4619311
2017-02-24,27.21,27.34,27.02,27.32,5504089
2017-02-27,27.38,27.74,27.24,27.57,4637841
