Date,Open,High,Low,Close,Volume
2016-10-04,25.13,25.44,25.01,25.15,2533533
2016-10-05,25.27,25.32,25.0,25.01,2261454
2016-10-06,24.92,25.11,24.74,24.9,1755091
2016-10-07,25.21,25.77,24.56,24.68,1830434
2016-10-10,24.75,25.08,24.75,25.01,1309684
2016-10-11,25.03,25.08,24.72,24.83,3133754
2016-10-12,24.77,24.9,24.64,24.76,2708459
2016-10-13,24.54,24.84,24.4,24.76,2853019
2016-10-14,24.81,25.04,24.74,24.86,4783563
2016-10-17,24.85,24.96,24.77,24.79,4320581
2016-10-18,25.02,25.22,24.92,25.07,2540553
2016-10-19,25.18,25.57,25.1,25.32,2972595
2016-10-20,25.18,25.49,25.04,25.36,8615528
2016-10-21,25.23,26.15,25.11,25.91,4106774
2016-10-24,26.12,26.27,25.48,25.67,3235236
2016-10-25,25.68,25.84,25.6,25.71,1939030
2016-10-26,25.71,26.58,25.61,26.52,3107169
2016-10-27,26.57,26.61,26.12,26.24,2360224
2016-10-28,26.21,26.42,26.14,26.24,3112861
2016-10-31,26.3,26.5,26.24,26.39,4552712
2016-11-01,26.41,26.41,25.99,26.19,7137066
2016-11-02,26.21,26.23,25.7,25.75,6825856
2016-11-03,26.7,27.7,26.66,27.53,10103792
2016-11-04,27.22,27.47,26.66,26.69,8693503
2016-11-07,27.17,27.22,26.86,27.19,4168224
2016-11-08,27.22,27.3,26.84,27.08,4453364
2016-11-09,26.4,27.46,26.3,27.33,6291709
2016-11-10,27.35,27.64,26.99,27.16,4615392
2016-11-11,27.11,27.14,26.7,27.0,3689819
2016-11-14,27.08,27.38,26.99,27.33,5015343
2016-11-15,27.3,27.48,27.21,27.4,3858069
2016-11-16,27.39,27.55,27.28,27.49,2415766
2016-11-17,27.36,27.81,27.31,27.81,2339233
2016-11-18,27.74,27.91,27.64,27.69,3242426
2016-11-21,27.73,27.75,27.54,27.73,2215507
2016-11-22,27.83,28.19,27.68,28.14,2923285
2016-11-23,28.15,28.36,28.03,28.28,3264574
2016-11-25,28.21,28.3,28.13,28.26,1991098
2016-11-28,28.16,28.31,27.99,28.19,3241602
2016-11-29,28.29,28.42,28.13,28.36,3465601
2016-11-30,28.32,28.44,27.98,28.06,5197506
2016-12-01,28.01,28.27,27.89,28.08,4193964
2016-12-02,28.13,28.19,27.21,27.37,2858366
2016-12-05,27.49,27.57,26.82,27.53,3648957
2016-12-06,27.5,27.63,27.19,27.37,4177026
2016-12-07,27.22,27.97,27.22,27.95,4722205
2016-12-08,28.01,28.49,27.98,28.48,2825025
2016-12-09,28.54,29.63,27.42,27.92,13266743
2016-12-12,27.74,27.78,25.94,26.19,7466272
2016-12-13,26.27,26.91,26.23,26.9,5311981
2016-12-14,26.94,27.84,26.92,27.59,8526687
2016-12-15,27.68,27.8,27.22,27.39,6104069
2016-12-16,27.45,28.08,27.31,27.73,10140475
2016-12-19,27.81,27.9,27.54,27.63,2557243
2016-12-20,27.65,27.92,27.51,27.59,2780285
2016-12-21,27.62,27.75,27.46,27.74,3436462
2016-12-22,27.6,27.8,27.5,27.75,3776492
2016-12-23,27.78,27.8,27.57,27.7,1382776
2016-12-27,27.82,27.99,27.69,27.84,1284490
2016-12-28,27.9,27.94,27.64,27.66,2014309
2016-12-29,27.65,27.81,27.44,27.48,1249328
2016-12-30,27.5,27.52,27.08,27.25,2885413
2017-01-03,27.74,28.15,27.54,28.0,2938360
2017-01-04,28.0,28.38,28.0,28.25,2740956
2017-01-05,28.13,28.42,27.9,28.34,4393701
2017-01-06,28.4,28.89,28.21,28.85,2005112
2017-01-09,28.8,28.89,28.55,28.77,1827309
2017-01-10,28.71,29.29,28.56,28.92,2829212
2017-01-11,28.89,29.45,28.82,29.44,3484244
2017-01-12,29.34,29.41,28.97,29.08,3124030
2017-01-13,29.02,29.31,28.92,29.25,1912909
2017-01-17,29.14,29.34,29.1,29.25,1804773
2017-01-18,29.32,29.56,29.2,29.52,1983365
2017-01-19,29.52,29.61,29.08,29.21,2026413
2017-01-20,29.4,29.55,29.16,29.55,2532322
2017-01-23,29.49,29.61,29.25,29.51,1523378
2017-01-24,29.61,29.81,29.38,29.79,1667930
2017-01-25,29.89,29.98,29.72,29.8,2568601
2017-01-26,29.85,30.97,29.82,30.59,3083025
2017-01-27,30.7,30.96,30.42,30.85,1815080
2017-01-30,30.83,30.99,30.53,30.98,2027296
2017-01-31,30.81,31.08,30.64,31.01,2274168
2017-02-01,31.03,31.3,30.94,31.24,2918255
2017-02-02,31.21,31.23,30.94,31.16,1929127
2017-02-03,31.3,31.3,30.87,31.09,1658307
2017-02-06,30.94,31.12,30.68,30.72,2339490
2017-02-07,30.45,31.08,29.8,30.16,5893165
2017-02-08,30.08,30.19,29.58,29.82,3864297
2017-02-09,29.95,30.1,29.64,29.71,1932516
2017-02-10,29.8,29.85,29.53,29.65,3051973
2017-02-13,29.85,29.86,29.26,29.48,3461498
2017-02-14,29.5,30.08,29.35,30.02,2676206
2017-02-15,29.8,30.33,29.77,30.33,2194068
2017-02-16,30.31,30.31,29.95,30.08,1984041
2017-02-17,30.05,30.12,29.75,29.92,2438244
2017-02-21,29.95,30.28,29.78,30.06,2645449
2017-02-22,29.97,30.23,29.96,30.15,1681656
2017-02-23,30.16,30.32,29.78,30.0,2604962
2017-02-24,30.16,30.24,29.93,30.23,2689559
2017-02-27,30.09,30.28,29.78,30.01,2232394
2017-02-28,29.96,29.98,29.33,29.35,5615077
2017-03-01,29.51,30.08,29.51,29.86,3895249
2017-03-02,29.77,29.86,29.51,29.71,2360594
2017-03-03,29.71,29.99,29.49,29.95,1888147
2017-03-06,29.89,30.48,29.78,30.2,2573741
2017-03-07,30.02,30.21,29.77,30.11,2752302
2017-03-08,30.09,30.16,29.88,29.98,2257992
2017-03-09,30.0,30.36,30.0,30.26,3041348
2017-03-10,30.27,30.4,29.83,29.96,3588970
2017-03-13,29.95,30.05,29.85,29.95,1585948
2017-03-14,29.88,30.04,29.78,29.92,1254621
2017-03-15,30.05,30.43,29.92,30.32,2329074
2017-03-16,30.25,30.3,30.0,30.2,2141831
2017-03-17,30.41,30.48,30.06,30.27,3243312
2017-03-20,30.27,30.46,30.06,30.09,1010655
2017-03-21,30.23,30.33,30.02,30.09,2703347
2017-03-22,30.17,30.53,30.02,30.42,2250647
2017-03-23,30.4,30.94,30.27,30.75,3010282
2017-03-24,30.84,31.18,30.64,30.88,2496218
2017-03-27,30.83,31.37,30.68,31.25,2672410
2017-03-28,31.16,31.92,31.15,31.82,3456494
2017-03-29,31.66,31.79,31.47,31.51,1627574
2017-03-30,31.45,31.7,31.34,31.67,1490562
2017-03-31,31.58,31.88,31.58,31.78,2018551
2017-04-03,31.77,31.94,31.43,31.57,1681118
2017-04-04,31.5,31.55,31.05,31.21,1909945
2017-04-05,31.2,31.26,30.73,30.83,2357388
2017-04-06,30.81,30.81,30.08,30.55,3229907
2017-04-07,30.6,30.68,30.29,30.54,1592146
2017-04-10,30.62,30.82,30.46,30.6,2371344
2017-04-11,30.49,30.62,30.17,30.47,1822499
2017-04-12,30.36,30.46,29.95,30.14,2172287
2017-04-13,30.24,30.44,29.86,29.86,1611000
2017-04-17,29.96,30.22,29.94,30.16,1906172
2017-04-18,30.04,30.17,29.79,30.05,1818175
2017-04-19,30.13,30.29,29.81,29.81,2924613
2017-04-20,29.98,30.64,29.81,30.55,3395499
2017-04-21,30.56,30.66,30.14,30.22,1798357
2017-04-24,30.5,30.58,29.65,29.75,3197209
2017-04-25,29.79,30.06,29.78,29.89,4720183
2017-04-26,29.93,30.21,29.85,30.05,1911541
2017-04-27,30.04,30.14,29.82,29.93,2973757
2017-04-28,29.99,29.99,29.64,29.86,1925298
2017-05-01,29.95,29.95,29.56,29.69,2280503
