Date,Open,High,Low,Close,Volume
2016-10-04,27.0,27.05,26.41,26.53,4657383
2016-10-05,26.61,26.82,25.89,26.1,4347711
2016-10-06,26.05,26.33,25.77,26.07,6627359
2016-10-07,26.26,26.59,25.78,25.97,3312335
2016-10-10,26.0,26.21,25.87,26.14,5833713
2016-10-11,26.11,26.27,25.67,25.71,4587555
2016-10-12,25.54,26.1,25.53,26.06,4281861
2016-10-13,25.85,26.17,25.82,26.0,3680845
2016-10-14,26.39,26.59,26.06,26.17,4626572
2016-10-17,26.12,26.48,26.11,26.2,2479894
2016-10-18,26.36,26.52,26.21,26.23,2562624
2016-10-19,26.16,26.36,26.0,26.31,3515722
2016-10-20,26.37,26.58,25.99,26.12,2170061
2016-10-21,25.92,26.16,25.92,26.0,2576248
2016-10-24,26.15,26.45,26.02,26.08,2800350
2016-10-25,26.01,26.16,25.97,26.05,2388386
2016-10-26,25.9,25.9,24.97,25.46,5701443
2016-10-27,25.48,25.53,24.6,24.63,8314867
2016-10-28,24.71,25.04,24.58,24.6,4336573
2016-10-31,24.75,25.03,24.54,24.95,6301264
2016-11-01,25.07,25.5,24.5,24.7,6332780
2016-11-02,24.72,24.76,24.24,24.25,4746219
2016-11-03,24.22,24.55,24.19,24.44,4429793
2016-11-04,24.48,24.76,24.34,24.68,3519237
2016-11-07,25.02,25.36,25.0,25.18,3233930
2016-11-08,25.1,25.32,24.97,25.22,2712609
2016-11-09,24.65,24.95,23.89,24.83,4922035
2016-11-10,24.87,25.48,24.2,25.25,9534236
2016-11-11,25.21,25.79,25.19,25.31,4767873
2016-11-14,25.34,26.3,25.19,26.24,6499322
2016-11-15,26.42,27.1,26.06,26.2,7321500
2016-11-16,26.19,26.2,25.49,25.7,3324232
2016-11-17,25.66,25.75,25.27,25.45,4789327
2016-11-18,25.47,25.61,25.12,25.19,3526948
2016-11-21,25.26,25.52,25.0,25.03,3298470
2016-11-22,25.12,25.37,25.07,25.29,3715595
2016-11-23,25.13,25.45,24.93,25.41,3256432
2016-11-25,25.42,25.65,25.24,25.43,1696725
2016-11-28,25.37,25.76,25.36,25.69,4209001
2016-11-29,25.75,26.15,25.59,25.66,4424603
2016-11-30,25.4,25.58,25.15,25.34,6515860
2016-12-01,25.18,25.2,24.66,24.84,5182008
2016-12-02,24.92,25.53,24.92,25.46,3864543
2016-12-05,25.5,25.59,25.28,25.59,3019495
2016-12-06,25.69,25.85,25.5,25.62,3100290
2016-12-07,25.7,26.12,25.64,26.09,3001085
2016-12-08,25.96,26.42,25.76,26.33,3157440
2016-12-09,26.31,26.58,26.16,26.2,2938020
2016-12-12,26.1,26.63,26.07,26.58,4656290
2016-12-13,26.47,26.58,26.0,26.27,3361768
2016-12-14,26.19,26.42,25.82,25.86,4286420
2016-12-15,25.86,26.21,25.69,25.76,3221201
2016-12-16,25.97,26.43,25.84,26.09,11584864
2016-12-19,26.26,26.4,26.06,26.15,3737178
2016-12-20,26.16,26.32,25.9,26.08,3476083
2016-12-21,26.11,26.35,25.35,25.38,4451526
2016-12-22,25.12,25.14,24.44,24.54,5727386
2016-12-23,24.6,24.62,24.23,24.56,3496367
2016-12-27,24.5,24.73,24.36,24.57,2663093
2016-12-28,24.59,24.61,24.26,24.41,4120093
2016-12-29,24.52,24.66,24.28,24.51,3247343
2016-12-30,24.58,25.0,24.45,24.98,6127936
2017-01-03,25.19,25.41,24.73,25.37,4969462
2017-01-04,25.47,26.04,25.46,25.98,4512342
2017-01-05,25.5,26.03,24.76,26.0,6507446
2017-01-06,25.89,26.2,25.48,26.0,4351457
2017-01-09,25.9,26.04,25.46,25.55,4109312
2017-01-10,25.48,25.53,25.01,25.04,3088633
2017-01-11,25.0,25.3,24.85,24.93,3338352
2017-01-12,24.89,24.97,24.66,24.9,3020782
2017-01-13,24.88,25.03,24.58,24.82,2456908
2017-01-17,24.9,25.01,24.78,24.93,5090439
2017-01-18,24.93,25.3,24.84,25.1,3140480
2017-01-19,25.03,25.05,24.46,24.63,3830657
2017-01-20,24.55,25.0,24.35,24.99,5217465
2017-01-23,24.92,25.79,24.84,25.62,10241842
2017-01-24,25.62,25.91,25.23,25.25,6098303
2017-01-25,25.21,25.29,24.76,24.78,4091895
2017-01-26,24.87,25.03,24.66,24.68,2642570
2017-01-27,24.77,24.8,23.95,24.22,4048097
2017-01-30,24.65,24.65,23.77,23.96,5414104
2017-01-31,24.2,25.21,24.2,24.84,7309000
2017-02-01,24.95,25.21,24.7,24.71,5247095
2017-02-02,24.7,25.0,24.66,24.75,4080872
2017-02-03,24.9,25.08,24.64,24.94,4211988
2017-02-06,24.93,25.28,24.92,25.06,3493562
2017-02-07,24.73,25.22,24.73,24.81,3842232
2017-02-08,24.85,25.18,24.84,25.05,3470649
2017-02-09,25.1,25.4,24.97,25.38,3336801
2017-02-10,25.32,25.52,25.25,25.48,2494424
2017-02-13,25.55,25.72,25.14,25.3,2252635
2017-02-14,25.27,25.27,24.94,25.03,2882213
2017-02-15,24.95,25.1,24.39,25.01,4561916
2017-02-16,25.0,25.2,24.92,25.0,4279827
2017-02-17,25.02,25.28,24.86,25.02,3698276
2017-02-21,25.03,25.6,24.98,25.59,3028330
2017-02-22,25.55,25.69,25.31,25.51,2440618
2017-02-23,25.62,25.62,25.38,25.44,2449408
2017-02-24,25.45,25.47,24.78,25.05,7714218
2017-02-27,25.16,25.4,24.98,25.21,4617420
2017-02-28,25.21,25.26,24.7,24.86,3764340
2017-03-01,24.86,24.87,24.45,24.78,7368410
2017-03-02,24.63,24.8,24.44,24.58,3223226
2017-03-03,24.58,24.64,24.08,24.4,5139746
2017-03-06,24.36,24.39,24.08,24.27,3619710
2017-03-07,24.3,24.34,23.7,23.92,4331334
2017-03-08,23.85,23.85,23.36,23.58,6796845
2017-03-09,23.63,23.7,22.86,22.92,8197974
2017-03-10,23.07,23.26,22.89,23.05,5550406
2017-03-13,23.12,23.3,22.92,23.28,6479782
2017-03-14,23.07,23.21,22.9,23.0,7997522
2017-03-15,23.13,23.78,23.06,23.62,5095492
2017-03-16,23.63,23.75,23.39,23.47,4376342
2017-03-17,23.52,23.57,23.19,23.32,6414516
2017-03-20,23.34,23.4,23.09,23.19,5122491
2017-03-21,23.31,23.36,22.96,23.21,5600339
2017-03-22,23.2,23.2,22.39,22.66,9675577
2017-03-23,22.67,23.18,22.65,23.01,5657888
2017-03-24,23.02,23.27,22.96,23.11,3548325
2017-03-27,23.08,23.26,22.65,22.72,5432181
2017-03-28,22.72,22.84,22.34,22.68,13144984
2017-03-29,22.66,23.07,22.47,23.0,7442649
2017-03-30,22.97,23.1,22.76,22.94,7562647
2017-03-31,22.92,23.41,22.89,23.18,4513222
2017-04-03,23.2,23.76,23.05,23.59,5298024
2017-04-04,23.6,23.8,23.2,23.24,6468341
2017-04-05,23.31,23.39,22.94,22.98,5850143
2017-04-06,22.95,23.06,22.72,23.04,7389492
2017-04-07,23.04,23.22,22.93,23.06,5990401
2017-04-10,23.11,23.52,22.9,23.45,7709102
2017-04-11,23.21,23.4,23.12,23.28,4592756
2017-04-12,23.29,23.56,23.18,23.21,4027116
2017-04-13,23.22,23.34,23.1,23.15,4073637
2017-04-17,23.24,23.51,23.24,23.44,7353476
2017-04-18,23.4,23.59,23.29,23.58,4271054
2017-04-19,23.6,23.8,23.45,23.65,4574828
2017-04-20,23.69,23.69,23.42,23.54,4455443
2017-04-21,23.51,23.54,23.19,23.31,3719242
2017-04-24,23.54,23.54,22.54,22.55,9617625
2017-04-25,22.66,22.66,22.46,22.61,5840688
2017-04-26,22.65,22.65,21.95,21.97,6663254
2017-04-27,22.06,22.46,22.04,22.14,5090789
2017-04-28,22.13,22.13,21.52,21.61,7580980
2017-05-01,21.37,23.07,21.05,22.61,15167100
2017-05-02,22.61,23.44,22.57,23.04,15588741
2017-05-03,23.12,23.12,22.27,22.43,8296965
2017-05-04,22.26,22.34,21.55,22.3,10187105
2017-05-05,22.34,22.5,22.13,22.27,8689472
2017-05-08,22.31,22.42,21.73,22.19,8960247
2017-05-09,22.19,22.38,21.92,22.3,7599746
