Date,Open,High,Low,Close,Volume
2016-10-04,73.7,73.76,71.49,71.88,2479815
2016-10-05,72.07,72.52,70.15,70.38,2847497
2016-10-06,70.16,70.78,69.11,70.33,3066033
2016-10-07,70.71,71.49,69.26,69.54,2749918
2016-10-10,69.6,70.39,69.5,69.79,1279024
2016-10-11,69.59,69.98,68.64,68.74,1775646
2016-10-12,68.75,69.46,68.73,69.12,1420324
2016-10-13,69.0,70.12,68.81,69.89,1594351
2016-10-14,70.69,70.69,68.91,69.43,1508602
2016-10-17,69.59,70.01,69.21,69.33,1496023
2016-10-18,69.98,70.74,69.71,70.33,1473429
2016-10-19,70.42,70.92,70.16,70.59,1963244
2016-10-20,70.61,71.13,70.3,70.88,1619480
2016-10-21,70.45,70.89,70.28,70.5,1266755
2016-10-24,70.85,71.7,70.49,70.86,1121363
2016-10-25,70.79,71.1,70.35,70.97,1118845
2016-10-26,70.44,70.58,69.28,69.69,1075593
2016-10-27,69.36,69.45,67.62,68.4,1863990
2016-10-28,68.76,69.15,68.11,68.45,1946260
2016-10-31,68.89,69.15,68.3,68.53,2497706
2016-11-01,68.28,68.54,66.46,67.41,3891625
2016-11-02,67.36,68.22,67.0,67.21,4007895
2016-11-03,67.07,67.07,65.75,65.98,3366215
2016-11-04,65.05,65.62,64.24,65.14,2634699
2016-11-07,65.98,66.27,64.93,66.24,2251976
2016-11-08,65.97,66.28,64.86,64.97,2692798
2016-11-09,63.24,63.92,61.39,62.75,4956055
2016-11-10,62.57,62.6,59.39,61.01,6131246
2016-11-11,60.81,62.07,60.71,61.52,3337540
2016-11-14,61.36,64.06,60.62,63.72,3366305
2016-11-15,63.87,65.15,62.36,62.76,2559821
2016-11-16,62.87,63.47,62.3,63.01,2493898
2016-11-17,63.04,63.47,61.67,61.98,2037863
2016-11-18,62.05,62.67,61.69,62.49,2177514
2016-11-21,62.75,63.0,61.72,61.85,2311205
2016-11-22,62.11,62.58,61.65,62.42,2598240
2016-11-23,61.9,62.32,61.38,62.18,2108121
2016-11-25,62.17,63.17,61.86,62.64,817025
2016-11-28,62.66,63.58,62.45,63.4,2467155
2016-11-29,63.44,64.27,63.05,64.19,2438392
2016-11-30,63.38,63.8,62.43,62.78,4513008
2016-12-01,62.54,62.59,61.08,61.41,2439004
2016-12-02,62.02,63.69,61.96,62.78,2688595
2016-12-05,62.73,63.11,62.07,62.66,2648568
2016-12-06,62.65,63.9,62.5,63.55,2460886
2016-12-07,63.87,65.3,63.76,65.27,2809887
2016-12-08,64.79,65.7,64.35,65.61,2119386
2016-12-09,65.53,66.46,65.48,65.67,1658655
2016-12-12,65.51,66.62,65.05,66.54,2087327
2016-12-13,66.64,66.73,66.02,66.59,2309667
2016-12-14,66.56,66.59,64.4,64.49,2747587
2016-12-15,64.23,64.5,63.05,63.34,4009650
2016-12-16,63.89,65.58,63.89,65.18,5069118
2016-12-19,65.73,66.9,65.73,66.38,1822383
2016-12-20,66.31,67.0,65.94,66.46,1386453
2016-12-21,66.47,67.2,65.25,65.31,1634565
2016-12-22,65.05,65.56,64.45,65.34,1288992
2016-12-23,65.45,65.72,65.05,65.51,909192
2016-12-27,65.56,66.1,65.24,65.86,1219129
2016-12-28,65.86,65.94,65.02,65.4,1007654
2016-12-29,65.53,66.27,65.13,65.77,1506756
2016-12-30,65.91,67.07,65.63,66.93,1688157
2017-01-03,67.11,67.11,65.84,66.17,2085033
2017-01-04,66.11,66.91,65.9,66.68,2070740
2017-01-05,67.31,68.32,66.39,68.17,2227976
2017-01-06,68.08,68.68,67.49,68.45,1908648
2017-01-09,68.6,68.86,67.98,68.4,1806565
2017-01-10,67.9,67.9,66.12,66.32,3252208
2017-01-11,66.31,67.06,65.71,66.4,2741114
2017-01-12,66.09,66.96,65.78,66.85,1611412
2017-01-13,66.73,67.08,66.21,66.66,1156540
2017-01-17,67.08,67.64,66.94,67.3,1469251
2017-01-18,67.28,67.63,66.97,67.08,2514796
2017-01-19,66.71,66.84,66.04,66.4,1770255
2017-01-20,66.16,66.8,65.81,66.76,1540751
2017-01-23,66.85,67.81,66.51,67.68,1884673
2017-01-24,67.52,67.99,66.95,67.3,1865794
2017-01-25,67.25,67.44,66.03,66.36,1571058
2017-01-26,66.48,66.89,65.94,66.14,1714592
2017-01-27,66.37,66.61,65.68,65.94,1189196
2017-01-30,66.06,66.59,65.7,66.34,1264225
2017-01-31,66.48,67.02,66.16,66.3,2561945
2017-02-01,66.15,66.67,65.24,65.27,2041482
2017-02-02,65.42,66.45,65.39,66.34,1727143
2017-02-03,65.66,66.29,65.13,65.43,1802357
2017-02-06,65.56,66.38,65.43,66.17,1807886
