Date,Open,High,Low,Close,Volume
2016-10-04,37.76,37.82,36.46,36.84,4279993
2016-10-05,36.97,37.19,36.06,36.31,2929889
2016-10-06,36.18,36.39,35.68,35.95,2583897
2016-10-07,36.11,36.7,35.85,35.91,2707135
2016-10-10,35.95,36.29,35.9,36.06,1434608
2016-10-11,35.96,36.14,35.53,35.75,2083220
2016-10-12,35.72,36.12,35.63,36.09,2200423
2016-10-13,35.93,36.65,35.76,36.47,2851180
2016-10-14,36.47,36.67,36.13,36.24,1634999
2016-10-17,36.26,36.63,36.09,36.32,2529854
2016-10-18,36.56,37.09,36.38,36.69,2473668
2016-10-19,36.71,37.35,36.6,36.85,2909013
2016-10-20,36.77,36.99,36.57,36.66,2378123
2016-10-21,36.38,36.6,35.78,35.85,4302719
2016-10-24,36.09,36.52,35.8,36.08,2855849
2016-10-25,36.13,36.15,35.58,35.59,3194840
2016-10-26,35.54,35.62,34.87,35.07,3815023
2016-10-27,35.0,35.0,34.02,34.08,3996162
2016-10-28,34.21,34.46,34.06,34.14,3324457
2016-10-31,34.27,34.45,34.13,34.25,5307394
2016-11-01,30.95,32.32,30.25,30.47,10682701
2016-11-02,30.41,30.45,29.22,29.23,6656556
2016-11-03,29.23,29.23,28.38,28.67,6363124
2016-11-04,28.77,29.57,28.61,29.52,7522357
2016-11-07,29.94,30.28,29.66,30.26,5102050
2016-11-08,29.82,29.84,29.28,29.71,4476953
2016-11-09,28.76,29.38,27.89,28.83,6493744
2016-11-10,28.66,28.79,27.61,27.94,7961215
2016-11-11,27.85,28.41,27.85,28.1,4526285
2016-11-14,27.98,29.51,27.85,29.4,5546027
2016-11-15,29.51,29.96,28.98,29.41,4668698
2016-11-16,29.34,29.61,29.07,29.32,2261120
2016-11-17,29.21,29.35,28.67,28.76,2677592
2016-11-18,28.78,28.94,28.48,28.68,3052653
2016-11-21,29.02,29.33,28.6,28.67,3473203
2016-11-22,29.03,29.43,28.54,29.4,3896923
2016-11-23,29.16,29.57,28.92,29.51,4957785
2016-11-25,29.59,29.65,29.13,29.26,2109091
2016-11-28,29.25,29.78,29.2,29.38,4247361
2016-11-29,29.38,29.9,29.33,29.6,4169214
2016-11-30,29.33,29.67,29.01,29.53,5586518
2016-12-01,29.33,29.35,28.42,28.61,4239792
2016-12-02,28.76,29.46,28.76,29.08,2709346
2016-12-05,29.15,29.26,28.82,29.23,3194474
2016-12-06,29.28,29.63,29.19,29.43,3374450
2016-12-07,29.55,30.19,29.5,30.13,3792246
2016-12-08,29.87,30.44,29.7,30.11,4606975
2016-12-09,30.19,30.58,29.95,30.04,4324442
2016-12-12,29.91,30.36,29.73,30.35,4224629
2016-12-13,30.55,30.68,30.04,30.39,4855191
2016-12-14,30.4,30.46,28.97,29.01,6635886
2016-12-15,28.97,29.05,28.3,28.41,7020854
2016-12-16,28.46,29.26,28.41,29.14,8264271
2016-12-19,29.41,30.42,29.41,30.3,4574482
2016-12-20,30.21,30.42,29.81,30.02,3538107
2016-12-21,30.02,30.29,29.33,29.37,2778250
2016-12-22,29.34,29.43,28.89,29.18,3367665
2016-12-23,29.28,29.4,29.07,29.26,2149379
2016-12-27,29.26,29.49,29.15,29.37,2449557
2016-12-28,29.4,29.4,28.8,29.01,3728232
2016-12-29,29.1,29.47,28.96,29.36,3982153
2016-12-30,29.48,29.84,29.33,29.72,3985080
2017-01-03,29.88,29.92,29.52,29.78,3083541
2017-01-04,29.89,30.57,29.81,30.44,5343094
2017-01-05,30.55,31.26,30.24,31.15,4948866
2017-01-06,31.13,31.48,30.62,31.22,5003807
2017-01-09,31.23,31.35,30.81,30.81,4373517
2017-01-10,30.71,30.75,29.95,30.05,4303000
2017-01-11,30.1,30.48,29.97,30.4,5660024
2017-01-12,30.4,30.5,29.99,30.41,2942681
2017-01-13,30.34,30.51,29.99,30.22,2694970
2017-01-17,30.33,30.73,30.33,30.68,2849139
2017-01-18,30.55,30.92,30.53,30.55,3027653
2017-01-19,30.41,30.41,29.75,29.96,4535313
2017-01-20,29.95,30.15,29.87,30.07,3125078
2017-01-23,30.11,30.36,29.96,30.33,2467184
2017-01-24,30.34,30.48,30.03,30.24,3119309
2017-01-25,30.5,30.61,29.68,29.88,6138955
2017-01-26,29.94,30.07,29.53,29.6,5315976
2017-01-27,29.67,29.72,29.39,29.56,4119380
2017-01-30,29.59,30.13,29.36,30.07,6767951
2017-01-31,30.14,30.77,29.76,30.32,23569805
2017-02-01,30.33,30.63,29.81,30.04,5473939
2017-02-02,30.0,30.72,29.88,30.7,4155206
2017-02-03,30.8,31.0,30.58,30.75,3843761
2017-02-06,30.75,30.93,30.54,30.92,3455020
2017-02-07,31.0,31.09,30.68,30.75,3173194
2017-02-08,30.86,31.13,30.77,30.91,2260636
2017-02-09,30.96,31.06,30.62,30.68,4713452
2017-02-10,30.61,30.8,30.55,30.7,3180285
2017-02-13,30.5,30.92,30.31,30.85,2809254
2017-02-14,30.73,30.83,30.22,30.41,2640497
2017-02-15,30.32,30.46,29.86,30.42,2894593
2017-02-16,30.5,31.29,30.5,30.98,3035762
2017-02-17,30.97,31.11,30.75,31.07,2224252
2017-02-21,31.0,31.51,30.74,31.4,3314364
2017-02-22,31.48,31.91,31.43,31.64,4138631
2017-02-23,31.78,32.16,31.64,32.13,2589202
2017-02-24,32.04,32.69,31.95,32.64,3834950
2017-02-27,32.73,32.9,32.57,32.73,3066635
2017-02-28,32.75,32.97,32.6,32.79,4523047
2017-03-01,32.59,32.59,32.15,32.2,3902307
2017-03-02,32.14,32.26,31.77,32.11,3166917
2017-03-03,32.04,32.25,31.6,32.2,3525704
2017-03-06,32.05,32.16,31.39,31.5,3538824
2017-03-07,31.36,31.43,30.97,31.3,3883738
2017-03-08,31.06,31.06,30.31,30.36,2939583
2017-03-09,30.35,30.47,29.59,29.75,2532544
2017-03-10,29.95,30.3,29.53,29.76,3360685
2017-03-13,29.83,30.0,29.56,29.78,3476586
2017-03-14,29.72,29.78,29.41,29.51,3089360
2017-03-15,29.69,30.24,29.58,30.08,3854092
2017-03-16,30.01,30.23,29.87,30.02,2618029
2017-03-17,30.03,30.4,29.92,30.12,4622429
2017-03-20,30.42,30.48,30.08,30.17,2659252
2017-03-21,30.25,30.3,29.92,30.01,4782872
2017-03-22,30.11,30.65,30.04,30.49,7017073
2017-03-23,30.44,30.87,30.44,30.57,7918638
2017-03-24,30.73,30.8,30.54,30.61,5256585
2017-03-27,30.41,31.09,30.41,30.79,5362445
2017-03-28,30.81,31.05,30.63,31.0,3061530
2017-03-29,31.0,31.12,30.81,31.02,2577822
2017-03-30,31.02,31.06,30.57,30.99,3509651
2017-03-31,31.03,31.38,31.01,31.28,3792328
2017-04-03,31.39,31.41,30.83,31.1,5670993
2017-04-04,31.22,31.36,30.98,31.05,5830869
2017-04-05,31.06,31.16,30.82,31.14,7767875
2017-04-06,31.11,31.44,30.9,31.4,4053047
2017-04-07,31.49,31.87,31.34,31.79,6028278
2017-04-10,31.79,31.98,31.72,31.91,3118834
2017-04-11,31.72,31.9,31.61,31.81,3862813
2017-04-12,31.76,31.92,31.69,31.9,2373185
2017-04-13,31.94,32.12,31.8,31.9,2610718
2017-04-17,32.02,32.27,31.9,32.27,2785709
2017-04-18,32.27,32.8,32.17,32.79,4965662
2017-04-19,32.77,32.78,32.28,32.4,4623176
2017-04-20,32.44,32.72,32.3,32.52,2378242
2017-04-21,32.43,32.6,32.35,32.5,3065510
2017-04-24,32.53,32.55,31.35,32.01,5106657
2017-04-25,32.0,32.16,31.86,32.04,3678206
2017-04-26,31.93,31.98,31.54,31.63,3608776
2017-04-27,31.69,31.95,31.47,31.51,3969740
2017-04-28,31.46,31.5,30.92,31.35,3689171
2017-05-01,31.37,31.71,31.18,31.45,3322027
2017-05-02,31.5,31.68,30.94,31.26,5010167
2017-05-03,31.48,31.51,30.4,30.53,3738981
2017-05-04,29.99,30.13,29.55,29.9,4657871
2017-05-05,29.92,30.21,29.89,30.09,5199636
2017-05-08,30.21,30.24,29.88,30.13,4007454
2017-05-09,30.14,30.18,29.71,29.89,3700764
2017-05-10,29.9,30.49,29.89,30.39,4254268
2017-05-11,30.25,31.04,30.03,30.96,3106962
2017-05-12,31.04,31.43,30.96,31.29,3791754
2017-05-15,31.32,31.62,31.02,31.1,2295429
2017-05-16,31.09,31.2,30.82,31.0,2370731
2017-05-17,30.99,31.7,30.99,31.36,3331962
2017-05-18,31.34,31.78,31.0,31.72,3251811
2017-05-19,31.76,31.85,31.26,31.72,3273453
2017-05-22,31.7,31.92,31.55,31.88,2515572
2017-05-23,31.91,32.05,31.69,31.73,2454434
2017-05-24,31.73,31.96,31.62,31.69,3551393
2017-05-25,31.63,31.72,31.49,31.54,2468988
2017-05-26,31.58,31.64,31.04,31.23,2670315
2017-05-30,31.2,31.41,31.13,31.22,1851272
2017-05-31,31.2,31.49,31.11,31.34,4421928
2017-06-01,31.29,31.51,30.74,31.47,2854147
2017-06-02,31.64,32.12,31.64,31.9,3440625
2017-06-05,31.75,31.78,31.47,31.74,2041451
2017-06-06,31.71,31.83,31.49,31.53,1858881
2017-06-07,31.52,31.69,31.35,31.4,2371311
2017-06-08,31.36,31.4,30.67,30.96,3382042
2017-06-09,30.86,31.33,30.72,31.18,2416939
2017-06-12,31.26,31.62,31.04,31.62,4001213
2017-06-13,31.57,31.69,31.38,31.66,3207815
2017-06-14,32.08,32.52,31.87,31.97,5060416
2017-06-15,31.74,32.38,31.72,32.17,2560537
2017-06-16,32.26,32.56,32.06,32.51,4214558
2017-06-19,32.49,32.84,32.34,32.84,3678451
2017-06-20,32.82,33.17,32.77,33.09,2644875
2017-06-21,33.06,33.28,32.86,33.05,2954121
2017-06-22,33.04,33.33,32.91,33.18,2175714
2017-06-23,33.21,33.62,33.21,33.39,3099982
2017-06-26,33.48,33.67,33.33,33.38,1881246
2017-06-27,33.25,33.43,32.73,32.75,4143375
2017-06-28,32.75,32.83,32.59,32.74,3161736
2017-06-29,32.42,32.53,31.92,31.98,3331117
2017-06-30,32.1,32.33,31.77,31.96,2813946
2017-07-03,32.1,32.6,32.02,32.55,1094126
2017-07-05,32.65,32.65,32.02,32.15,2311130
2017-07-06,32.0,32.03,31.15,31.15,4374302
2017-07-07,31.21,31.32,30.85,31.21,2197441
2017-07-10,31.26,31.32,30.88,30.89,2086180
2017-07-11,30.95,31.07,30.71,30.95,1702415
2017-07-12,31.21,31.63,31.14,31.47,2517328
2017-07-13,31.45,31.59,31.3,31.33,2005766
2017-07-14,31.42,31.8,31.42,31.76,2362530
2017-07-17,31.79,32.05,31.64,32.01,3126556
2017-07-18,31.98,32.26,31.83,32.06,2249349
2017-07-19,32.05,32.34,31.92,32.16,2493602
2017-07-20,32.21,32.26,31.74,31.74,3643086
2017-07-21,31.72,31.74,31.42,31.59,3303960
2017-07-24,31.51,31.66,31.24,31.34,4416547
2017-07-25,31.35,31.73,31.08,31.7,3002233
2017-07-26,31.63,32.12,31.61,31.99,3315420
2017-07-27,31.81,32.0,31.39,31.91,3082358
2017-07-28,31.94,32.07,31.65,31.83,3144336
2017-07-31,,32.04,31.52,31.65,9972117
2017-08-01,31.76,31.8,29.99,30.25,6385793
2017-08-02,30.13,30.25,29.72,30.03,5740591
2017-08-03,29.58,30.07,29.45,30.03,2967174
2017-08-04,29.91,30.0,29.62,29.85,2143210
2017-08-07,29.82,29.9,29.43,29.56,3501049
2017-08-08,29.41,29.63,29.25,29.61,4181082
2017-08-09,29.67,29.77,29.37,29.38,2901998
2017-08-10,29.33,29.5,29.14,29.19,2368366
2017-08-11,29.17,29.29,28.93,29.27,3230845
2017-08-14,29.36,29.87,29.29,29.8,2821085
2017-08-15,29.67,29.67,29.0,29.15,4051062
2017-08-16,29.22,29.46,29.22,29.34,3256604
2017-08-17,29.35,29.42,29.18,29.2,2796264
2017-08-18,29.24,29.25,28.81,28.85,2694241
2017-08-21,28.9,29.47,28.79,29.38,2386815
2017-08-22,29.4,29.44,28.77,28.95,3134872
2017-08-23,29.03,29.49,28.9,29.46,2316948
2017-08-24,29.47,29.7,29.33,29.41,3109627
2017-08-25,29.53,29.7,29.4,29.54,2389127
2017-08-28,29.56,29.59,29.18,29.28,1639758
2017-08-29,29.36,29.61,29.3,29.51,3439597
2017-08-30,29.46,29.59,29.28,29.54,2782085
2017-08-31,29.59,29.88,29.58,29.81,3045571
2017-09-01,29.82,30.18,29.82,30.14,2500890
2017-09-05,30.11,30.39,29.96,30.17,2904655
2017-09-06,30.21,30.43,30.06,30.12,4136217
2017-09-07,30.16,30.29,30.06,30.15,2519252
2017-09-08,30.13,30.59,30.03,30.21,4924277
2017-09-11,30.25,30.55,30.17,30.33,4214371
2017-09-12,30.28,30.4,29.64,29.8,2545907
2017-09-13,29.78,29.84,29.36,29.47,5297801
2017-09-14,29.55,29.71,29.32,29.48,8135031
2017-09-15,29.54,29.8,29.44,29.45,7466018
2017-09-18,29.48,29.64,29.29,29.44,3817499
2017-09-19,29.48,29.63,29.05,29.1,5575821
2017-09-20,29.21,29.38,28.96,29.04,2746270
2017-09-21,29.09,29.14,28.57,28.57,3170060
2017-09-22,28.45,28.55,27.84,27.87,4057353
2017-09-25,28.05,28.29,27.94,28.14,2964250
2017-09-26,28.09,28.12,27.82,28.02,4825583
2017-09-27,27.88,27.98,27.47,27.66,4135453
2017-09-28,27.66,27.9,27.57,27.85,3178842
2017-09-29,27.77,27.98,27.66,27.83,3756945
2017-10-02,27.26,27.43,26.68,26.71,6678777
