Date,Open,High,Low,Close,Volume
2016-10-04,51.05,51.46,50.4,50.52,1655547
2016-10-05,50.54,51.76,50.54,51.3,2037524
2016-10-06,51.04,51.26,50.0,50.16,4186766
2016-10-07,50.38,50.49,49.4,50.0,1682888
2016-10-10,50.35,50.94,50.33,50.52,942661
2016-10-11,50.33,50.59,49.76,50.02,1047657
2016-10-12,49.84,50.44,49.73,50.19,1070881
2016-10-13,49.05,50.91,48.55,50.42,3030091
2016-10-14,50.79,50.9,49.66,49.83,2193700
2016-10-17,49.85,50.27,49.6,49.7,2352027
2016-10-18,50.74,54.55,49.57,54.19,7621634
2016-10-19,54.43,55.35,54.43,54.75,5193878
2016-10-20,54.84,56.49,54.45,55.61,3910619
2016-10-21,55.13,56.43,55.0,56.37,2475991
2016-10-24,56.53,57.43,56.45,57.1,2256721
2016-10-25,56.75,56.88,55.96,56.6,2879414
2016-10-26,56.29,56.96,56.19,56.55,1775614
2016-10-27,56.91,56.91,55.43,55.51,2197338
2016-10-28,55.61,56.67,55.42,56.07,1452012
2016-10-31,56.36,58.35,55.79,57.02,4979539
2016-11-01,57.35,57.37,55.72,56.33,1552717
2016-11-02,56.17,56.68,55.79,55.98,1680284
2016-11-03,56.0,56.66,55.83,55.92,1420409
2016-11-04,55.98,56.54,55.48,55.88,1425232
2016-11-07,56.85,57.09,56.3,56.52,2657831
2016-11-08,56.58,57.14,56.11,57.0,1845514
2016-11-09,56.06,58.96,55.72,58.78,3469125
2016-11-10,58.89,61.35,58.83,59.44,4405627
2016-11-11,59.19,59.77,58.82,59.0,3370148
2016-11-14,58.98,60.05,58.9,59.02,3239101
2016-11-15,59.16,59.16,57.46,58.29,2633653
2016-11-16,58.1,58.32,57.03,57.68,1855299
2016-11-17,58.07,58.42,57.81,58.1,1631037
2016-11-18,58.05,58.6,57.52,58.14,2149774
2016-11-21,58.55,58.98,58.32,58.65,1181594
2016-11-22,58.99,59.82,58.8,59.75,2205015
2016-11-23,59.62,60.18,59.42,59.95,1196328
2016-11-25,60.04,60.28,59.73,60.16,1073126
2016-11-28,60.15,60.25,59.47,59.81,1780182
2016-11-29,59.92,60.47,59.58,59.92,997335
2016-11-30,60.26,61.14,60.04,60.89,2163763
2016-12-01,61.15,62.35,60.92,62.07,2122018
2016-12-02,61.9,62.08,59.38,59.71,3249409
2016-12-05,60.08,60.73,59.9,59.98,1728255
2016-12-06,60.25,60.37,59.53,60.35,1291862
2016-12-07,60.41,61.75,60.28,61.71,2276651
2016-12-08,61.96,62.08,60.54,61.57,1434036
2016-12-09,61.54,61.54,60.54,60.81,1503129
2016-12-12,60.92,61.32,60.1,60.75,1532288
2016-12-13,60.85,61.12,59.9,61.06,2442648
2016-12-14,60.56,60.98,59.92,60.0,2822810
2016-12-15,60.2,60.61,59.18,59.83,3510286
2016-12-16,59.98,60.02,58.94,59.17,3672952
2016-12-19,59.34,59.58,57.92,59.23,1950414
2016-12-20,59.4,60.32,59.14,59.79,2578196
2016-12-21,59.82,59.96,59.45,59.71,2029394
2016-12-22,59.0,59.24,56.81,57.84,2172901
2016-12-23,57.96,58.25,57.63,58.18,1019398
2016-12-27,58.5,58.59,57.99,58.44,695529
2016-12-28,58.54,58.67,57.76,57.91,761169
2016-12-29,58.0,58.57,57.92,58.16,1357697
2016-12-30,58.4,58.46,57.97,58.34,958772
2017-01-03,58.7,59.63,58.63,58.94,1477440
2017-01-04,59.26,59.75,58.51,59.59,1637356
2017-01-05,59.3,60.0,59.01,59.65,1394753
2017-01-06,59.0,59.58,57.94,59.1,1824794
2017-01-09,59.12,59.19,57.83,58.15,3611557
2017-01-10,58.38,58.8,58.3,58.5,1506028
2017-01-11,58.46,58.62,57.58,58.01,1285816
2017-01-12,57.72,58.96,57.44,58.32,1808616
2017-01-13,58.47,58.94,58.32,58.73,1505141
2017-01-17,58.53,59.39,58.42,58.95,1683706
2017-01-18,58.98,59.42,58.31,58.52,1565350
2017-01-19,58.52,58.69,57.83,58.23,1470690
2017-01-20,58.38,59.79,57.8,58.62,2453436
2017-01-23,58.48,59.37,58.35,59.26,2035605
2017-01-24,59.04,59.93,59.04,59.7,1453775
2017-01-25,60.1,60.18,59.03,60.02,1523819
2017-01-26,60.0,60.91,59.83,60.18,1353746
2017-01-27,60.19,60.2,58.78,59.09,1478656
2017-01-30,59.1,59.1,57.49,57.92,2761973
2017-01-31,55.02,57.19,54.75,57.04,6755440
2017-02-01,57.1,57.62,55.95,56.59,4032754
2017-02-02,56.6,57.17,56.11,56.25,2064931
2017-02-03,56.5,56.81,56.04,56.45,2426625
2017-02-06,56.24,57.54,56.01,56.66,1994125
2017-02-07,56.73,57.24,56.46,56.61,3453296
2017-02-08,56.75,56.86,56.24,56.84,1287420
2017-02-09,56.89,57.28,56.3,56.76,1659520
2017-02-10,56.87,57.48,56.72,57.34,1615836
2017-02-13,57.32,57.48,56.79,57.16,1155711
2017-02-14,56.91,57.86,56.91,57.74,998808
2017-02-15,57.47,57.65,57.07,57.31,1581140
2017-02-16,57.34,57.47,56.38,56.42,1845421
2017-02-17,56.41,56.94,56.17,56.93,1068019
2017-02-21,56.9,57.45,56.63,57.13,1456722
2017-02-22,57.05,57.58,56.9,57.55,2482115
2017-02-23,57.9,57.97,57.41,57.68,1789592
2017-02-24,57.34,57.34,55.99,56.56,2307846
2017-02-27,55.89,57.18,55.53,57.02,2183563
2017-02-28,56.99,57.36,56.28,56.38,2568458
2017-03-01,57.54,58.85,57.29,58.4,2471347
2017-03-02,58.09,58.81,57.96,58.64,2314674
2017-03-03,58.65,58.87,58.09,58.82,1406447
2017-03-06,58.45,58.51,57.54,57.58,1660640
2017-03-07,57.5,57.93,56.95,57.78,1719547
2017-03-08,57.83,58.57,57.67,58.53,1702254
2017-03-09,58.5,58.96,58.31,58.75,2425365
2017-03-10,59.34,61.12,59.34,60.05,2884438
2017-03-13,60.16,60.57,59.48,60.51,2717467
2017-03-14,60.36,60.61,59.88,60.1,1332701
2017-03-15,61.94,63.04,61.54,62.94,2768108
2017-03-16,62.86,63.4,62.4,62.47,1606431
2017-03-17,62.45,62.69,62.18,62.25,1474503
2017-03-20,62.27,62.59,61.75,61.85,1611868
2017-03-21,62.04,62.36,60.54,60.57,1336108
2017-03-22,60.61,60.7,59.85,60.53,1603526
2017-03-23,60.55,60.91,60.32,60.53,891146
2017-03-24,60.8,60.81,59.9,60.2,761704
2017-03-27,60.05,60.33,59.61,60.18,1059899
2017-03-28,60.08,60.98,60.08,60.69,880695
2017-03-29,60.64,60.82,60.33,60.6,537961
2017-03-30,60.45,61.05,60.18,61.01,1044643
2017-03-31,60.97,61.2,60.45,60.5,2951485
2017-04-03,61.07,61.85,60.7,61.48,2236937
2017-04-04,61.16,61.55,60.91,60.99,1661962
2017-04-05,61.26,61.48,59.99,60.02,1544141
2017-04-06,60.28,60.98,60.0,60.84,1630201
2017-04-07,60.57,61.3,60.46,60.91,1546557
2017-04-10,60.94,62.95,60.93,61.84,4141779
2017-04-11,61.88,62.12,61.66,62.05,1985575
2017-04-12,62.59,62.59,60.84,61.05,3272529
2017-04-13,60.87,60.87,59.37,59.7,4346261
2017-04-17,60.11,60.18,59.27,59.4,5002056
2017-04-18,56.84,58.5,56.37,56.91,8263631
2017-04-19,57.04,57.06,56.14,56.41,3760442
2017-04-20,56.74,56.78,56.17,56.47,2733443
2017-04-21,56.31,56.44,55.68,55.81,2908376
2017-04-24,56.49,56.97,56.12,56.32,3268400
2017-04-25,56.57,57.27,56.47,57.21,2773454
2017-04-26,57.22,58.21,57.01,57.88,2155702
2017-04-27,57.79,58.35,57.72,58.03,2026779
2017-04-28,57.99,58.06,56.56,56.81,2655243
2017-05-01,57.39,57.64,56.08,56.39,2171061
2017-05-02,56.5,56.53,55.88,56.11,1508668
2017-05-03,55.96,56.08,55.09,55.56,1961813
2017-05-04,55.83,55.87,55.45,55.62,1531413
2017-05-05,55.7,56.22,55.44,56.19,1729673
2017-05-08,56.25,56.39,55.21,55.54,1910120
2017-05-09,55.55,56.45,55.5,56.22,2081011
2017-05-10,56.05,56.92,55.82,56.75,1316759
2017-05-11,56.56,56.57,55.44,55.54,1471205
2017-05-12,55.28,55.54,55.01,55.21,987637
2017-05-15,55.27,55.49,53.63,54.04,3241192
2017-05-16,54.03,54.16,53.75,54.11,1367211
2017-05-17,53.48,53.69,52.83,52.99,1934603
2017-05-18,52.8,52.97,52.23,52.76,2146232
2017-05-19,52.8,53.14,52.39,52.62,2321412
2017-05-22,52.91,53.49,52.72,52.95,2738353
2017-05-23,52.87,53.14,52.59,52.84,1382637
2017-05-24,52.9,53.11,51.96,52.0,2253172
2017-05-25,52.15,52.49,51.63,51.86,3923603
2017-05-26,51.8,52.6,51.63,52.32,1797835
2017-05-30,52.29,53.09,52.12,53.01,1507853
2017-05-31,53.03,53.06,52.61,53.01,1466483
2017-06-01,53.38,53.97,53.12,53.31,1450453
2017-06-02,53.18,53.65,52.9,53.24,988298
2017-06-05,53.14,53.72,53.08,53.43,1187994
2017-06-06,52.98,52.98,51.8,52.07,1802510
2017-06-07,52.3,52.34,51.97,52.13,1492636
2017-06-08,52.01,53.45,51.61,52.85,1725177
2017-06-09,52.85,53.31,52.72,53.28,1558895
2017-06-12,53.36,54.09,53.11,53.23,1479744
2017-06-13,53.3,53.73,53.15,53.69,824297
2017-06-14,53.51,53.57,52.91,53.34,1480890
2017-06-15,53.0,55.08,52.76,54.89,3495558
2017-06-16,55.13,56.09,54.64,55.49,3805110
2017-06-19,55.55,55.86,54.88,55.45,1517036
2017-06-20,55.57,56.12,55.44,55.51,1327669
2017-06-21,55.55,56.57,55.49,55.96,4286443
2017-06-22,55.88,56.95,55.82,56.23,2413459
2017-06-23,55.87,55.97,54.89,55.54,3367903
2017-06-26,55.75,56.55,54.09,55.1,3509073
2017-06-27,55.02,55.24,54.49,54.51,1491016
2017-06-28,54.85,55.6,54.68,54.71,1790349
2017-06-29,54.85,54.98,53.63,54.08,2202989
2017-06-30,54.29,54.76,54.0,54.02,2439716
2017-07-03,54.09,55.79,54.09,54.83,1698001
2017-07-05,54.77,54.93,53.93,53.93,2153606
2017-07-06,53.9,54.0,52.77,52.84,1875440
2017-07-07,52.95,53.12,52.46,52.5,1791085
2017-07-10,52.45,52.95,52.32,52.49,1874811
2017-07-11,52.55,52.6,51.76,51.99,2232969
2017-07-12,50.69,51.61,49.98,50.35,5880390
2017-07-13,50.36,51.44,50.36,51.42,3305458
2017-07-14,51.4,51.95,51.11,51.62,2104770
2017-07-17,51.65,52.31,51.64,52.0,3222918
2017-07-18,46.74,49.39,46.0,48.95,21066377
2017-07-19,48.72,49.19,47.67,48.77,7381534
2017-07-20,48.83,49.69,48.59,48.77,4516309
2017-07-21,48.65,48.98,48.11,48.26,2747881
2017-07-24,48.2,48.9,48.12,48.48,2915430
2017-07-25,48.72,48.88,47.95,48.14,2843400
2017-07-26,48.16,48.72,47.97,48.64,3353428
2017-07-27,48.63,50.88,48.05,50.26,5183801
2017-07-28,50.09,50.11,48.51,48.86,2355038
2017-07-31,,,,48.67,1789132
2017-08-01,48.76,49.04,48.48,48.86,1656133
2017-08-02,48.8,48.8,47.72,47.8,2701805
2017-08-03,47.83,48.2,47.55,47.99,2519125
2017-08-04,48.18,48.42,47.58,48.34,1584452
2017-08-07,48.35,48.49,47.82,48.06,1853735
2017-08-08,47.91,48.17,47.61,47.81,1208140
2017-08-09,47.65,48.1,47.19,47.8,1637090
2017-08-10,47.44,47.67,47.12,47.32,3173417
2017-08-11,47.31,47.56,47.08,47.54,1923559
2017-08-14,47.82,48.12,47.61,47.9,1405386
2017-08-15,47.95,48.0,47.64,47.68,821089
2017-08-16,47.91,48.18,47.48,47.55,1413034
