Date,Open,High,Low,Close,Volume
2016-10-04,67.69,68.16,66.46,67.04,1448829
2016-10-05,67.73,69.3,67.61,68.68,1861979
2016-10-06,69.06,70.15,68.6,69.14,1334852
2016-10-07,69.41,69.44,68.29,68.58,1757705
2016-10-10,69.38,70.39,69.16,69.72,1403130
2016-10-11,69.22,69.35,68.35,69.26,1372943
2016-10-12,68.9,69.36,68.42,69.06,938415
2016-10-13,68.72,69.75,68.09,69.45,917726
2016-10-14,69.81,69.97,68.54,68.67,806608
2016-10-17,68.5,69.04,65.61,66.79,2504792
2016-10-18,68.04,68.39,66.77,67.17,1326633
2016-10-19,67.93,69.38,67.2,68.24,1848211
2016-10-20,67.51,67.6,66.5,66.98,1502522
2016-10-21,66.27,66.73,65.49,66.48,1602557
2016-10-24,66.53,66.65,64.77,66.42,2078701
2016-10-25,66.27,67.07,65.46,65.51,1151039
2016-10-26,64.84,65.23,63.55,64.88,1858977
2016-10-27,65.31,65.64,63.7,64.16,1455101
2016-10-28,64.0,64.88,62.96,63.44,1349835
2016-10-31,63.19,63.58,62.71,63.11,1995227
2016-11-01,63.79,64.22,62.8,63.68,1880137
2016-11-02,62.79,63.27,60.39,62.38,2761568
2016-11-03,62.68,62.93,61.59,62.49,1335152
2016-11-04,62.1,62.82,60.51,62.42,2953186
2016-11-07,63.26,63.46,61.8,62.46,1720881
2016-11-08,61.72,62.8,61.18,62.48,1401640
2016-11-09,62.46,64.38,62.16,63.56,2247397
2016-11-10,63.12,64.23,62.64,63.69,2395959
2016-11-11,63.02,63.4,61.21,62.17,1387655
2016-11-14,61.9,64.0,61.77,63.78,2287020
2016-11-15,64.3,66.86,64.3,66.64,2149323
2016-11-16,66.29,66.61,65.19,65.94,1276401
2016-11-17,66.51,67.94,66.43,67.18,2127861
2016-11-18,67.53,68.86,67.41,68.25,1441933
2016-11-21,69.7,70.1,68.05,69.12,2664287
2016-11-22,69.73,70.1,68.62,69.47,1989721
2016-11-23,68.94,70.25,68.84,70.23,1471890
2016-11-25,69.77,70.01,69.34,69.6,739962
2016-11-28,70.19,70.27,68.37,68.43,1916988
2016-11-29,66.55,67.9,65.73,67.57,2081996
2016-11-30,69.35,76.16,69.35,75.65,5427724
2016-12-01,77.42,79.66,75.82,77.85,4134889
2016-12-02,77.46,79.9,77.31,79.45,2217503
2016-12-05,80.01,82.0,79.86,81.31,2336270
2016-12-06,80.01,80.61,78.12,79.92,2302963
2016-12-07,79.88,82.08,79.03,80.86,1764038
2016-12-08,80.75,81.76,80.34,81.38,1413588
2016-12-09,81.85,82.72,80.72,81.75,1759471
2016-12-12,84.21,85.78,82.61,83.18,2008136
2016-12-13,83.71,84.02,81.88,83.46,1922507
2016-12-14,82.03,83.5,81.14,81.27,1815535
2016-12-15,80.56,81.03,79.89,80.45,2186667
2016-12-16,80.04,81.01,78.5,78.7,2884752
2016-12-19,78.73,79.0,77.71,78.45,2298510
2016-12-20,79.24,80.04,78.59,78.84,1326255
2016-12-21,79.34,80.4,79.16,79.5,1171213
2016-12-22,79.64,79.86,78.54,78.65,1099061
2016-12-23,78.53,79.25,78.11,78.34,635098
2016-12-27,78.9,80.94,78.79,79.96,1245997
2016-12-28,80.1,80.85,78.3,78.39,1067035
2016-12-29,78.26,79.0,77.66,78.17,639997
2016-12-30,78.21,78.89,77.09,77.4,840177
2017-01-03,78.52,79.67,77.65,78.76,1452299
2017-01-04,79.12,79.76,78.45,78.54,1286599
2017-01-05,78.91,79.31,77.81,78.8,1235776
2017-01-06,79.14,81.3,78.15,81.07,1638854
2017-01-09,81.04,81.1,78.75,79.3,1927285
2017-01-10,79.5,80.32,78.78,78.84,1310211
2017-01-11,79.22,80.75,78.9,79.63,1614270
2017-01-12,80.47,80.47,78.52,79.01,1616238
2017-01-13,79.01,79.3,77.85,78.31,1456107
2017-01-17,78.96,79.84,77.9,79.8,1130485
2017-01-18,78.88,79.22,77.96,78.49,1612218
2017-01-19,78.62,79.2,77.35,77.72,960245
2017-01-20,78.69,79.47,77.53,77.99,1448921
2017-01-23,77.28,77.62,76.08,76.8,1310537
2017-01-24,77.45,80.34,77.36,79.91,2107369
2017-01-25,79.78,81.2,79.78,81.11,2036914
2017-01-26,78.83,79.85,74.96,75.11,5261665
2017-01-27,74.0,75.1,71.96,72.68,2837256
2017-01-30,71.94,72.07,69.97,70.45,2493421
2017-01-31,70.59,71.69,70.1,71.16,2122149
2017-02-01,71.45,72.25,69.41,71.1,2703097
2017-02-02,71.49,71.63,68.89,70.07,2797280
2017-02-03,70.23,71.66,70.22,70.61,1663779
2017-02-06,70.5,70.93,68.74,69.02,1550006
2017-02-07,68.55,69.36,67.86,68.32,1433825
2017-02-08,67.75,69.77,66.79,69.47,2843883
2017-02-09,69.18,69.57,68.05,68.5,2867957
2017-02-10,69.73,70.75,69.07,69.23,1702738
2017-02-13,68.98,69.7,68.67,69.18,981734
2017-02-14,69.71,70.75,69.56,70.65,1623278
2017-02-15,70.23,70.58,68.28,68.73,1975082
2017-02-16,68.81,69.21,67.83,68.49,1856107
2017-02-17,68.05,68.53,67.17,68.26,1371167
2017-02-21,69.2,69.74,68.93,69.03,1011824
2017-02-22,68.32,68.52,67.4,67.41,1155752
2017-02-23,68.9,69.26,67.7,68.77,2245980
2017-02-24,68.84,68.86,67.28,67.53,2066387
2017-02-27,68.22,69.49,67.62,68.58,1326931
2017-02-28,68.09,69.0,67.84,68.37,1367984
2017-03-01,68.92,70.11,68.86,69.91,1415224
2017-03-02,69.1,69.67,68.14,68.47,1482358
2017-03-03,69.24,69.94,68.78,69.24,1331872
2017-03-06,69.09,69.85,68.16,69.74,1291917
2017-03-07,69.76,70.02,68.31,68.37,1536304
2017-03-08,68.02,68.59,66.15,66.48,2328534
2017-03-09,66.01,67.13,65.18,66.96,1742166
2017-03-10,67.29,67.82,66.56,67.3,1313517
2017-03-13,67.54,68.56,67.24,68.47,1395494
2017-03-14,67.36,68.17,65.98,67.9,2622808
2017-03-15,68.82,69.59,68.04,69.47,1443007
2017-03-16,69.62,69.62,67.75,68.23,1497578
2017-03-17,68.54,69.08,67.88,67.98,2331468
2017-03-20,67.17,68.0,66.55,67.89,1203948
2017-03-21,68.34,68.58,66.8,66.95,1103069
2017-03-22,66.5,67.12,65.62,66.32,1180982
2017-03-23,66.02,66.48,65.1,65.91,948573
2017-03-24,66.0,66.38,64.95,65.03,1490738
2017-03-27,64.24,64.35,63.66,64.15,2089195
2017-03-28,64.52,65.07,64.0,64.78,1615558
2017-03-29,64.64,66.48,64.4,66.11,1584230
2017-03-30,66.43,67.45,65.78,66.53,1977096
2017-03-31,66.11,67.13,65.97,66.57,946355
2017-04-03,67.27,67.66,66.13,66.69,1633789
2017-04-04,66.84,67.11,65.82,66.97,1089321
2017-04-05,67.6,68.59,66.91,67.12,1416284
2017-04-06,67.41,68.44,67.12,68.01,995322
2017-04-07,68.18,68.2,67.13,67.32,959873
2017-04-10,67.84,69.05,67.42,68.78,1306453
2017-04-11,68.95,69.24,67.55,69.08,1027441
2017-04-12,69.26,69.97,68.47,68.71,1509200
2017-04-13,68.41,68.85,67.07,67.35,1330553
2017-04-17,67.32,67.82,66.68,67.27,1427121
2017-04-18,66.64,67.58,66.19,66.52,1213346
2017-04-19,66.74,66.88,64.71,64.89,1143630
2017-04-20,65.16,65.65,64.68,64.83,1142412
2017-04-21,64.81,65.39,63.8,65.09,1323287
2017-04-24,65.53,65.76,64.75,65.15,1070738
2017-04-25,65.18,65.62,64.66,65.39,1066755
2017-04-26,64.98,66.67,64.98,65.21,1543366
2017-04-27,63.8,64.23,59.06,61.55,5791861
2017-04-28,62.13,62.15,60.64,60.64,2705909
2017-05-01,60.51,60.51,58.78,58.79,3015969
2017-05-02,58.82,59.55,58.3,58.72,2709886
2017-05-03,58.92,59.74,58.54,59.11,1771114
2017-05-04,58.71,58.72,56.73,58.05,2664725
2017-05-05,58.21,59.68,57.78,59.63,2872697
2017-05-08,59.51,60.2,59.39,59.77,2239108
2017-05-09,59.76,59.82,57.83,58.18,1265764
2017-05-10,58.71,60.04,58.48,59.28,1776306
2017-05-11,59.96,60.1,58.12,58.38,1303876
2017-05-12,58.16,58.39,57.08,57.42,1946947
2017-05-15,58.94,59.54,57.96,58.55,2007629
2017-05-16,58.91,59.24,57.59,58.24,1832442
2017-05-17,57.12,57.75,56.65,56.71,1660813
2017-05-18,56.25,57.36,55.98,57.05,1824168
2017-05-19,57.59,60.61,57.12,60.04,2352212
2017-05-22,60.57,60.57,59.3,59.88,1907613
2017-05-23,58.31,58.67,56.47,57.49,2733469
2017-05-24,57.44,57.94,55.41,56.01,2125060
2017-05-25,55.91,56.37,52.95,53.79,4049488
2017-05-26,54.38,54.73,53.63,53.67,2405097
2017-05-30,53.48,53.83,52.75,52.82,1777251
2017-05-31,52.24,52.77,51.67,52.66,2952252
2017-06-01,52.66,54.67,52.66,53.74,2518710
2017-06-02,53.32,53.32,52.28,53.11,1532195
2017-06-05,52.78,53.9,52.71,53.69,1265880
2017-06-06,53.26,53.82,51.8,53.3,2174864
2017-06-07,52.86,53.29,49.46,50.08,3752438
2017-06-08,49.86,50.97,49.86,50.4,2303375
2017-06-09,50.41,54.12,50.41,53.27,2555745
2017-06-12,54.03,56.28,54.0,54.89,2731119
2017-06-13,54.81,56.0,54.64,55.85,1698643
2017-06-14,55.5,55.5,52.84,53.83,3616018
2017-06-15,53.19,54.23,53.19,53.65,2005779
2017-06-16,53.88,55.05,53.11,55.0,2383014
2017-06-19,54.98,55.08,53.99,54.07,1719649
2017-06-20,53.1,53.83,52.2,53.47,2443603
2017-06-21,52.77,52.96,50.56,51.92,3202440
2017-06-22,52.03,52.88,51.44,52.12,1882104
2017-06-23,52.29,53.22,52.05,52.74,2358157
2017-06-26,53.06,53.85,52.57,53.16,1414028
2017-06-27,53.01,53.48,52.07,52.81,2367968
2017-06-28,52.83,54.67,52.83,53.51,1811064
2017-06-29,53.96,55.32,53.74,54.37,2405619
2017-06-30,54.52,55.23,54.13,54.34,1708638
2017-07-03,54.55,56.08,54.55,55.74,934454
2017-07-05,55.3,55.56,53.95,54.34,1958634
2017-07-06,54.66,55.2,53.19,53.47,2403775
2017-07-07,52.61,53.4,51.91,52.88,2056399
2017-07-10,52.65,53.66,52.23,53.29,1870354
2017-07-11,53.28,54.25,52.75,53.91,1621354
2017-07-12,54.89,55.0,53.24,53.5,2064966
2017-07-13,53.53,54.52,53.4,54.48,2262727
2017-07-14,54.57,55.53,54.13,55.35,2238066
2017-07-17,55.19,55.53,54.75,55.32,1842994
2017-07-18,55.91,56.14,55.12,55.36,1417694
2017-07-19,55.31,58.49,55.21,58.12,2664241
2017-07-20,58.41,58.64,56.8,57.26,1653655
2017-07-21,57.09,57.82,54.03,54.13,2878910
2017-07-24,54.34,54.54,53.88,54.37,2328171
2017-07-25,55.28,56.92,55.11,56.16,1742616
2017-07-26,56.66,56.84,54.92,55.07,2534644
2017-07-27,55.05,55.2,51.45,53.05,4819113
2017-07-28,51.7,53.74,51.05,51.82,4109843
2017-07-31,,,,50.62,2251837
2017-08-01,50.51,50.57,48.62,49.2,3585214
2017-08-02,49.15,49.39,48.19,49.06,2956724
2017-08-03,49.29,50.16,48.98,49.54,2329622
2017-08-04,49.61,49.88,49.29,49.34,1620863
2017-08-07,49.05,49.23,47.24,47.43,2391695
2017-08-08,47.34,47.84,46.38,46.4,2295607
2017-08-09,46.96,47.0,46.06,46.48,2173733
2017-08-10,46.7,47.08,46.17,46.41,1787603
2017-08-11,46.13,47.17,46.0,46.18,1659801
2017-08-14,46.2,46.89,46.01,46.09,1495814
2017-08-15,46.0,46.04,45.06,45.58,2373288
2017-08-16,45.0,45.18,43.64,43.77,1807594
2017-08-17,43.67,43.91,43.14,43.15,1784312
2017-08-18,43.3,44.55,43.0,43.7,1586168
2017-08-21,43.57,44.15,43.23,43.25,1410232
2017-08-22,43.33,44.01,43.18,43.85,1417899
2017-08-23,43.62,44.69,43.07,44.52,1795471
2017-08-24,44.41,44.71,44.04,44.19,1888405
2017-08-25,44.44,45.18,44.42,44.78,1649496
2017-08-28,44.72,44.96,42.77,43.49,2233272
2017-08-29,43.27,43.41,42.66,43.13,1695551
2017-08-30,43.11,43.16,42.28,42.65,1898595
2017-08-31,42.9,42.9,42.3,42.34,2558855
2017-09-01,42.53,43.19,42.16,43.02,1319461
2017-09-05,43.46,44.33,43.22,43.77,2000156
2017-09-06,44.15,46.59,43.99,46.35,3077118
2017-09-07,46.35,46.61,45.58,46.04,1975786
2017-09-08,45.97,46.02,45.32,45.48,1277617
2017-09-11,45.71,47.13,45.3,47.06,2068801
2017-09-12,47.06,48.28,46.69,48.05,2337802
2017-09-13,48.08,49.5,48.08,49.29,2051674
2017-09-14,49.63,50.2,49.4,49.78,2174708
2017-09-15,49.91,50.22,49.52,50.19,2320426
2017-09-18,49.95,50.58,49.45,50.17,979807
2017-09-19,50.45,50.45,48.88,49.06,1446707
2017-09-20,49.38,50.7,49.26,50.55,1730668
2017-09-21,50.5,50.62,49.51,50.43,1365404
2017-09-22,50.17,51.35,50.06,51.01,1060300
2017-09-25,51.6,53.18,51.46,52.94,2053505
2017-09-26,52.67,52.99,52.18,52.93,985356
2017-09-27,52.98,53.26,52.74,53.2,1305109
2017-09-28,53.3,53.74,51.84,52.41,1682321
2017-09-29,52.42,52.42,51.54,52.11,1779674
2017-10-02,51.26,51.47,50.64,51.26,2071830
