Date,Open,High,Low,Close,Volume
2016-10-04,80.74,80.98,79.76,80.02,665852
2016-10-05,80.26,80.93,80.26,80.67,1150144
2016-10-06,80.98,81.62,80.34,81.56,943606
2016-10-07,81.72,81.72,80.57,80.88,987396
2016-10-10,81.2,81.91,81.2,81.52,461556
2016-10-11,82.11,82.24,79.08,79.32,1966786
2016-10-12,79.22,79.84,79.03,79.22,949142
2016-10-13,79.0,79.32,77.93,78.02,1469972
2016-10-14,76.76,77.45,74.64,76.68,3462144
2016-10-17,76.73,76.96,76.43,76.6,1199418
2016-10-18,77.19,77.31,76.48,76.68,1189202
2016-10-19,76.86,77.6,76.66,77.02,969128
2016-10-20,77.03,77.03,75.48,76.42,1143538
2016-10-21,76.1,76.45,75.44,76.27,1836388
2016-10-24,76.81,77.09,76.45,76.47,1237438
2016-10-25,76.48,76.48,75.18,75.3,1554136
2016-10-26,75.24,75.26,74.46,74.48,1751534
2016-10-27,74.8,75.23,74.04,74.45,1492614
2016-10-28,73.82,75.49,73.71,74.66,1713776
2016-10-31,74.82,75.45,74.47,74.6,1607746
2016-11-01,74.63,74.63,73.12,73.52,3657070
2016-11-02,75.84,80.67,75.34,78.04,5985292
2016-11-03,78.03,78.48,76.81,76.94,2732412
2016-11-04,76.79,78.48,76.76,77.43,2018654
2016-11-07,78.68,78.68,77.62,78.08,1875702
2016-11-08,78.0,79.52,77.73,78.8,1560466
2016-11-09,81.9,81.9,77.18,78.76,1953320
2016-11-10,79.89,79.94,77.17,77.34,2765954
2016-11-11,76.96,78.46,76.66,78.34,1612182
2016-11-14,78.76,79.68,77.9,78.92,2063936
2016-11-15,79.18,79.48,78.42,79.0,1225732
2016-11-16,78.8,79.99,78.52,79.61,1028948
2016-11-17,79.42,79.98,79.06,79.44,1009942
2016-11-18,79.16,79.44,78.34,78.48,2765024
2016-11-21,78.5,78.92,74.09,74.28,5753006
2016-11-22,77.5,77.5,74.36,76.46,4342422
2016-11-23,76.38,76.94,75.34,76.48,2060448
2016-11-25,76.44,77.08,75.32,75.59,665270
2016-11-28,75.3,75.72,74.34,75.68,1856324
2016-11-29,75.87,76.79,75.3,76.62,1962028
2016-11-30,76.28,76.47,74.4,74.48,4004990
2016-12-01,74.62,75.15,74.48,74.63,1971848
2016-12-02,74.76,75.68,74.36,74.78,1029776
2016-12-05,75.27,75.82,74.66,74.97,1418516
2016-12-06,74.44,75.18,73.61,74.94,1366002
2016-12-07,74.82,75.03,74.23,74.66,1957014
2016-12-08,74.55,75.4,74.24,75.22,1009052
2016-12-09,75.4,76.44,75.03,76.1,830176
2016-12-12,75.9,76.29,75.36,75.58,1094552
2016-12-13,75.92,76.78,75.62,76.74,1290766
2016-12-14,77.09,77.28,75.88,76.42,1329810
2016-12-15,76.76,77.35,76.28,77.09,1464074
2016-12-16,77.12,77.49,76.28,76.88,2051346
2016-12-19,76.74,77.08,75.6,76.02,1106814
2016-12-20,76.2,76.48,75.73,76.02,668446
2016-12-21,75.93,76.98,75.76,76.52,1162176
2016-12-22,76.4,76.5,75.55,76.19,678628
2016-12-23,76.36,76.82,76.15,76.4,396398
2016-12-27,76.34,76.96,76.17,76.6,503078
2016-12-28,76.55,76.84,76.02,76.12,489822
2016-12-29,76.18,76.87,75.94,76.56,685656
2016-12-30,76.68,76.68,75.7,75.86,1419264
2017-01-03,77.12,78.18,75.5,77.96,1717296
2017-01-04,78.19,78.6,77.69,78.28,836586
2017-01-05,78.14,78.32,77.4,77.86,580720
2017-01-06,77.86,78.24,77.34,78.09,828600
2017-01-09,78.07,78.68,77.5,78.62,864880
2017-01-10,78.7,79.68,78.42,79.04,1325466
2017-01-11,78.8,79.37,77.87,78.88,1237138
2017-01-12,78.43,78.72,77.66,78.56,890138
2017-01-13,78.52,79.55,78.52,79.52,911244
2017-01-17,79.31,79.68,79.04,79.39,696636
2017-01-18,79.68,79.93,79.17,79.84,723304
2017-01-19,79.64,79.78,78.76,78.86,649002
2017-01-20,79.08,79.34,77.98,78.45,1371976
2017-01-23,78.45,78.82,77.38,77.68,756090
2017-01-24,77.8,78.6,77.18,78.46,774732
2017-01-25,78.7,80.24,78.46,80.14,1045766
2017-01-26,79.98,80.1,79.2,79.61,983090
2017-01-27,79.82,79.86,79.12,79.82,700588
2017-01-30,79.69,79.88,78.83,79.16,1030694
2017-01-31,79.12,79.97,78.67,79.93,1023662
2017-02-01,80.0,80.2,79.18,79.93,913430
2017-02-02,79.78,80.7,79.39,80.61,808810
2017-02-03,81.06,81.46,80.45,81.33,691152
2017-02-06,81.0,81.34,80.5,81.3,796468
2017-02-07,81.37,82.03,81.11,81.99,1438010
2017-02-08,81.82,82.32,81.56,81.8,1276902
2017-02-09,81.74,82.74,81.41,82.42,952916
2017-02-10,82.24,82.86,80.99,82.54,556160
2017-02-13,82.96,83.08,82.16,82.56,974808
2017-02-14,82.62,83.56,82.56,83.32,959956
2017-02-15,83.0,84.01,82.9,83.95,1009144
2017-02-16,83.9,84.14,83.2,83.62,1433002
2017-02-17,83.45,84.06,82.75,84.06,1801522
2017-02-21,85.5,88.25,85.0,86.5,2549586
2017-02-22,86.52,87.46,86.31,86.32,1330482
2017-02-23,86.42,86.6,85.76,85.96,1247006
2017-02-24,85.86,86.79,85.54,86.76,823248
2017-02-27,86.84,87.16,86.56,86.77,775836
2017-02-28,86.4,86.45,85.24,85.78,1601396
2017-03-01,86.22,86.41,85.57,86.0,1405312
2017-03-02,85.44,85.8,85.08,85.52,1301958
2017-03-03,85.49,85.94,85.31,85.78,752900
2017-03-06,85.22,85.75,84.94,85.45,830496
2017-03-07,85.24,85.68,84.94,85.53,829608
2017-03-08,85.53,85.94,85.26,85.44,718878
2017-03-09,85.44,85.88,85.22,85.47,534668
2017-03-10,85.82,86.36,85.23,86.08,941908
2017-03-13,86.0,86.19,85.44,86.11,727238
2017-03-14,86.04,86.04,85.22,85.62,556090
2017-03-15,85.76,86.56,85.34,86.36,679236
2017-03-16,86.25,86.44,85.08,85.58,1180848
2017-03-17,85.82,86.0,85.1,85.62,1818248
2017-03-20,85.43,86.25,84.98,85.7,733584
2017-03-21,86.0,86.45,85.26,85.4,933014
2017-03-22,85.68,86.13,84.91,85.92,646144
2017-03-23,85.9,86.75,85.54,85.73,682980
2017-03-24,85.88,86.3,85.38,85.62,551082
2017-03-27,85.14,86.01,85.07,85.63,527486
2017-03-28,85.52,85.78,85.31,85.54,776898
2017-03-29,85.68,85.8,85.04,85.44,621190
2017-03-30,85.21,85.57,85.15,85.42,382174
2017-03-31,85.18,85.38,84.86,84.98,594888
2017-04-03,85.11,85.58,84.38,84.52,892550
2017-04-04,84.62,84.86,84.09,84.41,622510
2017-04-05,84.34,85.37,84.0,84.1,1048904
2017-04-06,84.22,84.52,83.65,84.45,710520
2017-04-07,84.48,84.71,83.73,83.78,687336
2017-04-10,83.86,84.72,83.68,84.46,769672
2017-04-11,84.28,85.15,84.28,85.03,799050
2017-04-12,83.11,84.72,83.11,84.36,914872
2017-04-13,84.55,84.56,83.86,83.92,435298
2017-04-17,84.14,84.62,83.8,84.44,504710
2017-04-18,84.22,84.24,83.39,83.85,623256
2017-04-19,84.18,84.42,83.43,83.99,562710
2017-04-20,84.08,84.88,83.46,84.7,1010634
2017-04-21,84.78,84.93,83.81,84.06,596232
2017-04-24,84.99,85.1,84.26,84.9,679744
2017-04-25,85.1,85.5,84.82,85.11,803874
2017-04-26,85.18,86.68,85.1,86.59,1215060
2017-04-27,86.74,87.34,86.62,87.09,716504
2017-04-28,86.88,87.22,86.62,86.9,712230
2017-05-01,86.92,87.04,86.38,86.8,485038
2017-05-02,86.76,87.82,86.76,87.71,622274
2017-05-03,87.62,88.14,87.59,87.84,919922
2017-05-04,88.08,89.08,87.86,89.04,722652
2017-05-05,89.41,89.65,88.79,89.18,635826
2017-05-08,89.18,89.36,87.1,87.51,1257894
2017-05-09,90.0,91.24,87.99,88.7,1687324
2017-05-10,88.67,88.82,87.77,88.04,981838
2017-05-11,87.66,88.27,87.16,88.2,710350
2017-05-12,87.91,88.24,87.43,87.81,652576
2017-05-15,87.64,88.11,87.52,88.06,578030
2017-05-16,88.23,88.5,87.83,88.42,827428
2017-05-17,87.92,88.45,87.18,87.28,636324
2017-05-18,87.38,88.82,87.17,88.52,1108780
2017-05-19,88.42,89.39,87.98,88.9,1197292
2017-05-22,88.9,90.62,88.76,90.46,1012534
2017-05-23,90.5,91.12,89.94,91.05,623856
2017-05-24,91.3,91.43,90.56,90.82,608692
2017-05-25,91.01,91.92,90.84,91.63,634676
2017-05-26,91.62,91.72,91.04,91.34,428192
2017-05-30,91.21,91.6,90.92,91.44,367656
2017-05-31,91.5,92.04,91.08,91.98,674070
2017-06-01,92.12,93.32,92.04,93.26,648018
2017-06-02,93.14,93.36,92.9,93.28,580762
2017-06-05,93.16,93.22,92.34,92.6,591064
2017-06-06,92.61,93.36,91.97,92.02,906384
2017-06-07,92.44,93.12,91.86,92.7,871458
2017-06-08,92.06,93.22,91.65,92.09,618200
2017-06-09,92.3,93.5,92.3,92.88,1129058
