Date,Open,High,Low,Close,Volume
2016-10-04,53.6,54.05,53.48,53.55,2449245
2016-10-05,53.59,53.73,53.33,53.66,3207710
2016-10-06,53.51,53.68,53.35,53.54,1793760
2016-10-07,53.62,53.65,53.16,53.46,1694810
2016-10-10,53.77,53.96,53.39,53.68,2680090
2016-10-11,53.7,53.83,52.98,53.07,3266390
2016-10-12,53.16,53.55,52.91,53.47,2351210
2016-10-13,53.17,53.39,52.93,53.31,3073060
2016-10-14,53.7,54.5,53.57,54.26,3297085
2016-10-17,54.24,54.39,53.15,53.18,2352105
2016-10-18,53.67,53.95,53.22,53.53,1899055
2016-10-19,53.73,53.83,53.21,53.41,1898985
2016-10-20,53.38,53.6,53.0,53.01,2025705
2016-10-21,52.74,53.4,52.62,53.27,2494635
2016-10-24,53.43,53.43,53.14,53.31,1552570
2016-10-25,53.2,53.77,53.2,53.39,1972120
2016-10-26,53.19,53.57,53.18,53.26,2019285
2016-10-27,53.35,53.48,53.02,53.22,2777780
2016-10-28,53.22,53.73,53.07,53.57,2674575
2016-10-31,53.65,54.41,53.29,54.08,4055015
2016-11-01,53.6,53.92,52.27,52.61,6879725
2016-11-02,52.52,53.3,52.52,53.04,3936775
2016-11-03,53.28,53.91,53.24,53.89,3707295
2016-11-04,53.91,54.02,53.27,53.37,2230413
2016-11-07,54.15,54.5,54.03,54.43,3395791
2016-11-08,54.48,54.84,54.19,54.62,2192259
2016-11-09,55.19,57.57,54.5,57.34,4936999
2016-11-10,57.99,58.7,57.12,57.3,3780301
2016-11-11,57.2,57.3,55.9,56.25,3415741
2016-11-14,56.4,56.49,55.06,55.59,3968830
2016-11-15,55.43,55.72,54.91,55.5,2855696
2016-11-16,55.1,55.36,54.2,54.45,4521838
2016-11-17,54.51,55.16,54.34,54.9,3171854
2016-11-18,54.71,55.03,54.7,54.82,3369269
2016-11-21,54.94,55.18,54.52,55.18,3315666
2016-11-22,55.32,55.32,54.23,54.41,3086697
2016-11-23,54.34,54.63,53.91,54.33,2560124
2016-11-25,54.48,54.69,54.2,54.69,735481
2016-11-28,54.66,54.79,54.03,54.08,2151256
2016-11-29,54.35,54.94,53.95,54.84,3023153
2016-11-30,55.32,55.86,55.26,55.4,5473641
2016-12-01,55.5,56.4,55.38,56.35,4136041
2016-12-02,56.39,56.74,56.0,56.65,3148203
2016-12-05,56.9,57.86,56.85,57.79,4219627
2016-12-06,57.8,58.62,57.64,58.56,3809107
2016-12-07,58.82,59.42,58.64,59.08,4086555
2016-12-08,59.42,59.57,58.86,59.46,3234279
2016-12-09,59.4,59.86,59.05,59.66,2170533
2016-12-12,59.61,59.82,59.01,59.59,3461209
2016-12-13,59.62,59.82,59.21,59.41,1970952
2016-12-14,59.32,59.5,58.3,58.37,4929257
2016-12-15,58.64,59.47,58.25,58.33,3688645
2016-12-16,58.64,59.4,57.84,57.92,4929146
2016-12-19,57.79,57.99,57.36,57.66,2667354
2016-12-20,58.01,58.07,57.42,58.07,2291374
2016-12-21,58.07,58.07,57.29,57.33,1759955
2016-12-22,57.28,57.28,56.83,57.28,1682319
2016-12-23,57.21,57.45,56.63,56.82,1830897
2016-12-27,57.12,57.42,56.89,57.28,1092987
2016-12-28,57.31,57.47,56.62,56.65,1375456
2016-12-29,56.82,56.85,56.36,56.49,1156580
2016-12-30,56.7,56.9,56.24,56.42,1844386
2017-01-03,56.9,56.96,55.8,56.22,2595463
2017-01-04,56.46,57.46,56.32,57.21,3074938
2017-01-05,57.02,57.72,56.7,56.97,1636823
2017-01-06,57.04,57.54,56.9,57.34,1490113
2017-01-09,57.28,57.69,56.89,57.02,1472093
2017-01-10,57.11,57.16,56.68,56.77,1647109
2017-01-11,56.91,56.96,56.04,56.84,3852066
2017-01-12,56.53,56.98,55.8,56.72,4289626
2017-01-13,57.06,57.44,56.67,56.83,1963286
2017-01-17,56.73,56.78,56.17,56.46,1998509
2017-01-18,56.75,57.42,56.21,57.31,2072860
2017-01-19,57.36,57.44,56.95,56.96,1887362
2017-01-20,57.12,57.5,56.93,57.4,2001840
2017-01-23,57.19,57.44,56.69,56.84,1545761
2017-01-24,56.99,57.68,56.92,57.46,1701609
2017-01-25,57.84,58.19,57.75,57.96,2531883
2017-01-26,58.15,58.87,56.99,58.17,1927582
2017-01-27,58.16,58.19,57.62,57.88,1309195
2017-01-30,57.88,57.97,57.25,57.94,1309474
2017-01-31,57.99,58.39,57.82,58.36,2458370
2017-02-01,58.42,58.96,58.14,58.35,2952113
2017-02-02,58.02,58.8,57.83,58.39,3733279
2017-02-03,58.88,59.0,58.45,58.54,3092586
2017-02-06,58.25,58.57,58.12,58.51,2879846
2017-02-07,59.28,60.54,59.28,59.93,7162773
2017-02-08,59.5,59.5,56.98,57.04,5603496
2017-02-09,57.08,57.66,56.8,57.58,3657180
2017-02-10,57.63,57.86,57.14,57.65,2975157
2017-02-13,58.12,59.11,57.82,59.03,2558596
2017-02-14,59.03,59.14,58.45,58.65,2914943
2017-02-15,58.73,59.12,58.33,59.01,3397366
2017-02-16,58.94,58.94,58.24,58.65,1809433
2017-02-17,58.53,58.8,58.3,58.4,2962911
2017-02-21,58.42,58.57,57.81,57.96,3150487
2017-02-22,57.59,57.99,57.46,57.73,2784472
2017-02-23,57.86,58.31,57.8,58.11,2973783
2017-02-24,57.77,58.62,57.67,58.3,2026310
2017-02-27,58.25,58.4,57.15,57.7,3092191
2017-02-28,57.48,57.64,56.97,57.13,3392352
2017-03-01,57.85,59.1,57.61,58.93,3869230
2017-03-02,58.89,58.98,58.37,58.52,2981630
2017-03-03,58.52,58.85,58.07,58.74,2992025
2017-03-06,58.42,59.22,58.1,59.02,3646305
2017-03-07,58.95,59.05,58.55,58.63,2656096
2017-03-08,58.86,59.48,58.65,59.39,3465894
2017-03-09,59.53,60.45,59.46,60.06,5102383
2017-03-10,60.33,60.86,59.77,60.26,3584536
2017-03-13,60.49,60.7,60.2,60.4,4264014
2017-03-14,60.2,60.68,60.02,60.21,3413762
2017-03-15,60.48,60.54,60.24,60.4,2791394
2017-03-16,60.57,61.58,60.5,61.55,3933178
2017-03-17,61.47,61.98,61.29,61.4,4871186
2017-03-20,61.26,61.47,60.97,61.0,2321124
2017-03-21,61.27,61.36,59.94,60.03,3332353
2017-03-22,60.03,60.21,59.53,59.8,2120709
2017-03-23,59.86,60.4,59.71,59.87,2433474
2017-03-24,59.99,60.27,59.7,59.85,2536089
2017-03-27,59.2,59.56,58.85,59.4,1922738
