Date,Open,High,Low,Close,Volume
2016-10-04,141.9,142.77,140.22,140.42,270221
2016-10-05,140.69,140.89,138.51,138.55,643550
2016-10-06,137.83,138.8,137.01,138.22,710082
2016-10-07,138.46,138.46,136.26,137.43,367069
2016-10-10,138.33,138.69,137.31,137.7,269515
2016-10-11,137.53,137.53,135.04,135.48,228316
2016-10-12,135.11,135.11,131.31,131.35,836555
2016-10-13,130.0,130.78,128.37,130.21,851242
2016-10-14,131.0,131.0,129.28,129.31,451821
2016-10-17,129.69,130.07,128.63,129.1,442765
2016-10-18,130.12,130.14,128.52,130.0,357070
2016-10-19,130.13,130.61,128.73,129.43,426116
2016-10-20,129.32,130.21,129.04,129.21,270163
2016-10-21,128.6,129.89,128.15,129.75,259113
2016-10-24,130.24,130.9,129.86,130.52,368169
2016-10-25,130.1,130.51,128.85,130.5,358199
2016-10-26,130.35,132.64,130.15,132.06,743848
2016-10-27,132.3,133.68,132.0,133.38,720982
2016-10-28,133.6,134.96,133.6,134.54,813411
2016-10-31,134.89,134.89,130.67,130.78,726681
2016-11-01,130.9,133.99,130.9,133.84,784974
2016-11-02,133.8,133.97,130.5,130.65,494026
2016-11-03,130.66,130.98,129.22,129.29,380229
2016-11-04,129.57,130.4,127.91,128.66,715419
2016-11-07,130.03,131.97,129.4,131.12,715533
2016-11-08,124.39,127.55,119.71,126.06,2196843
2016-11-09,123.71,125.05,122.0,124.03,1540070
2016-11-10,124.41,124.59,118.01,118.47,2154425
2016-11-11,118.41,119.64,118.01,118.4,680853
2016-11-14,118.48,119.05,116.73,117.52,838087
2016-11-15,117.56,119.05,117.36,118.06,595990
2016-11-16,118.06,121.05,117.82,120.83,643966
2016-11-17,121.19,121.52,119.26,119.45,693648
2016-11-18,119.14,120.22,117.31,119.78,609474
2016-11-21,119.56,120.97,119.56,120.05,414328
2016-11-22,119.95,120.85,119.66,120.34,747619
2016-11-23,119.99,121.22,119.89,120.33,623879
2016-11-25,120.32,121.9,120.27,120.38,365096
2016-11-28,120.61,121.13,119.77,120.35,453319
2016-11-29,120.41,121.9,120.0,121.25,345187
2016-11-30,121.15,121.59,120.51,121.05,564153
2016-12-01,121.07,121.44,118.08,118.51,772168
2016-12-02,118.99,120.17,118.36,120.07,607424
2016-12-05,120.63,121.25,119.13,121.01,631680
2016-12-06,121.04,122.12,120.34,121.79,535063
2016-12-07,121.53,125.07,121.53,124.66,548440
2016-12-08,124.66,126.18,124.02,125.76,657859
2016-12-09,125.76,126.26,124.12,125.3,485593
2016-12-12,125.78,126.08,122.91,123.2,446704
2016-12-13,123.21,123.73,121.24,121.75,738043
2016-12-14,122.22,122.69,118.31,118.43,800367
2016-12-15,118.36,120.21,118.0,120.17,636591
2016-12-16,119.29,120.0,116.64,118.01,1460392
2016-12-19,118.35,118.65,117.31,117.87,621129
2016-12-20,117.86,118.36,117.0,117.79,374132
2016-12-21,118.12,119.27,117.23,118.24,535043
2016-12-22,117.9,119.35,117.75,119.35,466645
2016-12-23,118.7,119.14,117.98,118.24,606030
2016-12-27,118.64,119.42,118.38,119.02,561354
2016-12-28,119.04,119.56,118.6,118.8,407858
2016-12-29,118.82,119.21,118.65,118.9,416260
2016-12-30,118.86,119.3,117.53,117.83,504572
2017-01-03,118.45,119.67,116.73,117.17,531337
2017-01-04,117.0,118.18,115.51,117.39,705916
2017-01-05,116.94,117.44,115.12,116.1,1010156
2017-01-06,115.67,116.53,113.16,116.02,1013921
2017-01-09,115.25,116.2,113.5,115.56,711992
2017-01-10,116.03,116.58,115.39,115.48,491472
2017-01-11,115.28,116.53,114.77,116.3,608331
2017-01-12,116.08,116.73,114.95,115.26,548861
2017-01-13,115.58,117.18,115.58,116.66,427717
2017-01-17,116.72,117.78,116.38,116.81,464650
2017-01-18,117.21,117.92,116.72,117.83,501128
2017-01-19,117.67,118.03,116.64,117.51,466259
2017-01-20,117.7,119.44,117.59,118.13,456231
2017-01-23,117.81,117.91,116.83,117.37,315566
2017-01-24,117.62,119.66,116.79,119.54,373677
2017-01-25,120.06,120.29,119.59,119.82,416644
2017-01-26,120.04,120.36,119.48,119.7,261500
2017-01-27,119.42,119.92,118.52,119.85,284837
2017-01-30,119.42,119.69,118.49,119.0,415877
2017-01-31,118.66,118.88,115.97,117.21,798442
2017-02-01,117.4,117.63,115.78,116.54,929812
2017-02-02,116.57,118.13,114.81,116.84,1771162
2017-02-03,117.17,118.45,116.11,117.98,699260
2017-02-06,117.55,118.04,116.53,117.47,364793
2017-02-07,117.76,117.88,116.32,116.75,671110
2017-02-08,116.74,118.54,116.3,117.92,639490
2017-02-09,117.95,119.31,117.51,117.74,1313505
2017-02-10,118.26,119.08,117.57,117.91,1347253
2017-02-13,118.43,120.03,117.56,120.03,732702
2017-02-14,119.54,119.96,117.09,117.9,1005203
2017-02-15,117.36,119.27,117.07,119.16,669126
2017-02-16,120.83,126.34,120.0,124.03,1934221
2017-02-17,123.68,123.86,122.1,122.37,881643
2017-02-21,122.14,123.19,121.09,121.62,668435
2017-02-22,121.59,122.83,121.03,122.63,563562
2017-02-23,125.04,128.33,123.94,125.14,1083600
2017-02-24,125.06,125.3,124.0,125.0,516774
2017-02-27,125.11,125.15,124.12,124.81,462948
2017-02-28,124.82,126.2,124.74,125.7,506231
2017-03-01,126.12,128.38,126.02,127.1,624774
2017-03-02,126.94,127.47,125.5,126.13,556668
2017-03-03,126.07,126.67,124.54,125.13,345323
2017-03-06,124.41,125.13,124.21,124.39,567741
2017-03-07,124.18,125.1,123.35,123.89,439043
2017-03-08,123.79,125.46,123.79,124.28,607583
2017-03-09,124.26,124.26,123.15,123.66,504015
2017-03-10,124.55,125.39,124.33,125.33,474543
2017-03-13,125.42,126.76,124.62,126.6,617910
2017-03-14,126.11,126.77,125.53,126.22,491401
2017-03-15,126.5,128.43,126.02,128.1,571579
2017-03-16,128.28,129.09,127.78,128.94,571211
2017-03-17,129.61,132.24,129.32,132.1,1222975
2017-03-20,132.05,135.49,131.69,135.4,1545499
2017-03-21,135.45,137.04,134.48,135.1,961481
2017-03-22,135.02,136.98,134.5,136.89,769961
2017-03-23,135.4,136.83,134.94,135.07,808335
2017-03-24,135.16,135.29,132.79,133.19,667268
2017-03-27,132.73,133.46,131.77,132.56,1124759
