Date,Open,High,Low,Close,Volume
2016-10-04,95.8,96.18,93.33,94.17,1150954
2016-10-05,94.45,96.38,94.26,95.69,1084690
2016-10-06,94.8,95.1,92.16,94.78,1861910
2016-10-07,96.0,98.08,95.0,97.83,2863170
2016-10-10,98.69,99.48,95.94,95.95,1530288
2016-10-11,95.41,96.34,89.8,92.11,1938127
2016-10-12,92.46,93.34,89.77,89.97,1405462
2016-10-13,88.99,90.25,88.42,89.53,1533847
2016-10-14,89.83,90.78,86.99,87.1,1304838
2016-10-17,86.77,87.89,84.02,86.7,1230385
2016-10-18,87.63,89.79,87.45,88.78,1067365
2016-10-19,88.55,88.55,87.16,87.96,815099
2016-10-20,88.07,90.11,87.1,88.49,893129
2016-10-21,88.09,88.64,86.15,87.72,792924
2016-10-24,87.99,88.52,87.01,88.18,994859
2016-10-25,87.86,88.35,86.6,87.2,764539
2016-10-26,87.5,89.25,86.7,87.25,800338
2016-10-27,88.1,90.9,86.68,87.01,1062866
2016-10-28,86.05,88.34,84.42,87.13,993879
2016-10-31,87.52,87.8,85.92,86.97,958129
2016-11-01,90.0,91.33,86.97,90.03,2593537
2016-11-02,90.0,90.09,87.09,87.18,1583252
2016-11-03,87.53,87.89,83.09,83.28,1216131
2016-11-04,84.3,89.18,83.01,87.57,1384781
2016-11-07,89.46,92.83,88.74,92.15,2391699
2016-11-08,92.16,93.98,90.38,92.16,1280368
2016-11-09,95.68,109.95,95.03,104.13,4717805
2016-11-10,105.0,107.99,101.65,104.71,2621254
2016-11-11,103.88,105.73,102.29,104.51,2028343
2016-11-14,104.88,107.09,101.64,104.89,1873485
2016-11-15,104.27,105.02,101.58,103.16,1052306
2016-11-16,102.71,103.99,100.61,100.74,742154
2016-11-17,106.9,108.2,102.15,105.55,2869001
2016-11-18,105.3,105.92,103.37,103.63,1103094
2016-11-21,103.66,109.03,103.0,108.1,1471893
2016-11-22,107.91,108.34,104.48,106.8,1235058
2016-11-23,104.88,107.33,103.9,106.8,936467
2016-11-25,107.51,108.61,105.95,107.73,783715
2016-11-28,107.13,107.7,104.8,105.17,950790
2016-11-29,105.44,106.5,103.41,105.07,803127
2016-11-30,105.33,106.43,101.9,102.29,1040821
2016-12-01,102.53,103.31,99.56,99.93,1001248
2016-12-02,100.22,104.23,98.49,102.02,1105765
2016-12-05,102.66,105.89,102.16,104.76,1785346
2016-12-06,104.37,107.47,104.15,107.21,1288769
2016-12-07,104.76,106.52,99.72,101.96,1946962
2016-12-08,101.43,103.17,98.56,102.88,1147039
2016-12-09,103.85,105.48,100.02,100.63,1078620
2016-12-12,100.12,101.15,99.5,100.86,1042244
2016-12-13,101.23,102.69,100.55,101.54,1408337
2016-12-14,101.5,103.35,101.0,102.42,1030419
2016-12-15,103.14,105.39,101.3,104.58,1127981
2016-12-16,104.85,107.2,102.43,103.0,2842177
2016-12-19,102.88,103.85,100.28,100.79,1520759
2016-12-20,101.31,102.62,101.01,102.21,1078102
2016-12-21,101.84,102.38,99.3,99.76,1019487
2016-12-22,100.64,101.52,98.73,101.47,779806
2016-12-23,100.84,103.16,99.95,102.94,981993
2016-12-27,103.1,105.28,102.22,102.53,883786
2016-12-28,102.35,103.22,100.91,101.1,731335
2016-12-29,100.88,102.17,100.72,101.96,726327
2016-12-30,101.93,102.35,99.25,100.27,953785
