Date,Open,High,Low,Close,Volume
2016-10-04,36.48,36.5,35.13,35.39,1822246
2016-10-05,35.52,35.75,34.26,34.27,2230228
2016-10-06,34.07,34.21,33.58,33.87,2328482
2016-10-07,34.04,34.47,33.37,33.57,1852054
2016-10-10,33.64,33.95,33.56,33.91,1486031
2016-10-11,33.9,34.08,33.63,33.69,1817507
2016-10-12,33.74,34.64,33.59,34.61,2147698
2016-10-13,34.52,35.37,34.34,35.22,1939044
2016-10-14,35.22,35.29,34.38,34.39,1877661
2016-10-17,34.41,34.47,34.1,34.12,1449146
2016-10-18,34.42,34.42,33.98,34.15,1454316
2016-10-19,34.25,34.41,33.67,34.25,2416800
2016-10-20,34.28,34.34,33.78,34.05,755052
2016-10-21,33.79,34.17,33.7,33.97,821429
2016-10-24,34.08,34.31,33.86,34.23,1320085
2016-10-25,34.21,34.38,34.05,34.25,668785
2016-10-26,34.16,34.16,33.74,34.01,741969
2016-10-27,33.98,33.99,32.55,32.76,1918860
2016-10-28,32.83,33.33,32.72,32.83,1063066
2016-10-31,33.0,33.91,32.85,33.73,1655801
2016-11-01,33.29,34.65,32.88,33.17,2377817
2016-11-02,33.17,33.25,32.07,32.11,1892529
2016-11-03,32.11,32.26,31.57,32.1,1781939
2016-11-04,32.2,32.61,32.01,32.44,1247885
2016-11-07,32.87,33.32,32.75,33.29,1223088
2016-11-08,33.36,33.87,33.21,33.69,1275327
2016-11-09,32.82,33.08,32.23,32.78,2302641
2016-11-10,32.75,32.87,31.4,31.46,2543288
2016-11-11,31.47,31.86,31.23,31.54,2258747
2016-11-14,31.53,31.7,30.75,31.67,2364641
2016-11-15,31.87,32.36,31.44,31.82,1800134
2016-11-16,31.7,32.29,31.41,32.24,1318423
2016-11-17,32.15,32.32,31.83,32.0,1297685
2016-11-18,31.97,31.98,31.29,31.55,1780242
2016-11-21,31.79,32.85,31.77,32.59,1618272
2016-11-22,32.79,33.12,32.71,33.08,1291466
2016-11-23,32.78,33.25,32.73,33.1,882868
2016-11-25,33.14,33.86,33.14,33.66,568441
2016-11-28,33.64,34.0,33.25,33.28,1383296
2016-11-29,33.29,33.94,33.18,33.73,1837443
2016-11-30,33.7,33.72,32.65,33.0,2912691
2016-12-01,32.99,32.99,32.25,32.52,2084052
2016-12-02,32.6,33.8,32.6,33.72,1877393
2016-12-05,33.73,33.99,33.4,33.97,1561902
2016-12-06,34.02,34.19,33.72,33.8,995476
2016-12-07,33.84,34.73,33.46,34.72,2122834
2016-12-08,34.56,35.08,34.49,34.99,1251213
2016-12-09,34.95,35.08,34.56,34.65,1154710
2016-12-12,34.37,34.38,33.8,34.14,1814553
2016-12-13,33.53,33.57,33.01,33.16,1695951
2016-12-14,33.13,33.2,32.15,32.22,2474408
2016-12-15,31.94,31.95,31.39,31.75,3207050
2016-12-16,31.85,32.22,31.77,32.06,3880775
2016-12-19,31.79,32.26,31.78,31.98,1410490
2016-12-20,31.8,32.07,31.63,31.97,1181729
2016-12-21,32.1,32.61,32.02,32.24,1397079
2016-12-22,32.22,32.52,31.97,32.41,986910
2016-12-23,32.4,32.58,32.3,32.54,824392
2016-12-27,32.71,32.77,32.32,32.45,646203
2016-12-28,32.46,32.6,32.04,32.12,768837
2016-12-29,32.15,32.53,31.9,32.38,922000
2016-12-30,32.45,32.79,32.28,32.48,1995605
2017-01-03,32.81,33.11,32.27,33.1,1812084
2017-01-04,33.2,33.96,32.87,33.91,1346347
2017-01-05,33.72,34.07,33.6,33.98,1465313
2017-01-06,33.98,34.0,33.36,33.5,1101969
2017-01-09,33.6,33.6,33.03,33.26,1271662
2017-01-10,33.15,33.35,32.69,33.3,1076952
2017-01-11,33.34,33.54,33.06,33.19,1220504
2017-01-12,33.18,33.72,33.12,33.69,842330
2017-01-13,33.59,33.75,33.12,33.4,863693
2017-01-17,33.5,34.0,33.4,33.95,799064
2017-01-18,33.8,34.34,33.73,34.1,880955
2017-01-19,34.05,34.1,33.58,33.92,932002
2017-01-20,33.95,34.72,33.84,34.68,1610565
2017-01-23,34.54,35.04,34.42,34.97,1169698
2017-01-24,35.0,35.38,34.94,35.31,1508835
2017-01-25,35.36,35.39,35.06,35.31,1547146
2017-01-26,35.23,36.17,35.23,36.17,1561765
2017-01-27,36.26,36.28,35.97,36.18,1313267
2017-01-30,36.08,36.08,35.55,35.79,1976642
2017-01-31,35.82,36.08,35.72,35.8,3226422
2017-02-01,35.79,36.07,35.3,35.98,2156817
2017-02-02,35.95,36.27,35.83,36.2,935877
2017-02-03,36.39,36.73,36.31,36.59,1249174
2017-02-06,36.58,36.7,36.38,36.67,1407580
2017-02-07,36.69,36.89,36.61,36.71,1635416
2017-02-08,36.59,36.83,36.49,36.8,1239743
2017-02-09,36.8,37.18,36.67,37.03,1261553
2017-02-10,37.0,37.5,36.81,37.39,899071
2017-02-13,37.42,37.75,37.23,37.62,1110822
2017-02-14,37.5,37.62,37.02,37.05,1199698
2017-02-15,36.88,37.36,36.86,37.26,932378
2017-02-16,37.15,37.47,36.91,37.0,1776259
2017-02-17,36.98,37.26,36.86,37.15,1762725
2017-02-21,37.15,37.72,37.09,37.71,1512899
2017-02-22,37.63,37.7,37.04,37.14,1993823
2017-02-23,37.35,37.7,36.71,36.94,1906347
