Date,Open,High,Low,Close,Volume
2016-10-04,717.98,721.15,712.98,716.62,187415
2016-10-05,716.75,720.73,714.68,718.1,149882
2016-10-06,716.63,719.01,714.15,716.19,194040
2016-10-07,719.99,719.99,713.23,718.04,133880
2016-10-10,718.76,727.25,718.76,724.61,138846
2016-10-11,724.13,724.13,706.38,710.3,236113
2016-10-12,712.0,713.23,708.72,710.93,171516
2016-10-13,708.95,715.8,707.14,713.44,260931
2016-10-14,718.58,718.58,710.7,714.91,211909
2016-10-17,715.28,718.88,708.12,709.44,263361
2016-10-18,716.94,723.31,710.01,721.73,518327
2016-10-19,705.65,705.86,680.5,681.58,1228185
2016-10-20,681.99,689.46,678.02,681.82,560180
2016-10-21,680.45,682.43,675.92,678.02,408523
2016-10-24,685.06,687.48,681.79,685.0,304162
2016-10-25,685.0,685.99,676.59,679.5,252320
2016-10-26,676.68,676.68,665.07,665.72,293810
2016-10-27,667.49,669.56,657.72,663.23,328602
2016-10-28,662.43,675.55,661.77,666.55,345356
2016-10-31,665.79,673.44,658.37,672.08,292779
2016-11-01,673.44,673.94,665.25,669.72,257628
2016-11-02,670.38,674.33,666.02,666.57,265563
2016-11-03,670.01,674.19,667.75,673.3,291914
2016-11-04,671.87,678.78,670.58,671.42,342505
2016-11-07,678.03,682.78,676.84,678.43,236317
2016-11-08,678.87,688.17,677.07,685.13,217141
2016-11-09,663.71,667.85,650.74,651.46,874526
2016-11-10,652.12,654.42,630.64,635.52,786973
2016-11-11,634.47,642.28,616.8,621.76,706391
2016-11-14,621.0,632.0,618.68,624.6,598341
2016-11-15,627.21,642.05,627.21,640.55,332416
2016-11-16,641.58,645.5,637.0,643.36,293520
2016-11-17,643.31,656.01,643.31,654.6,278992
2016-11-18,654.14,658.0,652.7,654.89,263369
2016-11-21,658.22,663.64,654.98,662.09,426259
2016-11-22,658.0,658.69,637.58,640.21,667426
2016-11-23,641.12,646.4,637.49,645.28,368882
2016-11-25,648.43,661.3,645.75,656.51,245395
2016-11-28,656.94,658.64,646.77,647.69,385862
2016-11-29,648.98,654.77,648.0,650.31,313401
2016-11-30,650.28,653.22,636.76,643.74,888418
2016-12-01,642.46,644.0,628.11,632.33,447606
2016-12-02,634.99,643.85,631.12,636.64,422719
2016-12-05,637.3,638.52,634.29,636.95,293792
2016-12-06,636.01,636.91,618.89,621.59,440508
2016-12-07,620.52,622.17,610.71,619.01,621275
2016-12-08,617.97,623.0,614.38,619.46,300942
2016-12-09,619.84,627.88,618.8,625.21,289802
2016-12-12,623.81,635.05,623.81,633.74,396422
2016-12-13,636.0,652.2,635.73,635.97,651494
2016-12-14,637.64,644.02,634.03,636.59,390955
2016-12-15,637.14,641.6,632.12,639.0,344409
2016-12-16,639.5,642.88,634.17,641.39,553623
2016-12-19,639.57,641.48,635.25,637.91,291381
2016-12-20,638.48,639.87,630.03,634.01,263842
2016-12-21,634.08,634.61,630.0,630.29,179267
2016-12-22,631.72,639.45,629.96,637.58,291734
2016-12-23,639.08,644.68,638.32,640.75,188785
2016-12-27,643.04,647.2,639.27,639.51,119389
2016-12-28,639.8,642.41,633.73,635.55,161162
2016-12-29,634.57,639.0,634.57,636.55,157622
2016-12-30,638.32,638.39,632.25,634.17,267259
2017-01-03,635.94,642.18,635.0,641.79,264491
2017-01-04,638.0,638.0,624.72,629.49,453909
2017-01-05,630.19,637.71,627.45,632.91,370195
2017-01-06,634.0,640.86,634.0,636.11,294523
2017-01-09,635.19,643.26,635.19,641.3,386485
2017-01-10,642.53,664.0,641.74,662.2,396557
2017-01-11,675.9,688.64,670.09,678.16,632038
2017-01-12,677.57,677.57,661.05,664.88,415734
2017-01-13,668.0,674.98,662.59,664.71,291282
2017-01-17,664.51,667.34,655.0,663.74,262387
2017-01-18,663.79,668.0,660.15,663.07,197277
2017-01-19,662.42,664.14,654.1,658.06,250330
2017-01-20,661.22,661.22,654.24,656.75,258082
2017-01-23,657.54,661.98,651.57,655.03,272376
2017-01-24,657.66,669.78,653.68,666.05,469731
2017-01-25,675.0,700.42,672.02,700.0,1134313
2017-01-26,696.31,699.0,684.43,687.56,553946
2017-01-27,684.38,695.26,682.14,691.29,421366
2017-01-30,687.4,690.45,683.66,690.13,312998
2017-01-31,688.23,697.54,684.56,692.69,385067
2017-02-01,690.05,698.0,687.98,697.02,358394
2017-02-02,693.14,700.99,691.04,700.16,349185
2017-02-03,700.0,702.95,697.77,702.13,324273
2017-02-06,700.05,706.05,696.71,704.96,324149
2017-02-07,704.08,706.32,701.5,704.24,379451
2017-02-08,701.51,704.64,699.32,702.67,345117
2017-02-09,701.96,709.54,700.24,705.38,270395
2017-02-10,705.92,708.67,703.45,705.52,268841
2017-02-13,705.0,711.29,700.98,710.7,258659
2017-02-14,712.42,718.0,710.25,714.92,308306
2017-02-15,711.63,719.3,710.51,716.74,303246
2017-02-16,714.43,721.74,712.6,721.47,289550
2017-02-17,718.43,727.36,717.64,724.66,387769
2017-02-21,725.0,733.17,723.57,732.17,482058
2017-02-22,729.8,734.12,728.59,732.08,278518
2017-02-23,731.3,736.63,730.56,735.35,268561
2017-02-24,733.4,738.8,731.33,736.86,281668
2017-02-27,737.37,739.0,732.61,734.03,296795
2017-02-28,732.0,739.03,729.61,737.0,395394
2017-03-01,736.8,744.59,733.08,741.09,315993
2017-03-02,741.0,745.8,739.72,742.57,268068
2017-03-03,740.44,746.28,738.92,744.79,214240
2017-03-06,740.68,742.96,734.45,735.7,399851
2017-03-07,732.68,736.34,729.14,730.15,385104
2017-03-08,731.0,734.51,726.79,728.11,320904
2017-03-09,727.13,736.97,727.13,736.02,316711
2017-03-10,740.0,740.0,732.64,734.16,245304
2017-03-13,733.13,736.31,727.38,733.89,262087
2017-03-14,728.85,740.3,728.44,740.08,454534
2017-03-15,736.86,751.43,735.99,746.67,568290
2017-03-16,749.05,750.51,739.5,743.53,271241
2017-03-17,748.15,752.2,745.68,749.83,668969
2017-03-20,747.57,755.55,747.02,750.03,374843
2017-03-21,753.5,757.98,745.4,745.95,395934
2017-03-22,747.63,750.17,742.51,748.31,182507
2017-03-23,747.4,751.47,744.54,746.18,189036
2017-03-24,749.77,761.51,747.67,758.0,445378
2017-03-27,755.43,769.12,753.2,767.32,392176
2017-03-28,767.32,770.28,764.28,764.47,281051
2017-03-29,763.02,767.52,759.5,765.68,246416
2017-03-30,765.9,768.98,762.43,766.26,177729
2017-03-31,765.37,769.98,764.32,766.47,307306
2017-04-03,765.64,771.57,760.45,764.71,320679
2017-04-04,765.99,767.26,759.34,762.34,199562
2017-04-05,760.88,775.91,759.46,762.8,366019
2017-04-06,762.14,765.95,760.33,762.77,260306
2017-04-07,764.03,768.34,761.09,767.12,250672
2017-04-10,765.01,769.41,765.0,767.04,228021
2017-04-11,766.1,769.55,760.62,764.83,274960
2017-04-12,761.87,765.0,760.87,764.26,247065
2017-04-13,765.43,768.65,762.48,764.79,252827
2017-04-17,768.92,773.26,765.33,768.28,386646
2017-04-18,768.0,768.0,753.38,759.34,588579
2017-04-19,800.0,817.2,790.98,807.7,1132074
2017-04-20,806.5,815.41,802.85,814.45,394608
2017-04-21,811.67,814.55,807.3,813.43,411261
2017-04-24,817.0,824.03,813.17,822.18,378961
2017-04-25,822.2,833.05,820.45,827.24,486289
2017-04-26,825.93,835.97,825.5,834.02,311647
2017-04-27,834.63,840.75,834.02,836.56,294122
2017-04-28,836.67,844.46,832.76,835.87,390265
2017-05-01,838.58,841.99,836.38,839.57,245206
2017-05-02,837.21,845.45,837.21,844.77,206656
2017-05-03,844.74,847.75,840.86,845.33,181362
2017-05-04,846.31,848.52,844.78,847.22,180654
2017-05-05,849.39,851.0,845.75,850.54,163960
2017-05-08,850.0,851.64,839.0,840.79,449150
2017-05-09,839.42,845.34,837.26,843.17,310067
2017-05-10,844.11,845.0,838.74,843.06,314230
2017-05-11,843.94,846.82,838.2,844.93,232351
2017-05-12,846.28,848.3,843.32,843.72,210990
2017-05-15,841.87,851.3,841.87,850.67,202971
2017-05-16,857.33,864.76,853.48,859.47,302114
2017-05-17,855.28,859.86,850.63,850.98,389797
2017-05-18,852.81,861.39,850.93,859.98,265443
2017-05-19,863.13,874.54,860.35,870.33,415283
2017-05-22,877.0,897.36,876.09,892.04,444297
2017-05-23,897.55,902.1,893.0,897.04,307549
2017-05-24,897.21,902.0,892.63,899.87,268761
2017-05-25,903.86,911.41,900.02,907.57,199756
2017-05-26,913.44,914.76,908.25,910.36,208947
2017-05-30,906.1,915.48,903.1,914.43,310101
2017-05-31,917.85,921.83,910.63,914.68,312645
2017-06-01,915.09,919.28,911.81,919.08,253218
2017-06-02,923.23,927.5,919.26,924.69,243726
2017-06-05,921.26,925.96,917.46,922.01,218600
2017-06-06,918.14,929.72,918.1,924.36,192243
2017-06-07,928.88,932.74,924.22,932.0,238875
2017-06-08,935.0,937.15,926.5,929.85,269419
2017-06-09,934.79,935.3,906.22,916.34,352079
2017-06-12,911.0,914.4,876.5,903.29,651946
2017-06-13,905.21,915.29,900.36,908.23,302911
2017-06-14,917.67,918.0,902.92,905.83,318526
2017-06-15,900.74,901.67,892.05,898.94,326648
2017-06-16,900.96,917.59,900.57,914.84,574934
2017-06-19,918.91,937.32,918.48,936.4,408466
2017-06-20,938.7,948.98,938.21,940.36,369226
2017-06-21,942.27,954.38,941.02,953.27,361927
2017-06-22,954.8,963.54,950.5,954.16,271991
2017-06-23,950.89,954.39,943.95,948.94,801953
2017-06-26,952.36,954.79,937.65,940.44,308464
2017-06-27,941.27,943.93,930.05,936.01,384183
2017-06-28,938.77,948.1,931.98,946.31,360416
2017-06-29,944.72,944.72,923.57,930.5,313439
2017-06-30,934.85,939.89,922.49,935.37,249647
2017-07-03,940.96,941.55,920.57,921.66,162777
2017-07-05,928.14,940.29,928.14,938.09,380524
2017-07-06,932.48,939.93,929.0,934.8,217245
