Date,Open,High,Low,Close,Volume
2016-10-04,81.48,81.81,80.91,81.24,489412
2016-10-05,81.46,81.68,81.12,81.57,613677
2016-10-06,81.45,81.68,80.94,81.39,597145
2016-10-07,81.09,81.2,80.13,80.75,800301
2016-10-10,80.96,81.49,80.96,81.27,719762
2016-10-11,80.75,81.98,80.5,81.8,1117206
2016-10-12,81.3,81.99,80.95,81.26,715969
2016-10-13,80.8,81.14,79.88,79.93,1566319
2016-10-14,80.37,81.06,79.79,80.02,1393215
2016-10-17,76.43,80.15,76.2,78.45,2830582
2016-10-18,78.93,79.72,78.5,78.99,1913372
2016-10-19,79.1,79.49,77.72,77.76,1231519
2016-10-20,77.63,78.51,77.26,77.6,888039
2016-10-21,77.21,78.4,76.89,78.31,629999
2016-10-24,78.64,79.32,78.53,78.75,631696
2016-10-25,78.77,79.18,78.48,78.84,630917
2016-10-26,78.55,80.42,78.55,80.3,996688
2016-10-27,80.76,81.3,79.22,81.03,929419
2016-10-28,80.89,81.36,80.47,80.94,694799
2016-10-31,81.24,81.9,80.94,81.61,935647
2016-11-01,81.92,82.3,81.5,82.02,1279843
2016-11-02,81.75,82.34,81.5,81.59,1295975
2016-11-03,81.85,82.3,80.36,80.38,1190669
2016-11-04,80.6,81.2,80.12,80.28,892564
2016-11-07,81.32,82.64,80.83,82.62,1121910
2016-11-08,82.55,85.01,81.7,84.72,1362744
2016-11-09,84.12,88.32,84.0,86.12,1914820
2016-11-10,86.46,88.89,86.46,88.07,1355675
2016-11-11,87.95,89.96,87.75,89.69,1347522
2016-11-14,90.27,92.17,89.98,91.06,2364035
2016-11-15,91.36,91.43,90.43,91.34,603661
2016-11-16,91.43,92.13,90.63,91.31,870667
2016-11-17,91.49,91.85,90.92,91.45,771155
2016-11-18,91.33,92.08,90.95,91.47,649057
2016-11-21,91.94,92.39,91.27,91.67,905527
2016-11-22,92.06,92.06,91.07,91.22,829507
2016-11-23,91.33,92.95,91.33,92.92,520134
2016-11-25,92.86,94.11,92.86,93.94,319898
2016-11-28,93.5,94.14,92.88,93.12,594428
2016-11-29,92.93,94.32,92.93,93.52,908612
2016-11-30,93.93,95.93,93.86,95.37,1232663
2016-12-01,95.49,97.16,95.21,97.05,916216
2016-12-02,96.97,97.44,95.54,96.33,1035237
2016-12-05,96.93,97.69,96.5,97.67,1420939
2016-12-06,97.59,98.22,97.0,98.1,1125396
2016-12-07,98.06,100.27,97.64,99.96,1040855
2016-12-08,100.25,100.97,99.94,100.68,1050833
2016-12-09,100.65,102.38,98.73,99.29,1678632
2016-12-12,99.34,99.79,98.38,99.14,1127899
2016-12-13,99.59,100.05,97.64,99.01,1489218
2016-12-14,99.24,99.71,98.31,98.61,1005075
2016-12-15,98.57,99.42,97.6,98.01,1501790
2016-12-16,98.21,98.31,96.62,97.0,1643774
