Date,Open,High,Low,Close,Volume
2016-10-04,118.84,119.48,118.28,118.82,5733934
2016-10-05,119.22,119.44,118.6,119.18,5778691
2016-10-06,118.5,118.85,117.92,118.75,4448450
2016-10-07,119.17,119.56,118.69,119.24,4799292
2016-10-10,119.51,120.2,119.35,119.8,3657049
2016-10-11,119.41,119.63,117.06,117.64,6394159
2016-10-12,117.96,118.43,117.5,117.97,4686022
2016-10-13,117.54,119.2,117.28,118.26,7387365
2016-10-14,118.5,118.8,117.56,117.56,5640519
2016-10-17,117.5,118.55,117.5,118.49,6956374
2016-10-18,117.38,118.48,115.16,115.41,12598255
2016-10-19,115.57,115.89,114.46,114.59,7400937
2016-10-20,114.83,115.7,114.59,114.87,6973009
2016-10-21,114.11,114.24,112.99,113.44,8422032
2016-10-24,113.93,114.19,113.44,113.61,6141858
2016-10-25,113.64,114.16,113.09,113.96,5594989
2016-10-26,113.64,115.22,113.6,114.56,6429241
2016-10-27,114.98,116.55,114.79,115.7,7548667
2016-10-28,115.82,115.91,114.57,115.33,8813324
2016-10-31,115.28,116.23,114.5,115.99,8552528
2016-11-01,114.76,115.94,114.63,115.34,7591930
2016-11-02,115.52,115.76,114.83,114.86,6591318
2016-11-03,114.88,115.44,114.75,115.03,6227110
2016-11-04,115.04,115.94,115.04,115.11,7160570
2016-11-07,115.89,116.72,115.84,116.66,6398177
2016-11-08,116.48,117.57,116.47,117.05,6675268
2016-11-09,120.0,122.5,118.1,120.31,16219977
2016-11-10,120.77,121.1,119.02,119.54,11905170
2016-11-11,119.49,119.49,118.13,118.47,8134783
2016-11-14,118.58,118.99,116.5,116.6,10054905
2016-11-15,116.4,116.69,115.82,116.32,7446670
2016-11-16,116.65,116.78,116.08,116.36,6594838
2016-11-17,116.68,116.68,116.12,116.57,5702591
2016-11-18,115.79,115.92,114.81,115.36,7717773
2016-11-21,115.44,115.68,114.8,115.0,5843313
2016-11-22,114.59,115.0,112.27,112.74,11649748
2016-11-23,112.25,113.43,111.56,113.07,8467037
2016-11-25,113.6,114.23,113.38,114.13,3433340
2016-11-28,113.79,114.12,113.05,113.13,9065730
2016-11-29,112.95,113.41,112.16,112.48,7799649
2016-11-30,112.19,112.52,111.3,111.3,11178468
2016-12-01,111.36,111.54,111.0,111.38,8143287
2016-12-02,111.72,112.53,111.44,111.96,6167740
2016-12-05,112.4,112.42,111.73,111.94,5451568
2016-12-06,112.24,113.2,111.85,112.06,6530358
2016-12-07,111.89,111.89,109.32,111.1,11761134
2016-12-08,110.54,111.2,109.93,110.99,7774945
2016-12-09,111.41,112.43,111.2,112.26,7672088
2016-12-12,112.69,115.4,112.58,115.36,9544614
2016-12-13,115.53,115.97,115.01,115.89,7051623
2016-12-14,116.12,117.3,114.58,114.99,9378704
2016-12-15,115.33,115.92,114.89,115.89,6738083
2016-12-16,116.41,116.46,115.46,115.88,11291124
2016-12-19,116.07,116.66,115.94,116.02,6310789
2016-12-20,115.98,116.25,114.91,115.66,5715163
2016-12-21,116.2,116.2,114.74,115.31,5907740
2016-12-22,115.0,115.53,113.88,115.44,4602309
2016-12-23,115.4,116.32,115.3,115.96,2993339
2016-12-27,115.89,116.0,115.38,115.91,3232942
2016-12-28,115.88,116.16,115.05,115.1,3278292
2016-12-29,115.23,115.87,115.01,115.49,2993622
2016-12-30,115.8,115.99,114.98,115.21,5506734
2017-01-03,115.78,116.0,115.23,115.84,5953048
2017-01-04,115.5,116.23,115.31,115.65,5828946
2017-01-05,116.0,116.97,115.44,116.86,6217214
2017-01-06,116.67,117.0,115.76,116.3,5221381
2017-01-09,116.35,116.61,115.89,116.28,5457539
2017-01-10,116.03,117.0,115.87,116.16,5312812
2017-01-11,116.08,116.25,114.02,114.73,8887197
2017-01-12,114.27,114.73,113.37,114.62,6627250
2017-01-13,114.94,115.02,114.44,114.6,4935188
2017-01-17,113.94,115.05,113.67,114.87,6255447
2017-01-18,114.94,115.1,114.41,114.7,5014570
2017-01-19,114.68,114.9,113.92,114.2,5540831
2017-01-20,114.49,115.03,114.08,114.15,7502425
2017-01-23,114.51,114.77,113.8,113.91,7989760
2017-01-24,112.91,113.3,111.15,111.76,12450307
2017-01-25,111.93,112.8,110.76,112.8,9385502
2017-01-26,112.0,112.84,111.6,111.84,10164341
2017-01-27,112.0,113.54,111.9,113.38,8886070
2017-01-30,113.4,113.6,112.85,113.13,6969430
2017-01-31,112.79,113.4,112.43,113.25,8713408
2017-02-01,112.48,113.32,112.47,113.23,7082322
2017-02-02,112.82,113.62,112.77,113.57,7826308
2017-02-03,113.5,113.66,112.66,113.64,7267569
2017-02-06,113.46,113.59,112.62,113.4,6178433
2017-02-07,113.6,113.62,113.05,113.48,5507915
2017-02-08,113.3,113.69,113.15,113.4,5271951
2017-02-09,113.47,114.65,113.4,114.08,5854606
2017-02-10,114.32,115.99,114.23,115.24,6438536
2017-02-13,115.28,116.12,115.22,115.88,5710779
2017-02-14,115.44,116.4,115.32,116.36,5539136
2017-02-15,115.9,117.46,115.59,117.2,5979679
2017-02-16,117.0,118.28,117.0,118.08,7119291
2017-02-17,118.19,118.9,118.05,118.86,8691397
2017-02-21,118.4,119.89,118.32,119.66,8595110
2017-02-22,119.28,119.77,119.25,119.52,5103903
2017-02-23,119.52,121.9,119.48,121.7,9980945
2017-02-24,121.5,122.74,120.9,122.73,10834986
2017-02-27,122.13,122.88,122.1,122.4,5946157
2017-02-28,122.01,122.65,121.94,122.21,8885513
2017-03-01,122.49,124.45,122.42,123.86,9393869
2017-03-02,123.75,124.36,123.02,123.63,6950220
2017-03-03,123.41,123.93,123.23,123.79,5593811
2017-03-06,123.01,124.43,122.6,123.71,6670681
2017-03-07,122.58,124.46,122.39,123.83,6643988
2017-03-08,123.75,124.68,123.5,124.1,7909858
2017-03-09,124.58,126.21,124.17,125.95,8571147
2017-03-10,126.04,126.49,125.54,126.21,7395375
2017-03-13,125.83,126.95,125.79,126.68,7162476
2017-03-14,126.86,127.75,126.77,127.05,7679707
2017-03-15,127.05,129.0,126.6,128.96,8360637
2017-03-16,128.44,128.7,127.77,128.46,7610720
2017-03-17,128.45,128.94,127.95,128.06,13300756
2017-03-20,128.04,128.42,127.97,128.07,5827497
2017-03-21,128.38,128.45,127.14,127.25,7578634
2017-03-22,127.05,127.65,126.21,126.26,10272668
2017-03-23,126.1,127.0,125.66,125.9,8508073
2017-03-24,125.86,126.36,125.13,125.48,6490304
2017-03-27,125.16,126.14,125.15,125.8,5004285
2017-03-28,125.62,125.78,124.78,125.66,5287559
2017-03-29,125.05,125.33,124.36,124.92,3971828
2017-03-30,124.74,125.43,124.28,124.66,4711693
2017-03-31,124.11,124.82,124.03,124.55,5657560
2017-04-03,124.73,125.31,124.28,124.69,4956532
2017-04-04,124.51,124.76,124.22,124.68,5358474
2017-04-05,124.72,125.6,124.41,124.8,5646251
2017-04-06,124.85,125.46,124.5,125.05,4324385
2017-04-07,125.12,125.47,124.83,124.92,3615126
2017-04-10,124.87,124.95,124.23,124.34,4594234
2017-04-11,124.26,124.79,123.95,124.22,4161540
2017-04-12,124.54,125.46,124.36,125.4,5556604
2017-04-13,125.13,125.65,124.96,124.99,5396539
2017-04-17,125.02,125.81,124.93,125.72,5367465
2017-04-18,123.18,123.37,120.95,121.82,13485682
2017-04-19,122.1,122.28,121.11,121.37,6993098
2017-04-20,121.86,122.15,121.35,121.87,6330136
2017-04-21,121.78,122.04,121.54,121.76,6021721
2017-04-24,122.52,123.21,122.15,122.89,5679021
2017-04-25,123.34,123.74,123.01,123.43,5089987
2017-04-26,123.79,124.26,123.48,123.51,5021839
2017-04-27,123.58,124.31,123.4,123.74,4225152
2017-04-28,123.85,123.9,123.13,123.47,4381766
2017-05-01,123.4,123.78,123.0,123.34,4556360
2017-05-02,123.52,123.74,122.89,123.7,4881641
2017-05-03,123.59,123.7,123.04,123.33,3736531
2017-05-04,123.69,123.95,123.23,123.95,3753701
2017-05-05,123.8,123.8,122.86,123.51,4139755
2017-05-08,123.53,123.8,123.02,123.25,3609058
2017-05-09,123.23,123.47,122.88,123.21,3762488
2017-05-10,122.91,123.06,122.38,122.81,4237412
2017-05-11,122.5,123.21,122.34,123.2,4095893
2017-05-12,123.11,124.1,123.01,123.64,4097060
2017-05-15,124.41,127.36,124.33,126.99,9854621
2017-05-16,127.34,128.37,127.06,127.77,7233801
2017-05-17,126.6,127.89,126.45,126.67,6480802
2017-05-18,126.46,127.87,125.96,126.97,6571254
2017-05-19,127.03,127.39,126.44,127.0,6957196
2017-05-22,126.63,127.65,126.63,127.26,4858199
2017-05-23,127.31,128.15,127.31,127.52,3973025
2017-05-24,127.79,128.0,127.29,127.51,3968185
2017-05-25,126.74,127.62,126.33,127.53,5294263
2017-05-26,127.23,127.67,126.83,126.92,4005234
2017-05-30,126.7,127.39,126.19,127.11,3665353
2017-05-31,127.35,128.8,127.35,128.25,8813511
2017-06-01,128.32,128.78,128.12,128.78,5790899
2017-06-02,129.05,130.14,128.83,130.08,6562557
2017-06-05,129.97,130.7,129.8,130.36,4634663
2017-06-06,130.18,131.33,130.03,130.83,5619093
2017-06-07,131.0,131.48,130.58,130.75,5765471
2017-06-08,131.0,131.4,129.96,130.55,8101669
2017-06-09,130.37,131.7,130.31,131.53,5993031
2017-06-12,131.64,132.04,131.09,131.82,8020951
2017-06-13,131.75,132.73,131.4,132.02,5733817
2017-06-14,132.51,133.56,132.51,132.77,7329376
2017-06-15,132.0,133.35,131.8,133.04,5264996
2017-06-16,133.72,134.6,133.04,134.35,12639630
2017-06-19,134.15,134.68,133.49,134.07,7488704
2017-06-20,133.9,134.76,133.9,134.22,5201174
2017-06-21,134.29,135.11,134.02,134.91,5841053
2017-06-22,135.45,137.0,135.27,136.05,7311037
2017-06-23,135.45,136.51,135.32,136.43,9007077
2017-06-26,136.48,136.9,136.2,136.34,5561844
2017-06-27,136.5,136.73,134.99,135.01,6120536
2017-06-28,135.95,136.2,133.57,133.82,6557871
2017-06-29,133.4,133.73,132.31,132.64,5749952
2017-06-30,132.7,133.2,132.28,132.29,5264416
2017-07-03,132.79,133.32,132.65,132.9,2930998
2017-07-05,132.98,134.06,132.42,133.64,4302669
2017-07-06,133.61,133.97,132.4,132.52,4282244
2017-07-07,132.91,133.0,131.69,132.54,4994080
2017-07-10,132.74,132.87,131.23,131.55,4019587
2017-07-11,131.43,131.79,130.48,131.23,3733072
2017-07-12,132.04,132.89,131.77,132.23,5053248
2017-07-13,132.1,132.22,130.99,131.86,4424422
2017-07-14,132.0,133.0,131.74,132.6,4383133
2017-07-17,132.71,132.93,131.75,132.15,4939384
2017-07-18,131.62,134.95,131.08,134.46,10255960
2017-07-19,134.84,135.41,134.52,135.21,5503298
2017-07-20,135.73,137.08,135.62,136.57,6088612
2017-07-21,135.33,136.27,135.1,135.31,6773546
2017-07-24,134.99,135.16,132.85,133.01,8306671
2017-07-25,133.74,133.85,131.45,131.88,6262907
2017-07-26,131.66,132.24,130.75,130.95,5382182
2017-07-27,130.85,131.15,129.57,130.83,5838110
2017-07-28,131.14,131.99,130.52,131.85,4970860
