Date,Open,High,Low,Close,Volume
2016-10-04,51.12,51.78,50.87,51.65,2108310
2016-10-05,51.86,53.33,51.76,53.0,2433500
2016-10-06,52.86,54.6,52.4,53.94,3292862
2016-10-07,54.3,55.23,54.14,54.83,3613632
2016-10-10,54.99,55.2,53.58,54.27,2319426
2016-10-11,54.35,54.86,53.93,54.14,2308662
2016-10-12,54.16,54.89,53.92,54.54,2351355
2016-10-13,54.1,54.11,53.17,53.68,2144176
2016-10-14,52.88,54.1,52.55,53.63,3297810
2016-10-17,53.57,54.27,53.01,53.27,1762277
2016-10-18,53.87,53.89,53.1,53.27,2082090
2016-10-19,53.31,53.64,53.02,53.43,2621161
2016-10-20,53.31,53.45,52.82,53.11,1678001
2016-10-21,52.77,54.38,52.59,54.13,3270696
2016-10-24,54.49,55.11,54.28,54.79,2161800
2016-10-25,54.22,54.64,53.79,54.14,2748588
2016-10-26,53.94,55.12,53.94,54.03,2968513
2016-10-27,54.49,54.54,52.41,52.5,3564285
2016-10-28,52.48,53.3,51.73,52.7,3375961
2016-10-31,52.14,52.8,51.7,52.0,2638624
2016-11-01,51.97,52.22,50.11,50.86,3285116
2016-11-02,50.77,51.47,50.39,50.94,3006996
2016-11-03,51.11,51.6,50.11,50.21,2218615
2016-11-04,50.39,50.92,50.11,50.39,2274747
2016-11-07,51.29,51.85,51.24,51.82,1724500
2016-11-08,51.81,52.57,51.16,52.05,2984622
2016-11-09,50.99,52.65,50.18,52.29,5374946
2016-11-10,53.99,57.33,53.99,56.03,10673493
2016-11-11,57.5,59.18,55.05,58.72,11523462
2016-11-14,59.06,62.82,59.06,59.55,10520540
2016-11-15,59.74,59.74,57.85,58.3,4644271
2016-11-16,58.25,58.81,57.61,58.3,4020206
2016-11-17,58.5,59.0,57.67,58.5,2659232
2016-11-18,57.81,59.5,56.79,58.94,4053673
2016-11-21,58.47,58.94,57.5,57.73,3210878
2016-11-22,58.07,58.59,57.86,57.9,2472357
2016-11-23,57.32,58.56,57.05,58.53,2428421
2016-11-25,58.86,59.08,57.74,57.85,1147145
2016-11-28,57.82,57.82,55.83,56.06,4388517
2016-11-29,56.21,56.89,55.9,56.35,2858180
2016-11-30,56.21,56.66,55.55,55.92,4235695
2016-12-01,55.77,57.67,55.3,56.04,3454799
2016-12-02,56.12,57.05,55.84,56.54,2088123
2016-12-05,57.04,57.99,56.64,57.2,2702570
2016-12-06,57.33,57.57,56.58,57.26,1870523
2016-12-07,57.38,60.1,57.0,60.09,3345504
2016-12-08,59.6,61.85,59.57,61.49,4141110
2016-12-09,61.53,61.77,59.96,60.75,2761231
2016-12-12,60.24,60.51,58.04,58.41,3785994
2016-12-13,57.8,58.79,57.26,58.35,3275240
2016-12-14,58.26,58.41,56.65,57.02,3782219
2016-12-15,57.39,57.57,55.25,55.28,2205110
2016-12-16,53.07,53.13,50.2,50.48,10748017
2016-12-19,50.4,51.24,50.16,50.84,4003714
2016-12-20,51.0,52.13,50.96,51.77,2844495
2016-12-21,51.91,52.11,51.21,51.21,1513874
2016-12-22,51.22,51.22,48.01,48.24,3841039
2016-12-23,48.53,49.72,48.5,48.75,2331284
2016-12-27,48.92,49.53,48.42,48.96,2313434
2016-12-28,49.0,49.27,48.17,48.41,1674732
2016-12-29,48.27,48.89,47.93,48.29,1455269
2016-12-30,48.44,48.77,47.75,47.93,1552133
2017-01-03,48.24,48.54,47.3,47.62,3968123
2017-01-04,47.85,49.2,47.75,48.92,3781096
2017-01-05,45.12,45.68,44.02,45.56,7409950
2017-01-06,45.42,46.15,45.15,45.47,3088175
2017-01-09,45.42,45.6,45.01,45.05,2270033
2017-01-10,45.1,45.98,44.89,45.67,2325001
2017-01-11,45.83,45.92,44.46,44.9,3031351
2017-01-12,44.69,45.44,44.39,45.03,1903268
2017-01-13,45.02,45.14,44.09,44.2,2338751
2017-01-17,43.65,45.04,43.51,44.38,2022978
2017-01-18,45.22,45.22,42.9,44.31,3708381
2017-01-19,44.39,44.57,42.86,42.93,3588438
2017-01-20,42.97,44.77,42.97,44.64,4064118
2017-01-23,44.23,45.0,43.99,44.41,3116448
2017-01-24,44.44,45.09,44.32,44.99,1689499
2017-01-25,45.19,45.5,44.8,45.01,1663331
2017-01-26,45.04,45.64,44.27,44.32,2705788
2017-01-27,44.45,44.45,42.32,42.83,3299444
2017-01-30,42.76,43.79,42.62,43.7,2222980
2017-01-31,43.02,44.34,42.4,44.22,2829750
2017-02-01,44.55,44.55,43.37,43.82,2354159
2017-02-02,42.81,44.14,42.5,43.51,3914598
2017-02-03,43.44,46.09,43.03,43.9,4679377
2017-02-06,43.74,44.19,42.58,42.88,3015994
2017-02-07,43.18,43.73,42.65,42.78,1972553
2017-02-08,42.32,44.55,42.32,44.53,5710281
2017-02-09,44.59,46.39,44.57,45.55,5420358
2017-02-10,45.78,46.18,44.2,45.0,3121745
2017-02-13,45.38,45.47,43.72,44.36,3018864
2017-02-14,44.31,45.8,44.31,45.44,2551459
2017-02-15,45.66,46.47,45.44,46.12,4031884
2017-02-16,46.05,46.19,44.05,44.18,3284530
2017-02-17,44.31,45.97,44.14,45.69,4296132
2017-02-21,46.12,46.65,45.65,45.87,3306965
2017-02-22,45.98,46.13,44.77,45.35,2459548
2017-02-23,44.86,45.05,43.66,43.94,5364950
2017-02-24,44.97,47.03,44.0,46.46,12959563
2017-02-27,46.32,48.16,46.13,47.61,7315532
2017-02-28,47.1,47.54,46.08,46.66,4704488
2017-03-01,46.87,47.05,44.7,45.6,4672916
2017-03-02,45.74,46.7,45.39,46.65,4169364
2017-03-03,46.74,46.9,45.76,46.35,2270376
2017-03-06,45.97,46.06,44.62,45.5,3979250
