Date,Open,High,Low,Close,Volume
2016-10-04,92.37,93.05,92.02,92.1,875195
2016-10-05,92.37,93.83,91.96,93.47,717751
2016-10-06,93.5,93.77,92.95,93.32,1193327
2016-10-07,93.08,93.27,91.68,92.02,918719
2016-10-10,92.42,94.69,92.42,93.92,1245167
2016-10-11,94.05,96.83,93.85,95.62,2582940
2016-10-12,95.46,95.46,93.53,93.6,1275465
2016-10-13,92.81,93.58,91.79,93.26,1387522
2016-10-14,94.1,95.11,93.78,94.55,1614781
2016-10-17,94.53,95.44,94.18,94.71,1360799
2016-10-18,94.37,96.82,92.44,92.58,2556635
2016-10-19,92.57,93.74,91.08,92.93,2010949
2016-10-20,92.37,92.87,90.67,91.47,1801699
2016-10-21,90.46,91.06,90.19,90.33,1199982
2016-10-24,91.12,91.17,90.1,90.12,1144340
2016-10-25,89.94,90.8,89.37,90.48,949445
2016-10-26,89.73,90.46,88.58,88.79,1495010
2016-10-27,89.23,89.34,88.48,89.2,905523
2016-10-28,89.27,90.67,87.85,88.76,2038069
2016-10-31,89.15,89.24,87.62,87.76,1220264
2016-11-01,88.14,88.45,85.52,86.09,1790150
2016-11-02,85.81,88.03,85.36,87.48,1722732
2016-11-03,87.55,89.25,87.22,87.98,1487402
2016-11-04,87.71,89.16,87.51,87.97,1252311
2016-11-07,91.98,93.09,90.71,91.5,2483243
2016-11-08,91.39,92.99,89.99,92.55,1885044
2016-11-09,80.18,83.72,79.3,82.48,13281000
2016-11-10,83.76,85.01,81.1,81.11,5686952
2016-11-11,81.09,82.14,80.24,82.05,3239427
2016-11-14,82.46,85.98,82.25,85.1,2815503
2016-11-15,85.21,85.92,83.97,85.18,1624705
2016-11-16,85.01,86.4,84.48,85.01,1684327
2016-11-17,85.0,86.74,85.0,86.0,2124022
2016-11-18,85.91,87.66,85.87,87.57,1494401
2016-11-21,87.75,89.1,87.74,88.74,1512987
2016-11-22,89.85,89.9,86.32,86.7,2206116
2016-11-23,86.85,88.25,86.85,88.12,1276286
2016-11-25,87.83,88.03,87.24,87.79,495852
2016-11-28,87.88,88.92,87.29,88.48,1365283
2016-11-29,88.11,88.87,87.33,87.95,918189
2016-11-30,88.48,89.81,88.43,88.71,1244112
2016-12-01,89.17,89.76,86.62,86.73,2288370
2016-12-02,86.79,87.18,85.48,85.72,2307298
2016-12-05,86.5,86.65,85.46,85.48,2453661
2016-12-06,84.61,85.25,83.36,83.8,2042837
2016-12-07,84.4,86.39,83.72,86.22,1835677
2016-12-08,86.33,86.65,84.6,86.22,1826123
2016-12-09,85.62,86.6,84.6,86.02,1917502
2016-12-12,86.13,86.36,84.56,85.38,4615253
2016-12-13,86.31,86.69,85.27,85.97,1422075
2016-12-14,85.66,86.28,84.53,84.71,1380779
2016-12-15,85.12,86.69,85.04,85.62,1282365
2016-12-16,86.4,87.05,85.78,86.61,1844667
2016-12-19,86.47,86.53,85.65,86.46,917328
2016-12-20,86.52,86.83,85.24,85.73,1267454
2016-12-21,85.97,85.97,84.82,85.49,984367
2016-12-22,85.48,85.56,84.99,85.29,1169862
2016-12-23,85.4,85.93,84.99,85.29,1376186
2016-12-27,85.3,86.38,85.23,86.16,667046
2016-12-28,85.87,86.6,84.42,84.53,805609
2016-12-29,84.84,85.09,84.19,84.46,617579
2016-12-30,84.31,85.26,83.89,84.85,937314
2017-01-03,85.52,85.64,80.62,80.82,2920486
2017-01-04,81.26,82.07,79.05,81.18,4636714
2017-01-05,81.22,82.92,81.08,81.71,2347296
2017-01-06,81.7,84.3,81.41,83.81,1778097
2017-01-09,83.3,83.75,81.22,81.55,1712486
2017-01-10,81.54,82.44,80.78,81.28,924629
2017-01-11,81.27,82.23,81.25,81.45,1641165
2017-01-12,81.21,82.39,80.38,82.12,1701018
2017-01-13,82.46,84.08,81.77,83.89,1844940
2017-01-17,84.41,86.25,83.73,84.26,1850622
2017-01-18,83.98,85.36,83.36,84.96,1666446
2017-01-19,87.19,88.08,84.17,84.5,2940396
2017-01-20,85.0,89.09,84.11,87.91,4102720
2017-01-23,86.07,86.95,84.97,85.6,2065246
2017-01-24,85.93,87.0,85.5,86.35,1325218
2017-01-25,86.69,88.94,86.6,88.87,1920213
2017-01-26,87.55,89.06,87.01,87.28,2571896
2017-01-27,87.49,87.49,85.17,86.0,2429748
2017-01-30,85.74,86.69,85.18,86.36,1579314
2017-01-31,85.99,86.25,85.18,85.91,2237423
2017-02-01,85.79,86.84,85.4,86.05,2028359
2017-02-02,85.57,85.72,84.5,84.94,1246765
2017-02-03,85.22,86.15,84.5,85.61,1340108
2017-02-06,85.49,86.14,84.77,85.22,977768
2017-02-07,85.53,86.05,84.68,85.0,1317511
2017-02-08,84.83,85.08,83.65,85.06,1375521
2017-02-09,85.3,86.39,85.3,85.96,1320462
2017-02-10,86.1,86.49,85.47,85.8,1802873
2017-02-13,86.35,87.28,86.01,86.67,1133121
2017-02-14,86.68,86.71,85.59,86.42,2378037
2017-02-15,86.05,86.9,85.87,86.75,1757818
2017-02-16,86.84,87.25,86.4,86.85,1021930
2017-02-17,86.56,87.05,86.03,86.89,1126101
2017-02-21,87.23,88.0,87.05,87.66,1388297
2017-02-22,87.17,88.4,86.89,87.7,1258199
2017-02-23,87.96,88.36,86.33,87.41,2126547
2017-02-24,86.84,88.47,86.51,88.33,1792699
2017-02-27,88.57,88.73,87.86,88.42,763598
2017-02-28,88.58,89.44,88.18,88.63,1202765
2017-03-01,89.39,90.82,89.17,90.38,1594615
2017-03-02,90.16,90.51,89.43,89.48,1067670
2017-03-03,89.66,90.23,88.87,89.5,1524485
2017-03-06,89.44,89.44,88.55,89.29,1380507
2017-03-07,88.96,89.33,88.64,89.0,1477044
2017-03-08,88.84,88.98,87.97,88.21,1212389
2017-03-09,87.78,88.1,87.07,87.34,1119637
2017-03-10,87.66,88.06,86.88,87.32,699381
2017-03-13,87.33,87.83,87.21,87.44,754455
2017-03-14,86.84,87.15,86.26,86.51,958087
2017-03-15,86.85,88.13,86.23,87.49,2283826
2017-03-16,86.59,86.82,84.28,85.86,2003270
2017-03-17,85.97,86.26,84.02,84.13,2116399
2017-03-20,84.17,84.45,83.35,83.41,1673902
2017-03-21,83.55,83.72,81.54,82.12,1650550
2017-03-22,82.18,82.55,81.67,82.31,1544390
2017-03-23,82.14,83.26,81.87,82.33,1057818
2017-03-24,82.53,82.78,82.13,82.64,768230
2017-03-27,81.87,84.1,81.81,83.9,1381260
2017-03-28,83.8,86.25,83.8,85.98,1367244
2017-03-29,85.61,86.15,85.12,85.89,708146
2017-03-30,86.16,87.87,86.05,87.0,1553170
2017-03-31,86.74,86.94,85.68,85.76,1252338
2017-04-03,85.93,86.45,84.92,86.0,963093
2017-04-04,86.04,86.5,85.18,86.48,878762
2017-04-05,86.74,87.72,86.22,86.43,928234
2017-04-06,86.44,87.5,86.11,87.24,1130912
2017-04-07,87.03,87.69,86.83,87.63,998758
2017-04-10,88.06,89.31,87.72,88.95,1383977
2017-04-11,88.79,88.84,87.68,88.4,1437474
2017-04-12,88.28,88.38,87.26,87.51,945345
2017-04-13,87.39,88.11,87.08,88.0,1510294
2017-04-17,88.31,89.97,87.89,89.88,2042155
2017-04-18,89.29,90.09,89.06,89.58,1453307
2017-04-19,90.1,90.37,88.87,89.06,975690
2017-04-20,90.12,91.24,90.12,90.57,1719743
2017-04-21,90.57,91.17,87.92,87.99,2484182
2017-04-24,89.13,89.85,88.57,89.67,1977116
2017-04-25,89.9,90.88,89.41,90.36,2292839
2017-04-26,90.44,91.5,86.14,86.78,4464958
2017-04-27,88.76,91.36,88.5,89.88,2906164
2017-04-28,89.85,90.26,89.03,90.07,1482067
2017-05-01,90.37,90.46,89.26,89.66,945329
2017-05-02,89.69,90.07,89.3,89.94,713506
2017-05-03,89.65,90.0,89.05,89.66,652812
2017-05-04,89.64,90.25,89.52,90.04,732921
2017-05-05,90.14,91.74,89.96,91.62,852229
2017-05-08,91.4,92.39,91.4,91.98,1088667
2017-05-09,92.17,92.89,91.87,92.35,1242044
2017-05-10,92.5,92.85,90.66,90.87,884607
2017-05-11,90.38,90.96,89.92,90.81,876166
2017-05-12,90.65,91.33,90.38,91.17,522634
2017-05-15,91.72,92.0,91.24,91.78,603117
2017-05-16,91.81,92.1,91.21,91.38,614571
2017-05-17,90.59,90.9,89.88,90.0,1069895
2017-05-18,89.49,90.64,88.66,90.17,1070886
2017-05-19,90.54,90.88,90.12,90.27,1227938
2017-05-22,90.52,91.0,90.1,90.63,887390
2017-05-23,90.8,91.03,90.24,90.54,750535
2017-05-24,90.64,90.75,89.98,90.3,780900
2017-05-25,91.08,93.28,90.55,93.07,1739185
2017-05-26,92.75,96.23,92.75,95.95,1578070
2017-05-30,95.49,96.82,95.48,96.02,1124599
2017-05-31,96.07,96.38,94.7,95.2,992797
2017-06-01,95.75,96.27,95.14,95.8,1048722
2017-06-02,96.07,96.39,95.12,95.59,702635
2017-06-05,95.85,96.17,95.59,96.02,924455
2017-06-06,95.81,96.92,95.32,96.56,1036197
2017-06-07,96.54,97.65,96.01,97.46,991359
2017-06-08,97.53,98.91,97.0,98.85,2018979
2017-06-09,99.01,100.13,98.85,99.59,1785709
2017-06-12,99.51,100.22,99.01,99.95,1313701
2017-06-13,100.0,102.06,99.8,101.75,1228476
2017-06-14,101.96,101.96,100.66,100.97,1139964
2017-06-15,100.57,102.22,100.02,101.86,783698
2017-06-16,102.32,103.88,102.24,103.83,1586971
2017-06-19,103.87,104.47,102.94,103.5,866134
2017-06-20,103.5,103.5,101.35,101.41,940520
2017-06-21,100.99,101.12,100.01,100.22,1268865
2017-06-22,100.25,102.28,99.78,101.66,1159016
2017-06-23,101.4,102.39,101.04,101.86,1076655
2017-06-26,102.5,103.82,102.42,102.79,577329
2017-06-27,102.6,102.98,102.26,102.28,551795
2017-06-28,103.0,103.73,102.95,103.35,454892
2017-06-29,103.66,103.7,101.95,102.49,584200
2017-06-30,103.06,105.15,102.65,104.65,1063679
2017-07-03,105.1,105.33,104.2,104.92,481609
2017-07-05,104.91,104.91,103.87,104.28,921623
2017-07-06,103.93,104.05,102.86,103.11,1150499
2017-07-07,103.34,104.8,103.11,104.34,707940
2017-07-10,104.35,104.88,103.92,104.67,968997
2017-07-11,104.91,104.91,103.11,104.01,757140
2017-07-12,104.79,105.53,104.48,105.08,502282
2017-07-13,105.36,105.92,104.89,105.08,582933
2017-07-14,105.34,105.57,104.58,104.84,1066558
2017-07-17,105.08,105.08,104.01,104.23,880062
2017-07-18,104.29,104.49,103.3,104.19,823649
2017-07-19,104.11,104.11,103.03,103.57,955595
2017-07-20,103.98,104.18,101.94,104.07,1869779
2017-07-21,100.25,105.5,100.17,105.25,1738051
2017-07-24,105.59,106.35,104.54,105.01,1209605
2017-07-25,105.55,105.75,104.15,104.35,842802
2017-07-26,104.45,104.86,103.2,104.2,802928
2017-07-27,104.17,104.2,101.03,101.51,1142019
2017-07-28,101.52,103.36,101.23,103.12,1166817
2017-07-31,,104.19,102.26,103.19,1159205
2017-08-01,103.12,103.19,100.66,101.31,2334469
2017-08-02,101.65,102.11,101.0,102.11,1917169
2017-08-03,102.12,102.67,101.3,102.05,1242959
2017-08-04,102.04,102.5,101.19,102.43,769261
2017-08-07,102.56,103.28,102.3,103.16,726430
2017-08-08,103.11,104.52,102.82,103.88,908469
2017-08-09,103.89,104.1,103.32,103.9,695006
2017-08-10,103.87,104.1,102.04,102.18,686360
2017-08-11,102.4,104.35,102.0,102.97,784535
2017-08-14,103.37,105.32,103.3,104.99,953303
2017-08-15,105.12,106.47,104.54,106.33,1055663
2017-08-16,107.0,109.13,107.0,107.49,1496348
2017-08-17,107.5,107.8,105.37,105.87,1300893
2017-08-18,105.68,106.46,105.15,105.8,944875
2017-08-21,106.31,108.01,106.09,107.56,997392
2017-08-22,107.56,108.78,107.56,108.6,923620
2017-08-23,107.21,107.64,105.34,105.72,1579042
2017-08-24,106.0,106.27,104.36,104.58,1036153
2017-08-25,104.75,105.19,103.63,104.37,1515201
2017-08-28,104.29,104.29,102.35,103.46,1909040
2017-08-29,103.0,103.65,101.92,102.97,1473820
2017-08-30,102.8,103.09,102.06,102.74,2092686
2017-08-31,103.03,103.76,102.85,103.43,1321400
2017-09-01,103.87,104.72,103.61,103.76,950466
2017-09-05,103.63,103.87,102.26,102.72,1102863
2017-09-06,102.94,104.45,102.8,103.64,977985
2017-09-07,103.52,104.24,103.34,103.99,847059
2017-09-08,103.48,104.47,102.83,104.43,661905
2017-09-11,105.0,106.17,104.96,106.04,939617
2017-09-12,106.0,106.51,105.9,106.12,499023
2017-09-13,105.92,106.1,105.04,105.7,599133
2017-09-14,105.53,106.62,105.0,106.31,619790
2017-09-15,106.11,107.26,105.93,107.26,1169503
2017-09-18,107.26,107.47,106.05,106.28,522768
2017-09-19,106.29,106.76,105.98,106.36,625604
2017-09-20,106.35,107.66,106.35,107.52,484954
2017-09-21,107.53,108.24,106.92,107.91,544442
2017-09-22,107.89,108.01,107.26,107.74,392248
2017-09-25,107.75,108.36,107.38,107.62,722844
2017-09-26,107.84,108.05,106.93,107.51,555809
2017-09-27,107.51,108.43,107.25,108.22,565917
2017-09-28,108.09,108.44,107.9,108.19,692435
2017-09-29,107.97,108.85,107.65,108.68,515334
2017-10-02,108.27,108.5,106.3,107.04,1317246
