Date,Open,High,Low,Close,Volume
2016-10-04,151.12,152.19,149.78,150.17,546070
2016-10-05,150.36,151.06,149.6,150.45,295015
2016-10-06,150.56,152.6,149.98,152.54,654758
2016-10-07,151.81,151.99,149.6,151.6,582288
2016-10-10,150.67,152.83,150.67,151.05,360448
2016-10-11,150.46,151.44,148.71,149.56,386276
2016-10-12,149.49,149.92,148.76,149.16,531149
2016-10-13,148.75,149.51,147.81,149.05,477841
2016-10-14,149.93,150.42,148.38,148.54,424914
2016-10-17,148.78,149.38,148.12,148.22,289580
2016-10-18,149.26,149.84,148.44,149.22,211014
2016-10-19,149.7,149.7,147.9,148.15,305739
2016-10-20,147.87,148.0,146.27,147.3,346491
2016-10-21,145.94,146.86,145.29,146.33,293966
2016-10-24,147.31,147.74,146.68,147.15,249949
2016-10-25,147.16,148.34,146.03,147.93,368982
2016-10-26,147.73,149.51,146.9,148.71,1023077
2016-10-27,145.56,145.56,135.2,137.75,2560335
2016-10-28,138.75,140.84,138.28,140.1,1228105
2016-10-31,139.99,140.0,136.79,136.94,1044779
2016-11-01,136.84,137.21,135.78,136.43,795933
2016-11-02,136.56,137.16,134.18,134.86,711737
2016-11-03,134.86,134.86,132.38,134.05,669611
2016-11-04,133.99,136.33,133.75,134.59,581831
2016-11-07,136.28,137.93,135.78,137.59,872634
2016-11-08,137.37,138.5,136.94,137.73,409813
2016-11-09,140.68,150.37,140.22,148.35,1665021
2016-11-10,150.83,152.05,148.83,150.62,946680
2016-11-11,150.15,151.35,148.75,150.93,876035
2016-11-14,150.9,154.57,150.13,153.93,1183885
2016-11-15,153.67,154.44,150.14,151.5,935619
2016-11-16,151.26,151.5,149.21,150.36,447878
2016-11-17,150.72,150.74,149.37,149.97,420293
2016-11-18,149.44,152.28,149.36,152.2,530995
2016-11-21,152.69,153.04,151.79,152.11,428495
2016-11-22,152.72,152.99,151.37,152.06,453199
2016-11-23,151.81,155.04,151.81,154.99,470673
2016-11-25,155.42,156.65,155.13,156.36,232870
