Date,Open,High,Low,Close,Volume
2016-10-04,81.06,81.41,80.68,81.11,3184071
2016-10-05,81.35,82.09,81.23,81.75,3560429
2016-10-06,81.25,81.78,80.73,81.47,2994223
2016-10-07,81.57,82.31,81.3,82.09,4241408
2016-10-10,82.13,83.24,82.1,83.06,4608430
2016-10-11,82.6,82.85,81.25,81.81,4218223
2016-10-12,81.81,82.22,80.46,80.51,3629801
2016-10-13,79.93,80.49,79.6,80.0,3565014
2016-10-14,80.17,80.32,79.21,79.27,3143876
2016-10-17,79.53,79.53,78.01,78.53,3884657
2016-10-18,79.09,79.14,78.5,78.77,3218290
2016-10-19,78.96,79.33,78.53,78.56,2988801
2016-10-20,78.73,79.11,78.39,78.74,2661919
2016-10-21,78.54,78.78,78.08,78.25,3214971
2016-10-24,78.49,78.69,77.44,77.57,4363173
2016-10-25,76.88,78.28,75.5,77.75,8496226
2016-10-26,77.42,77.65,76.37,76.76,2988727
2016-10-27,77.36,77.42,76.13,76.16,3789861
2016-10-28,75.62,75.68,73.86,74.53,5651541
2016-10-31,74.63,74.74,73.8,73.84,3562142
2016-11-01,73.81,73.98,71.85,72.98,8190524
2016-11-02,73.15,73.49,72.64,72.65,4433872
2016-11-03,72.81,73.28,71.88,72.11,4843213
2016-11-04,72.12,73.03,71.67,72.49,3617209
2016-11-07,73.22,73.93,73.05,73.88,4969412
2016-11-08,73.57,74.47,73.36,74.02,2690761
2016-11-09,77.15,79.3,76.58,78.39,7332730
2016-11-10,78.96,79.7,78.0,78.34,6904770
2016-11-11,77.97,78.09,76.79,77.67,3072650
2016-11-14,78.01,78.24,76.69,77.02,3221676
2016-11-15,77.43,77.54,76.18,77.32,3097568
2016-11-16,77.52,77.52,76.82,76.94,1922331
2016-11-17,77.0,77.81,76.73,77.71,4513996
2016-11-18,77.58,77.92,76.52,76.67,4571592
2016-11-21,76.8,77.04,76.1,76.64,4060274
2016-11-22,77.81,77.81,75.5,75.99,5208832
2016-11-23,64.34,68.43,64.18,68.0,53975853
2016-11-25,68.53,69.14,67.78,69.12,8620682
2016-11-28,68.43,68.43,67.1,67.2,12507732
2016-11-29,67.57,67.64,66.48,67.15,8930019
2016-11-30,67.3,67.82,66.81,67.12,9085308
2016-12-01,67.29,67.3,65.66,65.97,7168068
2016-12-02,66.3,68.39,65.96,67.71,12272207
2016-12-05,68.16,68.31,66.74,67.26,7285951
2016-12-06,67.2,67.92,67.13,67.8,4617182
2016-12-07,67.25,67.38,66.56,67.38,5835882
2016-12-08,67.05,67.27,66.39,67.19,4811371
2016-12-09,67.38,68.17,67.22,67.85,4350764
2016-12-12,67.98,68.54,67.42,67.61,5273718
2016-12-13,67.99,68.89,67.99,68.64,6010936
2016-12-14,68.42,68.92,67.54,67.67,6140299
2016-12-15,70.37,71.59,69.66,71.37,14321496
2016-12-16,72.86,73.71,71.76,73.31,17584655
2016-12-19,73.48,74.49,73.3,73.42,6102447
2016-12-20,73.65,74.1,73.0,73.38,6001496
2016-12-21,73.33,73.89,73.1,73.25,5054141
2016-12-22,73.16,73.48,72.68,73.26,4827505
2016-12-23,73.48,74.0,73.26,73.79,2570475
2016-12-27,74.06,74.46,73.68,73.81,2786711
2016-12-28,73.66,73.78,72.97,73.06,3256811
2016-12-29,73.39,73.87,73.24,73.56,3031926
2016-12-30,73.47,73.75,73.23,73.55,2934286
2017-01-03,73.94,74.67,73.54,74.6,3623461
2017-01-04,74.95,75.0,74.38,74.72,3021617
2017-01-05,74.93,77.87,74.43,75.59,3310765
2017-01-06,75.46,76.06,75.03,75.67,2296679
2017-01-09,75.67,76.62,75.51,76.27,3204202
2017-01-10,76.44,76.56,75.81,76.27,3559403
2017-01-11,76.51,76.92,74.0,75.26,7701738
2017-01-12,74.85,77.5,74.76,77.15,11901134
2017-01-13,76.92,78.12,76.38,77.4,5602614
2017-01-17,77.06,77.06,75.87,76.85,4913272
2017-01-18,77.32,77.71,76.88,77.53,3360339
2017-01-19,77.47,77.62,76.76,76.84,4439238
2017-01-20,77.02,77.41,76.47,76.81,4371196
2017-01-23,76.24,76.88,76.16,76.32,5055071
2017-01-24,76.2,76.43,74.17,74.85,6594265
2017-01-25,75.12,75.6,74.27,74.85,4830841
2017-01-26,74.98,75.35,74.54,74.58,3748027
2017-01-27,74.92,75.4,74.5,75.38,3132793
2017-01-30,75.09,75.18,74.25,74.7,5909555
2017-01-31,74.25,77.28,74.0,77.03,6964087
2017-02-01,77.89,78.57,76.91,77.6,4959227
2017-02-02,76.99,77.91,76.55,77.39,3830939
2017-02-03,77.47,77.88,76.71,77.23,3836275
2017-02-06,76.92,77.84,76.76,77.83,2835509
2017-02-07,77.68,78.01,77.32,77.7,3346800
2017-02-08,77.44,78.65,77.19,78.11,2821567
2017-02-09,78.12,78.59,77.69,77.7,2962614
2017-02-10,77.87,78.25,77.6,77.79,2598619
2017-02-13,77.57,78.06,77.53,77.77,2097796
2017-02-14,77.5,78.83,77.25,78.81,3311161
2017-02-15,78.34,80.54,78.05,80.25,4272836
2017-02-16,80.05,80.38,79.41,80.04,3630059
2017-02-17,80.14,81.0,80.07,80.39,3111144
2017-02-21,80.17,80.87,80.11,80.36,3178822
2017-02-22,80.42,81.21,80.33,81.07,3468784
2017-02-23,81.37,82.88,81.14,82.55,6193454
2017-02-24,82.42,83.24,82.24,82.87,4016045
2017-02-27,82.83,83.4,82.66,83.06,3104235
2017-02-28,82.82,83.48,82.58,82.81,3672034
2017-03-01,83.44,84.14,82.97,83.85,3420566
2017-03-02,83.87,83.94,82.84,82.91,3371556
2017-03-03,82.7,83.9,82.6,83.78,2649606
2017-03-06,83.25,84.28,82.95,83.83,3960055
2017-03-07,82.95,83.14,81.37,82.74,5570598
