Date,Open,High,Low,Close,Volume
2016-10-04,40.32,40.49,39.09,39.16,10682210
2016-10-05,39.02,39.42,38.83,39.1,4221673
2016-10-06,39.05,39.32,38.69,39.17,4816741
2016-10-07,39.14,39.2,38.18,38.47,6932903
2016-10-10,38.5,39.95,38.46,39.77,7815066
2016-10-11,40.03,40.33,39.51,39.79,9126557
2016-10-12,40.15,40.38,39.73,40.01,6634830
2016-10-13,39.68,41.62,39.12,41.38,11107184
2016-10-14,41.6,42.41,41.11,41.32,7296827
2016-10-17,41.4,42.2,41.16,41.24,5509896
2016-10-18,41.56,41.98,41.19,41.68,8755648
2016-10-19,41.74,42.4,41.57,42.25,6334976
2016-10-20,42.15,42.47,41.76,42.29,7813331
2016-10-21,41.91,42.46,41.75,42.43,5448358
2016-10-24,42.52,42.93,42.2,42.33,5311393
2016-10-25,42.15,42.72,41.71,41.95,11101775
2016-10-26,37.7,39.8,36.91,38.4,43824879
2016-10-27,38.5,39.58,37.65,39.24,22002658
2016-10-28,39.29,39.84,38.95,39.18,10321178
2016-10-31,39.49,40.47,39.15,40.05,8148848
2016-11-01,39.98,40.42,39.33,39.68,8004600
2016-11-02,39.57,40.1,39.43,39.61,6691512
2016-11-03,39.82,40.38,39.51,39.7,5187598
2016-11-04,39.69,40.93,39.56,40.38,7293975
2016-11-07,41.0,41.57,40.7,41.57,7740837
2016-11-08,41.57,42.0,41.22,41.93,8783963
2016-11-09,40.8,42.46,40.75,42.37,8472576
2016-11-10,42.64,43.85,42.58,43.64,10326084
2016-11-11,43.5,43.85,42.99,43.84,7907311
2016-11-14,43.9,45.45,43.88,45.35,11144737
2016-11-15,46.55,47.3,45.68,46.25,9921402
2016-11-16,46.04,46.34,45.45,45.85,6502590
2016-11-17,45.69,46.74,45.35,46.69,5772170
2016-11-18,46.91,47.25,46.68,47.06,6783000
2016-11-21,47.08,47.68,46.98,47.36,6760706
2016-11-22,47.69,47.99,46.75,47.1,7401268
2016-11-23,46.99,47.46,46.13,47.37,5317703
2016-11-25,47.31,47.91,47.23,47.45,2499128
2016-11-28,47.41,47.77,47.15,47.52,4230928
2016-11-29,47.56,47.83,47.21,47.24,4453435
