Date,Open,High,Low,Close,Volume
2016-10-04,46.09,46.35,45.43,45.62,3113213
2016-10-05,45.89,46.07,45.4,45.62,3284498
2016-10-06,45.48,45.73,44.96,45.71,2019405
2016-10-07,45.88,46.45,45.58,45.82,2588362
2016-10-10,46.2,46.32,45.83,46.04,1092523
2016-10-11,45.82,45.82,45.19,45.38,2285497
2016-10-12,45.34,45.67,45.21,45.23,1626708
2016-10-13,44.48,45.31,44.01,45.09,2561816
2016-10-14,46.21,46.66,45.95,46.15,3581578
2016-10-17,46.1,46.58,45.88,46.09,3437742
2016-10-18,46.66,47.28,46.44,47.07,2286582
2016-10-19,47.12,47.66,46.81,47.63,2530606
2016-10-20,47.46,47.56,47.08,47.52,2031325
2016-10-21,47.04,47.49,47.01,47.14,1875729
2016-10-24,47.37,47.87,47.34,47.37,1898718
2016-10-25,47.26,47.46,46.82,46.9,1879064
2016-10-26,46.63,47.06,46.35,46.92,1847562
2016-10-27,47.1,53.2,46.45,51.87,19582453
2016-10-28,52.93,54.5,52.93,54.05,9660795
2016-10-31,56.65,57.0,56.05,56.15,44799877
2016-11-01,56.15,56.15,53.64,54.26,21089863
2016-11-02,54.07,54.33,53.01,53.05,10749682
2016-11-03,53.05,53.3,51.17,51.31,7620543
2016-11-04,51.51,52.16,51.36,51.5,5098742
2016-11-07,51.95,52.11,51.65,51.93,4371331
2016-11-08,52.11,53.84,52.11,53.64,3278495
2016-11-09,53.01,54.76,52.78,54.59,2943340
2016-11-10,54.79,55.02,53.76,53.79,3703373
2016-11-11,53.82,54.04,53.4,53.6,3090820
2016-11-14,54.27,54.54,53.94,54.11,3324603
2016-11-15,54.29,55.0,53.83,54.88,2969939
2016-11-16,54.92,55.09,54.51,55.02,1727720
2016-11-17,55.03,55.61,54.73,54.96,2088554
2016-11-18,54.97,55.8,54.93,55.71,2086916
2016-11-21,55.94,57.14,55.87,56.96,2672385
2016-11-22,57.25,57.48,56.6,56.62,3458672
2016-11-23,56.46,56.77,56.16,56.57,2260606
2016-11-25,56.56,57.03,56.51,56.79,1118441
2016-11-28,56.74,57.09,56.65,56.77,1575699
2016-11-29,56.56,56.91,56.14,56.17,1727620
2016-11-30,56.17,56.51,55.05,55.07,4106984
2016-12-01,55.3,55.5,54.72,55.19,4254345
2016-12-02,55.31,56.0,55.16,55.82,1860229
2016-12-05,56.18,56.24,55.8,56.11,2890868
2016-12-06,56.26,56.35,55.6,56.07,1557000
2016-12-07,56.16,56.82,56.02,56.81,2861175
2016-12-08,56.95,57.0,56.14,56.25,3931406
2016-12-09,56.32,56.54,56.16,56.24,4011586
2016-12-12,56.25,56.59,55.98,56.23,2161214
