Date,Open,High,Low,Close,Volume
2016-10-04,109.66,110.0,107.92,108.38,722286
2016-10-05,108.46,109.5,108.46,108.49,718574
2016-10-06,108.24,108.92,107.7,108.86,580162
2016-10-07,108.93,108.95,107.85,108.26,515218
2016-10-10,109.33,109.98,109.05,109.15,429409
2016-10-11,109.0,109.0,106.95,107.58,632484
2016-10-12,107.7,108.52,107.51,108.26,553329
2016-10-13,106.88,107.25,105.83,106.61,938619
2016-10-14,107.84,108.31,106.96,107.08,692509
2016-10-17,106.96,107.38,106.5,106.7,657663
2016-10-18,107.87,108.28,106.96,107.8,1252523
2016-10-19,108.21,108.75,107.54,108.4,744130
2016-10-20,108.23,108.98,107.86,108.09,1401137
2016-10-21,104.61,105.81,101.94,102.24,3985071
2016-10-24,102.98,103.51,102.65,102.84,1619046
2016-10-25,102.92,103.58,102.54,102.77,1017119
2016-10-26,102.45,103.17,101.63,102.13,1271762
2016-10-27,102.69,103.19,101.96,102.16,1350366
2016-10-28,102.56,102.86,100.79,101.17,816638
2016-10-31,101.35,101.66,100.41,100.52,1216056
2016-11-01,101.02,101.12,98.62,99.04,1467664
2016-11-02,99.04,99.36,97.85,97.96,755155
2016-11-03,98.11,98.82,97.73,98.06,1556119
2016-11-04,98.33,98.67,97.58,97.61,1253602
2016-11-07,99.68,100.0,99.04,99.58,888253
2016-11-08,99.55,100.38,98.87,99.68,744488
2016-11-09,99.67,101.45,98.73,100.67,1792747
2016-11-10,101.39,102.66,99.2,100.27,1142790
2016-11-11,99.69,100.65,99.69,100.44,818445
2016-11-14,100.92,101.18,99.56,100.06,1220516
2016-11-15,99.73,99.97,98.53,99.29,1013682
2016-11-16,98.65,99.12,98.1,98.68,1137495
2016-11-17,98.45,101.2,98.32,101.2,1305519
2016-11-18,100.97,101.46,99.75,100.56,1029271
2016-11-21,100.9,101.25,100.62,101.13,545061
2016-11-22,101.21,101.82,100.51,101.66,673380
2016-11-23,101.23,101.96,100.36,100.86,556271
2016-11-25,100.87,101.57,100.87,101.02,307288
2016-11-28,100.49,101.55,100.35,100.89,862719
2016-11-29,101.04,101.5,100.31,101.09,714458
2016-11-30,101.65,102.06,100.46,100.5,861752
2016-12-01,100.68,101.13,97.01,97.25,1266178
2016-12-02,97.12,97.98,96.22,97.62,1053743
2016-12-05,98.39,98.75,96.7,96.83,1270217
2016-12-06,97.29,97.45,96.08,96.91,1286914
2016-12-07,97.18,98.44,96.43,97.9,2022207
2016-12-08,97.8,98.62,97.28,98.07,1150050
2016-12-09,97.99,100.19,97.74,99.77,956354
2016-12-12,99.31,99.71,98.1,98.27,819140
2016-12-13,98.39,99.73,97.03,99.5,675021
2016-12-14,99.19,100.27,97.25,97.45,810825
2016-12-15,97.79,98.51,96.64,96.76,1284203
2016-12-16,96.9,97.26,96.31,96.47,1628929
2016-12-19,96.47,97.03,95.11,95.92,1211726
2016-12-20,96.67,96.96,96.27,96.75,636359
2016-12-21,96.57,97.06,96.13,96.49,750568
2016-12-22,96.45,96.67,95.45,95.86,854603
2016-12-23,95.84,96.35,95.37,95.42,644389
2016-12-27,95.81,95.94,95.4,95.7,369256
2016-12-28,95.75,96.03,94.65,94.69,609281
2016-12-29,94.8,95.11,94.26,94.29,536645
2016-12-30,94.64,94.69,93.85,94.27,519536
2017-01-03,95.01,96.63,94.75,95.47,1181283
2017-01-04,95.55,97.24,95.34,97.09,859865
2017-01-05,96.8,97.96,96.7,97.86,1274502
2017-01-06,98.02,98.76,97.96,98.3,1065246
2017-01-09,97.97,98.33,96.82,96.86,682216
