Date,Open,High,Low,Close,Volume
2016-10-04,24.86,24.95,24.59,24.64,4266952
2016-10-05,24.79,25.49,24.61,25.07,4812362
2016-10-06,25.05,25.2,24.59,24.85,3759754
2016-10-07,24.9,24.91,24.43,24.58,3920017
2016-10-10,24.81,25.05,24.67,24.83,2875411
2016-10-11,24.83,25.0,24.43,24.86,4607694
2016-10-12,24.8,24.87,23.75,23.79,6488586
2016-10-13,23.52,23.52,22.77,23.24,6158209
2016-10-14,23.4,23.73,23.14,23.15,4146757
2016-10-17,23.16,23.28,22.8,22.83,4035507
2016-10-18,23.11,23.54,22.83,23.39,4208989
2016-10-19,23.28,23.94,23.22,23.84,5508898
2016-10-20,23.7,24.85,23.59,24.69,8720954
2016-10-21,24.52,24.76,24.15,24.31,4099652
2016-10-24,24.4,24.54,24.17,24.51,3094219
2016-10-25,24.58,24.83,24.35,24.6,3515693
2016-10-26,24.51,24.97,24.36,24.82,3447803
2016-10-27,25.0,25.07,23.82,23.93,5462120
2016-10-28,23.99,24.29,23.53,23.79,3762689
2016-10-31,23.72,23.9,23.26,23.53,4857108
2016-11-01,23.96,24.94,23.66,24.32,8046496
2016-11-02,24.53,25.04,24.21,24.73,7180471
2016-11-03,24.58,24.65,24.07,24.15,5481676
2016-11-04,24.02,24.79,23.96,24.5,4357340
2016-11-07,24.88,25.35,24.76,25.11,5524724
2016-11-08,25.06,26.28,24.81,26.18,5437609
2016-11-09,25.93,26.96,25.5,26.77,5781178
2016-11-10,26.93,28.5,26.93,28.23,7989680
2016-11-11,28.07,28.18,26.8,27.41,7431646
2016-11-14,27.45,28.3,27.45,28.29,6924236
2016-11-15,28.13,28.19,27.57,27.95,4852134
2016-11-16,27.73,27.95,27.15,27.21,3388833
2016-11-17,27.24,27.44,27.02,27.33,2785366
2016-11-18,27.21,28.36,27.21,28.26,4148555
2016-11-21,28.5,29.07,28.47,29.05,5397474
2016-11-22,29.05,29.12,27.2,27.37,6784488
2016-11-23,27.35,27.91,27.29,27.45,4207887
2016-11-25,27.48,27.7,26.95,27.43,2109053
2016-11-28,27.42,27.64,26.8,27.35,4622630
2016-11-29,26.99,27.3,26.61,27.06,5492925
2016-11-30,27.4,28.56,27.29,28.4,6345075
2016-12-01,28.6,29.5,28.56,29.09,7389339
2016-12-02,29.05,29.25,28.67,28.82,3778594
2016-12-05,28.98,29.8,28.98,29.17,6320374
2016-12-06,29.05,29.52,28.47,29.38,5345317
2016-12-07,29.45,30.29,29.31,30.23,4664678
2016-12-08,30.43,30.69,29.94,30.18,4320138
2016-12-09,30.26,31.54,30.19,31.42,5671171
2016-12-12,31.43,31.45,30.09,30.24,5559750
2016-12-13,30.62,30.63,29.06,29.52,6298846
2016-12-14,29.57,30.44,29.32,29.38,4929529
2016-12-15,29.22,30.38,29.1,29.74,3965694
2016-12-16,29.65,29.92,29.18,29.56,6911809
2016-12-19,28.9,29.39,27.62,27.77,9520555
2016-12-20,27.94,28.22,27.51,28.16,6696276
2016-12-21,28.39,28.87,28.03,28.78,5545759
2016-12-22,28.68,29.43,28.54,29.35,5719251
2016-12-23,29.34,29.5,28.8,29.18,2698943
2016-12-27,29.15,30.31,29.11,30.04,2729606
2016-12-28,30.09,30.38,29.0,29.06,3401894
2016-12-29,29.06,29.46,29.02,29.33,2083606
2016-12-30,29.39,29.79,29.1,29.33,2879914
2017-01-03,29.65,30.07,29.28,29.53,3359126
2017-01-04,29.7,30.9,29.69,30.81,12151785
2017-01-05,30.9,31.04,30.46,30.87,4712722
2017-01-06,30.85,30.91,30.56,30.8,2707567
2017-01-09,30.87,31.12,30.44,30.71,3086120
2017-01-10,30.79,31.23,30.29,30.72,3005320
2017-01-11,30.77,31.45,30.51,31.43,3408557
2017-01-12,31.43,31.61,30.66,31.41,3511385
2017-01-13,31.49,31.78,30.93,31.25,2961028
2017-01-17,31.49,31.52,30.59,30.77,3302148
2017-01-18,30.84,30.92,30.34,30.6,2898602
2017-01-19,30.69,30.83,30.01,30.25,3145605
2017-01-20,30.69,31.57,30.65,31.28,5524931
2017-01-23,31.33,31.63,31.05,31.55,3544878
2017-01-24,31.89,33.99,31.89,33.45,9688176
2017-01-25,33.5,33.93,32.93,33.26,7093257
2017-01-26,32.01,32.34,31.42,31.84,8222283
2017-01-27,31.82,31.99,31.12,31.42,4891632
2017-01-30,31.15,31.15,30.7,30.97,3627098
2017-01-31,31.04,31.39,30.71,31.37,5095303
2017-02-01,31.38,31.96,31.06,31.68,3910936
2017-02-02,31.59,31.68,30.76,31.45,2807858
2017-02-03,31.53,31.95,31.51,31.85,4943349
2017-02-06,31.77,32.14,31.6,32.03,5790505
2017-02-07,31.1,33.02,30.66,32.23,7328088
2017-02-08,32.23,32.59,31.6,32.21,4806074
2017-02-09,32.39,32.57,31.59,31.83,5003591
2017-02-10,32.08,33.04,32.08,32.86,4617034
2017-02-13,33.13,34.36,33.1,33.75,5985625
2017-02-14,33.65,34.04,33.41,34.02,3403208
2017-02-15,34.01,34.04,33.36,33.78,4173485
2017-02-16,33.68,33.8,32.93,33.15,3699384
2017-02-17,33.14,33.6,32.76,33.59,2771476
2017-02-21,33.9,33.9,33.45,33.64,3024563
2017-02-22,33.37,33.59,33.09,33.13,2382093
2017-02-23,33.31,33.31,31.47,31.83,6941133
2017-02-24,31.47,31.56,31.04,31.42,4386010
2017-02-27,31.38,31.65,31.2,31.54,4690039
2017-02-28,31.24,31.86,31.08,31.19,8541961
2017-03-01,31.6,31.9,30.94,31.03,6733194
2017-03-02,31.09,31.17,30.41,30.42,5348703
2017-03-03,30.3,30.38,29.93,30.22,6561116
2017-03-06,30.01,30.14,29.63,29.65,4017083
2017-03-07,29.67,29.71,28.96,29.18,9147370
2017-03-08,29.25,29.44,28.64,28.67,8117124
2017-03-09,29.21,30.49,28.78,29.0,11897009
2017-03-10,29.03,29.43,28.85,29.19,5809645
2017-03-13,29.3,29.44,28.98,29.12,2801137
2017-03-14,28.83,28.95,28.46,28.6,3282632
2017-03-15,28.78,29.26,28.55,29.14,3678045
2017-03-16,29.32,29.4,28.94,28.99,2716627
2017-03-17,29.08,29.29,28.93,29.17,4827977
2017-03-20,29.22,29.57,29.0,29.25,3050754
2017-03-21,29.25,29.59,28.62,28.64,3534592
2017-03-22,28.64,28.88,28.34,28.75,2676034
2017-03-23,28.79,29.18,28.66,29.0,1969071
2017-03-24,28.98,29.08,28.58,28.75,2158625
2017-03-27,28.46,28.9,28.38,28.64,3073120
2017-03-28,28.65,29.37,28.65,29.17,2860631
2017-03-29,29.18,29.8,29.04,29.48,2737884
2017-03-30,29.37,29.56,29.02,29.35,2997284
2017-03-31,29.24,29.48,28.93,29.18,4223356
2017-04-03,29.25,29.43,28.41,28.91,3958722
2017-04-04,28.89,29.17,28.58,29.16,4588679
2017-04-05,29.36,29.51,28.97,29.0,5330429
2017-04-06,29.0,29.33,28.86,29.19,3258014
2017-04-07,29.05,29.13,28.81,28.85,2480339
2017-04-10,28.95,29.13,28.67,28.94,2918885
2017-04-11,28.93,29.05,28.27,28.69,3736005
2017-04-12,28.56,28.66,28.11,28.15,3797424
2017-04-13,28.08,28.16,27.42,27.46,4231723
2017-04-17,27.48,27.56,27.2,27.36,4467607
2017-04-18,27.16,27.18,26.82,27.04,3874602
2017-04-19,27.11,27.21,26.72,26.83,3063908
2017-04-20,26.97,27.26,26.89,27.1,3432959
2017-04-21,27.04,27.13,26.67,26.67,3539715
2017-04-24,27.06,27.25,26.93,27.09,4856226
2017-04-25,27.39,27.71,27.29,27.54,4322643
2017-04-26,27.37,27.52,26.85,27.42,5188884
2017-04-27,27.56,27.89,27.38,27.45,4214651
2017-04-28,27.55,27.61,26.88,26.93,5411670
2017-05-01,27.12,27.15,26.8,26.87,4390151
2017-05-02,26.04,26.11,24.58,24.95,14086964
2017-05-03,24.73,24.85,23.52,23.63,11549267
2017-05-04,23.68,23.9,23.2,23.32,8444207
2017-05-05,23.4,23.64,23.4,23.45,7754594
2017-05-08,23.48,23.66,23.29,23.54,6836979
2017-05-09,24.0,24.12,23.46,23.49,9226604
2017-05-10,23.52,23.62,23.4,23.46,10589387
2017-05-11,23.48,23.86,23.21,23.7,6840114
2017-05-12,23.65,23.8,22.9,22.91,5801797
2017-05-15,23.12,23.68,23.04,23.45,4464484
2017-05-16,23.45,23.65,23.24,23.41,3427415
2017-05-17,23.07,23.28,22.6,22.81,5154853
2017-05-18,22.51,22.94,22.43,22.85,4722445
2017-05-19,22.95,23.9,22.94,23.65,5662338
2017-05-22,23.8,23.88,22.89,23.1,4966457
2017-05-23,23.21,23.49,23.11,23.32,5129389
2017-05-24,23.34,23.47,22.98,23.14,2875876
2017-05-25,23.14,23.42,22.68,22.9,3218630
2017-05-26,22.84,23.21,22.78,23.16,2490745
2017-05-30,23.0,23.06,22.85,22.94,2214494
2017-05-31,22.96,22.96,22.28,22.63,4697645
2017-06-01,22.63,23.06,22.45,22.79,3406610
2017-06-02,22.73,22.75,22.32,22.5,3616167
2017-06-05,22.38,22.73,22.28,22.6,3449554
2017-06-06,22.46,22.67,22.26,22.6,3053123
2017-06-07,22.6,22.61,22.15,22.25,4029005
2017-06-08,22.25,22.79,22.18,22.55,2856076
2017-06-09,22.86,23.64,22.68,23.51,4920943
2017-06-12,23.51,24.45,23.3,23.55,6525206
2017-06-13,23.55,23.81,23.29,23.7,4460719
2017-06-14,23.69,23.8,22.64,22.74,4309605
2017-06-15,22.52,22.76,22.23,22.33,3993525
2017-06-16,22.36,22.72,22.19,22.71,6020309
2017-06-19,22.78,22.95,22.69,22.86,3445813
2017-06-20,22.72,22.72,22.2,22.22,3478261
2017-06-21,22.26,22.39,21.78,21.87,4087409
2017-06-22,21.88,22.47,21.81,22.32,5839343
2017-06-23,22.4,23.04,22.11,22.97,4545847
2017-06-26,23.03,23.3,22.91,23.23,3467519
2017-06-27,23.27,23.34,22.63,22.63,2518286
2017-06-28,22.84,23.06,22.57,22.58,2437169
2017-06-29,22.65,23.0,22.5,22.61,2962734
2017-06-30,22.73,22.96,22.55,22.83,2562666
2017-07-03,23.04,23.84,22.98,23.77,2389626
2017-07-05,23.76,23.81,22.83,22.87,4404563
2017-07-06,22.73,22.88,22.35,22.4,3217021
2017-07-07,22.48,22.67,22.17,22.6,3508788
2017-07-10,22.64,24.18,22.53,23.8,6812570
2017-07-11,23.79,23.96,23.13,23.67,5674876
2017-07-12,23.88,24.3,23.45,23.57,5307785
2017-07-13,23.53,23.9,23.36,23.85,3152624
2017-07-14,23.75,23.87,23.52,23.72,2952526
2017-07-17,23.77,24.24,23.69,23.96,2768497
2017-07-18,23.9,23.99,23.67,23.97,1966748
2017-07-19,24.05,24.65,24.01,24.54,3778369
2017-07-20,24.71,24.77,24.11,24.43,3423499
2017-07-21,24.44,24.62,24.04,24.37,2922021
2017-07-24,24.26,24.35,24.01,24.16,2239693
2017-07-25,24.22,24.56,24.0,24.22,3211397
2017-07-26,24.32,24.44,23.48,23.6,3482148
2017-07-27,23.64,24.2,23.34,23.88,3861412
2017-07-28,23.88,24.29,23.88,24.17,3015120
2017-07-31,,,23.99,24.14,3382325
2017-08-01,23.83,23.83,21.97,22.89,10771858
2017-08-02,22.8,22.87,22.05,22.25,5717720
2017-08-03,22.15,22.65,22.06,22.32,3598602
2017-08-04,22.4,22.62,22.2,22.58,3177651
2017-08-07,22.61,22.62,21.88,21.97,4366480
2017-08-08,21.96,22.19,21.43,21.54,5481579
2017-08-09,21.51,21.56,21.14,21.26,4222496
2017-08-10,21.19,21.37,20.38,20.61,7105710
2017-08-11,20.79,20.85,20.06,20.34,5511973
2017-08-14,20.44,20.64,20.27,20.31,4772515
2017-08-15,20.18,20.25,19.77,20.16,7894433
2017-08-16,20.22,20.76,20.17,20.57,5607029
2017-08-17,20.54,20.95,20.08,20.1,3848158
2017-08-18,20.06,20.08,19.59,19.86,4465639
2017-08-21,19.87,19.96,19.68,19.86,2588956
2017-08-22,19.99,20.32,19.93,19.94,3806513
2017-08-23,19.9,20.31,19.9,20.17,2899997
2017-08-24,20.2,20.42,20.0,20.19,2380246
2017-08-25,20.34,20.54,20.21,20.37,2300796
2017-08-28,20.4,20.45,19.87,20.07,3441699
2017-08-29,19.92,19.95,19.71,19.94,2898583
2017-08-30,19.9,19.9,19.67,19.82,2004824
2017-08-31,19.94,20.13,19.72,19.98,3491877
2017-09-01,20.05,20.26,20.0,20.11,2554077
2017-09-05,20.11,20.23,19.42,19.46,5228268
2017-09-06,19.4,19.83,19.24,19.74,5979686
2017-09-07,19.78,19.9,19.48,19.53,4919744
2017-09-08,19.51,19.55,19.23,19.39,3871266
2017-09-11,19.5,20.22,19.47,20.01,6104766
2017-09-12,20.09,20.56,20.05,20.26,4859274
2017-09-13,20.31,20.37,20.0,20.13,3027132
2017-09-14,20.12,20.46,20.08,20.44,3810789
2017-09-15,20.47,20.77,20.39,20.66,6355123
2017-09-18,20.66,21.86,20.66,21.31,8305325
2017-09-19,21.37,21.49,20.72,20.84,5015025
2017-09-20,20.96,21.35,20.68,20.87,4718972
2017-09-21,20.81,21.29,20.72,20.94,4426084
2017-09-22,20.88,21.0,20.74,20.86,2187688
2017-09-25,20.88,21.28,20.79,21.26,3885773
2017-09-26,21.29,21.51,21.0,21.39,3201701
2017-09-27,21.51,21.55,21.17,21.46,3008754
2017-09-28,21.52,21.9,21.22,21.3,4312830
2017-09-29,21.3,21.6,21.17,21.59,2792510
2017-10-02,21.53,21.92,21.43,21.75,3877092
