Date,Open,High,Low,Close,Volume
2016-10-04,115.68,117.13,115.22,116.48,540293
2016-10-05,116.89,118.58,116.62,118.06,640416
2016-10-06,117.77,118.76,117.16,118.34,494720
2016-10-07,118.1,118.3,116.66,117.83,440781
2016-10-10,118.36,118.75,117.78,117.89,524686
2016-10-11,117.83,118.22,115.68,116.06,1010263
2016-10-12,116.31,117.39,116.03,116.86,614296
2016-10-13,115.49,115.49,112.25,113.17,1142944
2016-10-14,114.66,115.33,113.58,113.87,1138814
2016-10-17,114.62,115.18,113.64,114.0,571359
2016-10-18,115.07,115.56,113.42,115.27,831503
2016-10-19,116.2,118.7,114.56,117.5,1511261
2016-10-20,117.43,119.15,117.29,118.85,1078869
2016-10-21,117.7,119.03,117.3,118.91,630967
2016-10-24,119.21,119.7,118.65,118.92,667276
2016-10-25,118.97,119.38,118.27,119.05,591755
2016-10-26,118.8,120.37,118.2,120.19,589126
2016-10-27,120.91,122.71,120.09,121.98,989303
2016-10-28,122.37,122.53,120.97,122.07,864435
2016-10-31,122.4,123.34,122.11,122.73,915184
2016-11-01,123.33,123.33,121.55,122.89,959269
2016-11-02,122.11,122.36,120.93,121.81,1234654
2016-11-03,122.25,122.82,120.9,121.41,885748
2016-11-04,121.28,122.57,120.31,121.81,879573
2016-11-07,123.13,124.94,122.92,124.88,1258341
2016-11-08,124.31,125.4,123.38,125.13,1093988
2016-11-09,125.45,132.08,125.08,131.54,2238643
2016-11-10,132.15,135.2,129.26,133.71,2907861
2016-11-11,133.31,136.16,132.7,136.0,1585239
2016-11-14,136.75,140.58,136.75,139.95,1671311
2016-11-15,135.78,139.01,134.63,138.85,1447648
2016-11-16,136.88,137.77,136.11,136.74,995493
2016-11-17,137.26,140.12,137.04,139.91,1589000
2016-11-18,140.23,141.99,139.46,141.26,1331087
2016-11-21,141.67,141.67,139.79,141.06,898345
2016-11-22,141.5,142.65,141.09,142.29,1451023
2016-11-23,142.91,143.99,141.44,143.57,1030682
2016-11-25,143.53,143.71,142.6,143.71,324676
2016-11-28,142.4,143.24,140.35,140.72,1237003
2016-11-29,141.16,141.73,140.47,140.79,930069
2016-11-30,142.28,144.38,141.69,143.94,1255454
2016-12-01,144.74,147.3,144.34,147.09,1502976
2016-12-02,146.26,146.91,144.73,146.16,749667
