Date,Open,High,Low,Close,Volume
2016-10-04,52.9,53.06,52.08,52.14,10737412
2016-10-05,52.15,52.64,52.1,52.12,7244125
2016-10-06,52.2,52.33,51.97,52.03,9391723
2016-10-07,52.42,52.46,51.68,51.79,8407084
2016-10-10,52.13,52.25,51.77,51.79,5469323
2016-10-11,51.95,52.25,51.52,51.82,9203523
2016-10-12,52.01,52.71,51.8,52.44,9301264
2016-10-13,52.12,52.32,51.5,52.03,8425755
2016-10-14,52.38,52.5,51.62,51.62,7133784
2016-10-17,51.65,51.75,50.96,51.03,7904002
2016-10-18,51.3,51.66,51.19,51.22,6805166
2016-10-19,51.34,51.84,51.14,51.8,6998963
2016-10-20,51.77,52.36,51.69,51.89,6590489
2016-10-21,51.74,51.87,51.25,51.77,9161003
2016-10-24,52.16,52.29,51.83,51.87,7578184
2016-10-25,50.97,51.44,50.71,51.05,14975302
2016-10-26,50.95,52.27,50.9,51.97,12401117
2016-10-27,52.34,52.34,51.69,51.89,7939188
2016-10-28,52.12,52.5,51.79,52.02,9096719
2016-10-31,50.88,51.15,50.0,50.18,17931262
2016-11-01,50.5,50.51,49.14,49.62,14100431
2016-11-02,49.24,50.27,49.01,49.72,10775938
2016-11-03,49.98,50.0,49.31,49.73,7678690
2016-11-04,49.8,50.45,49.76,49.96,9925196
2016-11-07,50.48,50.93,50.28,50.91,8358692
2016-11-08,51.1,51.49,50.95,51.08,8111362
2016-11-09,50.07,51.27,49.8,51.12,9058575
2016-11-10,51.29,51.37,50.33,50.39,12316075
2016-11-11,50.22,50.85,50.18,50.77,6300607
2016-11-14,51.18,51.19,50.21,50.21,8063943
2016-11-15,50.46,50.64,49.75,50.13,9299754
2016-11-16,50.0,50.8,49.95,50.68,6760291
2016-11-17,50.94,51.67,50.72,51.59,7641504
2016-11-18,51.39,51.89,50.96,51.1,7461602
2016-11-21,51.0,51.42,50.95,51.28,5357204
2016-11-22,51.47,51.75,51.05,51.71,5228142
2016-11-23,51.71,51.85,51.2,51.34,4148968
2016-11-25,51.68,51.74,51.35,51.52,2736767
2016-11-28,51.44,51.44,50.61,51.01,8602118
2016-11-29,51.2,51.37,50.57,50.63,6065682
2016-11-30,50.52,50.81,50.07,50.07,8198418
2016-12-01,50.11,51.25,50.06,50.65,7610063
2016-12-02,50.26,50.68,50.1,50.46,6933279
2016-12-05,50.8,52.27,50.7,51.85,12031170
2016-12-06,50.83,51.1,50.26,50.57,12496332
2016-12-07,50.79,52.25,50.6,52.1,10412638
2016-12-08,52.15,52.47,51.45,51.55,9260850
2016-12-09,51.76,51.97,51.5,51.72,5869828
2016-12-12,51.5,51.9,50.94,51.54,11459541
2016-12-13,51.83,53.22,51.83,52.3,11442327
2016-12-14,52.24,52.34,51.59,51.79,8012783
2016-12-15,52.0,52.04,51.09,51.29,9567532
2016-12-16,51.6,51.64,50.67,50.92,13984850
2016-12-19,50.91,51.36,50.48,50.85,9451738
2016-12-20,51.06,51.99,50.75,51.79,15984083
2016-12-21,52.9,53.35,51.55,52.3,23236380
2016-12-22,52.8,53.0,52.03,52.14,11798871
2016-12-23,51.99,52.35,51.67,51.91,9360816
2016-12-27,51.8,52.25,51.2,51.29,8175000
2016-12-28,51.31,51.5,50.87,51.02,6318040
2016-12-29,51.0,51.24,50.88,51.06,4680840
2016-12-30,51.1,51.33,50.7,50.83,7384258
2017-01-03,51.99,52.5,51.77,51.98,13295607
2017-01-04,52.23,53.34,52.09,53.07,13759473
2017-01-05,52.92,53.1,52.44,53.06,8682193
2017-01-06,53.09,54.09,52.98,53.91,12532449
2017-01-09,53.96,53.99,53.22,53.38,8835265
2017-01-10,53.55,53.73,53.11,53.11,8041852
2017-01-11,53.12,53.29,52.66,52.69,8208307
2017-01-12,52.51,52.69,52.16,52.4,7368654
2017-01-13,52.59,52.93,52.23,52.92,6694367
2017-01-17,53.4,53.95,53.01,53.65,9888451
2017-01-18,53.86,53.89,52.86,53.27,6743094
2017-01-19,53.84,53.94,52.89,52.93,8320612
2017-01-20,53.22,53.35,52.9,53.2,7861047
2017-01-23,53.02,53.26,52.72,53.24,7025715
2017-01-24,53.02,53.57,52.99,53.45,6321310
2017-01-25,53.73,54.12,53.69,53.86,6675011
2017-01-26,54.11,54.12,53.36,53.65,6202005
2017-01-27,53.68,54.08,53.03,53.19,7362028
2017-01-30,52.78,53.22,52.41,53.08,9770763
2017-01-31,51.68,52.9,51.63,52.9,12342873
2017-02-01,52.98,53.26,52.61,53.02,8810937
