Date,Open,High,Low,Close,Volume
2016-10-04,36.14,36.49,35.27,35.68,4127515
2016-10-05,36.42,37.36,36.13,36.87,4724174
2016-10-06,37.03,37.53,36.46,37.01,4345682
2016-10-07,37.08,37.34,36.47,36.84,3121546
2016-10-10,37.4,37.8,37.18,37.6,4422635
2016-10-11,37.4,37.74,36.49,36.96,4468222
2016-10-12,36.75,36.85,36.02,36.08,3405592
2016-10-13,35.74,36.46,35.53,36.29,3201789
2016-10-14,36.6,36.75,35.96,36.14,2009626
2016-10-17,36.24,36.52,35.64,36.11,1980868
2016-10-18,36.62,36.95,36.26,36.66,2391464
2016-10-19,37.07,37.38,36.66,36.98,4557888
2016-10-20,36.66,37.68,36.46,37.19,3285836
2016-10-21,36.85,37.06,36.5,36.97,2426387
2016-10-24,37.0,37.05,36.28,36.76,2268012
2016-10-25,36.66,37.26,36.07,36.16,3158473
2016-10-26,35.76,36.71,35.56,36.56,5668818
2016-10-27,35.88,36.01,33.59,33.7,12731538
2016-10-28,33.72,33.89,32.57,32.93,6655163
2016-10-31,32.78,32.9,31.96,32.1,5826342
2016-11-01,32.43,32.54,31.5,31.93,4377404
2016-11-02,31.5,31.86,31.02,31.43,5838659
2016-11-03,31.39,32.55,31.39,32.37,5348530
2016-11-04,32.22,32.28,31.26,31.88,3144718
2016-11-07,32.48,32.54,31.98,32.24,3000965
2016-11-08,32.06,32.14,31.41,31.91,3774457
2016-11-09,31.96,33.42,31.87,32.95,4583992
2016-11-10,32.96,33.94,32.91,33.59,4235461
2016-11-11,33.29,33.69,32.82,33.34,3062901
2016-11-14,33.23,34.98,33.12,34.9,4545776
2016-11-15,35.15,36.21,35.1,36.04,4115580
2016-11-16,35.64,35.9,35.04,35.25,2549427
2016-11-17,35.55,36.19,35.05,35.31,3299104
2016-11-18,35.23,35.52,34.84,35.21,2454466
2016-11-21,35.94,36.62,35.93,36.44,3551518
2016-11-22,36.6,36.69,36.16,36.35,2697320
2016-11-23,36.0,36.53,35.85,36.35,1959822
2016-11-25,36.07,36.16,35.52,35.94,1356692
2016-11-28,36.04,36.07,35.34,35.53,2583023
2016-11-29,34.62,34.84,34.11,34.6,3382826
2016-11-30,36.14,37.91,35.85,37.36,8296303
2016-12-01,37.98,38.92,37.42,37.59,5071789
