Date,Open,High,Low,Close,Volume
2016-10-04,65.33,65.37,63.21,63.69,1825823
2016-10-05,63.88,63.95,61.86,61.92,2059616
2016-10-06,61.74,62.16,60.56,61.59,2078618
2016-10-07,61.98,62.71,61.02,61.46,1446180
2016-10-10,61.65,62.39,61.64,62.11,975145
2016-10-11,61.89,62.0,60.7,60.81,1705030
2016-10-12,60.97,61.92,60.88,61.67,1254565
2016-10-13,61.46,63.21,61.19,62.71,1867957
2016-10-14,62.52,62.95,61.74,62.04,893870
2016-10-17,62.2,62.98,62.07,62.65,1180139
2016-10-18,63.01,63.18,62.32,62.66,1227765
2016-10-19,62.74,62.76,62.15,62.54,1119943
2016-10-20,62.65,62.79,61.94,62.45,947101
2016-10-21,62.08,62.46,61.56,61.9,1009262
2016-10-24,62.26,62.89,61.53,62.3,1301796
2016-10-25,62.09,62.65,61.69,62.3,980508
2016-10-26,62.04,62.1,60.76,61.31,1082755
2016-10-27,61.24,61.3,58.86,59.11,2095008
2016-10-28,58.7,59.39,58.4,58.53,1801449
2016-10-31,58.73,59.26,57.08,59.24,2963993
2016-11-01,59.07,59.07,57.28,57.74,2574337
2016-11-02,57.79,57.86,56.69,56.71,1919134
2016-11-03,56.66,56.88,56.25,56.55,1589380
2016-11-04,56.79,57.79,56.27,57.38,1889294
2016-11-07,58.02,58.54,57.62,58.45,1637023
2016-11-08,58.51,59.14,58.3,58.94,1510894
2016-11-09,58.35,58.35,55.35,55.62,3615437
2016-11-10,55.62,55.62,52.72,54.28,4744772
2016-11-11,54.39,55.57,54.17,54.39,2299129
2016-11-14,54.18,55.83,53.32,55.62,2315094
2016-11-15,55.78,56.91,55.13,55.67,1981533
2016-11-16,56.06,56.27,55.32,56.15,1573639
2016-11-17,56.15,56.45,54.81,54.87,1699447
2016-11-18,54.91,55.4,54.66,55.15,3055490
2016-11-21,55.25,55.86,54.93,55.09,1518997
2016-11-22,55.43,56.7,55.05,56.6,1676534
2016-11-23,56.01,56.6,55.68,56.12,1270981
2016-11-25,56.33,57.12,56.25,56.57,709371
2016-11-28,56.48,57.27,56.03,56.35,1666376
2016-11-29,56.15,57.25,56.15,56.74,1413465
2016-11-30,55.94,56.08,55.0,55.44,2691467
