Date,Open,High,Low,Close,Volume
2016-10-04,50.48,50.98,49.05,49.54,1959026
2016-10-05,50.05,50.45,49.35,49.58,1998151
2016-10-06,49.77,50.2,49.12,49.67,1421471
2016-10-07,49.97,50.08,49.04,49.36,1529972
2016-10-10,50.0,50.9,49.92,50.35,1346458
2016-10-11,50.34,50.52,49.27,49.82,1114881
2016-10-12,49.5,50.32,49.17,50.21,1091266
2016-10-13,49.69,50.13,48.96,49.8,1736451
2016-10-14,50.05,50.68,49.97,50.13,1838263
2016-10-17,50.03,50.29,49.4,49.45,1103082
2016-10-18,50.17,50.25,49.22,50.03,1015236
2016-10-19,50.64,51.66,50.53,51.04,1376235
2016-10-20,50.55,50.99,50.05,50.91,1010551
2016-10-21,50.5,50.73,50.3,50.63,806354
2016-10-24,50.63,51.2,49.57,50.37,976551
2016-10-25,50.38,50.54,49.11,49.17,1480800
2016-10-26,48.68,49.39,48.15,49.23,2409076
2016-10-27,48.91,49.33,48.46,48.51,1551516
2016-10-28,48.52,49.16,47.78,48.18,1049323
2016-10-31,47.96,48.63,47.67,48.43,1946368
2016-11-01,48.98,49.05,47.79,48.56,2096754
2016-11-02,47.61,48.0,45.41,46.59,4500093
2016-11-03,46.88,46.95,46.26,46.44,1672481
2016-11-04,46.35,47.24,46.04,46.65,1729470
2016-11-07,47.47,48.12,47.34,48.08,1600892
2016-11-08,48.0,49.77,47.88,49.5,1729137
2016-11-09,49.04,49.95,48.31,49.39,2364704
2016-11-10,49.52,49.56,48.18,49.05,2151520
2016-11-11,48.79,48.99,47.43,47.92,1708422
2016-11-14,47.79,48.06,46.82,47.81,2029222
2016-11-15,48.71,50.2,48.49,49.93,2114234
2016-11-16,49.67,50.1,49.24,49.69,1676745
2016-11-17,50.1,50.62,49.79,49.83,1531526
2016-11-18,50.07,50.6,49.86,50.42,1099604
2016-11-21,51.11,52.86,50.69,52.72,3236240
2016-11-22,52.95,53.62,52.33,53.46,3276985
2016-11-23,52.91,54.26,52.57,53.95,1778924
2016-11-25,53.57,53.94,53.2,53.75,625259
2016-11-28,54.25,54.5,52.75,52.82,1194064
2016-11-29,51.65,52.92,50.96,52.44,2107018
2016-11-30,54.38,55.75,54.04,54.93,2972047
2016-12-01,55.89,56.0,54.0,54.42,1652585
2016-12-02,54.46,55.45,54.22,54.69,1524509
2016-12-05,55.13,56.5,54.82,56.42,2266167
2016-12-06,55.94,56.32,55.19,56.12,1684471
2016-12-07,56.11,57.09,55.21,57.09,1861831
2016-12-08,56.97,57.96,56.34,57.91,1910446
2016-12-09,57.99,58.14,56.94,57.01,1492318
2016-12-12,58.56,58.8,56.93,57.21,1745659
2016-12-13,57.18,58.29,56.85,57.77,2221339
2016-12-14,57.22,58.47,56.95,57.36,2735847
2016-12-15,56.81,58.48,56.29,57.72,2114917
2016-12-16,57.8,58.57,57.58,58.42,5067983
