Date,Open,High,Low,Close,Volume
2016-10-04,39.04,39.2,38.76,38.87,9199333
2016-10-05,39.11,39.34,38.89,39.15,8269218
2016-10-06,39.11,39.24,38.63,38.87,9789055
2016-10-07,38.84,39.0,38.61,38.71,11442032
2016-10-10,38.86,39.0,38.59,38.62,9475433
2016-10-11,38.56,38.65,37.81,38.01,14964003
2016-10-12,37.93,38.15,37.64,38.05,8944920
2016-10-13,37.86,38.19,37.62,38.03,14118062
2016-10-14,38.26,38.58,38.19,38.41,11601173
2016-10-17,38.54,38.54,38.21,38.29,9418950
2016-10-18,38.6,38.69,38.36,38.42,7121851
2016-10-19,38.52,38.64,38.31,38.35,8310928
2016-10-20,38.12,38.35,38.01,38.09,11196995
2016-10-21,37.99,38.12,37.77,37.93,13413355
2016-10-24,38.12,38.42,38.12,38.27,13550458
2016-10-25,38.33,38.43,38.1,38.36,11627932
2016-10-26,38.15,38.64,38.15,38.31,9723068
2016-10-27,38.41,38.56,38.15,38.22,7588890
2016-10-28,38.3,38.45,38.02,38.17,7803348
2016-10-31,38.31,38.51,38.2,38.42,10485259
2016-11-01,38.58,38.58,38.22,38.46,12018182
2016-11-02,38.46,38.49,37.98,38.03,9488381
2016-11-03,37.99,38.38,37.99,38.31,12393143
2016-11-04,38.31,38.58,38.17,38.28,14288949
2016-11-07,38.73,39.15,38.72,39.09,9506917
2016-11-08,39.16,39.35,38.98,39.13,7574742
2016-11-09,38.56,39.74,38.39,39.55,19497316
2016-11-10,39.65,40.06,39.3,39.58,26707219
2016-11-11,39.54,39.8,39.18,39.45,12217654
2016-11-14,39.39,39.67,39.11,39.3,15417089
2016-11-15,38.89,39.22,38.68,39.17,13594292
2016-11-16,39.1,39.8,38.92,39.7,12596969
2016-11-17,39.8,40.29,39.67,40.25,13260272
2016-11-18,40.28,40.49,39.67,39.86,12890599
2016-11-21,39.97,40.03,39.67,39.89,8073077
2016-11-22,40.09,40.12,39.81,40.09,10993083
2016-11-23,40.05,40.1,39.84,40.1,11101774
2016-11-25,40.04,40.35,40.04,40.27,4013115
2016-11-28,40.13,40.53,40.05,40.3,12118281
2016-11-29,40.34,40.74,40.13,40.55,10157369
2016-11-30,40.66,40.7,40.19,40.19,14374592
2016-12-01,40.11,40.18,38.46,38.7,22740168
2016-12-02,38.46,38.83,37.64,38.5,19120264
2016-12-05,38.6,39.11,38.54,38.97,13681522
2016-12-06,39.01,39.48,38.88,39.47,13524707
2016-12-07,39.5,40.37,39.49,40.32,15170645
2016-12-08,40.32,40.5,40.08,40.35,10109674
2016-12-09,40.41,40.77,40.28,40.52,11219098
