Date,Open,High,Low,Close,Volume
2016-10-04,72.84,73.23,72.09,72.65,4532664
2016-10-05,73.28,73.53,72.47,72.54,4196919
2016-10-06,72.74,74.0,72.6,73.54,5269391
2016-10-07,73.81,73.99,73.22,73.54,3117585
2016-10-10,74.11,74.87,74.03,74.77,3766355
2016-10-11,74.53,74.82,73.28,73.69,3694799
2016-10-12,73.78,74.45,73.37,74.0,4128936
2016-10-13,73.36,74.16,72.84,73.9,4573963
2016-10-14,74.6,74.6,72.76,73.22,4494213
2016-10-17,73.22,73.22,71.86,72.47,5608542
2016-10-18,73.28,73.31,71.77,72.57,3814006
2016-10-19,73.42,75.6,72.97,74.51,5840676
2016-10-20,73.95,74.71,73.38,74.1,4088581
2016-10-21,73.47,74.66,72.79,74.61,4983840
2016-10-24,74.72,75.4,73.9,75.03,6117164
2016-10-25,74.83,75.5,74.35,74.43,4943788
2016-10-26,73.7,74.58,73.29,74.39,3678010
2016-10-27,74.73,74.89,73.72,73.79,4124652
2016-10-28,73.89,74.76,73.55,73.63,5822963
2016-10-31,73.64,73.69,72.55,72.91,4722121
2016-11-01,72.45,72.84,67.66,69.0,13046981
2016-11-02,68.72,68.87,67.1,67.79,5810259
2016-11-03,68.0,68.0,66.83,67.45,7863005
2016-11-04,67.41,68.27,66.56,66.59,7713947
2016-11-07,67.47,67.82,66.8,67.25,5855527
2016-11-08,67.09,67.43,66.46,66.89,4283334
2016-11-09,66.75,67.66,66.12,66.9,8582876
2016-11-10,66.79,66.98,65.6,65.72,9215391
2016-11-11,65.37,65.37,64.4,64.95,7290243
2016-11-14,64.57,66.06,64.37,65.77,8700334
2016-11-15,66.3,68.84,66.19,68.49,7443275
2016-11-16,68.28,69.88,68.16,68.93,7106373
2016-11-17,69.55,70.29,67.7,67.81,6666129
2016-11-18,68.03,68.85,67.93,68.22,5490189
2016-11-21,69.3,70.25,69.1,69.23,4330943
2016-11-22,69.83,70.15,68.72,69.29,5663108
2016-11-23,68.77,70.13,68.77,69.85,3958455
2016-11-25,69.47,69.96,69.27,69.75,1319206
2016-11-28,70.18,70.18,68.28,68.39,3836731
2016-11-29,67.38,68.0,66.85,67.57,3976060
2016-11-30,69.46,72.05,68.97,71.36,9434899
2016-12-01,72.9,72.96,71.1,71.27,5690820
2016-12-02,71.1,71.54,70.66,70.85,4153338
2016-12-05,71.29,72.13,70.94,70.98,4933441
2016-12-06,70.48,71.26,70.1,70.41,4643750
2016-12-07,69.52,69.75,67.81,68.64,8381761
2016-12-08,68.96,69.37,68.12,69.32,6258052
2016-12-09,69.48,70.79,69.31,70.58,4563450
2016-12-12,72.25,72.47,71.28,71.39,5439494
2016-12-13,72.0,72.89,71.45,72.35,4355549
2016-12-14,71.72,72.3,70.81,70.96,3741185
2016-12-15,70.32,71.64,69.8,71.3,4855325
2016-12-16,72.24,73.51,71.69,73.44,9264720
2016-12-19,73.21,73.26,72.22,72.47,3490879
2016-12-20,72.57,72.87,71.99,72.38,2953084
2016-12-21,72.71,72.71,72.04,72.16,2450882
2016-12-22,72.08,72.62,71.73,72.36,3700583
2016-12-23,72.22,72.51,71.6,72.11,2344256
2016-12-27,72.1,72.54,71.81,72.35,2200529
2016-12-28,72.33,72.53,71.63,71.87,2373358
2016-12-29,71.81,71.95,71.2,71.6,1939727
2016-12-30,71.51,71.85,71.02,71.23,2641605
2017-01-03,72.27,72.96,71.18,72.27,4393600
2017-01-04,71.93,72.2,71.07,71.48,4151373
2017-01-05,71.32,71.48,70.54,70.62,4769923
2017-01-06,70.62,71.39,70.34,71.08,3935597
2017-01-09,70.52,70.81,69.9,70.48,5543707
2017-01-10,70.49,70.76,69.29,69.35,3993244
2017-01-11,69.4,69.94,68.88,69.35,6423151
2017-01-12,69.53,69.64,68.47,69.03,5343581
2017-01-13,68.94,69.38,68.66,69.08,3739757
2017-01-17,69.74,70.16,69.09,69.73,3776391
2017-01-18,69.29,69.88,69.06,69.32,3659302
2017-01-19,69.58,69.75,68.38,68.73,3901113
2017-01-20,69.35,69.4,68.27,68.59,4239082
2017-01-23,68.29,68.58,67.65,67.99,3129426
2017-01-24,68.44,68.5,67.61,67.87,4946787
2017-01-25,68.1,69.25,67.91,68.13,6147386
2017-01-26,68.28,68.57,67.85,68.55,3698706
2017-01-27,68.37,68.96,68.14,68.95,3836483
2017-01-30,68.53,68.85,67.32,67.88,4550978
2017-01-31,68.0,68.09,67.33,67.77,5538449
2017-02-01,67.93,68.1,67.02,67.61,3975702
2017-02-02,67.6,69.1,67.26,68.5,4889780
2017-02-03,68.44,69.84,68.11,69.18,4069430
2017-02-06,68.95,69.28,67.98,68.19,3799313
2017-02-07,67.91,67.95,66.35,66.82,4857230
2017-02-08,66.6,67.2,65.62,66.77,5676701
2017-02-09,66.37,68.33,66.16,68.19,6778515
2017-02-10,68.57,69.9,68.16,68.47,7394535
2017-02-13,67.39,67.71,66.88,67.39,6123996
2017-02-14,67.5,67.75,65.71,67.16,8696997
2017-02-15,66.87,67.66,66.75,67.21,4673912
2017-02-16,67.38,67.38,66.36,66.44,4905177
2017-02-17,66.16,66.28,65.39,66.27,5259157
2017-02-21,67.0,67.25,66.59,66.98,4796142
2017-02-22,66.58,66.96,65.88,65.91,5177711
2017-02-23,66.51,66.61,65.08,65.25,6441463
2017-02-24,65.03,65.13,64.19,64.89,5286608
2017-02-27,64.93,65.7,64.66,65.47,5015678
2017-02-28,65.23,65.68,65.04,65.55,5309417
2017-03-01,66.21,66.79,65.95,66.24,5277025
2017-03-02,65.84,66.14,65.37,65.5,5647005
2017-03-03,65.38,65.48,64.64,64.86,5089671
2017-03-06,64.82,65.04,64.49,64.73,5100805
2017-03-07,64.86,64.97,64.5,64.7,5391588
2017-03-08,63.73,63.96,62.01,62.06,7225961
2017-03-09,61.87,62.59,61.01,62.5,8182533
2017-03-10,63.0,63.05,62.19,62.6,6070041
2017-03-13,62.51,63.29,62.5,62.88,6118100
2017-03-14,62.36,63.25,61.8,63.04,5747013
2017-03-15,64.3,65.21,63.69,65.06,7500332
2017-03-16,65.02,65.07,63.72,63.82,5789495
2017-03-17,63.99,64.34,63.82,64.09,7553837
