Date,Open,High,Low,Close,Volume
2016-10-04,15.77,15.94,15.65,15.76,2670585
2016-10-05,15.85,16.02,15.76,15.88,2247151
2016-10-06,15.87,15.92,15.72,15.87,2293311
2016-10-07,15.88,15.92,15.69,15.83,2645948
2016-10-10,15.97,16.0,15.86,15.89,1464436
2016-10-11,15.88,15.98,15.68,15.78,1700859
2016-10-12,15.8,15.88,15.74,15.74,1587281
2016-10-13,15.62,15.67,15.28,15.41,2855346
2016-10-14,15.54,15.64,15.44,15.51,4527899
2016-10-17,15.55,15.59,15.38,15.44,1987057
2016-10-18,15.6,15.66,15.46,15.64,2732307
2016-10-19,15.71,15.91,15.7,15.81,3172091
2016-10-20,15.74,16.01,15.7,15.92,5414268
2016-10-21,16.07,16.11,15.82,16.09,4245180
2016-10-24,16.2,16.3,16.09,16.22,2687407
2016-10-25,16.28,16.33,16.2,16.28,3045817
2016-10-26,16.23,16.38,16.22,16.24,2853149
2016-10-27,16.34,16.56,16.26,16.46,5595126
2016-10-28,16.27,16.33,16.06,16.19,3251407
2016-10-31,16.25,16.35,16.13,16.24,7133195
2016-11-01,16.25,16.36,16.04,16.24,3694097
2016-11-02,16.23,16.23,16.05,16.15,2925758
2016-11-03,16.24,16.31,16.13,16.23,2539560
2016-11-04,16.22,16.42,16.14,16.23,2594689
2016-11-07,16.48,16.77,16.43,16.73,3623346
2016-11-08,16.7,16.72,16.49,16.64,2713639
2016-11-09,16.85,17.59,16.51,17.48,5487756
2016-11-10,17.67,18.43,17.6,17.94,8284416
2016-11-11,17.89,18.35,17.82,18.28,4768599
2016-11-14,18.09,18.87,18.09,18.58,6629755
2016-11-15,18.39,18.6,18.15,18.55,5693398
2016-11-16,18.28,18.36,18.06,18.11,7444472
2016-11-17,18.08,18.35,18.0,18.26,5119333
2016-11-18,18.31,18.34,18.19,18.29,3182194
2016-11-21,18.32,18.43,18.24,18.41,2114317
2016-11-22,18.51,18.6,18.29,18.37,3316577
2016-11-23,18.44,18.6,18.37,18.52,2756527
2016-11-25,18.52,18.59,18.49,18.57,1054370
2016-11-28,18.51,18.58,18.33,18.38,3030273
2016-11-29,18.43,18.6,18.34,18.49,2104092
2016-11-30,18.69,18.83,18.64,18.72,3715085
2016-12-01,18.8,19.0,18.74,18.93,3752225
2016-12-02,18.73,18.81,18.54,18.6,4682549
2016-12-05,18.67,18.94,18.64,18.93,5894544
2016-12-06,19.0,19.2,18.8,19.18,3995245
2016-12-07,19.17,19.71,19.14,19.67,3740013
2016-12-08,19.68,20.13,19.57,20.0,4633515
2016-12-09,19.98,20.04,19.67,19.93,7618152
2016-12-12,19.94,19.98,19.34,19.41,4865461
2016-12-13,19.44,19.59,19.25,19.45,3674744
