Date,Open,High,Low,Close,Volume
2016-10-04,58.76,59.83,58.68,59.09,1921397
2016-10-05,59.24,60.0,58.7,59.82,1215825
2016-10-06,59.8,59.83,59.35,59.76,1084214
2016-10-07,59.95,60.21,58.74,59.03,1563971
2016-10-10,59.35,59.5,58.42,58.51,1185110
2016-10-11,58.44,58.61,57.16,57.43,2183573
2016-10-12,57.35,58.05,56.58,57.45,2283684
2016-10-13,56.84,57.02,56.29,56.69,1526816
2016-10-14,57.04,57.41,56.68,56.82,1084132
2016-10-17,56.89,57.19,56.75,56.81,986128
2016-10-18,57.46,57.7,56.79,56.92,1519395
2016-10-19,56.45,57.18,56.35,56.95,1418726
2016-10-20,56.94,56.94,55.93,56.63,1570276
2016-10-21,55.93,56.69,55.32,56.49,2059400
2016-10-24,56.88,57.54,56.33,56.34,2273040
2016-10-25,55.01,56.78,54.25,54.8,4700499
2016-10-26,54.56,55.5,54.04,55.26,2709566
2016-10-27,55.42,55.56,54.52,55.28,2131217
2016-10-28,55.34,55.82,55.1,55.39,2617797
2016-10-31,55.61,55.85,54.88,54.92,2472817
2016-11-01,55.03,55.54,54.11,54.6,1639886
2016-11-02,54.59,55.16,54.35,54.53,2207730
2016-11-03,54.62,54.95,54.0,54.14,2022843
2016-11-04,53.62,55.15,53.62,54.52,2283467
2016-11-07,55.44,55.88,55.16,55.76,1800881
2016-11-08,55.66,55.88,54.81,55.56,1630297
2016-11-09,53.38,58.25,53.38,57.96,2749915
2016-11-10,58.12,60.4,58.12,60.33,4372947
2016-11-11,59.9,60.44,58.38,59.17,2461369
2016-11-14,59.33,59.89,58.73,59.55,2195779
2016-11-15,59.48,60.7,59.19,60.63,2283279
2016-11-16,60.39,60.41,59.79,60.3,1809668
2016-11-17,59.98,60.37,59.86,60.02,1470006
2016-11-18,59.8,60.12,59.61,59.78,1366479
2016-11-21,60.04,60.52,59.89,60.14,1241498
2016-11-22,60.38,60.84,60.15,60.75,1536169
2016-11-23,60.92,62.22,60.63,61.98,1959935
2016-11-25,62.19,62.19,61.38,62.0,717003
2016-11-28,61.88,62.0,60.94,61.0,1486978
2016-11-29,60.93,61.46,60.49,61.27,1954168
2016-11-30,61.69,62.62,61.35,62.15,2213104
2016-12-01,58.78,63.3,58.78,63.04,2210928
2016-12-02,62.77,63.31,62.08,63.1,1797219
2016-12-05,63.91,65.5,63.65,65.41,3724806
