Date,Open,High,Low,Close,Volume
2016-10-04,1494.35,1498.83,1483.02,1489.02,386451
2016-10-05,1493.56,1501.79,1490.0,1497.58,399188
2016-10-06,1492.73,1497.26,1485.28,1490.44,362074
2016-10-07,1498.74,1498.74,1478.01,1479.82,414723
2016-10-10,1481.0,1486.59,1470.24,1475.18,441838
2016-10-11,1470.0,1475.52,1455.01,1459.02,418446
2016-10-12,1458.0,1469.3,1452.81,1454.84,288733
2016-10-13,1445.8,1449.16,1429.58,1442.52,483908
2016-10-14,1450.0,1456.35,1435.05,1439.57,329273
2016-10-17,1436.63,1443.36,1429.6,1437.65,263753
2016-10-18,1450.63,1459.9,1446.51,1454.97,326060
2016-10-19,1457.35,1474.7,1455.21,1469.2,344781
2016-10-20,1473.93,1473.99,1461.01,1468.29,300405
2016-10-21,1460.77,1468.0,1455.5,1467.39,379658
2016-10-24,1470.45,1479.83,1465.48,1471.8,274599
2016-10-25,1466.24,1481.85,1465.87,1479.03,365694
2016-10-26,1475.0,1477.55,1465.48,1469.16,416808
2016-10-27,1475.1,1480.0,1461.08,1463.02,358829
2016-10-28,1465.08,1483.0,1460.0,1474.82,600851
2016-10-31,1478.3,1479.61,1472.28,1474.23,284405
2016-11-01,1474.23,1480.01,1453.93,1467.0,562866
2016-11-02,1468.48,1469.55,1441.79,1445.33,540224
2016-11-03,1449.35,1456.52,1435.41,1438.1,367738
2016-11-04,1429.05,1442.14,1422.19,1424.28,435291
2016-11-07,1437.45,1485.2,1435.79,1480.33,1395456
2016-11-08,1540.0,1589.2,1540.0,1578.13,1560975
2016-11-09,1565.0,1575.0,1546.58,1570.26,912686
2016-11-10,1584.44,1600.93,1520.3,1554.32,1102306
2016-11-11,1548.1,1557.7,1530.87,1540.65,643516
2016-11-14,1540.46,1541.92,1482.23,1489.18,801850
2016-11-15,1499.97,1507.76,1485.6,1497.45,669081
2016-11-16,1492.39,1517.0,1488.23,1503.23,366913
2016-11-17,1502.54,1530.95,1500.19,1512.9,413476
2016-11-18,1512.28,1529.0,1504.53,1507.35,426312
2016-11-21,1512.0,1531.02,1507.2,1524.18,296359
2016-11-22,1530.25,1535.9,1525.64,1535.42,320070
2016-11-23,1530.92,1533.56,1510.89,1520.99,319016
2016-11-25,1523.12,1527.99,1511.4,1521.68,174009
2016-11-28,1517.3,1536.0,1513.11,1525.07,348940
2016-11-29,1528.65,1532.9,1515.0,1520.27,327065
2016-11-30,1523.25,1528.58,1500.21,1503.68,375620
2016-12-01,1501.69,1504.12,1468.97,1479.66,572693
2016-12-02,1481.48,1488.8,1466.98,1473.0,336892
2016-12-05,1476.19,1502.87,1475.22,1499.76,350058
2016-12-06,1506.96,1508.09,1493.99,1504.82,255320
2016-12-07,1504.69,1527.8,1501.87,1527.04,389907
2016-12-08,1535.36,1551.77,1522.76,1548.67,506505
2016-12-09,1555.5,1559.18,1549.94,1557.98,333919
2016-12-12,1560.55,1566.63,1528.57,1536.78,396630
2016-12-13,1545.19,1560.0,1538.26,1540.11,387983
2016-12-14,1542.74,1549.13,1525.72,1528.45,307587
2016-12-15,1520.0,1523.0,1500.57,1501.2,584618
2016-12-16,1507.5,1507.97,1473.13,1484.28,714549
2016-12-19,1484.27,1501.47,1477.99,1488.83,390571
2016-12-20,1488.06,1503.96,1483.98,1502.25,306567
2016-12-21,1498.11,1512.71,1495.0,1505.76,291489
2016-12-22,1501.4,1503.18,1475.42,1481.34,406420
2016-12-23,1477.54,1490.08,1470.34,1486.2,275867
2016-12-27,1490.01,1503.39,1486.43,1493.42,193927
2016-12-28,1494.73,1496.05,1476.48,1480.46,248715
2016-12-29,1477.21,1487.43,1473.35,1480.16,200861
2016-12-30,1483.49,1483.49,1462.34,1466.06,407379
2017-01-03,1476.91,1487.36,1459.49,1477.57,458853
2017-01-04,1484.64,1493.65,1480.75,1487.29,388519
2017-01-05,1489.89,1504.94,1489.89,1503.7,447540
2017-01-06,1501.54,1526.47,1501.21,1520.57,473400
2017-01-09,1518.0,1538.77,1518.0,1529.64,397497
2017-01-10,1534.96,1544.56,1529.5,1535.25,325352
2017-01-11,1532.21,1546.67,1527.02,1536.11,405273
2017-01-12,1531.56,1539.93,1516.0,1538.59,314981
2017-01-13,1535.75,1548.94,1531.26,1545.82,327038
2017-01-17,1544.0,1546.99,1534.01,1540.13,330472
2017-01-18,1545.22,1547.25,1529.21,1541.86,246014
2017-01-19,1541.4,1549.0,1532.72,1539.02,279178
2017-01-20,1547.56,1547.56,1528.01,1545.01,596473
2017-01-23,1541.47,1555.73,1534.63,1554.99,430332
2017-01-24,1558.38,1566.06,1552.13,1563.33,360258
2017-01-25,1569.0,1581.47,1565.26,1578.82,308820
2017-01-26,1576.56,1587.51,1575.45,1581.44,294924
2017-01-27,1581.0,1605.47,1577.67,1602.92,428544
2017-01-30,1598.65,1603.58,1571.0,1602.31,469914
2017-01-31,1599.0,1599.41,1569.03,1575.13,517992
2017-02-01,1584.09,1586.59,1562.86,1575.31,330688
2017-02-02,1570.03,1585.45,1567.0,1574.09,444754
2017-02-03,1576.49,1587.99,1572.81,1583.38,318032
2017-02-06,1581.34,1588.87,1571.32,1587.18,210247
2017-02-07,1590.0,1598.93,1588.0,1598.7,295491
2017-02-08,1595.18,1604.3,1589.0,1601.19,373637
2017-02-09,1602.84,1616.08,1598.05,1611.83,414258
2017-02-10,1617.47,1649.65,1614.02,1646.51,843784
2017-02-13,1652.0,1652.0,1640.0,1646.18,414147
2017-02-14,1646.18,1646.31,1630.34,1637.29,391013
2017-02-15,1631.3,1651.27,1628.0,1648.96,281001
2017-02-16,1647.45,1658.97,1642.5,1648.88,301723
2017-02-17,1648.78,1648.78,1634.06,1637.4,413956
2017-02-21,1642.98,1657.24,1637.42,1647.0,460327
2017-02-22,1641.52,1653.46,1639.0,1651.74,278868
2017-02-23,1661.9,1664.99,1633.4,1637.26,412834
2017-02-24,1627.55,1640.68,1622.02,1631.62,562914
2017-02-27,1631.11,1635.32,1612.41,1632.01,812957
2017-02-28,1703.89,1748.39,1698.1,1724.13,1739807
2017-03-01,1741.0,1742.02,1726.23,1733.18,623667
2017-03-02,1737.52,1747.26,1730.8,1734.37,503317
2017-03-03,1731.0,1742.0,1729.41,1735.1,292797
2017-03-06,1730.0,1736.85,1727.0,1730.21,354605
2017-03-07,1720.0,1737.62,1720.0,1736.46,282612
2017-03-08,1735.2,1749.64,1731.67,1743.49,421157
2017-03-09,1738.15,1756.32,1738.15,1749.42,419507
2017-03-10,1757.14,1759.17,1750.81,1754.24,330910
2017-03-13,1757.0,1772.49,1754.94,1767.12,327936
2017-03-14,1767.93,1769.86,1756.24,1769.0,321166
2017-03-15,1772.78,1773.38,1759.78,1767.98,353244
2017-03-16,1771.0,1775.0,1768.94,1773.98,302241
2017-03-17,1774.73,1774.73,1766.78,1772.63,414638
2017-03-20,1773.5,1776.69,1762.57,1765.44,262391
