Date,Open,High,Low,Close,Volume
2016-10-04,41.39,41.39,40.38,40.68,3247546
2016-10-05,40.89,41.2,40.43,40.77,3981707
2016-10-06,40.59,40.88,40.44,40.75,3190901
2016-10-07,41.06,41.51,40.7,40.72,3269469
2016-10-10,40.78,41.01,40.58,40.86,2069561
2016-10-11,40.78,40.94,40.45,40.59,2490118
2016-10-12,40.62,40.92,40.55,40.82,2938204
2016-10-13,40.82,41.38,40.65,40.97,6126938
2016-10-14,40.91,41.42,40.77,40.9,3268522
2016-10-17,41.3,41.76,41.23,41.57,4263184
2016-10-18,41.85,41.99,41.28,41.81,2401369
2016-10-19,41.81,41.82,41.32,41.42,2046425
2016-10-20,41.43,41.7,41.21,41.28,3119824
2016-10-21,41.08,41.22,40.81,40.95,1944846
2016-10-24,41.12,41.27,40.75,40.86,2014440
2016-10-25,40.78,41.17,40.74,41.17,2431140
2016-10-26,41.16,41.33,40.84,41.22,1924878
2016-10-27,41.11,41.4,40.93,41.21,2847921
2016-10-28,41.28,41.46,40.82,41.03,2326626
2016-10-31,41.41,42.25,41.03,42.08,3434427
2016-11-01,42.11,42.11,41.26,41.35,4005676
2016-11-02,41.31,41.31,40.39,40.8,3428518
2016-11-03,40.77,41.18,40.5,40.97,2341016
2016-11-04,41.17,41.56,40.87,40.9,2059683
2016-11-07,41.15,41.89,40.81,41.88,2648061
2016-11-08,41.94,42.28,41.8,42.05,2448361
2016-11-09,41.39,41.56,40.54,40.63,3158636
2016-11-10,40.61,40.72,39.39,40.04,3689387
2016-11-11,40.0,40.3,39.37,39.57,2773090
2016-11-14,39.42,40.08,39.28,39.97,4418518
2016-11-15,40.1,41.34,40.08,41.33,4294680
2016-11-16,41.36,41.47,40.4,40.68,3921231
2016-11-17,40.5,40.92,40.48,40.72,2441106
2016-11-18,40.68,40.89,40.11,40.34,2768387
2016-11-21,40.45,41.07,40.45,41.0,1822336
2016-11-22,41.05,41.38,40.91,41.25,2491718
2016-11-23,40.72,41.16,40.65,40.74,1715987
2016-11-25,40.87,41.59,40.87,41.45,983276
2016-11-28,41.64,42.9,41.6,42.8,3177119
2016-11-29,42.58,43.11,42.55,42.84,2500955
2016-11-30,42.38,42.44,41.31,41.31,3238171
2016-12-01,41.02,41.38,40.84,41.04,3152966
2016-12-02,41.37,41.82,41.1,41.25,2266050
2016-12-05,41.16,41.76,40.72,41.74,3526768
2016-12-06,41.92,42.0,41.3,41.38,3393223
2016-12-07,41.14,41.7,41.14,41.67,2760677
2016-12-08,41.33,42.31,41.14,42.25,2853155
2016-12-09,42.27,42.75,42.26,42.7,2219769
2016-12-12,42.58,43.03,42.54,42.97,2385242
2016-12-13,43.03,43.43,42.92,43.34,2373211
2016-12-14,43.55,43.97,42.62,42.71,3195421
2016-12-15,42.51,43.0,42.39,42.95,3986165
2016-12-16,43.08,44.29,43.08,43.99,5959891
2016-12-19,44.2,44.2,43.38,43.67,2931627
2016-12-20,43.94,44.06,43.64,43.77,2140653
2016-12-21,43.8,44.06,43.59,43.59,1309776
2016-12-22,43.6,43.76,43.33,43.68,1412918
2016-12-23,43.72,43.77,43.52,43.68,781553
2016-12-27,43.68,43.92,43.51,43.8,1745656
2016-12-28,43.78,43.91,43.32,43.41,2060791
2016-12-29,43.57,44.21,43.48,44.05,2126782
2016-12-30,44.12,44.19,43.73,43.88,2000457
2017-01-03,44.01,44.01,43.16,43.39,2976349
2017-01-04,43.53,43.97,43.51,43.69,2155594
2017-01-05,43.64,43.84,43.3,43.76,2208906
2017-01-06,43.61,44.24,43.48,44.2,2324131
2017-01-09,44.21,44.31,43.46,43.52,2050005
2017-01-10,43.36,43.6,43.2,43.46,2307746
2017-01-11,43.53,44.22,43.53,44.04,2993079
2017-01-12,44.0,44.14,43.78,44.07,1974080
2017-01-13,43.95,44.1,43.76,44.03,1579169
2017-01-17,44.22,44.7,44.12,44.41,1599001
2017-01-18,44.25,44.45,44.1,44.18,1126735
2017-01-19,43.96,44.16,43.54,43.68,1538351
2017-01-20,43.81,44.0,43.51,43.74,1497923
2017-01-23,43.77,43.92,43.2,43.27,1488388
2017-01-24,43.27,43.7,43.24,43.45,1810310
2017-01-25,43.33,43.5,43.26,43.39,1570578
2017-01-26,43.39,43.68,43.14,43.33,1443730
2017-01-27,43.41,43.49,42.88,43.06,1679113
2017-01-30,43.14,43.3,42.86,43.21,1869259
2017-01-31,43.32,44.33,43.28,44.25,3496587
2017-02-01,43.97,44.03,43.24,43.37,3222737
2017-02-02,43.36,43.59,43.04,43.52,3581664
2017-02-03,43.62,43.88,43.52,43.71,1886615
2017-02-06,43.82,43.85,43.42,43.45,1886094
2017-02-07,43.46,43.53,43.33,43.44,2279445
2017-02-08,43.5,43.83,43.39,43.54,2524024
2017-02-09,43.54,43.64,43.06,43.19,2588627
2017-02-10,43.06,43.44,42.98,43.39,2113263
2017-02-13,43.43,43.78,43.38,43.76,1860285
2017-02-14,43.63,43.71,43.13,43.43,1908903
2017-02-15,43.05,43.38,42.77,43.21,3604522
2017-02-16,43.24,43.66,43.24,43.66,1952241
2017-02-17,43.69,43.84,43.32,43.49,5840019
2017-02-21,43.49,44.43,43.26,44.33,2680512
2017-02-22,44.39,44.43,44.04,44.27,2291384
2017-02-23,44.48,44.61,44.16,44.25,3280200
2017-02-24,44.47,45.63,44.11,45.61,3084644
2017-02-27,45.41,45.66,44.94,45.61,3649462
2017-02-28,45.5,46.14,45.44,45.98,3513416
2017-03-01,45.46,45.73,45.09,45.32,2608192
2017-03-02,45.09,46.08,44.95,45.79,2905964
2017-03-03,45.84,45.88,45.02,45.53,2723041
2017-03-06,45.5,45.64,45.06,45.11,2697230
2017-03-07,45.13,45.32,44.7,44.98,3525883
2017-03-08,44.27,44.39,43.88,43.96,3446262
2017-03-09,43.98,44.37,43.88,43.89,1914357
2017-03-10,44.03,44.51,43.98,44.43,2621753
2017-03-13,44.41,44.57,44.29,44.48,1861201
2017-03-14,44.34,44.68,44.27,44.49,1975947
2017-03-15,44.62,45.49,44.56,45.13,2543094
2017-03-16,44.94,45.01,44.3,44.41,2558485
2017-03-17,44.58,45.04,44.54,44.73,3940496
2017-03-20,44.82,44.89,43.98,44.13,3475448
2017-03-21,44.18,44.87,43.86,44.66,3878253
2017-03-22,44.8,45.34,44.79,45.1,3907769
2017-03-23,45.08,45.4,44.92,45.07,2855669
2017-03-24,44.98,45.39,44.93,45.15,1881215
2017-03-27,45.44,45.57,44.59,44.74,1733273
2017-03-28,44.62,44.72,44.21,44.51,4747714
2017-03-29,44.35,44.35,43.96,44.15,3371083
2017-03-30,44.03,44.12,43.77,43.91,2157214
2017-03-31,43.96,44.55,43.93,44.35,3122501
2017-04-03,44.31,44.33,43.93,44.26,2478270
2017-04-04,44.21,44.42,43.95,44.27,2638392
2017-04-05,44.24,44.53,44.08,44.42,3387763
2017-04-06,44.28,44.9,44.16,44.89,3863042
2017-04-07,44.97,45.19,44.66,44.72,4103908
2017-04-10,44.68,44.84,44.24,44.66,2906375
2017-04-11,44.65,45.45,44.4,45.29,4408181
2017-04-12,45.19,45.65,44.98,45.61,3746860
2017-04-13,45.69,45.94,45.34,45.65,3868765
2017-04-17,45.69,45.81,45.42,45.68,2009287
2017-04-18,45.49,45.71,45.14,45.34,4108887
