Date,Open,High,Low,Close,Volume
2016-10-04,51.69,51.9,50.96,51.17,1769627
2016-10-05,51.52,52.8,51.37,52.63,1620482
2016-10-06,52.77,52.83,52.2,52.55,1206147
2016-10-07,52.17,52.47,51.78,52.26,1274401
2016-10-10,52.54,52.93,52.44,52.83,1624990
2016-10-11,52.61,52.8,52.06,52.5,1854511
2016-10-12,52.64,53.11,52.47,52.71,1082507
2016-10-13,51.98,52.29,51.25,52.01,1983395
2016-10-14,52.54,53.0,52.27,52.33,959025
2016-10-17,52.44,52.66,52.18,52.26,730801
2016-10-18,53.0,53.0,52.41,52.63,1498463
2016-10-19,53.03,53.03,52.39,52.75,1745311
2016-10-20,52.67,52.93,52.42,52.8,1319007
2016-10-21,52.27,52.78,52.08,52.62,1151668
2016-10-24,53.05,53.2,52.75,53.0,1006030
2016-10-25,52.93,53.07,52.54,52.96,1626504
2016-10-26,52.57,53.17,52.49,53.01,1624354
2016-10-27,53.26,53.76,52.85,53.56,1897372
2016-10-28,53.56,56.32,53.3,55.27,3209925
2016-10-31,55.73,55.73,54.59,54.6,2194124
2016-11-01,54.98,55.0,53.59,54.15,2418072
2016-11-02,53.89,54.26,53.3,53.46,1731101
2016-11-03,53.8,53.92,53.19,53.33,2121200
2016-11-04,53.38,53.68,52.67,53.13,1806176
2016-11-07,54.31,54.51,54.15,54.32,2332450
2016-11-08,54.29,54.69,53.86,54.49,2560962
2016-11-09,55.15,56.2,54.67,56.1,4813235
2016-11-10,56.86,58.09,56.62,57.88,3308441
2016-11-11,57.4,57.9,56.28,57.3,2623771
2016-11-14,57.91,58.85,57.12,57.31,2369914
2016-11-15,56.96,57.74,56.64,57.71,1783127
2016-11-16,57.1,57.63,56.86,57.12,1226590
2016-11-17,57.65,57.9,57.27,57.79,1635463
2016-11-18,57.85,57.92,57.07,57.66,1219560
2016-11-21,57.85,58.05,57.37,57.8,1191976
2016-11-22,58.12,58.12,57.27,57.68,1953223
2016-11-23,57.88,58.43,57.74,58.41,1442591
2016-11-25,58.46,58.52,58.02,58.33,401546
2016-11-28,57.71,58.15,57.0,57.06,1247135
2016-11-29,57.29,57.47,56.86,57.19,1371581
2016-11-30,57.88,58.74,57.56,57.69,2141751
2016-12-01,57.75,58.5,57.69,58.31,1622389
2016-12-02,58.13,58.15,57.39,57.78,1256606
2016-12-05,58.48,59.48,57.79,59.47,2987266
2016-12-06,59.6,59.87,59.0,59.42,2500405
2016-12-07,59.42,60.69,59.31,60.69,2065067
2016-12-08,61.0,61.34,60.2,60.86,1586401
2016-12-09,60.71,60.71,60.04,60.3,1544531
2016-12-12,60.29,60.39,58.98,59.44,1372401
2016-12-13,59.78,59.94,59.08,59.52,1373056
2016-12-14,59.15,59.91,58.45,58.72,1984244
2016-12-15,58.96,59.57,58.76,59.08,1986327
2016-12-16,59.1,59.27,57.74,57.8,2695918
2016-12-19,57.91,58.21,57.4,57.84,1782316
2016-12-20,58.43,58.88,58.01,58.75,1493405
2016-12-21,58.85,59.28,58.46,59.11,1306383
2016-12-22,59.16,59.16,58.1,58.42,953224
2016-12-23,58.33,58.47,58.04,58.41,474662
2016-12-27,58.44,58.93,58.44,58.73,525164
2016-12-28,58.7,58.93,57.99,58.0,727443
2016-12-29,57.94,58.4,57.63,57.85,646184
2016-12-30,57.97,58.2,57.62,57.86,806442
2017-01-03,58.61,59.29,58.03,58.58,1276133
2017-01-04,58.84,59.19,58.69,59.11,995223
2017-01-05,59.14,59.31,57.96,58.51,1308307
2017-01-06,58.86,59.15,58.57,58.86,1356243
2017-01-09,58.45,59.15,58.19,58.19,1177557
2017-01-10,58.36,59.24,58.05,58.65,851538
2017-01-11,58.58,59.31,58.48,58.98,944746
2017-01-12,58.6,59.04,58.01,58.87,1552795
2017-01-13,59.2,59.63,58.86,59.03,709746
2017-01-17,58.36,58.91,58.0,58.27,1487190
2017-01-18,58.54,59.54,58.09,59.48,987436
2017-01-19,59.53,59.67,58.05,58.3,1517768
2017-01-20,58.43,58.94,57.95,58.24,1238684
2017-01-23,58.1,58.42,57.56,57.74,1088416
2017-01-24,57.96,58.89,57.74,58.58,1596130
2017-01-25,59.17,59.77,59.07,59.65,1014237
2017-01-26,59.49,59.54,57.62,58.57,1772287
2017-01-27,58.57,58.72,57.27,58.0,2334045
2017-01-30,57.86,57.86,56.67,57.74,1757301
2017-01-31,58.25,58.25,56.34,57.09,2998917
2017-02-01,57.65,58.57,56.97,57.2,1940439
2017-02-02,56.75,57.86,56.12,57.51,1648440
2017-02-03,58.69,59.44,58.63,59.42,1590832
2017-02-06,58.87,59.82,58.87,59.47,1205072
2017-02-07,59.73,59.87,59.45,59.72,1243773
2017-02-08,59.33,59.91,58.94,59.84,1396002
2017-02-09,60.04,60.79,59.8,60.58,1329830
2017-02-10,60.87,61.05,60.54,60.86,1183072
2017-02-13,61.13,62.32,61.07,62.09,1699396
2017-02-14,62.01,62.59,61.95,62.06,1277243
2017-02-15,62.27,62.78,61.89,62.73,1270517
2017-02-16,62.56,62.88,62.33,62.6,1178657
2017-02-17,61.84,62.14,61.43,62.12,990232
2017-02-21,62.24,62.7,62.15,62.42,883940
2017-02-22,62.13,63.12,61.99,62.83,2041430
2017-02-23,62.9,62.97,62.44,62.87,1015518
2017-02-24,62.04,62.84,62.04,62.75,1342903
2017-02-27,62.68,63.0,62.28,62.78,1103870
2017-02-28,62.48,62.69,61.98,62.54,1225280
2017-03-01,63.53,64.31,63.49,64.02,1765218
2017-03-02,63.43,63.62,62.65,62.71,1461680
2017-03-03,62.88,63.71,62.88,63.57,1678112
2017-03-06,63.12,63.61,63.03,63.37,992539
2017-03-07,63.16,63.24,62.78,63.04,1036415
2017-03-08,63.71,63.89,63.0,63.07,857802
2017-03-09,63.12,63.62,62.81,63.07,961219
2017-03-10,63.1,63.92,62.9,63.54,914053
2017-03-13,63.52,63.74,63.36,63.58,945636
2017-03-14,63.25,63.35,62.74,63.01,904946
2017-03-15,63.14,63.89,63.06,63.83,1256341
2017-03-16,64.0,64.65,63.97,64.2,1147293
2017-03-17,64.27,64.29,63.38,63.44,1464656
2017-03-20,63.34,63.47,62.87,63.11,574859
2017-03-21,63.56,63.66,61.17,61.26,1435340
2017-03-22,60.91,62.05,60.27,61.9,1158101
2017-03-23,61.89,62.84,61.64,62.18,746978
2017-03-24,62.18,62.86,61.82,62.17,969545
2017-03-27,60.6,62.21,60.18,62.11,869658
2017-03-28,62.08,63.41,61.95,63.01,966529
2017-03-29,62.88,62.88,62.15,62.47,667634
2017-03-30,62.49,63.61,62.24,63.11,1081029
2017-03-31,62.73,63.49,62.57,63.11,1152582
2017-04-03,63.3,63.47,62.03,63.09,1034849
2017-04-04,62.75,63.14,62.64,62.85,925108
2017-04-05,63.33,63.7,62.1,62.16,1133078
2017-04-06,62.12,63.15,61.75,62.73,1029735
2017-04-07,62.2,62.91,62.06,62.57,837114
2017-04-10,62.64,63.02,62.27,62.67,711253
2017-04-11,62.44,63.07,62.17,62.9,712381
2017-04-12,62.9,62.96,61.67,61.93,918189
2017-04-13,61.73,62.37,61.38,61.51,703279
2017-04-17,61.82,62.69,61.48,62.63,612999
2017-04-18,62.04,62.61,61.99,62.39,832435
2017-04-19,62.93,62.96,62.01,62.08,991167
2017-04-20,62.49,63.23,62.27,62.92,1169022
2017-04-21,62.9,63.19,62.6,62.81,736033
2017-04-24,64.35,64.42,63.68,63.92,1244865
2017-04-25,64.5,64.81,64.29,64.35,1166858
2017-04-26,64.32,64.73,64.24,64.31,1010383
2017-04-27,64.49,65.25,64.46,65.18,1463251
2017-04-28,64.41,65.56,63.72,65.13,1441966
2017-05-01,65.67,65.67,64.61,64.97,1452867
2017-05-02,65.02,65.1,64.39,64.91,850816
2017-05-03,64.77,65.12,64.63,64.9,1357131
2017-05-04,65.25,65.45,64.36,64.43,1425957
2017-05-05,64.66,64.76,64.13,64.34,882273
2017-05-08,64.37,64.54,63.75,63.95,1092247
2017-05-09,64.07,64.33,63.24,63.46,1052652
2017-05-10,63.34,63.92,63.14,63.86,1228087
2017-05-11,63.66,63.9,62.85,63.54,1078727
2017-05-12,63.15,63.62,62.84,63.0,840422
2017-05-15,63.25,63.86,63.08,63.71,1358147
2017-05-16,63.85,64.09,63.43,63.98,1015343
2017-05-17,62.86,63.21,61.33,61.4,1297894
2017-05-18,60.99,61.19,60.35,60.55,2002924
2017-05-19,60.68,61.09,60.55,60.83,2922159
2017-05-22,61.23,61.93,60.91,61.43,1330883
2017-05-23,61.49,61.98,61.08,61.71,1409643
2017-05-24,61.79,61.98,61.44,61.96,1053671
2017-05-25,62.15,62.76,62.0,62.66,1324143
2017-05-26,62.48,63.12,62.48,62.75,1045431
2017-05-30,62.55,62.71,62.11,62.52,672312
2017-05-31,62.65,62.95,62.0,62.91,1536824
2017-06-01,62.75,64.08,62.43,64.08,1002844
2017-06-02,63.71,64.19,63.4,63.96,886633
2017-06-05,63.91,64.06,63.21,63.29,899354
2017-06-06,62.78,62.93,62.02,62.07,1145569
2017-06-07,62.24,62.68,61.95,62.41,906541
2017-06-08,62.55,64.18,62.4,63.63,1568572
2017-06-09,63.95,64.99,63.95,64.91,1025495
2017-06-12,64.72,65.44,64.72,64.97,1245158
2017-06-13,65.12,65.86,64.98,65.54,1058222
2017-06-14,65.05,65.48,64.43,65.36,1123207
2017-06-15,64.74,65.22,64.64,65.2,1234528
2017-06-16,65.32,65.52,65.06,65.35,1649338
2017-06-19,65.78,66.12,65.5,65.88,838007
2017-06-20,65.64,65.74,64.98,65.02,866260
2017-06-21,65.14,65.14,63.79,63.86,1000704
2017-06-22,63.48,63.48,62.31,62.69,1397661
2017-06-23,62.91,63.08,62.4,62.58,1761521
2017-06-26,62.85,63.49,62.61,63.06,863822
2017-06-27,63.32,64.05,63.1,63.4,970103
2017-06-28,63.99,64.82,63.94,64.69,928473
2017-06-29,65.54,65.63,64.15,64.53,1383321
2017-06-30,64.86,65.0,64.06,64.07,1376226
2017-07-03,64.57,65.34,64.39,64.76,752691
2017-07-05,64.8,64.85,64.17,64.25,1590581
2017-07-06,64.28,64.82,63.93,64.12,1624466
2017-07-07,64.38,64.9,64.17,64.61,1270195
2017-07-10,64.57,65.57,64.46,65.36,1101867
2017-07-11,65.42,65.68,64.93,65.16,743892
2017-07-12,65.27,65.54,65.1,65.51,718749
2017-07-13,65.58,66.05,65.43,65.95,795064
2017-07-14,65.36,66.31,65.2,66.1,806978
2017-07-17,65.99,66.47,65.61,66.34,1097402
2017-07-18,65.95,66.57,65.88,66.41,520948
2017-07-19,66.49,66.95,66.23,66.7,859414
2017-07-20,66.81,66.87,65.86,65.89,1029427
2017-07-21,65.79,66.46,65.79,66.42,681718
2017-07-24,66.28,66.62,66.13,66.38,676907
2017-07-25,67.0,67.5,66.67,67.16,880915
2017-07-26,67.26,67.28,66.45,66.66,648308
2017-07-27,66.92,67.37,66.23,66.63,810606
2017-07-28,67.11,67.58,65.46,67.37,1094971
2017-07-31,,,66.74,66.75,1245829
2017-08-01,67.12,67.12,66.19,66.72,1241165
2017-08-02,66.62,66.87,65.99,66.66,743142
2017-08-03,66.42,66.75,66.27,66.55,788196
2017-08-04,67.0,67.19,66.62,67.04,769764
2017-08-07,67.03,67.1,66.49,66.51,588420
2017-08-08,66.45,67.24,66.15,66.23,954627
2017-08-09,65.79,66.18,65.56,65.99,924906
2017-08-10,65.56,65.61,64.42,64.43,1023176
2017-08-11,64.34,65.09,64.22,64.32,851668
2017-08-14,64.94,65.37,64.88,65.01,678599
2017-08-15,65.6,65.69,64.98,65.0,945813
2017-08-16,65.33,65.54,65.07,65.16,1003827
2017-08-17,64.91,65.11,62.82,62.93,1263348
2017-08-18,62.7,63.27,62.39,62.93,1204709
2017-08-21,63.0,63.06,62.48,62.73,752972
