Date,Open,High,Low,Close,Volume
2016-10-04,81.29,81.77,80.25,80.83,727483
2016-10-05,81.35,81.68,78.2,79.29,1230248
2016-10-06,79.19,81.66,79.19,81.02,901452
2016-10-07,80.83,81.1,79.82,80.62,851449
2016-10-10,81.03,81.7,80.53,81.45,636682
2016-10-11,81.12,81.23,79.92,80.61,631008
2016-10-12,81.09,82.88,81.0,82.28,791540
2016-10-13,81.53,81.74,80.04,81.35,675639
2016-10-14,81.78,83.13,81.78,82.6,797535
2016-10-17,83.5,84.69,82.94,83.33,993789
2016-10-18,84.72,85.4,83.7,83.77,1548034
2016-10-19,84.36,85.55,83.42,85.54,1140658
2016-10-20,84.49,85.0,80.62,81.13,1624518
2016-10-21,80.55,82.11,79.92,81.54,903063
2016-10-24,82.74,84.4,82.43,82.64,1422535
2016-10-25,82.28,82.32,80.47,80.88,1123302
2016-10-26,80.49,81.71,80.11,81.05,593892
2016-10-27,80.8,80.98,80.01,80.97,918136
2016-10-28,80.95,82.59,80.95,81.51,698713
2016-10-31,81.69,82.64,81.67,82.5,918019
2016-11-01,82.63,82.96,79.94,80.33,799807
2016-11-02,80.08,80.89,79.7,79.73,632263
2016-11-03,79.5,79.69,78.58,78.67,913528
2016-11-04,78.58,79.93,78.03,79.07,885874
2016-11-07,79.98,80.35,78.42,79.34,1010406
2016-11-08,78.86,80.48,78.86,80.14,688501
2016-11-09,79.34,82.77,79.24,82.27,887047
2016-11-10,82.89,83.94,82.08,82.12,699870
2016-11-11,82.0,82.69,81.55,82.6,744378
2016-11-14,83.14,86.16,83.14,85.97,1378473
2016-11-15,85.45,86.12,84.24,85.92,762655
2016-11-16,86.25,87.38,85.66,85.72,679025
2016-11-17,86.21,87.65,85.3,86.78,848157
2016-11-18,86.77,87.75,86.36,87.51,636503
2016-11-21,86.82,87.0,85.8,86.29,883420
2016-11-22,86.45,86.5,84.15,84.67,1374613
2016-11-23,84.64,85.61,84.52,84.72,798122
2016-11-25,84.89,85.5,84.85,85.43,411750
2016-11-28,85.05,85.65,84.87,85.4,891183
2016-11-29,85.11,86.2,84.85,85.64,772454
2016-11-30,85.83,85.89,84.72,84.76,768660
2016-12-01,84.94,85.55,84.7,85.19,856417
2016-12-02,85.27,87.12,85.02,87.07,980691
2016-12-05,87.82,88.29,86.99,87.15,915711
2016-12-06,87.55,87.64,86.02,86.94,688448
2016-12-07,87.18,88.41,86.91,87.29,1183108
2016-12-08,87.46,88.02,87.08,87.33,957234
2016-12-09,87.35,88.03,86.93,87.38,711985
2016-12-12,87.68,88.13,86.0,86.48,874132
2016-12-13,86.31,87.06,85.64,86.59,588160
2016-12-14,86.81,87.49,85.83,86.16,769936
2016-12-15,86.24,87.45,86.02,86.53,1426257
2016-12-16,86.59,87.25,86.3,86.46,1655878
2016-12-19,86.27,87.0,86.18,86.75,982967
2016-12-20,87.0,87.0,86.11,86.72,582955
2016-12-21,86.23,87.01,85.99,86.51,802106
2016-12-22,86.53,86.85,85.43,85.98,377200
2016-12-23,85.96,86.62,85.77,86.48,281619
2016-12-27,86.78,87.01,86.45,86.66,578931
2016-12-28,87.12,87.22,84.98,85.19,394687
2016-12-29,85.15,85.59,84.61,85.06,550087
2016-12-30,85.49,85.57,84.28,84.82,372647
2017-01-03,85.16,85.9,84.01,85.0,1053646
2017-01-04,85.44,86.44,85.05,86.37,925849
2017-01-05,86.37,87.04,84.68,85.33,605185
2017-01-06,85.37,87.45,85.15,87.2,773456
2017-01-09,86.9,88.47,86.34,87.77,1083893
2017-01-10,87.7,88.58,87.36,87.98,861677
2017-01-11,88.06,89.28,87.88,88.52,566231
2017-01-12,88.1,88.8,85.99,86.88,654448
2017-01-13,86.96,88.02,86.61,87.22,438779
2017-01-17,86.82,86.82,85.4,85.67,661858
2017-01-18,85.83,86.92,85.37,86.66,561750
2017-01-19,86.7,87.62,85.36,85.76,410238
2017-01-20,86.17,86.97,85.76,86.05,739115
2017-01-23,86.44,88.46,86.41,88.33,669016
2017-01-24,88.94,92.27,88.82,92.08,1358509
2017-01-25,95.5,95.5,93.01,94.7,1152529
2017-01-26,94.63,94.94,93.27,94.02,878552
