Date,Open,High,Low,Close,Volume
2016-10-04,94.11,95.06,93.29,94.07,2017632
2016-10-05,94.69,97.17,94.46,96.73,1463497
2016-10-06,95.99,96.2,94.45,94.84,1364942
2016-10-07,94.83,94.95,90.4,90.95,2907127
2016-10-10,91.9,92.97,91.36,92.73,1473868
2016-10-11,92.29,92.71,88.38,89.23,2250959
2016-10-12,89.44,89.52,87.47,88.0,2348041
2016-10-13,87.55,88.68,87.12,87.9,1271355
2016-10-14,88.25,88.25,85.75,86.39,1577420
2016-10-17,86.7,87.05,85.74,86.43,790264
2016-10-18,87.55,88.49,87.0,88.24,742084
2016-10-19,88.09,88.73,87.85,88.18,805609
2016-10-20,88.36,88.69,87.87,88.51,848925
2016-10-21,88.08,92.64,87.45,90.31,2382669
2016-10-24,90.42,91.08,90.07,90.61,1207542
2016-10-25,90.17,90.74,89.56,90.17,1482779
2016-10-26,89.94,91.45,89.72,90.71,1036001
2016-10-27,90.9,91.9,90.65,91.0,1134559
2016-10-28,90.6,90.75,86.1,87.06,2610580
2016-10-31,86.53,86.78,82.93,83.19,3799904
2016-11-01,83.15,85.1,82.92,84.7,1597204
2016-11-02,84.33,85.5,82.6,82.91,1596941
2016-11-03,83.49,84.93,79.72,79.95,5048660
2016-11-04,80.09,83.16,80.0,82.39,1849660
2016-11-07,84.17,84.48,83.0,83.96,1269526
2016-11-08,82.53,83.54,79.96,80.6,2940062
2016-11-09,87.48,87.68,80.9,83.51,4263151
2016-11-10,84.4,90.22,83.78,89.11,4646565
2016-11-11,89.19,90.19,87.94,89.27,1768603
2016-11-14,88.76,91.95,88.55,91.55,1832571
2016-11-15,90.77,90.77,86.62,89.1,2731204
2016-11-16,88.34,88.43,86.17,86.39,1435868
2016-11-17,86.55,88.67,85.72,88.39,1243188
2016-11-18,88.14,89.07,87.86,88.14,989113
2016-11-21,87.83,89.7,87.48,89.31,924566
2016-11-22,88.92,89.49,86.85,87.84,1304076
2016-11-23,86.77,89.66,86.37,89.33,800373
2016-11-25,89.44,89.81,87.64,87.84,467754
2016-11-28,87.31,88.43,86.1,88.19,1705356
2016-11-29,88.8,88.81,85.73,85.79,1187396
2016-11-30,86.05,87.12,85.5,86.34,957172
2016-12-01,86.22,87.15,85.53,85.8,1334430
2016-12-02,86.15,86.2,85.02,85.96,1387916
