Date,Open,High,Low,Close,Volume
2016-10-04,81.6,82.78,81.59,82.59,2980603
2016-10-05,82.95,85.24,82.79,84.79,4347724
2016-10-06,85.19,85.94,84.24,85.01,2778136
2016-10-07,84.53,85.0,83.81,84.53,2470217
2016-10-10,85.0,85.24,84.61,84.94,2169473
2016-10-11,85.01,85.25,83.86,84.37,2507575
2016-10-12,84.54,85.1,84.28,84.49,2197213
2016-10-13,83.17,83.98,82.47,83.68,2359419
2016-10-14,84.99,85.34,84.16,84.43,2704015
2016-10-17,84.62,85.03,84.39,84.51,2120989
2016-10-18,84.93,85.03,84.24,84.37,1699516
2016-10-19,84.19,84.98,83.98,84.5,2286863
2016-10-20,84.35,84.59,83.26,83.92,1717709
2016-10-21,82.7,83.35,82.6,83.15,3999912
2016-10-24,83.83,84.19,83.32,83.54,1823230
2016-10-25,83.45,83.8,82.82,82.89,2199000
2016-10-26,82.58,84.08,82.45,83.9,2054321
2016-10-27,84.63,85.41,84.0,84.77,2531908
2016-10-28,84.98,85.49,83.84,84.5,2462350
2016-10-31,84.7,85.45,84.65,84.79,2012016
2016-11-01,85.29,85.39,83.09,84.18,1689055
2016-11-02,83.83,84.4,83.2,83.79,1751342
2016-11-03,84.57,87.5,84.37,86.67,4063667
2016-11-04,86.65,86.9,85.36,85.79,2914117
2016-11-07,87.45,89.07,87.39,88.82,3286328
2016-11-08,88.3,89.22,87.83,88.75,2983245
2016-11-09,89.49,93.9,89.21,93.51,6519787
2016-11-10,93.98,98.34,93.87,97.74,8225958
2016-11-11,95.88,98.16,95.88,97.93,5484913
2016-11-14,97.94,100.37,97.94,98.68,5423702
2016-11-15,97.61,98.91,95.95,98.73,4087735
2016-11-16,97.76,98.24,96.71,97.64,2589427
2016-11-17,97.95,99.24,97.53,99.16,2372445
2016-11-18,99.27,99.66,98.51,99.15,2269575
2016-11-21,99.74,100.64,99.08,100.57,2882350
2016-11-22,100.57,101.02,99.53,100.29,2383404
2016-11-23,100.53,101.96,99.99,100.64,1920708
2016-11-25,100.79,101.0,100.27,100.79,982056
2016-11-28,99.85,100.46,98.79,99.4,2355653
2016-11-29,99.94,100.32,99.26,99.77,3037816
2016-11-30,100.79,101.48,100.26,100.6,2345477
2016-12-01,101.37,103.5,101.11,102.47,2928387
2016-12-02,102.28,102.44,100.74,101.73,1954567
2016-12-05,102.88,103.56,101.83,102.71,2255790
2016-12-06,103.2,103.73,101.89,103.64,1763755
2016-12-07,103.48,105.57,103.1,105.47,2605370
2016-12-08,105.87,107.18,105.56,106.57,2569191
2016-12-09,106.25,106.38,105.25,106.02,2595373
2016-12-12,105.18,105.81,103.44,104.52,2597820
